id,value,lo,hi,file,what,closes,recomputed,recomputed_lo,recomputed_hi,agree_4dp,reference_value,reference_source,reference_agree
master_lookup:Qwen2.5-Omni|edaic_full_notrunc|projector fine tune (PART 23),0.7931,0.7263,0.8536,<local data dir>/release/master/master_lookup.csv,Qwen2.5-Omni edaic_full_notrunc projector fine tune (PART 23) (auc column; interval in the estimator note),audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.7931,0.7263,0.8536,yes,0.7931 0.7263 0.8536,part23/verify/PART23_VERIFIED.tsv 6_ft_whole_pooled,yes
master_lookup:Qwen2.5-Omni|edaic_full|projector fine tune (PART 23 same-pod 300 s control),0.815,0.7465,0.8776,<local data dir>/release/master/master_lookup.csv,Qwen2.5-Omni edaic_full projector fine tune (PART 23 same-pod 300 s control) (auc column; interval in the estimator note),audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.8150,0.7465,0.8776,yes,0.815 0.7465 0.8776,part23/verify/PART23_VERIFIED.tsv 7_ft_ctrl300_pooled,yes
master_lookup_note:P23_zs_whole_minus_300s,0.0088,-0.0320,0.0510,<local data dir>/release/master/master_lookup.csv,"whole minus 300 s zero-shot, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),0.0088,-0.0320,0.0510,yes,0.0088 -0.032 0.051,part23/verify/PART23_VERIFIED.tsv 1_whole_minus_300s,yes
master_lookup_note:P23_ft_whole_minus_zs_whole,-0.0435,-0.0939,0.0027,<local data dir>/release/master/master_lookup.csv,"FT whole minus zero-shot whole, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),-0.0435,-0.0939,0.0027,yes,-0.0435 -0.0939 0.0027,part23/verify/PART23_VERIFIED.tsv 6_ft_whole_minus_zswhole,yes
master_lookup_note:P23_ft_whole_minus_ctrl300,-0.0219,-0.0783,0.0356,<local data dir>/release/master/master_lookup.csv,"FT whole minus FT ctrl300, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),-0.0219,-0.0783,0.0356,yes,-0.0219 -0.0783 0.0356,part23/verify/PART23_VERIFIED.tsv 7_ft_whole_minus_ctrl300,yes
master_lookup_note:P23_ft_ctrl300_minus_zs_300s,-0.0128,-0.0483,0.0214,<local data dir>/release/master/master_lookup.csv,"FT ctrl300 minus zero-shot 300 s, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),-0.0128,-0.0483,0.0214,yes,-0.0128 -0.0483 0.0214,part23/verify/PART23_VERIFIED.tsv 9a_ft_ctrl300_minus_zs300,yes
master_lookup_note:P23_enc_meanof5_whole_minus_zs_whole,-0.2385,-0.3244,-0.1505,<local data dir>/release/master/master_lookup.csv,"enc mean of five minus zero-shot whole, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),-0.2385,-0.3244,-0.1505,yes,-0.2385 -0.3244 -0.1505,part23/verify/PART23_VERIFIED.tsv 2_encoder_minus_zswhole,yes
master_lookup_note:P23_proj_meanof5_whole_minus_zs_whole,-0.2500,-0.3339,-0.1623,<local data dir>/release/master/master_lookup.csv,"proj mean of five minus zero-shot whole, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),-0.2500,-0.3339,-0.1623,yes,-0.25 -0.3339 -0.1623,part23/verify/PART23_VERIFIED.tsv 3_projector_minus_zswhole,yes
master_lookup_note:P23_llm_meanof5_whole_minus_zs_whole,-0.0929,-0.1609,-0.0257,<local data dir>/release/master/master_lookup.csv,"llm mean of five minus zero-shot whole, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),-0.0929,-0.1609,-0.0257,yes,-0.0929 -0.1609 -0.0257,part23/verify/PART23_VERIFIED.tsv 4_LM_minus_zswhole,yes
master_lookup_note:P23_ans_meanof5_whole_minus_zs_whole,-0.0007,-0.0455,0.0436,<local data dir>/release/master/master_lookup.csv,"ans mean of five minus zero-shot whole, paired (written into the estimator note of the PART 23 rows)",audit_p2223 item 9 (PART 23 paired values beside the rows),-0.0007,-0.0455,0.0436,yes,-0.0007 -0.0455 0.0436,part23/verify/PART23_VERIFIED.tsv 5_answer state_minus_zswhole,yes
master_lookup_note:q3o_cut,0,,,<local data dir>/release/master/master_lookup.csv,"Qwen3-Omni E-DAIC windows cut (of 275), written into the Qwen3-Omni edaic_full note","ledger 6 LEFT me 12 (""capped at 900 s"" edaic_full rows)",0,,,yes,0  ,part23/verify/PART23_VERIFIED.tsv 10_q3o_cut_count,yes
master_lookup_note:af3_cut,136,,,<local data dir>/release/master/master_lookup.csv,"Audio Flamingo 3 E-DAIC windows cut at 600 s (of 275), written into the AF3 edaic_full note","ledger 6 LEFT me 12 (""capped at 900 s"" edaic_full rows)",136,,,yes,136  ,part23/verify/PART23_VERIFIED.tsv 10_af3_cut_count,yes
master_lookup_note:o25_300s_cut_count,217,,,<local data dir>/release/master/master_lookup.csv,"Qwen2.5-Omni E-DAIC windows over 300 s that the processor cut (of 275), written into rows 200, 202, 204",ledger 6 LEFT me 12 (master_lookup row 200 and the capped rows),217,,,yes,,,
master_lookup_note:ft_window_s,30,,,<local data dir>/release/master/master_lookup.csv,"seconds of audio the 0.6421 fine-tune recipe keeps (x[:16000 * 30], release/scripts/sft_projector.py line 59), written into row 205",ledger 6 LEFT me 12 (master_lookup row 205); ledger 3 item 5 in part,30,,,yes,,release/scripts/sft_projector.py line 59; variants/sft_full_sft.json window_seconds,
T7.tsv_note:T7_published_llm_meanof5:meanof5,0.7001,0.6231,0.7727,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",0.7001,0.6231,0.7727,yes,0.7001 0.6231 0.7727,part17/T7b/T7b.tsv,yes
T7.tsv_note:T7_published_llm_meanof5:meanof5_minus_answer,-0.1276,-0.1993,-0.0629,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",-0.1276,-0.1993,-0.0629,yes,-0.1276 -0.1993 -0.0629,part17/T7b/T7b.tsv,yes
T7.tsv_note:T7_published_enc_meanof5:meanof5,0.5884,0.5268,0.6523,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",0.5884,0.5268,0.6523,yes,0.5884 0.5268 0.6523,part17/T7b/T7b.tsv,yes
T7.tsv_note:T7_published_enc_meanof5:meanof5_minus_answer,-0.2394,-0.3188,-0.1572,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",-0.2394,-0.3188,-0.1572,yes,-0.2394 -0.3188 -0.1572,part17/T7b/T7b.tsv,yes
T7.tsv_note:T7_published_ans_meanof5:meanof5,0.7435,0.6793,0.8065,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",0.7435,0.6793,0.8065,yes,0.7435 0.6793 0.8065,part17/T7b/T7b.tsv,yes
T7.tsv_note:T7_published_ans_meanof5:meanof5_minus_answer,-0.0843,-0.1339,-0.0370,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",-0.0843,-0.1339,-0.0370,yes,-0.0843 -0.1339 -0.037,part17/T7b/T7b.tsv,yes
T7.tsv_note:T7_published_proj_meanof5:meanof5,0.5610,0.4871,0.6339,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",0.5610,0.4871,0.6339,yes,0.561 0.4871 0.6339,part17/T7b/T7b.tsv,yes
T7.tsv_note:T7_published_proj_meanof5:meanof5_minus_answer,-0.2668,-0.3494,-0.1809,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,interval quoted in the fixed note,"ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL"")",-0.2668,-0.3494,-0.1809,yes,-0.2668 -0.3494 -0.1809,part17/T7b/T7b.tsv,yes
P22_verified.tsv:P22_S1_tf_version,5.17.0,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,5.17.0,,,yes,,,
P22_verified.tsv:P22_S1_chunk_length,300,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,300,,,yes,,,
P22_verified.tsv:P22_S1_n_samples,4800000,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,4800000,,,yes,,,
P22_verified.tsv:P22_S1_trunc_default,True,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,True,,,yes,,,
P22_verified.tsv:P22_S1_tok_300s,7500,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,7500,,,yes,,,
P22_verified.tsv:P22_S1_tok_900s_off,22500,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,22500,,,yes,,,
P22_verified.tsv:P22_S1_formula_match,275,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,275,,,yes,,,
P22_verified.tsv:P22_S1_gt300_at_7500,217,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,217,,,yes,,,
P22_verified.tsv:P22_S1_capped900,89,,,<local data dir>/release/scores/part22/rows/P22_verified.tsv (and P22.tsv),"value unchanged; note ""not yet verified"" replaced",ledger 6 LEFT me 12 (9 P22_S1 texts); audit_p2223 problem 7,89,,,yes,,,
p14_o25_sftfull.json:n,966,,,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_sftfull.json (and out16/ copy),key n added: rows of p14_o25_sftfull.csv,ledger 6 LEFT me 12 (sftfull sidecar n); audit_p16 item 1 left,966,,,yes,966  ,"part16/verify/POD1_verify_out.json ""1c sft_full RETRAIN n rows"" 966",yes
summary_v2_count:16_NO,1,,,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"PART 16 fragment rows with agree_4dp ""NO""",ledger 1 spot check 23 and 6 LEFT me 4 (verified column was a copy),1,,,yes,,summary_counts_v2.json,
summary_v2_count:16_no_twin,14,,,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"PART 16 fragment rows with agree_4dp ""no twin""",ledger 1 spot check 23 and 6 LEFT me 4 (verified column was a copy),14,,,yes,,summary_counts_v2.json,
summary_v2_count:16_yes,546,,,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"PART 16 fragment rows with agree_4dp ""yes""",ledger 1 spot check 23 and 6 LEFT me 4 (verified column was a copy),546,,,yes,,summary_counts_v2.json,
"summary_v2_count:16_yes,_interval_differs",9,,,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"PART 16 fragment rows with agree_4dp ""yes, interval differs""",ledger 1 spot check 23 and 6 LEFT me 4 (verified column was a copy),9,,,yes,,summary_counts_v2.json,
"summary_v2_count:16_yes,_second_record_only",10,,,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"PART 16 fragment rows with agree_4dp ""yes, second record only""",ledger 1 spot check 23 and 6 LEFT me 4 (verified column was a copy),10,,,yes,,summary_counts_v2.json,
summary_v2_count:17_no_twin,36,,,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"PART 17 fragment rows with agree_4dp ""no twin""",ledger 1 spot check 23 and 6 LEFT me 4 (verified column was a copy),36,,,yes,,summary_counts_v2.json,
summary_v2_count:17_yes,254,,,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"PART 17 fragment rows with agree_4dp ""yes""",ledger 1 spot check 23 and 6 LEFT me 4 (verified column was a copy),254,,,yes,,summary_counts_v2.json,
