part,task,id,value,lo,hi,role,value_verified,lo_verified,hi_verified,status,ci_status,twin_file,twin_where,twin_source,decision_note
16,M10,M10#05:MDVR_KCL_paired_transcript_minus_encoder_probe_AUC,-0.0134,-0.2383,0.2381,PAPER VALUE,-0.0134,-0.2383,0.2381,yes,same,release/edaic_rerun/part16/verify/M10_verify.json,/point (interval: same key t_minus_e in /ci_integers),Mac verifier (verify folder),
16,M11,M11#01:A_asr_reproduction_wer_vs_paper_transcript,0.0000,,,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#02:B_xsys_disagree_mean_PD,0.3049,0.1301,0.4944,RELEASED ONLY,0.3049,0.1301,0.4944,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_mean_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#03:B_xsys_disagree_mean_control,0.4779,0.0917,1.1479,RELEASED ONLY,0.4779,0.0917,1.1479,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_mean_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#04:B_xsys_disagree_diff_PD_minus_control,-0.1730,-0.8969,0.3060,RELEASED ONLY,-0.1730,-0.8969,0.3060,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",m7m11 task,m7m11 task verifier column
16,M11,M11#05:B_xsys_disagree_spearman_vs_pyes_text,0.2723,-0.0814,0.5558,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#06:B_xsys_disagree_spearman_vs_pyes_audio,-0.0916,-0.3876,0.2143,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#07:B_xsys_disagree_auc_alone,0.6220,,,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#08:C_mean_token_logprob_mean_PD,-0.1103,-0.1502,-0.0739,RELEASED ONLY,-0.1103,-0.1502,-0.0739,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_C_mean_token_logprob_mean_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#09:C_mean_token_logprob_mean_control,-0.1356,-0.2345,-0.0759,RELEASED ONLY,-0.1356,-0.2345,-0.0759,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_C_mean_token_logprob_mean_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#10:C_mean_token_logprob_diff_PD_minus_control,0.0253,-0.0532,0.1288,RELEASED ONLY,0.0253,-0.0532,0.1288,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_C_mean_token_logprob_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",m7m11 task,m7m11 task verifier column
16,M11,M11#11:C_mean_token_logprob_spearman_vs_pyes_text,-0.4009,-0.6720,-0.0835,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#12:C_mean_token_logprob_spearman_vs_pyes_audio,-0.3101,-0.5693,0.0113,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#13:C_mean_token_logprob_auc_alone,0.4792,,,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#14:C_compression_ratio_mean_PD,1.5938,1.4484,1.7269,RELEASED ONLY,1.5938,1.4484,1.7269,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_C_compression_ratio_mean_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#15:C_compression_ratio_mean_control,1.4898,1.3076,1.6417,RELEASED ONLY,1.4898,1.3076,1.6417,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_C_compression_ratio_mean_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#16:C_compression_ratio_diff_PD_minus_control,0.1040,-0.1036,0.3400,RELEASED ONLY,0.1040,-0.1036,0.3400,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_C_compression_ratio_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",m7m11 task,m7m11 task verifier column
16,M11,M11#17:C_compression_ratio_spearman_vs_pyes_text,-0.1390,-0.4219,0.1794,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#18:C_compression_ratio_spearman_vs_pyes_audio,-0.1305,-0.4261,0.1964,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#19:C_compression_ratio_auc_alone,0.5625,,,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#20:D_n_words_30s_mean_PD,59.1875,46.1875,71.9375,RELEASED ONLY,59.1875,46.1875,71.9375,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_D_n_words_30s_mean_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#21:D_n_words_30s_mean_control,55.8095,43.0464,67.6202,RELEASED ONLY,55.8095,43.0464,67.6202,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_D_n_words_30s_mean_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#22:D_n_words_30s_diff_PD_minus_control,3.3780,-13.8212,22.5698,RELEASED ONLY,3.3780,-13.8212,22.5698,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_D_n_words_30s_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",m7m11 task,m7m11 task verifier column
16,M11,M11#23:D_n_words_30s_spearman_vs_pyes_text,-0.1588,-0.4443,0.1670,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#24:D_n_words_30s_spearman_vs_pyes_audio,-0.0508,-0.3683,0.2864,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#25:D_n_words_30s_auc_alone,0.5268,,,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#26:E_auc_from_passage_identity_alone,0.6682,,,RELEASED ONLY,,,,no twin,,,,,"aggregate over the 37 KCL clips; the per-clip inputs match verify/M11_verify_perclip_mine.json, the aggregate itself has no saved twin"
16,M11,M11#27:auc_text_condition_recomputed,0.7634,,,PAPER VALUE,0.7634,,,yes,,release/edaic_rerun/part16/verify/M10_verify.json,point.transcript,Mac verifier (verify folder),"M10 verifier, same AUC on the same 37 clips; the M11 text file and the M10 text file are byte-identical (md5 8d3a4aa95328743a55ac11966edd2670)"
16,M11,M11#28:auc_audio_condition_recomputed,0.7143,,,PAPER VALUE,0.7143,,,yes,,release/edaic_rerun/part16/verify/M10_verify.json,point.audio,Mac verifier (verify folder),"M10 verifier, same AUC on the same 37 clips; the M11 text file and the M10 text file are byte-identical (md5 8d3a4aa95328743a55ac11966edd2670)"
16,M11,M11#29:F_wer_vs_local_copy_mean_PD,0.3123,0.1974,0.4388,RELEASED ONLY,0.3123,0.1974,0.4388,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_F_wer_vs_local_copy_mean_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#30:F_wer_vs_local_copy_mean_control,0.3987,0.2558,0.5577,RELEASED ONLY,0.3987,0.2558,0.5577,yes,same,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_F_wer_vs_local_copy_mean_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,m7m11 task verifier column
16,M11,M11#31:B_xsys_disagree_MEDIAN_PD,0.1027,0.0323,0.4799,RELEASED ONLY,0.1027,0.0323,0.3617,yes,differs,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_MEDIAN_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,"m7m11 task verifier column; the fragment interval used the all-37 speaker resampling of M11_robust.py, the rule (resample the cell speakers) gives the interval shown"
16,M11,M11#32:B_xsys_disagree_MEDIAN_control,0.0333,0.0000,0.2088,RELEASED ONLY,0.0333,0.0000,0.1341,yes,differs,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_MEDIAN_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,"m7m11 task verifier column; the fragment interval used the all-37 speaker resampling of M11_robust.py, the rule (resample the cell speakers) gives the interval shown"
16,M11,M11#33:B_xsys_disagree_MEDIAN_diff_PD_minus_control,0.0694,,,RELEASED ONLY,0.0694,-0.1008,0.4112,yes,,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_MEDIAN_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",m7m11 task,m7m11 task verifier column
16,M11,M11#34:B_xsys_disagree_ge20w_MEAN_PD,0.2100,0.0645,0.3906,RELEASED ONLY,0.2100,0.0671,0.3837,yes,differs,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_ge20w_MEAN_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,"m7m11 task verifier column; the fragment interval used the all-37 speaker resampling of M11_robust.py, the rule (resample the cell speakers) gives the interval shown"
16,M11,M11#35:B_xsys_disagree_ge20w_MEAN_control,0.1506,0.0481,0.2765,RELEASED ONLY,0.1506,0.0562,0.2684,yes,differs,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_ge20w_MEAN_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,"m7m11 task verifier column; the fragment interval used the all-37 speaker resampling of M11_robust.py, the rule (resample the cell speakers) gives the interval shown"
16,M11,M11#36:B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control,0.0594,,,RELEASED ONLY,0.0594,-0.1338,0.2707,yes,,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",m7m11 task,m7m11 task verifier column
16,M11,M11#37:B_xsys_disagree_POOLED_PD,0.2650,0.0729,0.4944,RELEASED ONLY,0.2650,0.0782,0.4778,yes,differs,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_POOLED_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,"m7m11 task verifier column; the fragment interval used the all-37 speaker resampling of M11_robust.py, the rule (resample the cell speakers) gives the interval shown"
16,M11,M11#38:B_xsys_disagree_POOLED_control,0.1800,0.0595,0.3764,RELEASED ONLY,0.1800,0.0620,0.3636,yes,differs,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_POOLED_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",m7m11 task,"m7m11 task verifier column; the fragment interval used the all-37 speaker resampling of M11_robust.py, the rule (resample the cell speakers) gives the interval shown"
16,M2,M2.label_all.agreement,0.4248,0.4107,0.4393,RELEASED ONLY,0.4248,0.4107,0.4393,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_all,Mac verifier (verify folder),
16,M2,M2.label_all.kappa,0.2481,0.2360,0.2605,RELEASED ONLY,0.2481,0.2360,0.2605,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_all,Mac verifier (verify folder),
16,M2,M2.label_elig.agreement,0.4286,0.4130,0.4446,RELEASED ONLY,0.4286,0.4130,0.4446,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_elig,Mac verifier (verify folder),
16,M2,M2.label_elig.kappa,0.2510,0.2377,0.2653,RELEASED ONLY,0.2510,0.2377,0.2653,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_elig,Mac verifier (verify folder),
16,M2,M2.arm_rule.agreement,0.5524,0.5286,0.5754,RELEASED ONLY,0.5524,0.5286,0.5754,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_rule,Mac verifier (verify folder),
16,M2,M2.arm_rule.kappa,0.3438,0.3224,0.3665,RELEASED ONLY,0.3438,0.3224,0.3665,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_rule,Mac verifier (verify folder),
16,M2,M2.arm_selected.agreement,0.7045,0.6674,0.7391,RELEASED ONLY,0.7045,0.6674,0.7391,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_selected,Mac verifier (verify folder),
16,M2,M2.arm_selected.kappa,0.3362,0.3008,0.3717,RELEASED ONLY,0.3362,0.3008,0.3717,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_selected,Mac verifier (verify folder),
16,M2,M2.arm_rule_matched.agreement,0.7290,0.7128,0.7460,RELEASED ONLY,0.7290,0.7128,0.7460,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_rule_matched,Mac verifier (verify folder),
16,M2,M2.arm_rule_matched.kappa,0.4978,0.4728,0.5234,RELEASED ONLY,0.4978,0.4728,0.5234,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_rule_matched,Mac verifier (verify folder),
16,M2,M2.arm_selected_matched.agreement,0.8356,0.8146,0.8560,RELEASED ONLY,0.8356,0.8146,0.8560,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_selected_matched,Mac verifier (verify folder),
16,M2,M2.arm_selected_matched.kappa,0.4366,0.3989,0.4755,RELEASED ONLY,0.4366,0.3989,0.4755,yes,same,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/arm_selected_matched,Mac verifier (verify folder),
16,M2,M2.matched_threshold,0.995,,,RELEASED ONLY,0.9950,,,yes,,release/edaic_rerun/part16/verify/M2_verify_out.json,,Mac verifier (verify folder),
16,M2,M2.pairs,1334,,,RELEASED ONLY,1334,,,yes,,release/edaic_rerun/part16/verify/M2_verify_out.json,distilbert_arms.n_pairs (verifier rebuild),Mac verifier (verify folder),
16,M2,M2.clips,2668,,,RELEASED ONLY,2668,,,yes,,release/edaic_rerun/part16/verify/M2_verify_out.json,distilbert_arms.n_rows (verifier rebuild),Mac verifier (verify folder),
16,M2,M2.speakers,162,,,RELEASED ONLY,162,,,yes,,release/edaic_rerun/part16/verify/M2_verify_out.json,distilbert_arms.n_speakers (verifier rebuild),Mac verifier (verify folder),
16,M2,M2.same_arm_seg_uid,625,,,RELEASED ONLY,625,,,yes,,release/edaic_rerun/part16/verify/M2_verify_out.json,,Mac verifier (verify folder),
16,M3,M3_pitt_clip,0.6578,0.6033,0.7125,PAPER VALUE,0.6578,0.6033,0.7125,yes,same,release/edaic_rerun/part17/verify/T5_verify.log,lines 6-8 (window),Mac verifier (verify folder),
16,M3,M3_pitt_speaker,0.6771,0.6096,0.7494,RELEASED ONLY,0.6771,0.6096,0.7494,yes,same,scores/leftovers_23sep/p16twins/twins_p16.tsv,id M3_pitt_speaker (kind recompute; file release/omni_final/omni_pitt_zeroshot_scores.csv),p16twins task,"p16twins: speaker mean p_yes, paired speaker bootstrap over 228 sorted speakers, 2000 usable draws"
16,M3,M3_pitt_clip_minus_speaker,-0.0193,-0.0565,0.0172,RELEASED ONLY,-0.0193,-0.0565,0.0172,yes,same,scores/leftovers_23sep/p16twins/twins_p16.tsv,id M3_pitt_clip_minus_speaker (kind recompute; file release/omni_final/omni_pitt_zeroshot_scores.csv),p16twins task,"p16twins: speaker mean p_yes, paired speaker bootstrap over 228 sorted speakers, 2000 usable draws"
16,M3,M3_pcgita_clip,0.5635,0.4931,0.6331,PAPER VALUE,0.5635,0.4931,0.6331,yes,same,release/edaic_rerun/part17/verify/T5_verify.log,lines 81-83 (window),Mac verifier (verify folder),
16,M3,M3_pcgita_speaker,0.5948,0.4778,0.7089,RELEASED ONLY,0.5948,0.4778,0.7089,yes,same,scores/leftovers_23sep/p16twins/twins_p16.tsv,id M3_pcgita_speaker (kind recompute; file release/omni_final/omni_pcgita_zeroshot_scores.csv),p16twins task,"p16twins: speaker mean p_yes, paired speaker bootstrap over 100 sorted speakers, 2000 usable draws"
16,M3,M3_pcgita_clip_minus_speaker,-0.0313,-0.0820,0.0179,RELEASED ONLY,-0.0313,-0.0820,0.0179,yes,same,scores/leftovers_23sep/p16twins/twins_p16.tsv,id M3_pcgita_clip_minus_speaker (kind recompute; file release/omni_final/omni_pcgita_zeroshot_scores.csv),p16twins task,"p16twins: speaker mean p_yes, paired speaker bootstrap over 100 sorted speakers, 2000 usable draws"
16,M3,M3_neurovoz_clip,0.6951,0.6356,0.7519,PAPER VALUE,0.6951,0.6356,0.7519,yes,same,release/edaic_rerun/part17/verify/T5_verify.log,lines 106-108 (window),Mac verifier (verify folder),
16,M3,M3_neurovoz_speaker,0.7948,0.7045,0.8733,RELEASED ONLY,0.7948,0.7045,0.8733,yes,same,scores/leftovers_23sep/p16twins/twins_p16.tsv,id M3_neurovoz_speaker (kind recompute; file release/omni_final/omni_neurovoz_zeroshot_scores.csv),p16twins task,"p16twins: speaker mean p_yes, paired speaker bootstrap over 107 sorted speakers, 2000 usable draws"
16,M3,M3_neurovoz_clip_minus_speaker,-0.0997,-0.1325,-0.0613,RELEASED ONLY,-0.0997,-0.1325,-0.0613,yes,same,scores/leftovers_23sep/p16twins/twins_p16.tsv,id M3_neurovoz_clip_minus_speaker (kind recompute; file release/omni_final/omni_neurovoz_zeroshot_scores.csv),p16twins task,"p16twins: speaker mean p_yes, paired speaker bootstrap over 107 sorted speakers, 2000 usable draws"
16,M4,M4#01:yes_rate_Qwen2.5_Omni_conflict,0.2236,0.1792,0.2736,PAPER VALUE,0.2236,0.1792,0.2736,yes,same,release/edaic_rerun/part16/verify/M4_verify_out.json,/cells[0],Mac verifier (verify folder),
16,M4,M4#02:median_answer_mass_Qwen2.5_Omni_conflict,0.9965,,,SUPPORT,0.9965,,,yes,,release/edaic_rerun/part16/verify/M4_verify_out.json,/cells[0],Mac verifier (verify folder),
