part,task,id,value,lo,hi,role,twin_value,twin_file,twin_loc,ci_twinned,ci_how,keyed,twin_key,ctx_overlap,score,twin_text,twin_lo,twin_hi,dis_value,dis_file,dis_loc,dis_pair,dis_overlap,dis_text
16,EDAICFULL,edaic_first30_probe_enc,0.6324,0.552,0.7104,RELEASED ONLY,0.6323763955342903,<local data dir>/release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_w30_enc,yes,,False,value,1,21,"{""value"": 0.6323763955342903, ""lo"": 0.5519837767165812, ""hi"": 0.7103799793457998, ""usable"": 2000, ""total"": 2000, ""n"": 275}",0.552,0.7104,,,,,,
16,EDAICFULL,edaic_first30_gap_enc_minus_answer,-0.0297,-0.1291,0.0752,RELEASED ONLY,-0.029650572712773715,<local data dir>/release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_w30_enc_minus_answer,yes,,False,value,4,24,"{""value"": -0.029650572712773715, ""lo"": -0.1291025641025641, ""hi"": 0.07517440946085353, ""usable"": 2000, ""total"": 2000, ""n"": 275, ""excludes_zero"": false}",-0.1291,0.0752,,,,,,
16,M1,M1_text_all468,0.6975,0.6369,0.7549,SUPERSEDED / NOT USED,0.6974622239442076,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[0],yes,,True,value,6,38,"{""id"": ""M1_text_all468"", ""what"": ""Pitt Qwen2.5-Omni text AUC, all468 arm"", ""value"": 0.6974622239442076, ""lo"": 0.636893387770433, ""hi"": 0.7549096172358797, ""n"": 468, ""n_spk"": 228, ""usable"": 2000, ""file"": ""<local data dir>/paper1_local_runs/omni_pitt_text.csv""}",0.6369,0.7549,,,,,,
16,M1,M1_text_conflict,0.4550,0.3412,0.5718,SUPERSEDED / NOT USED,0.455005500550055,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[1],yes,,True,value,6,38,"{""id"": ""M1_text_conflict"", ""what"": ""Pitt Qwen2.5-Omni text AUC, conflict arm"", ""value"": 0.455005500550055, ""lo"": 0.34124389213330647, ""hi"": 0.5717739453470428, ""n"": 146, ""n_spk"": 100, ""usable"": 2000, ""file"": ""<local data dir>/paper1_local_runs/omni_pitt_text.csv""}",0.3412,0.5718,,,,,,
16,M1,M1_text_agreement,0.7987,0.7392,0.8535,SUPERSEDED / NOT USED,0.7986633249791144,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[2],yes,,True,value,6,38,"{""id"": ""M1_text_agreement"", ""what"": ""Pitt Qwen2.5-Omni text AUC, agreement arm"", ""value"": 0.7986633249791144, ""lo"": 0.7391936454967195, ""hi"": 0.8534622709703721, ""n"": 322, ""n_spk"": 175, ""usable"": 2000, ""file"": ""<local data dir>/paper1_local_runs/omni_pitt_text.csv""}",0.7392,0.8535,,,,,,
16,M1,M1_audio_all468,0.6578,0.6033,0.7125,PAPER VALUE,0.6577683068578071,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[3],yes,,True,value,6,38,"{""id"": ""M1_audio_all468"", ""what"": ""Pitt Qwen2.5-Omni audio AUC, all468 arm"", ""value"": 0.6577683068578071, ""lo"": 0.6033242994024883, ""hi"": 0.7125368049704085, ""n"": 468, ""n_spk"": 228, ""usable"": 2000, ""file"": ""<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv""}",0.6033,0.7125,,,,,,
16,M1,M1_audio_conflict,0.5322,0.4216,0.6447,PAPER VALUE,0.5322332233223322,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[4],yes,,True,value,6,38,"{""id"": ""M1_audio_conflict"", ""what"": ""Pitt Qwen2.5-Omni audio AUC, conflict arm"", ""value"": 0.5322332233223322, ""lo"": 0.42155015727026596, ""hi"": 0.6446943913141314, ""n"": 146, ""n_spk"": 100, ""usable"": 2000, ""file"": ""<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv""}",0.4216,0.6447,,,,,,
16,M1,M1_audio_agreement,0.7054,0.6431,0.7658,PAPER VALUE,0.7053745474798107,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[5],yes,,True,value,6,38,"{""id"": ""M1_audio_agreement"", ""what"": ""Pitt Qwen2.5-Omni audio AUC, agreement arm"", ""value"": 0.7053745474798107, ""lo"": 0.6431215968788202, ""hi"": 0.7657729289547797, ""n"": 322, ""n_spk"": 175, ""usable"": 2000, ""file"": ""<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv""}",0.6431,0.7658,,,,,,
16,M1,M1_text_conflict_minus_agreement,-0.3437,-0.4556,-0.2209,SUPERSEDED / NOT USED,-0.3436578244290594,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[9],yes,,True,value,9,40,"{""id"": ""M1_text_conflict_minus_agreement"", ""what"": ""Pitt Qwen2.5-Omni text paired conflict minus agreement AUC"", ""value"": -0.3436578244290594, ""lo"": -0.45557671919525144, ""hi"": -0.22086046437097243, ""n"": 468, ""n_spk"": 228, ""usable"": 2000, ""file"": ""<local data dir>/paper1_local_runs/omni_pitt_text.csv""}",-0.4556,-0.2209,,,,,,
16,M1,M1_audio_conflict_minus_agreement,-0.1731,-0.2958,-0.0392,PAPER VALUE,-0.1731413241574784,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[10],yes,,True,value,9,40,"{""id"": ""M1_audio_conflict_minus_agreement"", ""what"": ""Pitt Qwen2.5-Omni audio paired conflict minus agreement AUC"", ""value"": -0.1731413241574784, ""lo"": -0.2958098595289465, ""hi"": -0.03918389355242107, ""n"": 468, ""n_spk"": 228, ""usable"": 2000, ""file"": ""<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv""}",-0.2958,-0.0392,,,,,,
16,M1,M1_text_minus_audio_all468,0.0397,-0.0302,0.1070,SUPERSEDED / NOT USED,0.039693917086400576,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[11],yes,,True,value,10,40,"{""id"": ""M1_text_minus_audio_all468"", ""what"": ""Pitt Qwen2.5-Omni paired transcript minus audio AUC, all468 arm"", ""value"": 0.039693917086400576, ""lo"": -0.030200570164029238, ""hi"": 0.10703249510672173, ""n"": 468, ""n_spk"": 228, ""usable"": 2000, ""file"": ""<local data dir>/release/edaic_rerun/part16/M1_pitt_text_arms.csv""}",-0.0302,0.1070,,,,,,
16,M1,M1_text_minus_audio_conflict,-0.0772,-0.2360,0.0680,SUPERSEDED / NOT USED,-0.07722772277227724,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[12],yes,,True,value,10,40,"{""id"": ""M1_text_minus_audio_conflict"", ""what"": ""Pitt Qwen2.5-Omni paired transcript minus audio AUC, conflict arm"", ""value"": -0.07722772277227724, ""lo"": -0.23598770667492386, ""hi"": 0.06799036281179133, ""n"": 146, ""n_spk"": 100, ""usable"": 2000, ""file"": ""<local data dir>/release/edaic_rerun/part16/M1_pitt_text_arms.csv""}",-0.2360,0.0680,,,,,,
16,M1,M1_text_minus_audio_agreement,0.0933,0.0157,0.1637,SUPERSEDED / NOT USED,0.09328877749930375,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[13],yes,,True,value,10,40,"{""id"": ""M1_text_minus_audio_agreement"", ""what"": ""Pitt Qwen2.5-Omni paired transcript minus audio AUC, agreement arm"", ""value"": 0.09328877749930375, ""lo"": 0.015724433303353363, ""hi"": 0.1637372180890573, ""n"": 322, ""n_spk"": 175, ""usable"": 2000, ""file"": ""<local data dir>/release/edaic_rerun/part16/M1_pitt_text_arms.csv""}",0.0157,0.1637,,,,,,
16,M1,M1_ALT_text_all468,0.6629,0.5983,0.7245,PAPER VALUE,0.662901975978303,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[6],yes,,True,value,7,39,"{""id"": ""M1_ALT_text_all468"", ""what"": ""Pitt Qwen2.5-Omni ALT_text AUC, all468 arm"", ""value"": 0.662901975978303, ""lo"": 0.5982501228925907, ""hi"": 0.7244889685173593, ""n"": 468, ""n_spk"": 228, ""usable"": 2000, ""file"": ""<local data dir>/release/overnight2/text_new/o25_pitt_text.csv""}",0.5983,0.7245,,,,,,
16,M1,M1_ALT_text_conflict,0.5560,0.4516,0.6680,PAPER VALUE,0.555995599559956,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[7],yes,,True,value,7,39,"{""id"": ""M1_ALT_text_conflict"", ""what"": ""Pitt Qwen2.5-Omni ALT_text AUC, conflict arm"", ""value"": 0.555995599559956, ""lo"": 0.45159540310598195, ""hi"": 0.6679740900617035, ""n"": 146, ""n_spk"": 100, ""usable"": 2000, ""file"": ""<local data dir>/release/overnight2/text_new/o25_pitt_text.csv""}",0.4516,0.6680,,,,,,
16,M1,M1_ALT_text_agreement,0.7078,0.6381,0.7696,PAPER VALUE,0.7077614671599634,<local data dir>/release/edaic_rerun/part16/verify/M1_verify.json,[8],yes,,True,value,7,39,"{""id"": ""M1_ALT_text_agreement"", ""what"": ""Pitt Qwen2.5-Omni ALT_text AUC, agreement arm"", ""value"": 0.7077614671599634, ""lo"": 0.6380760325168392, ""hi"": 0.7696392514569536, ""n"": 322, ""n_spk"": 175, ""usable"": 2000, ""file"": ""<local data dir>/release/overnight2/text_new/o25_pitt_text.csv""}",0.6381,0.7696,,,,,,
16,M10,M10#01:MDVR_KCL_Qwen2.5_Omni_transcript_only_answer_AUC,0.7634,0.5936,0.9118,PAPER VALUE,0.763393,<local data dir>/release/edaic_rerun/part16/verify/M10_verify.json,/point,yes,same key transcript in /ci_integers,False,transcript,2,12,"{""transcript"": 0.763393, ""audio"": 0.714286, ""encoder"": 0.776786, ""t_minus_a"": 0.049107, ""t_minus_e"": -0.013393}",0.5936,0.9118,,,,,,
16,M10,M10#02:MDVR_KCL_Qwen2.5_Omni_audio_zero_shot_answer_AUC,0.7143,0.5210,0.8810,PAPER VALUE,0.714286,<local data dir>/release/edaic_rerun/part16/verify/M10_verify.json,/point,yes,same key audio in /ci_integers,False,audio,2,12,"{""transcript"": 0.763393, ""audio"": 0.714286, ""encoder"": 0.776786, ""t_minus_a"": 0.049107, ""t_minus_e"": -0.013393}",0.5210,0.8810,,,,,,
16,M10,M10#03:MDVR_KCL_Qwen2.5_Omni_encoder_probe_AUC_single_saved_OOF_repeat,0.7768,0.5994,0.9265,PAPER VALUE,0.776786,<local data dir>/release/edaic_rerun/part16/verify/M10_verify.json,/point,yes,same key encoder in /ci_integers,False,encoder,2,12,"{""transcript"": 0.763393, ""audio"": 0.714286, ""encoder"": 0.776786, ""t_minus_a"": 0.049107, ""t_minus_e"": -0.013393}",0.5994,0.9265,,,,,,
16,M10,M10#04:MDVR_KCL_paired_transcript_minus_audio_answer_AUC,0.0491,-0.1827,0.2818,PAPER VALUE,0.049107,<local data dir>/release/edaic_rerun/part16/verify/M10_verify.json,/point,yes,same key t_minus_a in /ci_integers,False,t_minus_a,4,14,"{""transcript"": 0.763393, ""audio"": 0.714286, ""encoder"": 0.776786, ""t_minus_a"": 0.049107, ""t_minus_e"": -0.013393}",-0.1827,0.2818,,,,,,
16,M10,M10#05:MDVR_KCL_paired_transcript_minus_encoder_probe_AUC,-0.0134,-0.2383,0.2381,PAPER VALUE,-0.013393,<local data dir>/release/edaic_rerun/part16/verify/M10_verify.json,/point,yes,same key t_minus_e in /ci_integers,False,t_minus_e,4,14,"{""transcript"": 0.763393, ""audio"": 0.714286, ""encoder"": 0.776786, ""t_minus_a"": 0.049107, ""t_minus_e"": -0.013393}",-0.2383,0.2381,,,,,,
16,M11,M11#01:A_asr_reproduction_wer_vs_paper_transcript,0.0000,,,RELEASED ONLY,0.0,<local data dir>/release/edaic_rerun/part16/verify/M11_verify_perclip_mine.json,/ID00,no interval in row,,False,label,2,12,"{""spk"": ""ID00"", ""file"": ""ID00_hc_0_0_0.wav"", ""label"": 0, ""n_ref_simple"": 1, ""S"": 0, ""D"": 0, ""I"": 0, ""wer_simple"": 0.0, ""n_ref_wn"": 1, ""S_wn"": 0, ""D_wn"": 0, ""I_wn"": 0, ""wer_wn"": 0.0, ""xsys_n"": 1, ""xS"": 0, ""xD"": 0, ""xI"": 0, ""xsys_disagree"": 0.0, ""xsys_disagree_simple"": 0.0, ""mean_token_logprob"": -0.9637396236260732, ""n_words_30s"": 1, ""passage"": ""neither"", ""p_text"": 0.03309071963386792, ""p_aud"": 0.33",,,,,,,,
16,M11,M11#02:B_xsys_disagree_mean_PD,0.3049,0.1301,0.4944,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#03:B_xsys_disagree_mean_control,0.4779,0.0917,1.1479,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#04:B_xsys_disagree_diff_PD_minus_control,-0.1730,-0.8969,0.3060,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#05:B_xsys_disagree_spearman_vs_pyes_text,0.2723,-0.0814,0.5558,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#06:B_xsys_disagree_spearman_vs_pyes_audio,-0.0916,-0.3876,0.2143,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#07:B_xsys_disagree_auc_alone,0.6220,,,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#08:C_mean_token_logprob_mean_PD,-0.1103,-0.1502,-0.0739,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#09:C_mean_token_logprob_mean_control,-0.1356,-0.2345,-0.0759,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#10:C_mean_token_logprob_diff_PD_minus_control,0.0253,-0.0532,0.1288,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#11:C_mean_token_logprob_spearman_vs_pyes_text,-0.4009,-0.6720,-0.0835,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#12:C_mean_token_logprob_spearman_vs_pyes_audio,-0.3101,-0.5693,0.0113,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#13:C_mean_token_logprob_auc_alone,0.4792,,,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#14:C_compression_ratio_mean_PD,1.5938,1.4484,1.7269,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#15:C_compression_ratio_mean_control,1.4898,1.3076,1.6417,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#16:C_compression_ratio_diff_PD_minus_control,0.1040,-0.1036,0.3400,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#17:C_compression_ratio_spearman_vs_pyes_text,-0.1390,-0.4219,0.1794,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#18:C_compression_ratio_spearman_vs_pyes_audio,-0.1305,-0.4261,0.1964,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#19:C_compression_ratio_auc_alone,0.5625,,,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#20:D_n_words_30s_mean_PD,59.1875,46.1875,71.9375,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#21:D_n_words_30s_mean_control,55.8095,43.0464,67.6202,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#22:D_n_words_30s_diff_PD_minus_control,3.3780,-13.8212,22.5698,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#23:D_n_words_30s_spearman_vs_pyes_text,-0.1588,-0.4443,0.1670,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#24:D_n_words_30s_spearman_vs_pyes_audio,-0.0508,-0.3683,0.2864,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#25:D_n_words_30s_auc_alone,0.5268,,,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#26:E_auc_from_passage_identity_alone,0.6682,,,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#27:auc_text_condition_recomputed,0.7634,,,PAPER VALUE,,,,,,,,,,,,,,,,,,
16,M11,M11#28:auc_audio_condition_recomputed,0.7143,,,PAPER VALUE,,,,,,,,,,,,,,,,,,
16,M11,M11#29:F_wer_vs_local_copy_mean_PD,0.3123,0.1974,0.4388,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#30:F_wer_vs_local_copy_mean_control,0.3987,0.2558,0.5577,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#31:B_xsys_disagree_MEDIAN_PD,0.1027,0.0323,0.4799,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#32:B_xsys_disagree_MEDIAN_control,0.0333,0.0000,0.2088,RELEASED ONLY,0.03333333333333333,<local data dir>/release/edaic_rerun/part16/verify/M11_verify_perclip_mine.json,/ID05,no,,False,xsys_disagree,3,18,"{""spk"": ""ID05"", ""file"": ""ID05_hc_0_0_0.wav"", ""label"": 0, ""n_ref_simple"": 90, ""S"": 0, ""D"": 0, ""I"": 0, ""wer_simple"": 0.0, ""n_ref_wn"": 90, ""S_wn"": 0, ""D_wn"": 0, ""I_wn"": 0, ""wer_wn"": 0.0, ""xsys_n"": 90, ""xS"": 1, ""xD"": 0, ""xI"": 2, ""xsys_disagree"": 0.03333333333333333, ""xsys_disagree_simple"": 0.03333333333333333, ""mean_token_logprob"": -0.08633665579884332, ""n_words_30s"": 90, ""passage"": ""light_scattering""",,,,,,,,
16,M11,M11#33:B_xsys_disagree_MEDIAN_diff_PD_minus_control,0.0694,,,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#34:B_xsys_disagree_ge20w_MEAN_PD,0.2100,0.0645,0.3906,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#35:B_xsys_disagree_ge20w_MEAN_control,0.1506,0.0481,0.2765,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#36:B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control,0.0594,,,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#37:B_xsys_disagree_POOLED_PD,0.2650,0.0729,0.4944,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M11,M11#38:B_xsys_disagree_POOLED_control,0.1800,0.0595,0.3764,RELEASED ONLY,,,,,,,,,,,,,,,,,,
16,M2,M2.label_all.agreement,0.4248,0.4107,0.4393,RELEASED ONLY,0.42484711940778885,<local data dir>/release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_all,yes,,False,po,3,23,"{""name"": ""label_all"", ""n"": 6214, ""n_speakers"": 275, ""po"": 0.42484711940778885, ""pe"": 0.23507616293409744, ""kappa"": 0.24809130958922063, ""po_lo"": 0.4106695696321175, ""po_hi"": 0.43932125494478735, ""kappa_lo"": 0.23598270878337466, ""kappa_hi"": 0.2605458327685545, ""usable_po"": 2000, ""usable_kappa"": 2000, ""cats"": [""negative"", ""neutral"", ""positive""], ""confusion"": [[901, 22, 81], [1893, 170, 1398], [141, ",0.4107,0.4393,,,,,,
16,M2,M2.label_all.kappa,0.2481,0.2360,0.2605,RELEASED ONLY,0.24809130958922063,<local data dir>/release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_all,yes,,False,kappa,3,23,"{""name"": ""label_all"", ""n"": 6214, ""n_speakers"": 275, ""po"": 0.42484711940778885, ""pe"": 0.23507616293409744, ""kappa"": 0.24809130958922063, ""po_lo"": 0.4106695696321175, ""po_hi"": 0.43932125494478735, ""kappa_lo"": 0.23598270878337466, ""kappa_hi"": 0.2605458327685545, ""usable_po"": 2000, ""usable_kappa"": 2000, ""cats"": [""negative"", ""neutral"", ""positive""], ""confusion"": [[901, 22, 81], [1893, 170, 1398], [141, ",0.2360,0.2605,,,,,,
16,M2,M2.label_elig.agreement,0.4286,0.4130,0.4446,RELEASED ONLY,0.42857142857142855,<local data dir>/release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_elig,yes,,False,po,4,24,"{""name"": ""label_elig"", ""n"": 5523, ""n_speakers"": 275, ""po"": 0.42857142857142855, ""pe"": 0.23707204500830054, ""kappa"": 0.25100585489125443, ""po_lo"": 0.4129674160852364, ""po_hi"": 0.44460729338881455, ""kappa_lo"": 0.23768893282615505, ""kappa_hi"": 0.26531008507378867, ""usable_po"": 2000, ""usable_kappa"": 2000, ""cats"": [""negative"", ""neutral"", ""positive""], ""confusion"": [[817, 21, 74], [1674, 154, 1224], [127",0.4130,0.4446,,,,,,
16,M2,M2.label_elig.kappa,0.2510,0.2377,0.2653,RELEASED ONLY,0.25100585489125443,<local data dir>/release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_elig,yes,,False,kappa,4,24,"{""name"": ""label_elig"", ""n"": 5523, ""n_speakers"": 275, ""po"": 0.42857142857142855, ""pe"": 0.23707204500830054, ""kappa"": 0.25100585489125443, ""po_lo"": 0.4129674160852364, ""po_hi"": 0.44460729338881455, ""kappa_lo"": 0.23768893282615505, ""kappa_hi"": 0.26531008507378867, ""usable_po"": 2000, ""usable_kappa"": 2000, ""cats"": [""negative"", ""neutral"", ""positive""], ""confusion"": [[817, 21, 74], [1674, 154, 1224], [127",0.2377,0.2653,,,,,,
