order_group,line,context,paper_value,file_value,file_path,estimator,status,red_span,reason,value_status,method_constant,kind,section,item_id,added_basis,tex_file
added_23sep,77,"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.",0.43 to 0.62,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,"Qwen2.5-Omni transcript, PD",MISMATCH,,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634",,no,range,Implementation Details,L77_360,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,77,"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.",0.68,0.823,<local data dir>/release/overnight2/text_new/o25_edaicfull_text.json,"text only, one documented prompt",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=pcgita/neurovoz/kcl/edaic_full/edaic/edaic_mid300/edaic_mid3; stream=transcript; arm=all; dataset group + named set]; best current candidate Qwen2.5-Omni|edaic_full|transcript|all = 0.823 (text only, one documented prompt) rounds to 0.82; same-tier values: 0.6613 (edaic text only, one documented prompt (30 s t, current), 0.6613 (edaic text only, one documented prompt, current), 0.7634 (kcl MDVR-KCL Qwen2.5-Omni transcript-only an, current), 0.823 (edaic_full text only, one documented prompt, current)",current,no,point,Implementation Details,L77_398,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,77,"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.",0.84 to 0.93,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,"Qwen2.5-Omni transcript, PD",MISMATCH,,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634",,no,range,Implementation Details,L77_433,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,79,"From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of tw",1100,1100,<local data dir>/release/overnight/perclip/egemaps_pcgita_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8332)",MATCH,,count: 109 index rows for pcgita carry n = 1100 (e.g. handcheck_values.csv:23),current,no,integer,Implementation Details,L79_271,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,79,"From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of tw",1270,107,<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8439)",MATCH,,count: 97 index rows for neurovoz carry n_spk/n = 1270 (e.g. handcheck_values.csv:24),current,no,integer,Implementation Details,L79_342,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,79,"From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of tw",107,107,<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8439)",MATCH,,count: 76 index rows for neurovoz carry n_spk/n = 107 (e.g. handcheck_values.csv:24),current,no,integer,Implementation Details,L79_358,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,79,"From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of tw",37,37,<local data dir>/release/overnight/perclip/egemaps_kcl_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.7411)",MATCH,,count: 88 index rows for kcl carry n_spk/n = 37 (e.g. handcheck_values.csv:25),current,no,integer,Implementation Details,L79_406,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,81,"We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.",275,,<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,"five split nested, mean of 5 repeats (json field ans.mean)",MATCH,,"count: 283 index rows for edaic_full,edaic,edaic_mid300,edaic_mid30 carry n_spk/n = 275 (e.g. handcheck_values.csv:60)",current,no,integer,Implementation Details,L81_220,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,81,"We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.",10,,,,UNMATCHED,,"count 10 not found as n or n_spk in index rows for edaic_full,edaic,edaic_mid300,edaic_mid30",,no,integer,Implementation Details,L81_400,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,81,"We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.",20,,,,UNMATCHED,,"count 20 not found as n or n_spk in index rows for edaic_full,edaic,edaic_mid300,edaic_mid30",,no,integer,Implementation Details,L81_408,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,81,"The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole.",15,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L81_551,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,81,"The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole.",89,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L81_570,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training ",468,228,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,,count: 268 index rows for pitt carry n_spk/n = 468 (e.g. handcheck_values.csv:12),current,no,integer,Implementation Details,L83_189,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training ",227,227,<local data dir>/release/edaic_rerun/pitt_all_segments.csv,"speaking rate alone, clip-level rank AUC, direction-free max(auc, 1-auc) (raw auc 0.2918), kept468 segments",MATCH,,count: 1 index rows for pitt carry n_spk/n = 227 (e.g. handcheck_values.csv:145),current,no,integer,Implementation Details,L83_207,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training ",237,237,<local data dir>/release/overnight/perclip/egemaps_adresso_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.6942)",MATCH,,count: 85 index rows for adresso carry n_spk/n = 237 (e.g. handcheck_values.csv:27),current,no,integer,Implementation Details,L83_427,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training ",108,108,<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,"text only, local run Sep 15, train split only",MATCH,,count: 1 index rows for adress2020 carry n = 108 (e.g. handcheck_values.csv:10),current,no,integer,Implementation Details,L83_561,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training ",48,48,<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,"text only, local run Sep 15, test split only",MATCH,,count: 1 index rows for adress2020 carry n = 48 (e.g. handcheck_values.csv:11),current,no,integer,Implementation Details,L83_578,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,83,"Models hear the first 30 s, because Qwen2-Audio cannot take more, so the conflict test of Section \refsec:setup runs on the same clips for all six models.",30,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L83_821,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,87,"Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.",5,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L87_249,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,87,"Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.",4,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L87_268,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,88,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",32,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L88_81,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,88,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",29,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L88_123,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,88,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",28,,,,UNMATCHED,,count 28 not found as n or n_spk in index rows for (no dataset),,no,integer,Implementation Details,L88_228,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,90,"Fine-tuning. The projector is trained with AdamW , learning rate 10^-4, three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same five speaker-disjoint folds, and is scored on those two tokens.",10^-4,0.0001,<local data dir>/release/omni_final/omnisft_adress2020_sft.json,fine-tune config lr,MATCH,,fine-tune config 'lr' across 7 omnisft/abl json files: [0.0001],current,no,sci,Implementation Details,L90_96,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,92,"For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.",0.02,0.021,<local data dir>/release/edaic_rerun/part16/POD4B/out/adress2020_no_interviewer.csv,adress2020 PAIRED zero-shot: duration-matched WITH interviewer -> interviewer removed,MATCH,,"context [model=Qwen2.5-Omni; data=any; stream=zero_shot; arm=all; delta]; tier current; same-tier values that round differently: -0.0054 (pcgita PC-GITA PAIRED zero-shot delta, before t, current), -0.0117 (neurovoz NeuroVoz PAIRED zero-shot delta, before , current), -0.0149 (kcl projector gain, paired, current), -0.0193 (pitt Omni zero shot pitt paired clip minus sp, current)",current,no,point,Implementation Details,L92_518,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,92,"For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.",0.07,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,"zero shot, original run (podA, transformers 5.17.0). Window heard: the first 300 s of each E-DAIC stitched participant window: Qwen2_5OmniProcessor cuts audio at 300 s by default (PART 22 proof, score",MISMATCH,,"context [model=Qwen2.5-Omni; data=any; stream=zero_shot; arm=all]; best current candidate Qwen2.5-Omni|edaic_full|zero_shot|all = 0.8285 (zero shot, original run (podA, transformers 5.17.0). Window ) rounds to 0.83; same-tier values: 0.5635 (pcgita Omni zero shot pcgita clip-level AUC, current), 0.5635 (pcgita PC-GITA Qwen2.5-Omni zero-shot answer AU, current), 0.5635 (pcgita Qwen2.5-Omni zero-shot audio answer AUC,, current), 0.5635 (pcgita zero shot AUC, current)",current,no,point,Implementation Details,L92_538,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,92,"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.",966,966,<local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot.json,"zero shot, 30 s window, pooled over the conflict and agreement arms, 483 pairs / 966 clips / 138 speakers, pairs selected with cardiffnlp/twitter-roberta-base-sentiment-latest at threshold 0.70",MATCH,,count: 37 index rows for edaic_conflict_v2 carry n = 966 (e.g. master_lookup.csv:217),current,no,integer,Implementation Details,L92_621,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,92,"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.",99,,,,UNMATCHED,,percentage with no indexed file value for context [model=Qwen2.5-Omni; data=edaic_conflict_v2; stream=prompt_variant; arm=conflict; stream from previous sentence],,no,percent,Implementation Details,L92_681,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,95,A segment is counted as positive or negative if that class has a probability of at least 0.70.,0.70,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,point,Implementation Details,L95_369,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,95,"A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",15,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L95_411,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
