stream_key,model,stream,seg_uid,clip_id,speaker_id,n_repeats_in_agreement_arm,p_yes
q2a,Qwen2-Audio,audio,a000814,agreement_338_a000814,338,6,0.9985673448571419
q2a,Qwen2-Audio,audio,a000855,agreement_340_a000855,340,1,0.5156198235187455
q2a,Qwen2-Audio,audio,a000951,agreement_345_a000951,345,2,0.9998403118307229
q2a,Qwen2-Audio,audio,a000943,agreement_345_a000943,345,3,0.9980120421329008
q2a,Qwen2-Audio,audio,a000937,agreement_345_a000937,345,4,0.9891801412853447
q2a,Qwen2-Audio,audio,a000938,agreement_345_a000938,345,3,0.9949391885356107
q2a,Qwen2-Audio,audio,a000977,agreement_346_a000977,346,3,0.9970418565287203
q2a,Qwen2-Audio,audio,a000969,agreement_346_a000969,346,3,0.9994428299668666
q2a,Qwen2-Audio,audio,a000962,agreement_346_a000962,346,1,0.998764717702314
q2a,Qwen2-Audio,audio,a000979,agreement_346_a000979,346,1,0.99346057899963
q2a,Qwen2-Audio,audio,a000973,agreement_346_a000973,346,2,0.9993537190149342
q2a,Qwen2-Audio,audio,a000980,agreement_346_a000980,346,1,0.923034887495485
q2a,Qwen2-Audio,audio,a000994,agreement_347_a000994,347,4,0.9770222353911715
q2a,Qwen2-Audio,audio,a001012,agreement_348_a001012,348,2,0.9997965434808085
q2a,Qwen2-Audio,audio,a001010,agreement_348_a001010,348,1,0.9997304968263916
q2a,Qwen2-Audio,audio,a001011,agreement_348_a001011,348,4,0.9997565130551389
q2a,Qwen2-Audio,audio,a001133,agreement_354_a001133,354,3,0.9996199741047803
q2a,Qwen2-Audio,audio,a001267,agreement_362_a001267,362,4,0.9987933444720227
q2a,Qwen2-Audio,audio,a001270,agreement_362_a001270,362,2,0.9996539654975053
q2a,Qwen2-Audio,audio,a001277,agreement_363_a001277,363,5,0.4765871711602291
q2a,Qwen2-Audio,audio,a001280,agreement_363_a001280,363,2,0.17554164516467957
q2a,Qwen2-Audio,audio,a001342,agreement_364_a001342,364,1,0.0004619725850748145
q2a,Qwen2-Audio,audio,a001307,agreement_364_a001307,364,1,0.07978458342186391
q2a,Qwen2-Audio,audio,a001349,agreement_364_a001349,364,1,0.94966871493466
q2a,Qwen2-Audio,audio,a001315,agreement_364_a001315,364,1,0.8489664653806629
q2a,Qwen2-Audio,audio,a001434,agreement_366_a001434,366,1,0.9909443346464338
q2a,Qwen2-Audio,audio,a001403,agreement_366_a001403,366,1,0.7431633217375483
q2a,Qwen2-Audio,audio,a001432,agreement_366_a001432,366,1,0.9746267246927605
q2a,Qwen2-Audio,audio,a001410,agreement_366_a001410,366,1,0.6187725154076453
q2a,Qwen2-Audio,audio,a001402,agreement_366_a001402,366,1,0.8459364112844979
q2a,Qwen2-Audio,audio,a001465,agreement_367_a001465,367,3,0.9989182526518621
q2a,Qwen2-Audio,audio,a001453,agreement_367_a001453,367,1,0.9993537421450323
q2a,Qwen2-Audio,audio,a001463,agreement_367_a001463,367,1,0.9950942527698118
q2a,Qwen2-Audio,audio,a001468,agreement_367_a001468,367,1,0.9998655200754071
q2a,Qwen2-Audio,audio,a001513,agreement_369_a001513,369,1,0.44166997317377826
q2a,Qwen2-Audio,audio,a001529,agreement_369_a001529,369,1,2.627902755064321e-05
q2a,Qwen2-Audio,audio,a001564,agreement_370_a001564,370,1,0.9929332650252753
q2a,Qwen2-Audio,audio,a001544,agreement_370_a001544,370,1,0.9934098319405985
q2a,Qwen2-Audio,audio,a001542,agreement_370_a001542,370,1,0.978050901960546
q2a,Qwen2-Audio,audio,a001662,agreement_374_a001662,374,4,0.8807943322119054
q2a,Qwen2-Audio,audio,a001656,agreement_374_a001656,374,2,0.23935281042278078
q2a,Qwen2-Audio,audio,a001664,agreement_374_a001664,374,1,0.9866728611855843
q2a,Qwen2-Audio,audio,a001749,agreement_377_a001749,377,4,0.8092726199514267
q2a,Qwen2-Audio,audio,a001759,agreement_377_a001759,377,3,0.9988394540431992
q2a,Qwen2-Audio,audio,a001761,agreement_377_a001761,377,1,0.9629509770758788
q2a,Qwen2-Audio,audio,a001758,agreement_377_a001758,377,1,0.9999239644689268
q2a,Qwen2-Audio,audio,a001773,agreement_378_a001773,378,1,0.5156132574420892
q2a,Qwen2-Audio,audio,a001810,agreement_379_a001810,379,1,0.9951700248989264
q2a,Qwen2-Audio,audio,a001818,agreement_379_a001818,379,1,0.9173008971569102
q2a,Qwen2-Audio,audio,a001816,agreement_379_a001816,379,1,0.6859441704852314
q2a,Qwen2-Audio,audio,a001879,agreement_381_a001879,381,6,0.9943579608206724
q2a,Qwen2-Audio,audio,a001892,agreement_381_a001892,381,1,0.9996316838720404
q2a,Qwen2-Audio,audio,a001882,agreement_381_a001882,381,1,0.9988751755431763
q2a,Qwen2-Audio,audio,a001887,agreement_381_a001887,381,1,0.9964062911066329
q2a,Qwen2-Audio,audio,a001916,agreement_382_a001916,382,1,0.2254149659074774
q2a,Qwen2-Audio,audio,a001974,agreement_384_a001974,384,3,0.9742389905581879
q2a,Qwen2-Audio,audio,a001978,agreement_384_a001978,384,2,0.9992902948655353
q2a,Qwen2-Audio,audio,a002035,agreement_387_a002035,387,1,0.8198908598769811
q2a,Qwen2-Audio,audio,a002117,agreement_392_a002117,392,3,0.6654004266612631
q2a,Qwen2-Audio,audio,a002307,agreement_403_a002307,403,1,0.4225002099041791
q2a,Qwen2-Audio,audio,a002318,agreement_403_a002318,403,1,0.592655442715768
q2a,Qwen2-Audio,audio,a002325,agreement_404_a002325,404,2,0.3174326475100431
q2a,Qwen2-Audio,audio,a002361,agreement_405_a002361,405,5,0.9968271801532466
q2a,Qwen2-Audio,audio,a002365,agreement_405_a002365,405,2,0.9908029459161551
q2a,Qwen2-Audio,audio,a002369,agreement_405_a002369,405,1,0.998338465428643
q2a,Qwen2-Audio,audio,a002370,agreement_405_a002370,405,4,0.9863616344365281
q2a,Qwen2-Audio,audio,a002376,agreement_405_a002376,405,1,0.9997782952304329
q2a,Qwen2-Audio,audio,a002403,agreement_406_a002403,406,1,0.8887551314797224
q2a,Qwen2-Audio,audio,a002396,agreement_406_a002396,406,1,0.9207871179323851
q2a,Qwen2-Audio,audio,a002414,agreement_407_a002414,407,1,0.9453988212821721
q2a,Qwen2-Audio,audio,a002449,agreement_408_a002449,408,1,0.43782029797549094
q2a,Qwen2-Audio,audio,a002524,agreement_411_a002524,411,1,0.2628261187588009
q2a,Qwen2-Audio,audio,a002530,agreement_411_a002530,411,1,0.9546442750344138
q2a,Qwen2-Audio,audio,a002503,agreement_411_a002503,411,1,0.9817341298338655
q2a,Qwen2-Audio,audio,a002591,agreement_414_a002591,414,3,0.999774795652977
q2a,Qwen2-Audio,audio,a002596,agreement_414_a002596,414,5,0.9992790579275066
q2a,Qwen2-Audio,audio,a002593,agreement_414_a002593,414,1,0.9999646364942228
q2a,Qwen2-Audio,audio,a002590,agreement_414_a002590,414,1,0.999930222302832
q2a,Qwen2-Audio,audio,a002588,agreement_414_a002588,414,1,0.9999023641483638
q2a,Qwen2-Audio,audio,a002605,agreement_415_a002605,415,2,0.9787107873111424
q2a,Qwen2-Audio,audio,a002627,agreement_416_a002627,416,1,0.7431649797545518
q2a,Qwen2-Audio,audio,a002638,agreement_416_a002638,416,1,0.8688272862169246
q2a,Qwen2-Audio,audio,a002698,agreement_419_a002698,419,1,0.3775407577287972
q2a,Qwen2-Audio,audio,a002697,agreement_419_a002697,419,1,0.1441511891712442
q2a,Qwen2-Audio,audio,a002701,agreement_419_a002701,419,2,0.685932572396313
q2a,Qwen2-Audio,audio,a002712,agreement_419_a002712,419,1,0.005469663413856975
q2a,Qwen2-Audio,audio,a002738,agreement_420_a002738,420,2,0.9931487775992559
q2a,Qwen2-Audio,audio,a002740,agreement_420_a002740,420,1,0.9802798624053695
q2a,Qwen2-Audio,audio,a002821,agreement_423_a002821,423,3,0.9987255731189288
q2a,Qwen2-Audio,audio,a002846,agreement_424_a002846,424,1,0.0018823431039521612
q2a,Qwen2-Audio,audio,a002826,agreement_424_a002826,424,1,0.5195254798306294
q2a,Qwen2-Audio,audio,a002827,agreement_424_a002827,424,1,0.30735838578800007
q2a,Qwen2-Audio,audio,a002894,agreement_426_a002894,426,1,0.9984869632780563
q2a,Qwen2-Audio,audio,a002895,agreement_426_a002895,426,3,0.9998736684285644
q2a,Qwen2-Audio,audio,a002951,agreement_429_a002951,429,2,0.9539651464283938
q2a,Qwen2-Audio,audio,a002960,agreement_430_a002960,430,1,0.6478012916754952
q2a,Qwen2-Audio,audio,a002978,agreement_430_a002978,430,2,0.8031702689777136
q2a,Qwen2-Audio,audio,a002968,agreement_430_a002968,430,2,0.16886800623898904
q2a,Qwen2-Audio,audio,a002994,agreement_431_a002994,431,2,0.8652199931315431
q2a,Qwen2-Audio,audio,a003009,agreement_432_a003009,432,1,0.10970939119707869
q2a,Qwen2-Audio,audio,a003064,agreement_434_a003064,434,1,0.9458007943008834
q2a,Qwen2-Audio,audio,a003036,agreement_434_a003036,434,1,0.9161091736867962
q2a,Qwen2-Audio,audio,a003058,agreement_434_a003058,434,2,0.7634826300542978
q2a,Qwen2-Audio,audio,a003091,agreement_436_a003091,436,1,0.9746279974289462
q2a,Qwen2-Audio,audio,a003112,agreement_437_a003112,437,1,0.9985560587615057
q2a,Qwen2-Audio,audio,a003120,agreement_437_a003120,437,1,0.9449935745640207
q2a,Qwen2-Audio,audio,a003142,agreement_438_a003142,438,1,0.915501888853426
q2a,Qwen2-Audio,audio,a003133,agreement_438_a003133,438,1,0.9046480893407118
q2a,Qwen2-Audio,audio,a003161,agreement_439_a003161,439,1,0.26588292128148483
q2a,Qwen2-Audio,audio,a003181,agreement_439_a003181,439,1,0.966912871665028
q2a,Qwen2-Audio,audio,a003202,agreement_440_a003202,440,1,0.9983253909995039
q2a,Qwen2-Audio,audio,a003196,agreement_440_a003196,440,2,0.999170311489668
q2a,Qwen2-Audio,audio,a003206,agreement_440_a003206,440,1,0.9998952597956818
q2a,Qwen2-Audio,audio,a003205,agreement_440_a003205,440,1,0.9991439791606389
q2a,Qwen2-Audio,audio,a003229,agreement_441_a003229,441,1,0.9996199886016448
q2a,Qwen2-Audio,audio,a003225,agreement_441_a003225,441,1,0.9994115358987529
q2a,Qwen2-Audio,audio,a003223,agreement_441_a003223,441,1,0.9988211327261202
q2a,Qwen2-Audio,audio,a003259,agreement_443_a003259,443,1,0.8902897637753276
q2a,Qwen2-Audio,audio,a003309,agreement_445_a003309,445,2,0.993149174764566
q2a,Qwen2-Audio,audio,a003302,agreement_445_a003302,445,1,0.9148988684200968
q2a,Qwen2-Audio,audio,a003323,agreement_446_a003323,446,1,0.13296578580770496
q2a,Qwen2-Audio,audio,a003344,agreement_447_a003344,447,1,0.061878997956035214
q2a,Qwen2-Audio,audio,a003346,agreement_447_a003346,447,1,0.5312115591094878
q2a,Qwen2-Audio,audio,a003353,agreement_447_a003353,447,3,0.39607593729053625
q2a,Qwen2-Audio,audio,a003392,agreement_448_a003392,448,5,0.9991572772555766
q2a,Qwen2-Audio,audio,a003370,agreement_448_a003370,448,2,0.8558422882239765
q2a,Qwen2-Audio,audio,a003385,agreement_448_a003385,448,1,0.9998803907340656
q2a,Qwen2-Audio,audio,a003417,agreement_449_a003417,449,1,0.3106916781449083
q2a,Qwen2-Audio,audio,a003483,agreement_451_a003483,451,2,0.9987354316634731
q2a,Qwen2-Audio,audio,a003462,agreement_451_a003462,451,3,0.5736705315746949
q2a,Qwen2-Audio,audio,a003461,agreement_451_a003461,451,1,0.49998199011585376
q2a,Qwen2-Audio,audio,a003493,agreement_452_a003493,452,4,0.9958331938059549
q2a,Qwen2-Audio,audio,a003525,agreement_454_a003525,454,2,0.42632222687588317
q2a,Qwen2-Audio,audio,a003534,agreement_454_a003534,454,1,0.2509147102257376
q2a,Qwen2-Audio,audio,a003596,agreement_457_a003596,457,1,0.2509113486958386
q2a,Qwen2-Audio,audio,a003598,agreement_457_a003598,457,1,0.9994965787031573
q2a,Qwen2-Audio,audio,a003595,agreement_457_a003595,457,1,0.9780511615933044
q2a,Qwen2-Audio,audio,a003602,agreement_457_a003602,457,1,0.7279702001871566
q2a,Qwen2-Audio,audio,a003662,agreement_461_a003662,461,2,0.9924809004912016
q2a,Qwen2-Audio,audio,a003672,agreement_461_a003672,461,1,0.9989432448109439
q2a,Qwen2-Audio,audio,a003660,agreement_461_a003660,461,1,0.99865406159231
q2a,Qwen2-Audio,audio,a003717,agreement_463_a003717,463,2,0.9522180893743835
q2a,Qwen2-Audio,audio,a003727,agreement_464_a003727,464,2,0.8652238173569569
q2a,Qwen2-Audio,audio,a003724,agreement_464_a003724,464,1,0.9881300700583375
q2a,Qwen2-Audio,audio,a003762,agreement_465_a003762,465,1,0.8807906611140429
q2a,Qwen2-Audio,audio,a003774,agreement_465_a003774,465,2,0.27825642562137315
q2a,Qwen2-Audio,audio,a003773,agreement_465_a003773,465,1,0.5389818690185618
q2a,Qwen2-Audio,audio,a003758,agreement_465_a003758,465,1,0.9903662321650788
q2a,Qwen2-Audio,audio,a003748,agreement_465_a003748,465,1,0.7025319097473486
q2a,Qwen2-Audio,audio,a003810,agreement_467_a003810,467,1,0.901917495215498
q2a,Qwen2-Audio,audio,a003811,agreement_467_a003811,467,1,0.9579105449876147
q2a,Qwen2-Audio,audio,a003837,agreement_468_a003837,468,1,0.9111793932482453
q2a,Qwen2-Audio,audio,a003858,agreement_468_a003858,468,1,0.566007615557155
q2a,Qwen2-Audio,audio,a003847,agreement_468_a003847,468,1,0.9252294948089561
q2a,Qwen2-Audio,audio,a003864,agreement_469_a003864,469,1,0.8757851843745418
q2a,Qwen2-Audio,audio,a003884,agreement_469_a003884,469,2,0.9980426641166302
q2a,Qwen2-Audio,audio,a003892,agreement_469_a003892,469,2,0.9833418697285248
q2a,Qwen2-Audio,audio,a003889,agreement_469_a003889,469,1,0.7520076484748913
q2a,Qwen2-Audio,audio,a003904,agreement_470_a003904,470,1,0.5621667810032605
q2a,Qwen2-Audio,audio,a003909,agreement_470_a003909,470,2,0.6757648429223706
q2a,Qwen2-Audio,audio,a003905,agreement_470_a003905,470,1,0.6548891348227571
q2a,Qwen2-Audio,audio,a003916,agreement_470_a003916,470,1,0.96485308198224
q2a,Qwen2-Audio,audio,a003928,agreement_471_a003928,471,1,0.9458008075191559
q2a,Qwen2-Audio,audio,a003934,agreement_471_a003934,471,1,0.9933585438378737
q2a,Qwen2-Audio,audio,a003919,agreement_471_a003919,471,1,0.9111781756872521
q2a,Qwen2-Audio,audio,a003938,agreement_472_a003938,472,1,0.9958658083825294
q2a,Qwen2-Audio,audio,a003948,agreement_472_a003948,472,1,0.9343939121735038
q2a,Qwen2-Audio,audio,a003950,agreement_472_a003950,472,1,0.7057816808472355
q2a,Qwen2-Audio,audio,a003975,agreement_474_a003975,474,2,0.3380972612899753
q2a,Qwen2-Audio,audio,a003964,agreement_474_a003964,474,1,0.8354749724572218
q2a,Qwen2-Audio,audio,a003965,agreement_474_a003965,474,2,0.9124351596187301
q2a,Qwen2-Audio,audio,a004001,agreement_476_a004001,476,2,0.9854960485963565
q2a,Qwen2-Audio,audio,a004003,agreement_476_a004003,476,1,0.6224537913768914
q2a,Qwen2-Audio,audio,a004036,agreement_477_a004036,477,2,0.7879296299794278
q2a,Qwen2-Audio,audio,a004011,agreement_477_a004011,477,1,0.007067227901072599
q2a,Qwen2-Audio,audio,a004024,agreement_477_a004024,477,1,0.9130475596318266
q2a,Qwen2-Audio,audio,a004037,agreement_477_a004037,477,1,0.972202206610599
q2a,Qwen2-Audio,audio,a004059,agreement_478_a004059,478,1,0.7217354425815955
q2a,Qwen2-Audio,audio,a004057,agreement_478_a004057,478,1,0.7690818559452013
q2a,Qwen2-Audio,audio,a004040,agreement_478_a004040,478,1,0.3557708923533222
q2a,Qwen2-Audio,audio,a004079,agreement_480_a004079,480,1,0.9207879777829252
q2a,Qwen2-Audio,audio,a004082,agreement_480_a004082,480,1,0.6757569772124591
q2a,Qwen2-Audio,audio,a004140,agreement_482_a004140,482,1,0.8887572597126386
q2a,Qwen2-Audio,audio,a004229,agreement_485_a004229,485,1,0.9995416600909439
q2a,Qwen2-Audio,audio,a004239,agreement_486_a004239,486,1,0.9821505096539082
q2a,Qwen2-Audio,audio,a004270,agreement_487_a004270,487,1,0.0021999743009614237
q2a,Qwen2-Audio,audio,a004279,agreement_488_a004279,488,1,0.13477372509049262
q2a,Qwen2-Audio,audio,a004291,agreement_488_a004291,488,4,0.9273622344790571
q2a,Qwen2-Audio,audio,a004290,agreement_488_a004290,488,2,0.5428569463535158
q2a,Qwen2-Audio,audio,a004310,agreement_489_a004310,489,1,0.21469671399487258
q2a,Qwen2-Audio,audio,a004360,agreement_492_a004360,492,1,0.9686181878517117
q2a,Qwen2-Audio,audio,a004419,agreement_603_a004419,603,3,0.9937095412801632
q2a,Qwen2-Audio,audio,a004412,agreement_603_a004412,603,1,0.837620186799973
q2a,Qwen2-Audio,audio,a004415,agreement_603_a004415,603,1,0.03462169963630113
q2a,Qwen2-Audio,audio,a004458,agreement_605_a004458,605,1,0.9909444300858231
q2a,Qwen2-Audio,audio,a004494,agreement_608_a004494,608,1,0.8757828897116329
q2a,Qwen2-Audio,audio,a004514,agreement_608_a004514,608,4,0.9343947902413311
q2a,Qwen2-Audio,audio,a004505,agreement_608_a004505,608,2,0.9963497539669486
q2a,Qwen2-Audio,audio,a004547,agreement_609_a004547,609,1,0.9615320724254747
q2a,Qwen2-Audio,audio,a004521,agreement_609_a004521,609,1,0.9353447004881149
q2a,Qwen2-Audio,audio,a004524,agreement_609_a004524,609,1,0.9489152462455498
q2a,Qwen2-Audio,audio,a004543,agreement_609_a004543,609,1,0.22269760355079218
q2a,Qwen2-Audio,audio,a004563,agreement_612_a004563,612,1,0.9905871217643186
q2a,Qwen2-Audio,audio,a004570,agreement_612_a004570,612,1,0.9549823867487937
q2a,Qwen2-Audio,audio,a004600,agreement_615_a004600,615,1,0.8670350036976919
q2a,Qwen2-Audio,audio,a004580,agreement_615_a004580,615,1,0.9546459305419774
q2a,Qwen2-Audio,audio,a004604,agreement_615_a004604,615,1,0.9525723524809832
q2a,Qwen2-Audio,audio,a004603,agreement_615_a004603,615,1,0.9814520353365063
q2a,Qwen2-Audio,audio,a004684,agreement_620_a004684,620,1,0.8856287158585082
q2a,Qwen2-Audio,audio,a004702,agreement_622_a004702,622,1,0.9032940307620387
q2a,Qwen2-Audio,audio,a004759,agreement_624_a004759,624,2,0.9986851965103095
q2a,Qwen2-Audio,audio,a004752,agreement_624_a004752,624,1,0.9988663591156512
q2a,Qwen2-Audio,audio,a004772,agreement_625_a004772,625,2,0.4035763555144335
q2a,Qwen2-Audio,audio,a004791,agreement_625_a004791,625,1,0.9802803407275927
q2a,Qwen2-Audio,audio,a004818,agreement_627_a004818,627,1,0.8080616381069061
q2a,Qwen2-Audio,audio,a004832,agreement_627_a004832,627,1,0.9849265807571617
q2a,Qwen2-Audio,audio,a004827,agreement_627_a004827,627,1,0.9032919300951132
q2a,Qwen2-Audio,audio,a004803,agreement_627_a004803,627,1,0.07056262637273021
q2a,Qwen2-Audio,audio,a004838,agreement_628_a004838,628,1,0.5544672329613423
q2a,Qwen2-Audio,audio,a004860,agreement_628_a004860,628,1,0.3702230129926574
q2a,Qwen2-Audio,audio,a004870,agreement_629_a004870,629,1,0.8887551119538143
q2a,Qwen2-Audio,audio,a004929,agreement_632_a004929,632,1,0.7853034586772348
q2a,Qwen2-Audio,audio,a004931,agreement_632_a004931,632,2,0.9669104432250347
q2a,Qwen2-Audio,audio,a004911,agreement_632_a004911,632,1,0.8840360255432761
q2a,Qwen2-Audio,audio,a004972,agreement_634_a004972,634,1,0.9372082696267292
q2a,Qwen2-Audio,audio,a004982,agreement_634_a004982,634,1,0.37022516523948923
q2a,Qwen2-Audio,audio,a005013,agreement_636_a005013,636,2,0.9980731120956506
q2a,Qwen2-Audio,audio,a005017,agreement_636_a005017,636,2,0.9986748747406292
q2a,Qwen2-Audio,audio,a005024,agreement_636_a005024,636,1,0.9987932613884458
q2a,Qwen2-Audio,audio,a005047,agreement_637_a005047,637,2,0.9997131278744796
q2a,Qwen2-Audio,audio,a005053,agreement_637_a005053,637,1,0.999656669229449
q2a,Qwen2-Audio,audio,a005041,agreement_637_a005041,637,2,0.9996672251093631
q2a,Qwen2-Audio,audio,a005062,agreement_638_a005062,638,1,0.9989011731029087
q2a,Qwen2-Audio,audio,a005078,agreement_640_a005078,640,6,0.9997304963903851
q2a,Qwen2-Audio,audio,a005077,agreement_640_a005077,640,2,0.9998968854314892
q2a,Qwen2-Audio,audio,a005092,agreement_641_a005092,641,2,0.9995158977498163
q2a,Qwen2-Audio,audio,a005089,agreement_641_a005089,641,2,0.998901219290284
q2a,Qwen2-Audio,audio,a005100,agreement_649_a005100,649,2,0.9706868118946117
q2a,Qwen2-Audio,audio,a005110,agreement_649_a005110,649,1,0.9993736004776721
q2a,Qwen2-Audio,audio,a005139,agreement_650_a005139,650,3,0.9643201493119662
q2a,Qwen2-Audio,audio,a005276,agreement_659_a005276,659,2,0.9988484834809914
q2a,Qwen2-Audio,audio,a005289,agreement_659_a005289,659,3,0.999732575796177
q2a,Qwen2-Audio,audio,a005288,agreement_659_a005288,659,1,0.9995380345391289
q2a,Qwen2-Audio,audio,a005275,agreement_659_a005275,659,2,0.9998058699231863
q2a,Qwen2-Audio,audio,a005306,agreement_660_a005306,660,3,0.9334301725327816
q2a,Qwen2-Audio,audio,a005326,agreement_660_a005326,660,1,0.8872019434700564
q2a,Qwen2-Audio,audio,a005352,agreement_661_a005352,661,1,0.9998655236688762
q2a,Qwen2-Audio,audio,a005351,agreement_661_a005351,661,1,0.9999469154686785
q2a,Qwen2-Audio,audio,a005340,agreement_661_a005340,661,1,0.9992019624013462
q2a,Qwen2-Audio,audio,a005354,agreement_661_a005354,661,1,0.9986748552838792
q2a,Qwen2-Audio,audio,a005373,agreement_662_a005373,662,1,0.8354774953296984
q2a,Qwen2-Audio,audio,a005473,agreement_667_a005473,667,2,0.9895911374506884
q2a,Qwen2-Audio,audio,a005466,agreement_667_a005466,667,2,0.9905869116226207
q2a,Qwen2-Audio,audio,a005529,agreement_670_a005529,670,2,0.9473750323105398
q2a,Qwen2-Audio,audio,a005622,agreement_680_a005622,680,1,0.9990959455338956
q2a,Qwen2-Audio,audio,a005631,agreement_680_a005631,680,2,0.999786782091974
q2a,Qwen2-Audio,audio,a005602,agreement_680_a005602,680,1,0.9932547778257358
q2a,Qwen2-Audio,audio,a005687,agreement_684_a005687,684,1,0.9878524479787788
q2a,Qwen2-Audio,audio,a005741,agreement_688_a005741,688,1,0.9998259780420572
q2a,Qwen2-Audio,audio,a005732,agreement_688_a005732,688,3,0.9997933456077126
q2a,Qwen2-Audio,audio,a005907,agreement_698_a005907,698,2,0.9986748900221316
q2a,Qwen2-Audio,audio,a005919,agreement_698_a005919,698,1,0.9996824525441217
q2a,Qwen2-Audio,audio,a005914,agreement_698_a005914,698,2,0.9999753138687073
q2a,Qwen2-Audio,audio,a005917,agreement_698_a005917,698,2,0.9999412448297198
q2a,Qwen2-Audio,audio,a005921,agreement_698_a005921,698,2,0.9999916001547217
q2a,Qwen2-Audio,audio,a005896,agreement_698_a005896,698,1,0.9968022444574332
q2a,Qwen2-Audio,audio,a005928,agreement_698_a005928,698,1,0.9984390330790761
q2a,Qwen2-Audio,audio,a005969,agreement_705_a005969,705,1,0.9993486750451331
q2a,Qwen2-Audio,audio,a005988,agreement_707_a005988,707,1,0.9981755080080739
q2a,Qwen2-Audio,audio,a006009,agreement_708_a006009,708,1,0.9553166768113505
q2a,Qwen2-Audio,audio,a006073,agreement_712_a006073,712,2,0.9367457225916526
q2a,Qwen2-Audio,audio,a006066,agreement_712_a006066,712,2,0.7745820661341277
q2a,Qwen2-Audio,audio,a006094,agreement_713_a006094,713,3,0.9811642952080052
q2a,Qwen2-Audio,audio,a006150,agreement_716_a006150,716,2,0.9996401886067565
q2a,Qwen2-Audio,audio,a006145,agreement_716_a006145,716,1,0.9996170124381031
q2a,Qwen2-Audio,audio,a006167,agreement_717_a006167,717,2,0.9851564858154164
q2a,Qwen2-Audio,audio,a006210,agreement_718_a006210,718,1,0.9796669936914678
o25,Qwen2.5-Omni,audio,a000030,agreement_301_a000030,301,1,0.14044182482553094
o25,Qwen2.5-Omni,audio,a000018,agreement_301_a000018,301,1,0.09017053935870273
o25,Qwen2.5-Omni,audio,a000045,agreement_302_a000045,302,1,0.14814943613639664
o25,Qwen2.5-Omni,audio,a000033,agreement_302_a000033,302,1,0.2691749578713486
o25,Qwen2.5-Omni,audio,a000049,agreement_303_a000049,303,1,0.06374903127939924
