dataset,path,md5,dur_s,db_p5,db_med,db_max,frac_below_floor6,frac_below_m50,n_frames,mfcc,err
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_118-1_6475.wav,19313ed096beec01856fda4411529a41,30.01,-79.9519,-37.9772,-19.0431,0.1304,0.2844,2999,-83.975746;-6.211080;-3.212443;0.316174;-4.681401;-1.231087;-2.578189;-1.450115;1.355518;-0.390022;-0.055193;-0.514633;-1.559652,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_118-2_4554.wav,a96dfd86fb82cfbd42db8f7ac856f16f,33.67,-86.4574,-66.4691,-17.985,0.4443,0.5837,3365,-104.623154;0.768889;-0.720402;-0.945181;-3.148790;-0.979529;-2.150038;-1.473939;-0.804805;-0.778105;-0.042009;-0.398039;0.083278,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_118-4_6655.wav,33b5ff56ea82811531db8cf8c19283fd,31.11,-59.6762,-25.3448,-7.7543,0.1209,0.2104,3109,-73.445908;4.937664;-4.072602;-2.400644;-2.334832;-1.950802;-2.491742;0.076825;-0.797952;-0.702500;-0.608600;-1.466289;-0.794583,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_034-2_4839.wav,7df9a5dc5c74f058ccc28b576f9de609,34.19,-54.7292,-45.4809,-19.1586,0.415,0.3521,3417,-84.107742;-2.165607;-1.383456;-3.024887;-1.750115;-2.839128;-3.638749;-1.599293;-1.201604;-0.822739;-1.479069;0.347583;-0.918834,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_034-3_4119.wav,9f370e2aa2d987a7760e9e14aa0fe353,30.25,-87.1651,-49.5555,-19.6735,0.3927,0.4965,3023,-111.515900;-2.507521;1.020660;-0.483205;-0.184383;-1.373735;-1.646124;-0.713432;-0.194979;-0.313947;-0.298060;-0.082047;-0.316887,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_042-1_5846.wav,c571478031a9b67827aa0dfad725da85,31.17,-84.4779,-55.9409,-25.3645,0.2218,0.618,3115,-103.188255;-3.548055;0.858348;-0.657439;-3.642429;-1.810952;-3.220097;-0.517034;-1.550562;-0.424802;0.176821;-0.696685;-0.337442,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_042-3_2720.wav,1d507372b4ec13011e61720c4337ea92,31.3,-90.4486,-74.9018,-35.6362,0.337,0.7542,3128,-117.493233;-0.144034;1.617578;-1.654053;-2.225657;-2.590219;-2.440374;-1.537057;-1.183427;-0.160007;-0.104203;-0.270287;-0.295895,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_042-4_510.wav,a3bbc1850c5fa9a0d6c97810ddaf539b,32.63,-83.0275,-47.6541,-11.6189,0.1757,0.4652,3261,-91.865044;-1.523000;-0.905575;-3.351165;-1.452118;-1.805491;-1.661373;-1.001830;-1.856631;-1.351811;-0.801493;-0.692082;-0.793949,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_045-2_5070.wav,065837f0e971cb132498ad763ad929cf,34.28,-89.3377,-48.4795,-16.1927,0.2928,0.4769,3426,-91.806793;-0.493853;-4.977006;-0.281813;-3.192695;-1.008630;-2.457101;-1.440458;-0.684675;0.506155;-1.407287;-0.878819;-0.540269,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_054-0_3830.wav,6ebd40c19f3eb98d475a272a16c386fb,45.63,-73.208,-66.3731,-41.2212,0.4567,0.9347,4561,-105.701019;-6.365909;0.123880;-0.247301;-2.104474;-1.417370;-0.985932;-0.707190;-0.751895;-0.530147;-0.798168;-0.606795;-0.190243,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_056-0_4235.wav,83e18f43c4f8f1b62b4b6f500c4449bc,31.47,-89.0202,-66.1028,-20.4658,0.3545,0.7129,3145,-100.900024;-0.467819;-4.774881;-2.400530;-1.316964;-2.629863;-2.424076;-1.015210;-1.427418;0.333290;-0.606746;-0.846674;-0.782758,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_002-1_3044.wav,231673acd6eb38393a73abd47bd9ae24,37.02,-80.2982,-58.4541,-26.6696,0.3603,0.6651,3700,-96.899208;-6.237574;-2.913948;-1.401110;-3.325824;-1.796335;-2.077492;-0.358855;-0.893302;-1.595106;-0.832645;-0.698898;-0.859980,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_002-2_11623.wav,b7cc1ddec7d588217a5a1e595f1c1752,33.94,-92.9851,-84.9497,-39.3774,0.4228,0.9505,3392,-132.114166;-3.392678;1.133477;-1.951157;-1.183046;-0.952995;-0.362731;-0.170323;-0.501892;-0.438808;-0.570236;-0.517524;-0.112245,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_002-3_12270.wav,4a21eb3519f037b027c5d73c13bac9c6,37.91,-80.0036,-37.2712,-20.3771,0.1618,0.3035,3789,-87.917664;-0.842817;-2.620482;-3.371448;-3.571480;-3.573925;-2.488881;-0.468950;-1.488329;-0.945517;-1.467078;-1.050481;-0.752393,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_002-3_50179.wav,ac6595dd545a3d080230270a0e2c7b3d,30.35,-78.5674,-38.0899,-20.3388,0.1223,0.246,3033,-90.412239;1.299981;-2.604856;-3.467101;-4.109330;-3.544351;-3.202597;-0.916968;-1.339098;-0.804981;-1.024570;-0.796628;-0.380424,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_006-4_37223.wav,db61c7a64ee7ddddf45dc1f611ffa67f,36.58,-78.1806,-40.7527,-16.052,0.1896,0.3632,3656,-100.567062;0.364696;0.476268;-1.045774;-1.227528;-1.126534;-2.833373;-1.471853;-1.497281;-1.216838;-0.961480;-0.112653;-0.586911,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_013-0_6039.wav,abafbb76456447d9fbd4374eb9f31cfd,43.67,-83.9552,-81.0404,-40.7745,0.7496,0.9629,4365,-122.297058;-5.495452;-0.244627;-0.210842;-1.740150;-1.427830;-0.598454;-0.494113;-0.616363;-0.419086;-0.673688;-0.491614;-0.557075,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_013-2_3373.wav,97607d981ea6b1aee54d09692c2ff6f2,32.36,-84.1936,-76.2074,-26.6702,0.4839,0.6815,3234,-96.310020;-4.196992;0.427005;0.007973;-3.313356;-2.590544;-2.996241;-1.368425;-0.946117;-0.801386;-1.296194;-1.745958;-1.420063,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_013-3_5680.wav,136533737e161326c99d4375a03672fb,38.51,-86.0317,-70.3482,-30.4045,0.4276,0.6412,3849,-111.935814;2.050118;-0.821353;-2.914947;-1.942770;-1.303915;-1.360367;-0.947561;-0.996565;-1.111628;-1.273110;-1.050812;-0.987832,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_121-0_1850.wav,02171ec024ce57e2d1836608aaa889d0,31.15,-51.928,-30.9386,-7.8177,0.1307,0.0758,3113,-73.138924;1.210518;-2.798018;-1.288976;-3.407854;-2.663402;-5.011208;-1.133846;-1.656477;1.066195;0.426038;-1.548192;-0.488489,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_121-3_42714.wav,40cdd82b347f158b5ecff15435a533eb,32.05,-57.8234,-13.3817,-3.636,0.0721,0.0793,3203,-65.300072;5.428120;0.600435;-0.358878;-2.277580;-2.901036;-4.050793;-2.626552;-1.688769;-0.861110;-0.577190;-0.132309;-0.349812,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_121-3_7712.wav,0b304e1c38b2d266b450f8e6aa4dc659,35.0,-66.7981,-15.465,-3.2493,0.0978,0.1384,3498,-63.875462;6.243556;-0.428220;0.053559;-2.373338;-2.963112;-3.875321;-2.727755;-1.298322;-0.204811;-0.611967;-0.140189;-0.463175,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_124-0_4246.wav,5d742250d3f13b3d0164704f87bd3a74,39.24,-92.8661,-89.9697,-47.5111,0.8761,0.999,3922,-140.063950;-4.801240;2.355361;-0.913810;-0.351961;-0.162121;0.097898;-0.018383;-0.188178;-0.233333;-0.169010;0.015286;0.146320,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_124-1_2407.wav,cd287d13bda50a32c28959825940418d,34.52,-50.8136,-42.1097,-22.7183,0.3461,0.0652,3450,-77.872887;0.594428;-5.260441;-1.589925;-2.691681;-1.992243;-2.037288;-1.251852;-1.884272;-0.762019;-1.045147;-0.867755;-0.427469,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-1_34057.wav,1cd08adf80ed8729250a6e5155914086,33.52,-89.581,-65.5103,-31.2578,0.3812,0.6907,3350,-114.988266;-1.220177;-1.000708;-1.904062;-3.208481;-2.482495;-1.532221;-0.824204;-0.539877;-0.015236;-0.188403;-0.389348;-0.710972,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-1_4025.wav,d20ee8627f8e9094d13adf2893a68637,30.03,-87.5386,-46.9468,-28.1615,0.1519,0.4349,3001,-105.870316;-1.159830;-0.801618;-0.252817;-4.144513;-3.624549;-2.780955;-1.255474;-1.090802;-0.511569;-0.080266;-0.530623;-1.178214,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-2_600.wav,4bd47fdb24f00d29911528a2acfb7d06,32.62,-53.9524,-24.5684,-10.8713,0.1248,0.0883,3260,-65.836372;-1.535380;-3.602193;-2.247330;-2.644848;-3.003674;-2.861335;-1.136977;-1.013509;-1.067370;-0.532972;-0.905274;-0.457992,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-2_65196.wav,26f7a006133e9528380d93db21452973,33.65,-61.8577,-21.7572,-9.384,0.0839,0.1291,3363,-71.290276;0.485805;-2.121122;-2.560188;-3.963894;-3.051017;-2.455552;-1.743182;-0.871091;-1.523297;-0.446726;-0.790890;-0.755714,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-2_98853.wav,96302aa9820a8762ce004699a135f1f9,31.18,-73.7447,-28.1712,-9.8058,0.0655,0.1906,3116,-64.395592;-0.071961;-1.407223;-1.680868;-3.767426;-3.134897;-3.371602;-1.767146;-1.023833;-1.155850;-0.387144;-1.386604;-0.975841,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-3_133648.wav,e5e29803c851df4cdebed1e1f4174fe2,31.71,-80.9577,-46.6177,-15.3672,0.2682,0.4601,3169,-104.262581;-0.883057;-1.424401;-1.865684;-1.644544;-0.199828;-1.481402;-0.736324;-0.409281;-0.284616;-0.618750;-0.797621;-0.497016,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-3_67278.wav,f2653411cb4a30fc8590e1c106e29dfe,31.73,-69.5668,-27.5785,-14.0194,0.0675,0.1627,3171,-77.851204;5.247533;-2.546649;-2.399456;-3.029063;-2.859663;-3.199852;-1.116584;-0.800182;-0.799030;-0.990256;-1.657947;-1.104092,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_128-3_99009.wav,2aa020115196a5c111f5d386a22457cb,34.64,-77.2908,-31.2285,-14.331,0.0849,0.2499,3462,-82.516869;2.294379;-1.512187;-1.580701;-4.219557;-2.464625;-2.617101;-1.063568;-1.128366;-0.476874;-0.737737;-1.250194;-1.082704,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_132-0_3652.wav,992d28143513d0d1d2bef8d404b59f88,33.49,-84.8727,-68.8705,-28.8995,0.4183,0.643,3347,-104.721237;-2.745974;-0.238196;2.969139;-3.182123;-2.315189;-1.963946;-1.350110;-0.273458;-1.244753;0.155311;0.146330;-1.520859,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_137-0_9369.wav,7da7a4ba4800d13caedbed1185198ba3,34.68,-88.2797,-82.2633,-29.3912,0.4991,0.8035,3466,-125.216850;-4.881464;0.175967;-2.651054;-1.409508;-0.261735;-0.848956;-0.180045;-0.996963;-0.915351;-0.509346;0.044559;0.177027,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_137-2_140.wav,36d9b3a4c27faf4912a5aaeb378a030e,30.38,-81.1013,-45.1468,-25.3639,0.2299,0.4302,3036,-92.355141;-3.582892;-0.332639;-2.036147;-3.285664;-2.381567;-2.718866;-1.042214;-0.919429;-1.634096;-1.965832;-1.804091;-0.611826,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_056-3_4315.wav,d7d76f347bb6bfc8b7d4e1d605953b03,35.9,-66.7129,-48.3966,-20.7717,0.2522,0.4797,3588,-92.484779;-0.751577;-0.268867;-1.668982;-0.145087;-1.697112;-1.472364;-1.821070;-1.200961;0.389987;-0.703452;-0.026237;-0.975253,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_059-3_170.wav,1c79dac7df8aa977852ee2e788335c20,31.46,-69.5977,-24.1521,-3.1387,0.1056,0.1838,3144,-53.938969;4.623173;-3.363140;-3.426317;-4.663705;-2.748362;-5.210154;-2.320986;-0.945717;-0.095331;-0.488471;-0.587909;-1.260055,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_071-2_340.wav,c75cb6b77676d43ac4f0bd0d59e7d67d,31.73,-86.6261,-48.6115,-23.8601,0.2886,0.4841,3171,-99.808884;-1.022120;-0.119548;-0.579456;-1.948884;-1.195814;-2.123604;-1.032250;-0.051065;-1.114564;-0.257158;0.106850;-1.415554,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_071-3_2133.wav,35486ce0e1e12eff541e8f43d8b2058d,33.18,-76.2954,-28.3721,-6.2846,0.1553,0.2856,3316,-78.556496;1.939548;-1.749163;-1.086299;-2.863251;-0.722592;-1.595231;-0.686060;0.252760;-1.038958;-1.012590;-0.573867;-1.416777,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_073-1_5065.wav,11dd14792bd4220c256ad0838d9c7522,33.15,-86.1936,-62.7065,-22.0354,0.4446,0.5666,3313,-94.169617;-3.946801;-2.220046;3.431422;-3.948380;-3.074028;-2.010931;-1.861975;0.308075;0.259928;-0.500987;0.016462;-0.827705,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_086-0_71155.wav,e06353e4734dd0723d9f1f7626da6969,32.96,-74.5137,-61.798,-26.0521,0.4019,0.6998,3294,-114.519669;-3.920928;1.128803;-2.009206;-1.726608;-0.002123;-1.876724;-0.330357;-0.740828;-0.207173;-0.233819;0.473625;0.074885,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_086-2_4188.wav,e8a557645329a20cdec811431b6cb795,30.76,-88.1276,-44.5965,-18.7118,0.2856,0.4242,3074,-96.800941;-1.264996;2.046511;-0.955731;-1.118965;-1.929937;-2.296558;-0.475284;-1.538961;-1.139761;-1.070588;-1.724119;-0.264153,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_086-4_34979.wav,da0c03a66b72432fc901a84b93194f7a,34.02,-67.3429,-30.7715,-6.1326,0.1991,0.3118,3400,-84.792725;3.153425;0.168163;-2.107528;-1.974402;-2.089484;-2.334390;-1.271498;-1.222139;-0.794671;-1.835210;-1.336916;-0.759267,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_013-4_8853.wav,00a053aea8649894d4b33f5e48c4ce02,32.39,-71.3148,-43.2045,-11.4572,0.1087,0.4075,3237,-85.488792;4.106600;-0.106738;-2.751987;-2.475986;-3.615041;-1.931687;-0.413178;-0.912241;-0.966923;-0.680283;-1.494845;-0.882852,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_015-0_2695.wav,ef458bbadf0cd5ab8d8877ae7a7739ab,31.57,-87.7142,-54.872,-28.2611,0.3201,0.5762,3155,-114.668999;-0.664894;-1.243546;-1.390800;-3.570102;-2.765290;-0.908942;-1.010076;-1.453978;-0.009335;-0.099862;-0.109687;0.242302,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_015-2_49054.wav,c76d0f84d001ca6d26a414deff7dc85b,33.48,-81.9676,-34.1404,-13.639,0.0783,0.1524,3346,-84.912971;-3.251852;-4.032537;-3.385993;-4.972353;-3.913919;-3.847106;0.297059;-1.530528;0.711682;0.190825;-0.470492;0.248982,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_017-4_41988.wav,ac1fc0e5bd10eb70435e29c532076713,40.48,-81.3108,-34.3341,-14.3486,0.1626,0.3092,4046,-92.130081;3.805450;-1.809952;-1.482681;-1.123643;-2.417666;-2.343613;-2.369373;-1.693781;-0.940504;-2.269644;-0.796808;0.332084,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_022-0_6924.wav,22ffdcad8674fe623a81eadbb2b634f4,36.48,-73.1841,-41.295,-15.5103,0.1369,0.376,3646,-82.151520;-2.710694;-3.408331;-6.345531;-2.401906;-3.271620;-3.648134;-0.059119;-1.186372;0.081871;0.080999;-0.680568;-0.972184,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_022-2_4290.wav,5fa001281f17f655f8d733d173be7229,39.12,-86.1792,-58.5035,-25.1086,0.3777,0.5985,3910,-102.501312;-2.377849;-2.992445;-2.535587;-4.986351;-3.483946;-2.891887;-0.543345;-0.310049;1.045778;0.406819;-0.215516;0.104480,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_028-1_5398.wav,51ef93b2c8caf603dd9a578be600699b,30.51,-88.658,-84.9466,-39.2754,0.652,0.9761,3049,-129.600021;-5.382386;-1.030366;-1.119144;-0.771251;-1.180159;-0.038819;0.085264;-0.728765;-0.845917;0.029548;0.309809;0.090558,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_028-4_8667.wav,e0def806a18bad890ea87942807afe39,33.13,-79.7557,-40.8357,-17.2131,0.2214,0.3981,3311,-92.360214;0.583848;-0.722220;-1.701884;-3.230571;-2.799818;-1.897516;-0.938260;-1.046787;-0.593843;-1.137098;-0.424572;-0.832155,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_150-1_5476.wav,4121dc877afe0817163055bcd1a84192,32.66,-81.1351,-37.5115,-21.2005,0.1284,0.2059,3264,-79.595154;-1.171802;-2.625648;-2.099203;-7.324973;-2.694723;-3.404968;-0.905629;-2.288775;0.776302;-0.131179;-0.155993;-1.107352,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_150-2_35487.wav,ca7e27e378a71e39e72e35a0eadf1eb2,31.54,-76.7082,-39.5661,-17.6433,0.2151,0.3886,3152,-93.436485;2.309763;1.357959;-1.548578;-4.036170;-3.602591;-2.502431;-1.356257;-1.251452;0.094450;-1.461756;-1.239846;-1.055178,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_150-2_4727.wav,47029c97fd64807f773ccdc09421f4e0,30.76,-77.0371,-31.8439,-19.2784,0.1809,0.283,3074,-83.763222;3.761562;1.044799;-1.893729;-3.884622;-2.998441;-3.399475;-1.205420;-0.883889;-0.644272;-1.574134;-1.514930;-2.043149,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_158-0_950.wav,f6391c792f3a6cefe5738d23f6b68a22,32.68,-70.7311,-54.3841,-32.0409,0.162,0.8099,3266,-113.010849;4.298074;2.488485;-1.284695;-1.335491;-2.614996;-2.132151;-0.664634;-0.715165;-1.090693;-1.440793;-1.037239;-0.447695,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_166-1_1250.wav,0c007a1596904b0ea50f745d84f98eed,31.0,-65.0593,-46.1397,-20.2378,0.2511,0.4238,3098,-92.847359;0.597270;-2.179942;-1.960921;-1.235429;-1.991031;-1.699963;0.530479;-0.641856;-0.242426;-0.687047;-0.422169;-0.687886,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_166-2_3665.wav,28f8438eb6fb38270393ee88d5c1029c,30.08,-90.5893,-49.0783,-19.2836,0.2971,0.486,3006,-93.049751;0.699160;1.251524;0.262912;-4.373974;-2.551709;-2.635036;-0.787085;-0.284071;-0.715213;-0.137095;-0.323291;-1.654837,
