id	original	recomputed	match_4dp	file	original_ci	recomputed_ci	ci_match_4dp	kind	audit_item	how	recomputed_full
3a_pitt_ans_best_stage	0.8485	0.8485	yes	scores/leftovers_23sep/p16twins/lo-p16twins-4/twin_pitt_ans.json	[0.8069, 0.8882]	[0.8069, 0.8882]	yes	recompute	audit_p16 item 6: POD3 best stage, no twin	Linux pod refit, all 49 stages x 5 repeats; best stage 26 (same as POD3); per repeat [0.8509, 0.8496, 0.85, 0.851, 0.8409]	0.8484734598992638
3a_pcgita_enc_best_stage	0.9133	0.9133	yes	scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_enc_default.json	[0.8519, 0.9604]	[0.8519, 0.9604]	yes	recompute	audit_p16 item 6: POD3 best stage, no twin	Linux pod refit, all 32 stages x 5 repeats; best stage 14 (same as POD3); per repeat [0.9252, 0.9015, 0.8898, 0.9204, 0.9296]; AVX512 kernel run on AMD EPYC 9965. The all-stage run on an AVX2 host picks the same stage 14 and gives 0.9133 [0.8519, 0.9604] (scores/leftovers_23sep/p16twins/lo-p16twins-5/twin_pcgita_enc.json)	0.9133170247933883
3a_pcgita_llm_best_stage	0.8960	0.8960	yes	scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_llmtop4_skx.json	[0.8341, 0.9463]	[0.8341, 0.9463]	yes	recompute	audit_p16 item 6: POD3 best stage, no twin	Linux pod refit, top-4 stages [13, 14, 15, 19] x 5 repeats; best stage 14 (same as POD3); per repeat [0.895, 0.8883, 0.9001, 0.88, 0.9165]; AVX512 kernel run on AMD EPYC 9965. The all-stage run on an AVX2 host picks the same stage 14 and gives 0.8961 [0.8343, 0.9462] (scores/leftovers_23sep/p16twins/lo-p16twins-6/twin_pcgita_llm.json)	0.8959702479338842
3a_pcgita_ans_best_stage	0.8962	0.8962	yes	scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_anstop4_skx.json	[0.8327, 0.9452]	[0.8327, 0.9452]	yes	recompute	audit_p16 item 6: POD3 best stage, no twin	Linux pod refit, top-4 stages [15, 18, 19, 27] x 5 repeats; best stage 15 (same as POD3); per repeat [0.908, 0.8902, 0.8885, 0.8869, 0.9075]; AVX512 kernel run on AMD EPYC 9965. The all-stage run on an AVX2 host picks the same stage 15 and gives 0.8962 [0.8326, 0.9452] (scores/leftovers_23sep/p16twins/lo-p16twins-7/twin_pcgita_ans.json)	0.8962105785123967
M3_pitt_speaker	0.6771	0.6771	yes	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	[0.6096, 0.7494]	[0.6096, 0.7494]	yes	recompute	audit_p16 item 6: M3 twinned by the audit only (no saved twin)	speaker mean p_yes, paired speaker bootstrap over 228 sorted speakers, 2000 usable draws	0.6770833333333334
M3_pitt_clip_minus_speaker	-0.0193	-0.0193	yes	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	[-0.0565, 0.0172]	[-0.0565, 0.0172]	yes	recompute	audit_p16 item 6: M3 twinned by the audit only (no saved twin)	speaker mean p_yes, paired speaker bootstrap over 228 sorted speakers, 2000 usable draws	-0.019315026475526298
M3_pcgita_speaker	0.5948	0.5948	yes	<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv	[0.4778, 0.7089]	[0.4778, 0.7089]	yes	recompute	audit_p16 item 6: M3 twinned by the audit only (no saved twin)	speaker mean p_yes, paired speaker bootstrap over 100 sorted speakers, 2000 usable draws	0.5948
M3_pcgita_clip_minus_speaker	-0.0313	-0.0313	yes	<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv	[-0.0820, 0.0179]	[-0.0820, 0.0179]	yes	recompute	audit_p16 item 6: M3 PC-GITA and NeuroVoz paired, no twin	speaker mean p_yes, paired speaker bootstrap over 100 sorted speakers, 2000 usable draws	-0.03132231404958674
M3_neurovoz_speaker	0.7948	0.7948	yes	<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	[0.7045, 0.8733]	[0.7045, 0.8733]	yes	recompute	audit_p16 item 6: M3 twinned by the audit only (no saved twin)	speaker mean p_yes, paired speaker bootstrap over 107 sorted speakers, 2000 usable draws	0.7947552447552447
M3_neurovoz_clip_minus_speaker	-0.0997	-0.0997	yes	<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	[-0.1325, -0.0613]	[-0.1325, -0.0613]	yes	recompute	audit_p16 item 6: M3 PC-GITA and NeuroVoz paired, no twin	speaker mean p_yes, paired speaker bootstrap over 107 sorted speakers, 2000 usable draws	-0.09967374937898144
M7fix#01 Pitt encoder probe mean of 5	0.7706	0.7706	yes	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	[0.7157, 0.8220]	[0.7157, 0.8220]	yes	recompute	audit_p16 item 6: M7 fix twinned by the audit only; ledger LEFT me 3 (save the M7 twin file)	mean of per-repeat AUCs [0.7598, 0.7725, 0.7459, 0.7903, 0.7843], speaker bootstrap of the mean	0.7705695466873305
M7fix#02 Pitt paired probe minus zero-shot	+0.1128	+0.1128	yes	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz + <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	[0.0455, 0.1768]	[0.0455, 0.1768]	yes	recompute	task: M7 Pitt gap twin; audit_p16 item 6 PAPER VALUE with no saved twin; ledger LEFT me 3	(mean of 5 per-repeat AUCs) minus zero-shot AUC 0.6578, paired speaker bootstrap	0.11280123982952339
M7_pitt_probe_rep5	0.7917	0.7917	yes	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	[0.7324, 0.8480]	[0.7324, 0.8480]	yes	recompute	audit_p16 item 6: M7 rep5 twinned by the audit only	AUC of the mean of the 5 OOF probabilities	0.7916892677256877
M7_pitt_gap_rep5	0.1339	0.1339	yes	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz + <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	[0.0641, 0.2019]	[0.0641, 0.2019]	yes	recompute	audit_p16 item 6: M7 rep5 twinned by the audit only	AUC(mean prob) minus zero-shot, paired speaker bootstrap	0.13392096086788063
POD4_4b_resolved	468	468	yes	<local data dir>/release/edaic_rerun/part16/POD4/cha_overlap_468.csv				recompute	task: POD4 4b descriptives twins; audit_p16 item 3 and item 6 (twinned by the audit only)	rows resolved to CHAT timings	468
POD4_4b_invwin	158	158	yes	<local data dir>/release/edaic_rerun/part16/POD4/cha_overlap_468.csv				recompute	task: POD4 4b descriptives twins; audit_p16 item 3 and item 6 (twinned by the audit only)	windows with inv_ms_win > 0	158
POD4_4b_invshare	0.0200	0.0200	yes	<local data dir>/release/edaic_rerun/part16/POD4/cha_overlap_468.csv				recompute	task: POD4 4b descriptives twins; audit_p16 item 3 and item 6 (twinned by the audit only)	mean inv_ms_win / win_span_ms	0.019971866096866096
POD4_4b_parshare	0.5871	0.5871	yes	<local data dir>/release/edaic_rerun/part16/POD4/cha_overlap_468.csv				recompute	task: POD4 4b descriptives twins; audit_p16 item 3 and item 6 (twinned by the audit only)	mean par_ms_win / win_span_ms	0.5871166666666666
POD4_4b_pardur	17.61	17.61	yes	<local data dir>/release/edaic_rerun/part16/POD4/cut_report.json				recompute	task: POD4 4b descriptives twins; audit_p16 item 3 and item 6 (twinned by the audit only)	mean par_s over 468 ok cuts	17.613500000000002
POD4_4b_under10s	68	68	yes	<local data dir>/release/edaic_rerun/part16/POD4/cut_report.json				recompute	task: POD4 4b descriptives twins; audit_p16 item 3 and item 6 (twinned by the audit only)	cuts with par_s < 10 s	68
M9.FILES	307	307	yes	<local data dir>/release/edaic_rerun/part16/M9_inventory.csv				recompute	audit_p16 item 6: M9 FILES count, no twin	reopened the 608 inventory files on disk (old G-Drive prefix remapped), counted headers with a mass column (answer_mass, mass, denom, p_sum, psum) or p_yes_raw+p_no_raw; 0 files missing, 0 disagree with the stored flag	307
M9.SWEEPMIN	0.8662	0.8662	yes	<local data dir>/paper1_local_runs/af2_kcl30b_audio.csv				recompute	audit_p16 item 6: M9 sweep min twinned by the audit only	minimum over 305 mass-bearing files of the median answer mass; argmin n=37	0.8661956191062927
M5_all_auc_without_d	0.8327	0.8327	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.7857, 0.8759]	[0.7857, 0.8759]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column z_probe_oof_without_d_all, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.8327	0.8326811313444401
M5_all_auc_without_d_Xproj	0.8223	0.8223	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.7743, 0.8672]	[0.7743, 0.8672]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column p_probe_oof_without_d_Xproj_all, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.8223	0.8223363037582332
M5_conflict_refit_auc_without_d	0.6869	0.6869	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.5806, 0.7872]	[0.5806, 0.7872]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column z_probe_oof_without_d_armrefit, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.6869	0.6869086908690869
M5_agreement_refit_auc_without_d	0.9346	0.9346	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.9057, 0.9603]	[0.9057, 0.9603]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column z_probe_oof_without_d_armrefit, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.9346	0.9346381827584835
M5_conflict_restricted_auc_without_d	0.6326	0.6326	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.5277, 0.7336]	[0.5277, 0.7336]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column z_probe_oof_without_d_all, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.6326	0.6325632563256326
M5_conflict_restricted_auc_without_d_Xproj	0.6180	0.6180	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.5128, 0.7213]	[0.5128, 0.7213]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column p_probe_oof_without_d_Xproj_all, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.6180	0.6180418041804181
M5_agreement_restricted_auc_without_d	0.9070	0.9070	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.8702, 0.9383]	[0.8702, 0.9383]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column z_probe_oof_without_d_all, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.9070	0.9070294784580499
M5_agreement_restricted_auc_without_d_Xproj	0.8988	0.8988	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[0.8593, 0.9326]	[0.8593, 0.9326]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees (verifier used the canonical estimator)	AUC of per-clip column p_probe_oof_without_d_Xproj_all, speaker bootstrap; Mac refit of the whole M5 pipeline gives 0.8988	0.8987548235668537
M5_paired_auc_without_d_conflict_minus_agreement	-0.2745	-0.2745	yes	<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv	[-0.3754, -0.1707]	[-0.3754, -0.1707]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees	conflict minus agreement AUC of z_probe_oof_without_d_all, paired speaker bootstrap over 228 speakers; Mac refit of the whole M5 pipeline gives -0.2745	-0.27446622213241734
M5_all_randfloor	0.0124	0.0124	yes	scores/leftovers_23sep/p16twins/mac/twin_m5_mac.json	[0.0005, 0.0343]	[0.0005, 0.0343]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees	Mac refit (sklearn 1.7.2, the environment M5 ran in), fresh default_rng(0) per cell; Linux pod sklearn 1.9.1 gives 0.0123 [0.0005, 0.0341] because GroupKFold splits differently there	0.012392883317044925
M5_conflict_refit_randfloor	0.0123	0.0123	yes	scores/leftovers_23sep/p16twins/mac/twin_m5_mac.json	[0.0005, 0.0350]	[0.0005, 0.0350]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees	Mac refit (sklearn 1.7.2, the environment M5 ran in), fresh default_rng(0) per cell; Linux pod sklearn 1.9.1 gives 0.0123 [0.0005, 0.0353] because GroupKFold splits differently there	0.012329658870771844
M5_agreement_refit_randfloor	0.0126	0.0126	yes	scores/leftovers_23sep/p16twins/mac/twin_m5_mac.json	[0.0005, 0.0359]	[0.0005, 0.0359]	yes	recompute	audit_p16 item 6: M5 flagged verified though the M5 verifier disagrees	Mac refit (sklearn 1.7.2, the environment M5 ran in), fresh default_rng(0) per cell; Linux pod sklearn 1.9.1 gives 0.0126 [0.0005, 0.0356] because GroupKFold splits differently there	0.01259411588741824
MEDAIC_full_llm_nested_NOCI	0.6853	0.6853	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	mean of the per-repeat AUCs printed in the pod log [0.6664, 0.6748, 0.7107, 0.6765, 0.6981] (same list as the json); NOT a refit: no per-clip OOF or states exist	0.6853
MEDAIC_full_llm_minus_answer_POINT	-0.1432	-0.1432	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log + <local data dir>/release/edaic_rerun/variants/o25_full_zeroshot_scores.csv				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	log mean minus answer AUC 0.828476 recomputed from the per-clip zero-shot file; probe side not refittable	-0.14317614905031173
MEDAIC_full_enc_nested_NOCI	0.5930	0.5930	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	mean of the per-repeat AUCs printed in the pod log [0.5734, 0.5671, 0.6197, 0.56, 0.6448] (same list as the json); NOT a refit: no per-clip OOF or states exist	0.5930000000000001
MEDAIC_full_enc_minus_answer_POINT	-0.2355	-0.2355	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log + <local data dir>/release/edaic_rerun/variants/o25_full_zeroshot_scores.csv				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	log mean minus answer AUC 0.828476 recomputed from the per-clip zero-shot file; probe side not refittable	-0.23547614905031167
MEDAIC_full_ans_nested_NOCI	0.7542	0.7542	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	mean of the per-repeat AUCs printed in the pod log [0.7296, 0.7469, 0.7909, 0.7599, 0.7438] (same list as the json); NOT a refit: no per-clip OOF or states exist	0.7542200000000001
MEDAIC_full_ans_minus_answer_POINT	-0.0743	-0.0743	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log + <local data dir>/release/edaic_rerun/variants/o25_full_zeroshot_scores.csv				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	log mean minus answer AUC 0.828476 recomputed from the per-clip zero-shot file; probe side not refittable	-0.07425614905031164
MEDAIC_full_proj_nested_NOCI	0.5293	0.5293	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	mean of the per-repeat AUCs printed in the pod log [0.5293] (same list as the json); NOT a refit: no per-clip OOF or states exist	0.5293
MEDAIC_full_proj_minus_answer_POINT	-0.2992	-0.2992	yes	<local data dir>/release/edaic_rerun/logs/podA/o25_full_rep.log + <local data dir>/release/edaic_rerun/variants/o25_full_zeroshot_scores.csv				log twin (second record, not a recompute)	audit_p16 item 6: MEDAIC json aggregates, no twin (log twin only)	log mean minus answer AUC 0.828476 recomputed from the per-clip zero-shot file; probe side not refittable	-0.29917614905031176
P16.POD2.L5	4.13;4.07;4.05;4.03;4.00	4.13;4.07;4.05;4.03;4.00	yes	<local data dir>/release/edaic_rerun/part16/POD2/lora.log				log twin (second record, not a recompute)	audit_p16 item 6: POD2 L5 run log, no twin (log twin only)	per-fold minutes read from the pod training log (a second record, not the json); a wall-clock time cannot be recomputed	4.13;4.07;4.05;4.03;4.00
P16.POD2.L6	21.013	21.013	yes	<local data dir>/release/edaic_rerun/part16/POD2/lora.log				log twin (second record, not a recompute)	audit_p16 item 6: POD2 L6 run log, no twin (log twin only)	max of the per-fold peak GPU GB in the pod log [21.011, 21.013, 21.013, 21.013, 21.013]; a GPU memory peak cannot be recomputed	21.013
3b_all_auc_d	0.7656	0.7656	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.7088, 0.8179]	[0.7088, 0.8179]	yes	extra	extra (pipeline check, twinned elsewhere)	same pod run	0.7656334753971329
3b_all_auc_probe	0.8307	0.8307	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.7833, 0.8741]	[0.7833, 0.8741]	yes	extra	extra (pipeline check, twinned elsewhere)	same pod run	0.8306857807051531
3b_all_auc_wo_d	0.8305	0.8305	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.7826, 0.8737]	[0.7826, 0.8737]	yes	extra	extra (pipeline check, twinned elsewhere)	same pod run	0.8305114296784192
3b_conflict_auc_d	0.6029	0.6029	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.4965, 0.7025]	[0.4965, 0.7025]	yes	extra	extra (pipeline check, twinned elsewhere)	same pod run	0.6028602860286029
3b_agreement_auc_d	0.8264	0.8264	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.7741, 0.8731]	[0.7741, 0.8731]	yes	extra	extra (pipeline check, twinned elsewhere)	same pod run	0.8264311572582249
Q3Ofix_all_auc_without_d_CANONICAL_foldz	0.8276	0.8276	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json		[0.7795, 0.8696]		extra	extra (pipeline check, twinned in part17 T3)	held-out projection standardised within the held-out fold	0.8275668345602479
3b_all_cos_random_floor	0.0177	0.0177	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json				extra	extra	mean |probe . r| over 2000 unit normals, default_rng(0)	0.01766567501814079
M3_pitt_clip	0.6578	0.6578	yes	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	[0.6033, 0.7125]	[0.6033, 0.7125]	yes	extra	extra (already twinned)	speaker mean p_yes, paired speaker bootstrap over 228 sorted speakers, 2000 usable draws	0.6577683068578071
M3_pcgita_clip	0.5635	0.5635	yes	<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv	[0.4931, 0.6331]	[0.4931, 0.6331]	yes	extra	extra (already twinned)	speaker mean p_yes, paired speaker bootstrap over 100 sorted speakers, 2000 usable draws	0.5634776859504133
M3_neurovoz_clip	0.6951	0.6951	yes	<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	[0.6356, 0.7519]	[0.6356, 0.7519]	yes	extra	extra (already twinned)	speaker mean p_yes, paired speaker bootstrap over 107 sorted speakers, 2000 usable draws	0.6950814953762633
