family	claim	tex_line	value_ci	p	holm_p	survives	m_family	role	id	value	lo	hi	holm_p_full	survives_full	m_family_full	usable_draws	degenerate_draws	n_le0	n_ge0	n_clips	n_spk	term_points	excludes_zero	draws	per_clip	draws_source
ARMS	conflict minus agreement arm AUC, E-DAIC, Kimi-Audio	180	-0.3678 [-0.4394, -0.3020]	0.0010	0.0090	yes	9	claimed	R_edaic_kimi	-0.3678	-0.4394	-0.3020	0.0120	yes	12	2000	0	2000	0	794	138	0.5258 0.8936	True	scores/part25/B/draws/B_R_edaic_kimi_draws.npz	scores/part25/B/per_clip/B_R_edaic_kimi_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, Pitt, Qwen2-Audio	180	-0.2853 [-0.3950, -0.1485]	0.0010	0.0090	yes	9	claimed	R_pitt_q2a	-0.2853	-0.3950	-0.1485	0.0120	yes	12	2000	0	2000	0	468	228	0.4132 0.6985	True	scores/part25/B/draws/B_R_pitt_q2a_draws.npz	scores/part25/B/per_clip/B_R_pitt_q2a_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, Pitt, Qwen2.5-Omni	180	-0.1731 [-0.2958, -0.0392]	0.0120	0.0120	yes	9	claimed	R_pitt_o25	-0.1731	-0.2958	-0.0392	0.0480	yes	12	2000	0	1989	11	468	228	0.5322 0.7054	True	scores/part25/B/draws/B_R_pitt_o25_draws.npz	scores/part25/B/per_clip/B_R_pitt_o25_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, Pitt, Qwen3-Omni	180	-0.2165 [-0.3242, -0.1052]	0.0010	0.0090	yes	9	claimed	R_pitt_q3o	-0.2165	-0.3242	-0.1052	0.0120	yes	12	2000	0	2000	0	468	228	0.6066 0.8231	True	scores/part25/B/draws/B_R_pitt_q3o_draws.npz	scores/part25/B/per_clip/B_R_pitt_q3o_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, Pitt, Audio Flamingo 2	180	+0.0498 [-0.0653, +0.1735]	0.3928			0	sensitivity only	Rs_pitt_af2	+0.0498	-0.0653	+0.1735	1.0000	no	12	2000	0	392	1608	468	228	0.5835 0.5337	False	scores/part25/B/draws/B_Rs_pitt_af2_draws.npz	scores/part25/B/per_clip/B_Rs_pitt_af2_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, Pitt, Audio Flamingo 3	180	+0.0220 [-0.0846, +0.1357]	0.6527			0	sensitivity only	Rs_pitt_af3	+0.0220	-0.0846	+0.1357	1.0000	no	12	2000	0	652	1348	468	228	0.6075 0.5855	False	scores/part25/B/draws/B_Rs_pitt_af3_draws.npz	scores/part25/B/per_clip/B_Rs_pitt_af3_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, Pitt, Kimi-Audio	180	-0.0030 [-0.1134, +0.1065]	0.9385			0	sensitivity only	Rs_pitt_kimi	-0.0030	-0.1134	+0.1065	1.0000	no	12	2000	0	1062	938	468	228	0.7197 0.7227	False	scores/part25/B/draws/B_Rs_pitt_kimi_draws.npz	scores/part25/B/per_clip/B_Rs_pitt_kimi_perclip.csv	regenerated here from the per-clip file
FINE TUNE	projector fine-tune minus zero-shot answer, PC-GITA	226	+0.3227 [+0.2391, +0.4040]	0.0010	0.0060	yes	6	claimed	F_pcgita	+0.3227	+0.2391	+0.4040	0.0080	yes	8	2000	0	0	2000	1100	100	0.8862 0.5635	True	scores/part25/B/draws/B_F_pcgita_draws.npz	scores/part25/B/per_clip/B_F_pcgita_perclip.csv	regenerated here from the per-clip file
FINE TUNE	projector fine-tune minus zero-shot answer, NeuroVoz	226	+0.2078 [+0.1588, +0.2578]	0.0010	0.0060	yes	6	claimed	F_neurovoz	+0.2078	+0.1588	+0.2578	0.0080	yes	8	2000	0	0	2000	1270	107	0.9028 0.6951	True	scores/part25/B/draws/B_F_neurovoz_draws.npz	scores/part25/B/per_clip/B_F_neurovoz_perclip.csv	regenerated here from the per-clip file
FINE TUNE	projector fine-tune minus zero-shot answer, Pitt	226	+0.1095 [+0.0454, +0.1728]	0.0030	0.0090	yes	6	claimed	F_pitt	+0.1095	+0.0454	+0.1728	0.0150	yes	8	2000	0	2	1998	468	228	0.7673 0.6578	True	scores/part25/B/draws/B_F_pitt_draws.npz	scores/part25/B/per_clip/B_F_pitt_perclip.csv	regenerated here from the per-clip file
FINE TUNE	projector fine-tune minus zero-shot answer, ADReSSo	226	+0.2096 [+0.1294, +0.2867]	0.0010	0.0060	yes	6	claimed	F_adresso	+0.2096	+0.1294	+0.2867	0.0080	yes	8	2000	0	0	2000	237	237	0.8246 0.6150	True	scores/part25/B/draws/B_F_adresso_draws.npz	scores/part25/B/per_clip/B_F_adresso_perclip.csv	regenerated here from the per-clip file
FINE TUNE	projector fine-tune minus zero-shot answer, ADReSS-2020	226	+0.1443 [+0.0490, +0.2370]	0.0030	0.0090	yes	6	claimed	F_adress2020	+0.1443	+0.0490	+0.2370	0.0150	yes	8	2000	0	2	1998	156	156	0.7684 0.6241	True	scores/part25/B/draws/B_F_adress2020_draws.npz	scores/part25/B/per_clip/B_F_adress2020_perclip.csv	regenerated here from the per-clip file
FINE TUNE	projector fine-tune minus zero-shot answer, MDVR-KCL	226	-0.0149 [-0.2709, +0.2364]	0.9335			0	sensitivity only	Fs_kcl	-0.0149	-0.2709	+0.2364	0.9335	no	8	2000	0	1097	933	37	37	0.6994 0.7143	False	scores/part25/B/draws/B_Fs_kcl_draws.npz	scores/part25/B/per_clip/B_Fs_kcl_perclip.csv	regenerated here from the per-clip file
FINE TUNE	projector fine-tune (seed 0) minus zero-shot answer, E-DAIC whole interview	226	+0.0223 [-0.0064, +0.0547]	0.1249			0	sensitivity only	Fs_edaic_seed0	+0.0223	-0.0064	+0.0547	0.2499	no	8	2000	0	124	1877	275	275	0.8589 0.8366	False	scores/part25/B/draws/B_Fs_edaic_seed0_draws.npz	scores/part25/B/per_clip/B_Fs_edaic_seed0_perclip.csv	regenerated here from the per-clip file
FINE TUNE	LoRA minus projector fine-tune, Pitt	226	+0.0577 [+0.0154, +0.1044]	0.0080	0.0090	yes	6	claimed	F_lora_minus_projector	+0.0577	+0.0154	+0.1044	0.0240	yes	8	2000	0	7	1993	468	228	0.8250 0.7673	True	scores/part25/B/draws/B_F_lora_minus_projector_draws.npz	scores/part25/B/per_clip/B_F_lora_minus_projector_perclip.csv	regenerated here from the per-clip file
CONTROLS	encoder probe after minus before loudness and noise-floor normalisation, PC-GITA	149	-0.0661 [-0.1181, -0.0180]	0.0130	0.0260	yes	2	claimed	C_pg_probe_drop	-0.0661	-0.1181	-0.0180	0.0390	yes	3	2000	0	1988	12	1100	100	0.8298 0.8959	True	scores/part25/B/draws/B_C_pg_probe_drop_draws.npz	scores/part25/B/per_clip/B_C_pg_probe_drop_perclip.csv	regenerated here from the per-clip file
CONTROLS	encoder probe after minus before loudness and noise-floor normalisation, NeuroVoz	149	-0.0308 [-0.0608, -0.0012]	0.0370	0.0370	yes	2	claimed	C_nv_probe_drop	-0.0308	-0.0608	-0.0012	0.0740	no	3	2000	0	1964	36	1270	107	0.8924 0.9233	True	scores/part25/B/draws/B_C_nv_probe_drop_draws.npz	scores/part25/B/per_clip/B_C_nv_probe_drop_perclip.csv	regenerated here from the per-clip file
CONTROLS	zero-shot answer after minus before normalisation, PC-GITA	149	-0.0054 [-0.0437, +0.0357]	0.7786			0	sensitivity only	Cs_pg_answer	-0.0054	-0.0437	+0.0357	0.7786	no	3	2000	0	1222	778	1100	100	0.5674 0.5728	False	scores/part25/B/draws/B_Cs_pg_answer_draws.npz	scores/part25/B/per_clip/B_Cs_pg_answer_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, E-DAIC, Qwen2-Audio	180	-0.2720 [-0.3184, -0.2218]	0.0010	0.0040	yes	4	claimed	X_edaic_conf_q2a	-0.2720	-0.3184	-0.2218	0.0060	yes	6	2000	0	2000	0	483	138	0.2280 0.5000	True	scores/part25/B/draws/B_X_edaic_conf_q2a_draws.npz	scores/part25/B/per_clip/B_X_edaic_conf_q2a_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, E-DAIC, Qwen2.5-Omni	180	-0.2782 [-0.3171, -0.2368]	0.0010	0.0040	yes	4	claimed	X_edaic_conf_o25	-0.2782	-0.3171	-0.2368	0.0060	yes	6	2000	0	2000	0	483	138	0.2218 0.5000	True	scores/part25/B/draws/B_X_edaic_conf_o25_draws.npz	scores/part25/B/per_clip/B_X_edaic_conf_o25_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, E-DAIC, Qwen3-Omni	180	-0.1992 [-0.2546, -0.1359]	0.0010	0.0040	yes	4	claimed	X_edaic_conf_q3o	-0.1992	-0.2546	-0.1359	0.0060	yes	6	2000	0	2000	0	483	138	0.3008 0.5000	True	scores/part25/B/draws/B_X_edaic_conf_q3o_draws.npz	scores/part25/B/per_clip/B_X_edaic_conf_q3o_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, E-DAIC, Audio Flamingo 2	180	+0.0286 [-0.0488, +0.1015]	0.4808			0	sensitivity only	X_edaic_conf_af2	+0.0286	-0.0488	+0.1015	0.9615	no	6	2000	0	480	1520	483	138	0.5286 0.5000	False	scores/part25/B/draws/B_X_edaic_conf_af2_draws.npz	scores/part25/B/per_clip/B_X_edaic_conf_af2_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, E-DAIC, Audio Flamingo 3	180	-0.0765 [-0.1394, -0.0120]	0.0200	0.0200	yes	4	claimed	X_edaic_conf_af3	-0.0765	-0.1394	-0.0120	0.0600	no	6	2000	0	1981	19	483	138	0.4235 0.5000	True	scores/part25/B/draws/B_X_edaic_conf_af3_draws.npz	scores/part25/B/per_clip/B_X_edaic_conf_af3_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, E-DAIC, Kimi-Audio	180	+0.0258 [-0.0499, +0.0977]	0.5137			0	sensitivity only	X_edaic_conf_kimi	+0.0258	-0.0499	+0.0977	0.9615	no	6	2000	0	513	1487	483	138	0.5258 0.5000	False	scores/part25/B/draws/B_X_edaic_conf_kimi_draws.npz	scores/part25/B/per_clip/B_X_edaic_conf_kimi_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, Pitt, Qwen2-Audio	180	-0.0868 [-0.1995, +0.0423]	0.1759			0	check only	X_pitt_conf_q2a	-0.0868	-0.1995	+0.0423			0	2000	0	1826	175	146	100	0.4132 0.5000	False	scores/part25/B/draws/B_X_pitt_conf_q2a_draws.npz	scores/part25/B/per_clip/B_X_pitt_conf_q2a_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, Pitt, Qwen2.5-Omni	180	+0.0322 [-0.0784, +0.1447]	0.5507			0	check only	X_pitt_conf_o25	+0.0322	-0.0784	+0.1447			0	2000	0	550	1452	146	100	0.5322 0.5000	False	scores/part25/B/draws/B_X_pitt_conf_o25_draws.npz	scores/part25/B/per_clip/B_X_pitt_conf_o25_perclip.csv	regenerated here from the per-clip file
EXTRA CHANCE	conflict arm AUC minus 0.5, Pitt, Qwen3-Omni	180	+0.1066 [-0.0044, +0.2123]	0.0650			0	check only	X_pitt_conf_q3o	+0.1066	-0.0044	+0.2123			0	2000	0	64	1936	146	100	0.6066 0.5000	False	scores/part25/B/draws/B_X_pitt_conf_q3o_draws.npz	scores/part25/B/per_clip/B_X_pitt_conf_q3o_perclip.csv	regenerated here from the per-clip file
