pid,win_dur_s,capped,audio_tok_expected_from_formula,audio_tok_observed,seq_len,fit_in_32k,wave_samples,audio_tok_formula_on_nsamples_floor160,mel_frames_cover_whole_wave,src_dur_s,stitched_s_rebuilt,d_stitch_s,win_s_rebuilt,d_win_s,feat_frames_formula,feat_frames_observed,proj_positions,enc_positions,audio_tok_part22_lifted,seq_len_part22_lifted,agree_part22,cut_wav_sha256_first1MB
310,297.8,0,7445,7445,7493,1,4764800,7445,1,297.8,297.8,0.0,297.8,0.0,29780,29780,7445,14890,7445,7493,1,4d4dd406a991e4dcb161022f4e4b5d6d43d7105f4ff6318afda9319eb23eaec1
311,217.7999,0,5445,5445,5493,1,3484798,5445,1,217.7999,217.7999,0.0,217.7999,-0.0,21779,21780,5445,10890,5445,5493,1,8f8162650e6c02161d26ef0da479755a4db27aad1a951eae653934ec018a68ac
312,340.3999,0,8510,8510,8558,1,5446398,8510,1,340.3999,340.3999,0.0,340.3999,-0.0,34039,34039,8510,17020,8510,8558,1,f6f18d57c10f08ec7a5d9745ef6ef25ef30d9d12db312d99c6ab22857651e831
313,900.0,1,22500,22500,22548,1,14400000,22500,1,1021.1001,1021.1001,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,c38e163dfe5cc96d32b8406f419469640753fdc3b0701a62328e80302d74f7cb
314,900.0,1,22500,22500,22548,1,14400000,22500,1,1098.4999,1098.4999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,d34b58adcd15148394a84e4ad10c4d60334bb92a146eb173ca6b81bec2026f84
315,900.0,1,22500,22500,22548,1,14400000,22500,1,1492.4999,1492.4999,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,0c5aafaaf1c851bb017f80282bdd8cf39d286bdfa99429872634fb30cd811032
316,226.3,0,5657,5657,5705,1,3620800,5657,1,226.3,226.3,0.0,226.3,0.0,22630,22630,5657,11315,5657,5705,1,8d7890c64a7e357a06c7834eba57f6ffff02450d0d76e95454d9000728cd5d80
317,233.9999,0,5850,5850,5898,1,3743998,5850,1,233.9999,233.9999,0.0,233.9999,-0.0,23399,23400,5850,11700,5850,5898,1,0d7a8a99617a6d709f38b75005a23bf1ab61d31dea8bfc790a325263d3110e93
318,249.5999,0,6240,6240,6288,1,3993598,6240,1,249.5999,249.5999,0.0,249.5999,-0.0,24959,24960,6240,12480,6240,6288,1,0f536117d9c89a853ffb5bfe9be40c847f890357f63d130752bfac712454e3f7
319,900.0001,1,22500,22500,22548,1,14400000,22500,1,910.9,910.9,0.0,900.0,-0.0001,90000,90000,22500,45000,22500,22548,1,5dfcd97a00166982f0c2b2601d8eac31d6475422f93b380daa89d958f6e0b7f3
320,249.1,0,6227,6227,6275,1,3985600,6227,1,249.1,249.1,0.0,249.1,0.0,24910,24910,6227,12455,6227,6275,1,84f9e78ffd6573b4bec40b7394ae9b0a0efaec093e3c83da3427dbf5603c8516
321,311.5999,0,7790,7790,7838,1,4985598,7790,1,311.5999,311.5999,0.0,311.5999,-0.0,31159,31159,7790,15580,7790,7838,1,aede32907bd82f4da2f6d13b9628c3ca0bf7e7a553566ac7eedcb45dce8fb7ea
322,537.0999,0,13427,13427,13475,1,8593598,13427,1,537.0999,537.0999,0.0,537.0999,-0.0,53709,53709,13427,26855,13427,13475,1,e015e32c756a52c7d6043d589dc8e455023f391cd22565d2468c1330cbdbf0cf
323,417.3001,0,10432,10432,10480,1,6676801,10432,1,417.3001,417.3001,-0.0,417.3001,-0.0,41730,41730,10432,20865,10432,10480,1,3efaca40832a4f6bf518c69022b936f747006a2a2954f960aadca49b86c84e1e
324,275.7001,0,6893,6893,6941,1,4411201,6892,1,275.7001,275.7001,-0.0,275.7001,-0.0,27570,27571,6893,13786,6893,6941,1,4b333f3721a380d6ec4e14b37c99e93c3aaf472397822f0189d19b59053b14b9
325,528.2,0,13205,13205,13253,1,8451200,13205,1,528.2,528.2,0.0,528.2,0.0,52820,52820,13205,26410,13205,13253,1,063ba42a919917302573fb109e545c18e8899d67eb86911a1de9a994f5bac5ad
326,196.3,0,4907,4907,4955,1,3140800,4907,1,196.3,196.3,0.0,196.3,0.0,19630,19630,4907,9815,4907,4955,1,b0d83ddc4700d2e75f0e7b8887e11d28323e974648e2293d917866f5b53146c2
327,900.0,1,22500,22500,22548,1,14400000,22500,1,951.4001,951.4001,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,ddaed03cb9857ec14bbd8978e29d3abb6c74e4f4c5759ba59a11bd33791fc3af
328,679.2,0,16980,16980,17028,1,10867200,16980,1,679.2,679.2,0.0,679.2,0.0,67920,67920,16980,33960,16980,17028,1,406b17b99be9e83de4ed561f0741ff71992665ab97ba4d843279c5aa309f70d7
329,365.4,0,9135,9135,9183,1,5846400,9135,1,365.4,365.4,0.0,365.4,0.0,36540,36540,9135,18270,9135,9183,1,f6b091408be8f45496dca3f1321ebabeeb85542ce0f2c45e1540c712067f8908
330,181.6,0,4540,4540,4588,1,2905600,4540,1,181.6,181.6,0.0,181.6,0.0,18160,18160,4540,9080,4540,4588,1,a4b9f0d17005d64104a89a49267dc9fa55be71551b749c7979cbd18cf5769b3a
331,447.8,0,11195,11195,11243,1,7164800,11195,1,447.8,447.8,0.0,447.8,0.0,44780,44780,11195,22390,11195,11243,1,f63c853472662bce3d6eca9637a1c959a7e4abf189bae55735b08bd816fcb201
332,900.0,1,22500,22500,22548,1,14400000,22500,1,1242.3999,1242.3999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,b0ff2f994cdcff0ffd188c799cb49afd6ff5bd4ec88cbd36ee50a0e7e18823b3
333,900.0,1,22500,22500,22548,1,14400000,22500,1,1403.4999,1403.4999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,f9aa10b0e398d44471d53f5bb9c4f2f97ee79772ecaed4c80b7499d9e354de4b
334,900.0,1,22500,22500,22548,1,14400000,22500,1,1445.0,1445.0,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,1559e2b51c23c1ae89db88acc7e964dae916d4d33609bd4f480ad6348947e1ee
335,452.7001,0,11317,11317,11365,1,7243201,11317,1,452.7001,452.7001,0.0,452.7001,-0.0,45270,45270,11317,22635,11317,11365,1,bdd3c2e3f17170c1630d540c91c8a6c7708f2a685b9ecb0ebb75d0a3f26f96e4
336,379.1,0,9477,9477,9525,1,6065600,9477,1,379.1,379.1,0.0,379.1,0.0,37910,37910,9477,18955,9477,9525,1,777a35f42dc86ee357130d5cbf80fc0f35c5118fd2cc5c042e35bb97b8585ae0
337,900.0,1,22500,22500,22548,1,14400000,22500,1,1404.5001,1404.5001,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,dac6ddc5ae7f52898871af5e79eafb964d8f82d7f0be0f2aaad10a35d4a9467f
338,287.8,0,7195,7195,7243,1,4604800,7195,1,287.8,287.8,0.0,287.8,0.0,28780,28780,7195,14390,7195,7243,1,96630433c5c2ca745ad45b34f16f1f89337026adfa008eab27caf3aeef2cb9fc
339,443.5,0,11087,11087,11135,1,7096000,11087,1,443.5,443.5,0.0,443.5,0.0,44350,44350,11087,22175,11087,11135,1,26935c67f2ab0b4cc7f6431e3f8348865c05c385aa1109d0b8506b3e796f41ec
340,204.2999,0,5107,5107,5155,1,3268798,5107,1,204.2999,204.2999,-0.0,204.2999,-0.0,20429,20430,5107,10215,5107,5155,1,4fa39da3c4efb4894d04cb6aecbc94d41f5c3297497d0e1146021243450e8b4d
341,418.6001,0,10465,10465,10513,1,6697601,10465,1,418.6001,418.6001,-0.0,418.6001,-0.0,41860,41860,10465,20930,10465,10513,1,7cae5811970981aca319ae3dd668d0f3790b21983483705c239185b33daa0212
343,272.6999,0,6817,6817,6865,1,4363198,6817,1,272.6999,272.6999,0.0,272.6999,-0.0,27269,27270,6817,13635,6817,6865,1,52fe10f7fb7b87ebf975015d3c5c7f0ae059c58bc06132237af0b260f46cced9
344,900.0,1,22500,22500,22548,1,14400000,22500,1,1745.3,1745.3,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,7635b1ff4ecfd440b0a53673b9b3dd8beb8b7c323b7ee65b17e8f00b26b3c169
345,900.0,1,22500,22500,22548,1,14400000,22500,1,1314.0,1314.0,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,79068bc1c5655f67663d1da3b8d8ff4c4b1bb22fb6c7c83212eedb0be3863c1a
346,699.4999,0,17487,17487,17535,1,11191998,17487,1,699.4999,699.4999,0.0,699.4999,-0.0,69949,69949,17487,34975,17487,17535,1,e5d64cf555d8b130dccad3049f78e476b21f878e2997f1c30d53db61039b96e3
347,145.1,0,3627,3627,3675,1,2321600,3627,1,145.1,145.1,0.0,145.1,0.0,14510,14510,3627,7255,3627,3675,1,16ff95519224590f41956b3646792c1577cd0cb2f9203910d6710636baacad95
348,328.0999,0,8202,8202,8250,1,5249598,8202,1,328.0999,328.0999,0.0,328.0999,-0.0,32809,32809,8202,16405,8202,8250,1,6642018ee92341c04d1fc186c76ec16260874bccfed3acd3c115bdd7c96737ae
349,503.0,0,12575,12575,12623,1,8048000,12575,1,503.0,503.0,0.0,503.0,0.0,50300,50300,12575,25150,12575,12623,1,4821d9fff87149e6f7782a1f38998b7610d532b1fe39a7bc6563325ee2c452ff
350,900.0,1,22500,22500,22548,1,14400000,22500,1,1352.1001,1352.1001,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,dd29f87b2c942785393914b799dd4ed68decb3d6ee35e7cb0d794d12691d285c
351,900.0001,1,22500,22500,22548,1,14400000,22500,1,1167.8,1167.8,0.0,900.0,-0.0001,90000,90000,22500,45000,22500,22548,1,d2c1e76e37883c624c027a1e14f91a45402c68aa70ab9ead2ce5cd920cf9a7d0
352,900.0,1,22500,22500,22548,1,14400000,22500,1,1273.2001,1273.2001,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,fa477630a9cc5c178a3ad4d6c7ea194a6d48d07e898c0c1378c71e28a0103991
353,415.1999,0,10380,10380,10428,1,6643198,10380,1,415.1999,415.1999,0.0,415.1999,-0.0,41519,41519,10380,20760,10380,10428,1,b2591dfc8cdeea477a7115a15cece33570a07295505eae8e216501ba202f3246
354,167.4999,0,4187,4187,4235,1,2679998,4187,1,167.4999,167.4999,0.0,167.4999,-0.0,16749,16750,4187,8375,4187,4235,1,148e77ad41266bc45d8de0b37c0ffa4fada55d7259b2c9bf886739b523938698
355,358.3,0,8957,8957,9005,1,5732800,8957,1,358.3,358.3,0.0,358.3,0.0,35830,35830,8957,17915,8957,9005,1,f8511cb40099445d8edf031dbec7e92a6a68f7e516fe242fe758ff1091da8ce4
356,591.4999,0,14787,14787,14835,1,9463998,14787,1,591.4999,591.4999,0.0,591.4999,-0.0,59149,59149,14787,29575,14787,14835,1,ac6fb13ff412f9370b1749ac0dad99fbaf3d99447c3006a647421d0ebfca9abb
357,530.4,0,13260,13260,13308,1,8486400,13260,1,530.4,530.4,0.0,530.4,0.0,53040,53040,13260,26520,13260,13308,1,0811d7265c59fb670bbab423ef6483825125d115d3cf4921087707a8482ba133
358,258.0,0,6450,6450,6498,1,4128000,6450,1,258.0,258.0,0.0,258.0,0.0,25800,25800,6450,12900,6450,6498,1,4ca08c06bcb8ea40936a261026b42a54ace1e1072881e9f17071f20909d5db4c
359,605.3001,0,15132,15132,15180,1,9684801,15132,1,605.3001,605.3001,-0.0,605.3001,-0.0,60530,60530,15132,30265,15132,15180,1,c066894736db30ca490075413f9fa2a00bb202252154bb63a07e1eb95831d6bd
360,218.3,0,5457,5457,5505,1,3492800,5457,1,218.3,218.3,0.0,218.3,0.0,21830,21830,5457,10915,5457,5505,1,5ca11afae009fe345fa179ca21bbc8516fc6d1c5b8ac8da817009d7bd17a259c
361,397.8001,0,9945,9945,9993,1,6364801,9945,1,397.8001,397.8001,-0.0,397.8001,-0.0,39780,39780,9945,19890,9945,9993,1,e378bfe3fa0ab8d5c9927e94e01e86a77838eb1f59348088c9db9bd7c19077fa
362,286.7,0,7167,7167,7215,1,4587200,7167,1,286.7,286.7,0.0,286.7,0.0,28670,28670,7167,14335,7167,7215,1,8195de2a1c3b766a5be5a747cf4133937aebd6407f703b4b4d1910570c63bc77
363,804.5001,0,20112,20112,20160,1,12872001,20112,1,804.5001,804.5001,-0.0,804.5001,-0.0,80450,80450,20112,40225,20112,20160,1,91dea7a8e30d18abe69cdbbf66acc7819254d5025296c12efaf474c876eeb653
364,900.0,1,22500,22500,22548,1,14400000,22500,1,1340.2,1340.2,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,d155f7107850a140a7a02384eb5dbd12cd15759260e70bdda1a19cecfedebb8c
365,718.1001,0,17952,17952,18000,1,11489601,17952,1,718.1001,718.1001,-0.0,718.1001,-0.0,71810,71810,17952,35905,17952,18000,1,d80a058d73b518766720f00677f191c9ca7b7dfcc096418f84fb0a1e4d3ef2b7
366,847.1,0,21177,21177,21225,1,13553600,21177,1,847.1,847.1,0.0,847.1,0.0,84710,84710,21177,42355,21177,21225,1,a1c6ce75552a1f173b424e93eff4162c52944e9f8ba9550e1b59de16c47be7d6
367,900.0,1,22500,22500,22548,1,14400000,22500,1,1068.9999,1068.9999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,58658e9c45678a1c3d7e7c039d3763075703c15dcc5095847824b9d2178aa045
368,900.0,1,22500,22500,22548,1,14400000,22500,1,1039.7,1039.7,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,68801a86b13bd82943bb42b4b3c1b25788f2470dee59dc308abf700c97e4fbf6
369,749.3,0,18732,18732,18780,1,11988800,18732,1,749.3,749.3,0.0,749.3,0.0,74930,74930,18732,37465,18732,18780,1,76576edd12425afb3dc260498a090f06d3aef2c1a89cb7f6b557973ecdfd7d87
370,849.3001,0,21232,21232,21280,1,13588801,21232,1,849.3001,849.3001,0.0,849.3001,-0.0,84930,84930,21232,42465,21232,21280,1,994c899bc17f019f21f8c91ee69fda2ef16f5d0e204ae046365064ed011627fe
371,309.8001,0,7745,7745,7793,1,4956801,7745,1,309.8001,309.8001,-0.0,309.8001,-0.0,30980,30980,7745,15490,7745,7793,1,d1a15461bd90b4aecb915e42fbad484a79850517d4357c520136769b77a86c30
372,751.3001,0,18782,18782,18830,1,12020801,18782,1,751.3001,751.3001,-0.0,751.3001,-0.0,75130,75130,18782,37565,18782,18830,1,e3b8ef77ea20aa39fca8a67f5a43e4e88ff2a3f230a3e8474a658b4782bbe3ae
373,900.0,1,22500,22500,22548,1,14400000,22500,1,949.2,949.2,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,1161fad5f2752554ae9171c4b04448aa5b6920b169c71820c35474d1c020905e
374,900.0,1,22500,22500,22548,1,14400000,22500,1,2039.8999,2039.8999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,137baf884975e28bef36876720356c26433cfc6da2d59800d7117a2a043cd30a
375,177.1,0,4427,4427,4475,1,2833600,4427,1,177.1,177.1,0.0,177.1,0.0,17710,17710,4427,8855,4427,4475,1,b034970922db01443eccb3a829744deec0faf043259a8b649d58723e144e7fce
376,615.6,0,15390,15390,15438,1,9849600,15390,1,615.6,615.6,0.0,615.6,0.0,61560,61560,15390,30780,15390,15438,1,b2dd169eb1e434c92b6aa23e7d73525e7a637625508ba97c92e90b740d7b6296
377,843.8999,0,21097,21097,21145,1,13502398,21097,1,843.8999,843.8999,0.0,843.8999,-0.0,84389,84389,21097,42195,21097,21145,1,d2ad73d30221e5d8b6d7e522d004db4fdb64ba7f3ceaeb3549cec7b8a3cbf303
378,432.0999,0,10802,10802,10850,1,6913598,10802,1,432.0999,432.0999,0.0,432.0999,-0.0,43209,43209,10802,21605,10802,10850,1,a2200137867ce5f354ac8341ef38523f4d86294ee3bf62131948f5500f865b73
379,708.9001,0,17722,17722,17770,1,11342401,17722,1,708.9001,708.9001,-0.0,708.9001,-0.0,70890,70890,17722,35445,17722,17770,1,31f6d047fceb71440f2a16bb93788e42c2057bac05d3ad7a1511eab789907e39
380,900.0,1,22500,22500,22548,1,14400000,22500,1,1278.0,1278.0,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,a2753521bcdfc198ea8cca7bcaf290f0570f031c03b71d4ae53cc6f52d2dade3
381,501.0001,0,12525,12525,12573,1,8016001,12525,1,501.0001,501.0001,-0.0,501.0001,-0.0,50100,50100,12525,25050,12525,12573,1,49e5d7c8b7489d4050965701dcafe8ea8b23e07b1206314b17e20694b7e38c1f
382,364.7999,0,9120,9120,9168,1,5836798,9120,1,364.7999,364.7999,0.0,364.7999,-0.0,36479,36479,9120,18240,9120,9168,1,5c0395574f7220a6c8422ecd7e2e760115655b6e6b279aefd0b7d17bedd34ac7
383,900.0,1,22500,22500,22548,1,14400000,22500,1,901.7,901.7,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,6dffd30204e50337a7748f6ca139f22519bda6e13c2e042aa662e9a136c6cc59
384,495.7001,0,12392,12392,12440,1,7931201,12392,1,495.7001,495.7001,-0.0,495.7001,-0.0,49570,49570,12392,24785,12392,12440,1,8228989544e3d52ad063fbbadc5bdf75ad14e039bba0c60f750b5fc7a0af652d
385,80.3001,0,2008,2008,2056,1,1284801,2007,1,80.3001,80.3001,-0.0,80.3001,-0.0,8030,8031,2008,4016,2008,2056,1,020c3d7f01d77f95b0d5a38522a949ced7ba09622c15f968d5ea454ef7311f19
386,900.0,1,22500,22500,22548,1,14400000,22500,1,1759.7999,1759.7999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,36caa4a3881e3b10174a0d1057012b4a7cf17bb21cfe6487de10431dea0bd3a0
387,210.4001,0,5260,5260,5308,1,3366401,5260,1,210.4001,210.4001,0.0,210.4001,-0.0,21040,21041,5260,10521,5260,5308,1,bda66e1b5de7f11e378531faafd5dd5b5cfbc0f616de22874a858f54a6d5b355
388,170.3,0,4257,4257,4305,1,2724800,4257,1,170.3,170.3,0.0,170.3,0.0,17030,17030,4257,8515,4257,4305,1,0bc698c16c4abfcd1f939f21eb4c3258218c47655bdb309208b8fc8e55516c5e
389,209.9,0,5247,5247,5295,1,3358400,5247,1,209.9,209.9,0.0,209.9,0.0,20990,20990,5247,10495,5247,5295,1,aa3a833112856c0fc315b43b1dfdabfa5cf01e708f9fbc820ce05145a7be0ec5
390,569.8,0,14245,14245,14293,1,9116800,14245,1,569.8,569.8,0.0,569.8,0.0,56980,56980,14245,28490,14245,14293,1,27f42c60372d6d7b6b90a16350d81dad9d4007c2fdc3d9d1e710bf037c351321
391,246.8999,0,6172,6172,6220,1,3950398,6172,1,246.8999,246.8999,0.0,246.8999,-0.0,24689,24690,6172,12345,6172,6220,1,983d8e815db01b88c145f4ffcecc4eba663acc2762f17cb30de2731f83b4dc45
392,258.0,0,6450,6450,6498,1,4128000,6450,1,258.0,258.0,0.0,258.0,0.0,25800,25800,6450,12900,6450,6498,1,89472a3074e8a955a3aedeeb4478f5d37be479d835a6a2a1c47d4ca7f51932a7
393,225.9,0,5647,5647,5695,1,3614400,5647,1,225.9,225.9,0.0,225.9,0.0,22590,22590,5647,11295,5647,5695,1,42e1e2da5158f2e952edc926efb79fcf10d33581e2333783cdf20366f23519e8
395,900.0001,1,22500,22500,22548,1,14400000,22500,1,1338.1,1338.1,0.0,900.0,-0.0001,90000,90000,22500,45000,22500,22548,1,a1ecdc0e40d369ec0811d8f049c6c991e9a337c5438429ea35877cbf534582ea
396,389.7,0,9742,9742,9790,1,6235200,9742,1,389.7,389.7,0.0,389.7,0.0,38970,38970,9742,19485,9742,9790,1,d9a9974cd2df3878c964ef358f94111ad727ae3951899cfacd8d85679b753db7
397,900.0,1,22500,22500,22548,1,14400000,22500,1,1426.9001,1426.9001,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,febbc4559f0c9a9da11b073bddc14893e8c4df979de598c090fc2ef2f94bcd8f
399,370.0999,0,9252,9252,9300,1,5921598,9252,1,370.0999,370.0999,-0.0,370.0999,-0.0,37009,37009,9252,18505,9252,9300,1,058bfbf1d2f1fbe05ba25f92c6f72d43d0e832a621804b594c77c8f9c7693ad4
400,478.9001,0,11972,11972,12020,1,7662401,11972,1,478.9001,478.9001,-0.0,478.9001,-0.0,47890,47890,11972,23945,11972,12020,1,29b89a272d0cfa7ea7ab2236f4c1cb9fa426e7b7825ea077b79b212e61419dfa
401,454.1,0,11352,11352,11400,1,7265600,11352,1,454.1,454.1,0.0,454.1,0.0,45410,45410,11352,22705,11352,11400,1,b38789058e136c47d5ad1b72216a7f2b710e14ac85262328b9541eaf77bfba7d
402,462.9999,0,11575,11575,11623,1,7407998,11575,1,462.9999,462.9999,0.0,462.9999,-0.0,46299,46299,11575,23150,11575,11623,1,5ab82aec2356676aedc7a4b6aba631e539a495a94e2d5773018bf7df38a423b1
403,900.0001,1,22500,22500,22548,1,14400000,22500,1,1341.3,1341.3,0.0,900.0,-0.0001,90000,90000,22500,45000,22500,22548,1,0b4617879a69244f4c8dee6b334a8979dcd603a26fcea153f36c80c1e843a217
404,899.9999,1,22500,22500,22548,1,14400000,22500,1,1616.8001,1616.8001,0.0,900.0,0.0001,90000,90000,22500,45000,22500,22548,1,e266b77962407dc8e6c1d38c203eb91e78c46d92f2cb937079694a013cb0bd32
405,900.0,1,22500,22500,22548,1,14400000,22500,1,2529.7999,2529.7999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,e455108e5fb394d3b47dc4bfd236599720f1df42213a85605fcfeaba734ee651
406,900.0,1,22500,22500,22548,1,14400000,22500,1,1047.4,1047.4,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,5bb5f1797d4e0575464a9d23df3acfbba43c6eb99eec4ba10d3e2c6aeaa35c8c
407,900.0,1,22500,22500,22548,1,14400000,22500,1,920.4001,920.4001,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,26fd1eb61d5f121d15012025ac1181cae48409f61aaafbac07a2e1a2d7a079c0
408,372.6,0,9315,9315,9363,1,5961600,9315,1,372.6,372.6,0.0,372.6,0.0,37260,37260,9315,18630,9315,9363,1,502d29ddfdef732f25c8df02d0e8cd4c45e67330699248fcbab2936b76aabc74
409,718.4,0,17960,17960,18008,1,11494400,17960,1,718.4,718.4,0.0,718.4,0.0,71840,71840,17960,35920,17960,18008,1,8f9d883982ae9ba6d76d4b7a129356943ccf9f1ff6da985153ff65e31d0806cc
410,609.7,0,15242,15242,15290,1,9755200,15242,1,609.7,609.7,0.0,609.7,0.0,60970,60970,15242,30485,15242,15290,1,d88675b4f4fa74aeb5f9685bf5efd2ce4d9e83b0a1ec95dce44d64a15f2c1ac1
411,900.0,1,22500,22500,22548,1,14400000,22500,1,1015.6001,1015.6001,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,7d39ee837245a6875a5efad08b040191191db8620b782d86c97d5b9b8e7b3f96
412,900.0,1,22500,22500,22548,1,14400000,22500,1,1162.6999,1162.6999,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,c313e0a708f0852687196b92bdb74bd43b188767acff68708869e62f6ab2c810
413,596.2,0,14905,14905,14953,1,9539200,14905,1,596.2,596.2,0.0,596.2,0.0,59620,59620,14905,29810,14905,14953,1,6b4090ec3a2714faaf44b139d2544b5c955a68000c5e125bb866c431174e9ffe
414,558.7999,0,13970,13970,14018,1,8940798,13970,1,558.7999,558.7999,0.0,558.7999,-0.0,55879,55879,13970,27940,13970,14018,1,9d1b3597ed01ca707ca25298ca7399f402b740efe46b8ae6472546058b1974cd
415,396.4,0,9910,9910,9958,1,6342400,9910,1,396.4,396.4,0.0,396.4,0.0,39640,39640,9910,19820,9910,9958,1,a17e0d99e902650c8cb1cf425bcde1e1915fea34ffafa0a3d68a37574a736af9
416,493.3,0,12332,12332,12380,1,7892800,12332,1,493.3,493.3,0.0,493.3,0.0,49330,49330,12332,24665,12332,12380,1,da92f998039bfe7bc349b839871ccb4f1e5d54a51e420ae23f73e2896c4f289f
417,451.4999,0,11287,11287,11335,1,7223998,11287,1,451.4999,451.4999,0.0,451.4999,-0.0,45149,45149,11287,22575,11287,11335,1,fc2ec56dcf24e3af32a059a1e0542fa04e7259551843c11a7cc9d23a89991f74
418,606.9,0,15172,15172,15220,1,9710400,15172,1,606.9,606.9,0.0,606.9,0.0,60690,60690,15172,30345,15172,15220,1,d5f25ed588831b391caaef41acaf9937dede134a5b1a12ed6b3b95c9e7991549
419,649.7,0,16242,16242,16290,1,10395200,16242,1,649.7,649.7,0.0,649.7,0.0,64970,64970,16242,32485,16242,16290,1,ff14d85f8a88060248260f78fec36d546c8ef594b19b61878b44a07dd1662210
420,403.8999,0,10097,10097,10145,1,6462398,10097,1,403.8999,403.8999,0.0,403.8999,-0.0,40389,40389,10097,20195,10097,10145,1,22346f83320b3288379b28d0fa201064fd212d1c06d29f14fce1b240799ae3bb
421,410.8001,0,10270,10270,10318,1,6572801,10270,1,410.8001,410.8001,-0.0,410.8001,-0.0,41080,41080,10270,20540,10270,10318,1,d4c40c759859fd94b3b28373acfb9b91a754732d12e573fc1e4a2acbffc3581d
