stream,stage,auc_r0,auc_r1,auc_r2,auc_r3,auc_r4,meanof5,is_best
ans,2,0.6070755400898942,0.6284616499927504,0.6335363201391909,0.605045672031318,0.5959837610555314,0.614020588661737,0
ans,3,0.5695954762940408,0.6051181673191243,0.5818471799333044,0.5550964187327824,0.5602435841670291,0.5743801652892563,0
ans,4,0.5766275192112512,0.6109177903436277,0.5742351747136436,0.562925909815862,0.5742351747136436,0.5797883137596056,0
ans,5,0.5752501087429317,0.5948238364506307,0.5754675946063506,0.5395099318544294,0.5434971726837755,0.5657097288676236,0
ans,6,0.5743076700014499,0.5696679715818472,0.5853994490358126,0.5336378135421198,0.5694504857184283,0.5664926779759315,0
ans,7,0.5617659852109613,0.5643758155719878,0.5897491663041903,0.5388574742641729,0.554008989415688,0.5617514861534001,0
ans,8,0.5923589966652167,0.5764100333478324,0.5848919820211687,0.5337103088299261,0.5738726982746122,0.5722488038277512,0
ans,9,0.606785558938669,0.5868493547919386,0.5814122082064666,0.5816296940698854,0.5873568218065826,0.5888067275627085,0
ans,10,0.6304915180513266,0.6111352762070466,0.6209946353487024,0.6074380165289256,0.5990285631433957,0.6138176018558793,0
ans,11,0.6222270552414093,0.5972161809482384,0.6252718573292736,0.5968537045092069,0.5803972741771785,0.6043932144410613,0
ans,12,0.6505002174858634,0.5998260113092649,0.6594171378860374,0.6085979411338263,0.6267217630853994,0.6290126141800784,0
ans,13,0.6868928519646224,0.6320864143830651,0.6767435116717413,0.650645208061476,0.6562273452225605,0.660519066260693,0
ans,14,0.689792663476874,0.6630419022763521,0.6867478613890097,0.6680440771349863,0.6639843410178339,0.6743221690590111,0
ans,15,0.742569232999855,0.7317674351167174,0.7562708423952443,0.7099101058431202,0.6976946498477599,0.7276424532405394,0
ans,16,0.7730897491663042,0.7713498622589532,0.7576482528635639,0.7631578947368421,0.735899666521676,0.7602290851094679,0
ans,17,0.7744671596346238,0.7788168769030013,0.7669276497027693,0.778236914600551,0.7465564738292011,0.7690010149340293,0
ans,18,0.7911410758300711,0.808467449615775,0.7850514716543424,0.7969406988545744,0.7572857764245324,0.787777294475859,0
ans,19,0.8014354066985646,0.8247063940843845,0.8209366391184573,0.8299260548064376,0.7918660287081339,0.8137741046831956,0
ans,20,0.8328983616064956,0.8426852254603451,0.8286211396259243,0.8513121647092939,0.8096273742206757,0.8330288531245469,0
ans,21,0.834493257938234,0.8460925039872408,0.8231839930404524,0.8563868348557344,0.8272437291576048,0.8374800637958533,0
ans,22,0.8370305930114542,0.8442076265042773,0.8258663186892852,0.85529940553864,0.8328258663186893,0.8390459620124691,0
ans,23,0.8497172683775555,0.8566768160069596,0.8344207626504277,0.8566768160069596,0.8328983616064956,0.8460780049296796,0
ans,24,0.8355806872553284,0.8483398579092359,0.8302160359576628,0.8459475134116282,0.8158619689720168,0.8351892127011744,0
ans,25,0.8468174568653037,0.846382485138466,0.8331158474699144,0.8442801217920836,0.8191967522111063,0.8379585326953748,0
ans,26,0.8418152820066696,0.8501522401043932,0.8328983616064956,0.8326808757430767,0.8020878642888212,0.8319269247498913,0
ans,27,0.8458025228360156,0.8591416557923734,0.8616064955777875,0.8481948673336233,0.8336958097723648,0.849688270262433,1
ans,28,0.8445701029433087,0.8513121647092939,0.8587066840655357,0.8439901406408583,0.8434826736262143,0.8484123531970422,0
