pid,ok,native_sr,ch,raw_s,stitched_s,src_dur_s,d_stitch,win_s,win_dur_s,d_win,capped,sr_expected
375,1,16000,1,621.2,177.1,177.1,0.0,177.1,177.1,0.0,0,16000
376,1,16000,1,1025.7,615.6,615.6,0.0,615.6,615.6,0.0,0,16000
377,1,16000,1,1328.3,843.8999,843.8999,0.0,843.8999,843.8999,-0.0,0,16000
378,1,16000,1,873.4,432.0999,432.0999,0.0,432.0999,432.0999,-0.0,0,16000
379,1,16000,1,1002.1,708.9001,708.9001,-0.0,708.9001,708.9001,-0.0,0,16000
380,1,16000,1,1966.2,1278.0,1278.0,0.0,900.0,900.0,0.0,1,16000
381,1,16000,1,1089.3,501.0001,501.0001,-0.0,501.0001,501.0001,-0.0,0,16000
382,1,16000,1,824.2,364.7999,364.7999,0.0,364.7999,364.7999,-0.0,0,16000
383,1,16000,1,1369.1,901.7,901.7,0.0,900.0,900.0,0.0,1,16000
384,1,16000,1,1056.8,495.7001,495.7001,-0.0,495.7001,495.7001,-0.0,0,16000
385,1,16000,1,536.3,80.3001,80.3001,-0.0,80.3001,80.3001,-0.0,0,16000
386,1,16000,1,1039.4,1759.7999,1759.7999,0.0,900.0,900.0,0.0,1,16000
387,1,16000,1,602.8,210.4001,210.4001,0.0,210.4001,210.4001,-0.0,0,16000
388,1,16000,1,831.2,170.3,170.3,0.0,170.3,170.3,0.0,0,16000
389,1,16000,1,953.2,209.9,209.9,0.0,209.9,209.9,0.0,0,16000
390,1,16000,1,1356.7,569.8,569.8,0.0,569.8,569.8,0.0,0,16000
391,1,16000,1,680.1,246.8999,246.8999,0.0,246.8999,246.8999,-0.0,0,16000
392,1,16000,1,655.7,258.0,258.0,0.0,258.0,258.0,0.0,0,16000
393,1,16000,1,630.0,225.9,225.9,0.0,225.9,225.9,0.0,0,16000
395,1,16000,1,889.2,1338.1,1338.1,0.0,900.0,900.0001,-0.0001,1,16000
396,1,16000,1,780.4,389.7,389.7,0.0,389.7,389.7,0.0,0,16000
397,1,16000,1,953.3,1426.9001,1426.9001,-0.0,900.0,900.0,0.0,1,16000
399,1,16000,1,734.0,370.0999,370.0999,-0.0,370.0999,370.0999,-0.0,0,16000
400,1,16000,1,936.7,478.9001,478.9001,-0.0,478.9001,478.9001,-0.0,0,16000
401,1,16000,1,934.2,454.1,454.1,0.0,454.1,454.1,0.0,0,16000
402,1,16000,1,955.4987,462.9999,462.9999,0.0,462.9999,462.9999,-0.0,0,16000
403,1,16000,1,862.5,1341.3,1341.3,0.0,900.0,900.0001,-0.0001,1,16000
404,1,16000,1,1130.6,1616.8001,1616.8001,0.0,900.0,899.9999,0.0001,1,16000
405,1,16000,1,1570.2,2529.7999,2529.7999,0.0,900.0,900.0,0.0,1,16000
406,1,16000,1,721.8,1047.4,1047.4,0.0,900.0,900.0,0.0,1,16000
407,1,16000,1,1252.4,920.4001,920.4001,0.0,900.0,900.0,0.0,1,16000
408,1,16000,1,715.9,372.6,372.6,0.0,372.6,372.6,0.0,0,16000
409,1,16000,1,1032.4,718.4,718.4,0.0,718.4,718.4,0.0,0,16000
410,1,16000,1,1065.0,609.7,609.7,0.0,609.7,609.7,0.0,0,16000
411,1,16000,1,1382.9,1015.6001,1015.6001,-0.0,900.0,900.0,0.0,1,16000
412,1,16000,1,856.9,1162.6999,1162.6999,-0.0,900.0,900.0,0.0,1,16000
413,1,16000,1,996.8,596.2,596.2,0.0,596.2,596.2,0.0,0,16000
414,1,16000,1,984.3,558.7999,558.7999,0.0,558.7999,558.7999,-0.0,0,16000
415,1,16000,1,780.7,396.4,396.4,0.0,396.4,396.4,0.0,0,16000
416,1,16000,1,865.8,493.3,493.3,0.0,493.3,493.3,0.0,0,16000
417,1,16000,1,886.3,451.4999,451.4999,0.0,451.4999,451.4999,-0.0,0,16000
418,1,16000,1,1089.2,606.9,606.9,0.0,606.9,606.9,0.0,0,16000
419,1,16000,1,906.3,649.7,649.7,0.0,649.7,649.7,0.0,0,16000
420,1,16000,1,1048.9,403.8999,403.8999,0.0,403.8999,403.8999,-0.0,0,16000
421,1,16000,1,837.0,410.8001,410.8001,-0.0,410.8001,410.8001,-0.0,0,16000
422,1,16000,1,1334.6,804.1,804.1,0.0,804.1,804.1,0.0,0,16000
423,1,16000,1,995.9,479.3,479.3,0.0,479.3,479.3,0.0,0,16000
424,1,16000,1,1062.7,1851.7001,1851.7001,0.0,900.0,900.0,0.0,1,16000
425,1,16000,1,1154.8,1788.0001,1788.0001,-0.0,900.0,900.0,0.0,1,16000
426,1,16000,1,856.8,1276.9001,1276.9001,-0.0,900.0,900.0,0.0,1,16000
427,1,16000,1,871.8,357.6,357.6,0.0,357.6,357.6,0.0,0,16000
428,1,16000,1,704.1,259.0,259.0,0.0,259.0,259.0,0.0,0,16000
429,1,16000,1,957.5,409.7001,409.7001,-0.0,409.7001,409.7001,-0.0,0,16000
430,1,16000,1,908.8,1349.6001,1349.6001,-0.0,900.0,900.0,0.0,1,16000
431,1,16000,1,833.8,350.8,350.8,0.0,350.8,350.8,0.0,0,16000
432,1,16000,1,935.9,415.5,415.5,0.0,415.5,415.5,0.0,0,16000
433,1,16000,1,801.9,340.5001,340.5001,-0.0,340.5001,340.5001,-0.0,0,16000
434,1,16000,1,1319.9,864.3999,864.3999,0.0,864.3999,864.3999,-0.0,0,16000
435,1,16000,1,1185.0,500.4001,500.4001,-0.0,500.4001,500.4001,-0.0,0,16000
436,1,16000,1,687.9,1050.8001,1050.8001,-0.0,900.0,900.0,0.0,1,16000
437,1,16000,1,849.6,485.9001,485.9001,-0.0,485.9001,485.9001,-0.0,0,16000
438,1,16000,1,1429.9,2536.8,2536.8,0.0,900.0,900.0,0.0,1,16000
439,1,16000,1,1284.6,987.8001,987.8001,-0.0,900.0,900.0,0.0,1,16000
440,1,16000,1,1414.1,724.6001,724.6001,-0.0,724.6001,724.6001,-0.0,0,16000
441,1,16000,1,971.3,323.7001,323.7001,-0.0,323.7001,323.7001,-0.0,0,16000
442,1,16000,1,950.0,1488.2999,1488.2999,0.0,900.0,900.0,0.0,1,16000
443,1,16000,1,701.3,193.4,193.4,0.0,193.4,193.4,0.0,0,16000
444,1,16000,1,1310.5,962.2001,962.2001,-0.0,900.0,900.0,0.0,1,16000
445,1,16000,1,709.6,360.6001,360.6001,-0.0,360.6001,360.6001,-0.0,0,16000
446,1,16000,1,998.4,665.0,665.0,0.0,665.0,665.0,0.0,0,16000
447,1,16000,1,820.3,462.0,462.0,0.0,462.0,462.0,0.0,0,16000
448,1,16000,1,1213.0,2054.3001,2054.3001,-0.0,900.0,900.0,0.0,1,16000
449,1,16000,1,1029.7,1787.5999,1787.5999,0.0,900.0,900.0,0.0,1,16000
450,1,16000,1,1275.2,787.4,787.4,0.0,787.4,787.4,0.0,0,16000
451,1,16000,1,1188.4,685.7,685.7,0.0,685.7,685.7,0.0,0,16000
452,1,16000,1,889.1,1083.5999,1083.5999,-0.0,900.0,900.0,0.0,1,16000
453,1,16000,1,1032.2,1491.5001,1491.5001,-0.0,900.0,900.0,0.0,1,16000
454,1,16000,1,804.1,1032.2001,1032.2001,-0.0,900.0,900.0,0.0,1,16000
455,1,16000,1,750.4,1173.0,1173.0,0.0,900.0,900.0,0.0,1,16000
456,1,16000,1,882.7,508.7,508.7,0.0,508.7,508.7,0.0,0,16000
457,1,16000,1,962.3,1406.9,1406.9,0.0,900.0,900.0,0.0,1,16000
458,1,16000,1,949.7,580.3,580.3,0.0,580.3,580.3,0.0,0,16000
459,1,16000,1,975.1,384.6,384.6,0.0,384.6,384.6,0.0,0,16000
461,1,16000,1,981.5,1207.7,1207.7,0.0,900.0,900.0,0.0,1,16000
462,1,16000,1,965.1,1612.7001,1612.7001,-0.0,900.0,900.0,0.0,1,16000
463,1,16000,1,834.7,386.7999,386.7999,0.0,386.7999,386.7999,-0.0,0,16000
464,1,16000,1,980.3,658.6999,658.6999,0.0,658.6999,658.6999,-0.0,0,16000
465,1,16000,1,1163.4,1932.9001,1932.9001,-0.0,900.0,900.0,0.0,1,16000
466,1,16000,1,1566.5,2586.1999,2586.1999,0.0,900.0,900.0,0.0,1,16000
467,1,16000,1,1002.4,365.6999,365.6999,0.0,365.6999,365.6999,-0.0,0,16000
468,1,16000,1,939.8,1413.5001,1413.5001,-0.0,900.0,900.0,0.0,1,16000
469,1,16000,1,1126.6,639.3999,639.3999,-0.0,639.3999,639.3999,-0.0,0,16000
470,1,16000,1,955.4,1499.0001,1499.0001,-0.0,900.0,900.0,0.0,1,16000
471,1,16000,1,995.3,1627.2001,1627.2001,-0.0,900.0,900.0,0.0,1,16000
472,1,16000,1,903.0,397.8,397.8,0.0,397.8,397.8,0.0,0,16000
473,1,16000,1,533.3,101.1,101.1,0.0,101.1,101.1,0.0,0,16000
474,1,16000,1,927.4,1442.5001,1442.5001,-0.0,900.0,900.0,0.0,1,16000
475,1,16000,1,587.2,224.5999,224.5999,0.0,224.5999,224.5999,-0.0,0,16000
476,1,16000,1,608.8,785.6,785.6,0.0,785.6,785.6,0.0,0,16000
477,1,16000,1,1244.7,829.6001,829.6001,-0.0,829.6001,829.6001,-0.0,0,16000
478,1,16000,1,936.2,1305.6,1305.6,0.0,900.0,900.0001,-0.0001,1,16000
479,1,16000,1,910.4,256.0001,256.0001,-0.0,256.0001,256.0001,-0.0,0,16000
480,1,16000,1,865.7,1205.3001,1205.3001,-0.0,900.0,900.0,0.0,1,16000
481,1,16000,1,1116.4,656.3,656.3,0.0,656.3,656.3,0.0,0,16000
482,1,16000,1,1019.0,1589.8,1589.8,0.0,900.0,900.0,0.0,1,16000
483,1,16000,1,1577.0,2384.2001,2384.2001,0.0,900.0,900.0001,-0.0001,1,16000
484,1,16000,1,995.5,573.5999,573.5999,0.0,573.5999,573.5999,-0.0,0,16000
485,1,16000,1,602.7,212.4001,212.4001,-0.0,212.4001,212.4001,-0.0,0,16000
486,1,16000,1,682.3,298.2001,298.2001,0.0,298.2001,298.2001,-0.0,0,16000
487,1,16000,1,1023.5,692.0001,692.0001,-0.0,692.0001,692.0001,-0.0,0,16000
488,1,16000,1,884.9,455.5,455.5,0.0,455.5,455.5,0.0,0,16000
489,1,16000,1,704.7,842.8,842.8,0.0,842.8,842.8,0.0,0,16000
490,1,16000,1,691.3,193.5999,193.5999,0.0,193.5999,193.5999,-0.0,0,16000
491,1,16000,1,881.7,1268.9999,1268.9999,0.0,900.0,900.0,0.0,1,16000
492,1,16000,1,912.5,1447.4,1447.4,0.0,900.0,900.0,0.0,1,16000
600,1,16000,1,685.79,98.1999,98.1999,0.0,98.1999,98.1999,-0.0,0,16000
601,1,16000,1,699.54,139.5,139.5,0.0,139.5,139.5,0.0,0,16000
602,1,16000,1,777.89,1092.8,1092.8,0.0,900.0,900.0001,-0.0001,1,16000
603,1,48000,2,1337.18,2052.4001,2052.4001,-0.0,900.0,900.0,0.0,1,48000
604,1,16000,1,626.81,117.9999,117.9999,0.0,117.9999,117.9999,-0.0,0,16000
605,1,16000,1,808.58,208.5,208.5,0.0,208.5,208.5,0.0,0,16000
606,1,16000,1,529.19,65.9001,65.9001,-0.0,65.9001,65.9001,-0.0,0,16000
607,1,16000,1,792.01,220.3001,220.3001,-0.0,220.3001,220.3001,-0.0,0,16000
608,1,16000,1,1384.12,653.4002,653.4002,-0.0,653.4002,653.4002,-0.0,0,16000
609,1,48000,2,1367.5601,740.6999,740.6999,0.0,740.6999,740.6999,0.0,0,48000
612,1,16000,1,907.29,286.5,286.5,0.0,286.5,286.5,0.0,0,16000
615,1,16000,1,1226.25,573.3999,573.3999,0.0,573.3999,573.3999,-0.0,0,16000
617,1,16000,1,1364.03,591.8,591.8,0.0,591.8,591.8,0.0,0,16000
618,1,16000,1,890.69,139.2001,139.2001,-0.0,139.2001,139.2001,-0.0,0,16000
619,1,16000,1,1168.62,556.5,556.5,0.0,556.5,556.5,0.0,0,16000
620,1,48000,2,1080.0,393.2,393.2,0.0,393.2,393.2,0.0,0,48000
622,1,48000,2,815.0,320.4001,320.4001,-0.0,320.4001,320.4001,-0.0,0,48000
623,1,48000,2,1410.0,725.6998,725.6998,-0.0,725.6998,725.6998,0.0,0,48000
624,1,16000,1,849.36,165.4999,165.4999,0.0,165.4999,165.4999,-0.0,0,16000
625,1,48000,2,1110.0,566.4,566.4,0.0,566.4,566.4,0.0,0,48000
626,1,16000,1,611.16,89.8,89.8,0.0,89.8,89.8,0.0,0,16000
627,1,16000,1,1375.0,572.1999,572.1999,-0.0,572.1999,572.1999,-0.0,0,16000
628,1,16000,1,1164.86,562.1,562.1,0.0,562.1,562.1,0.0,0,16000
629,1,48000,2,1375.0,737.4999,737.4999,0.0,737.4999,737.4999,0.0,0,48000
631,1,16000,1,619.02,675.9,675.9,0.0,675.9,675.9,0.0,0,16000
632,1,48000,2,1155.0,581.2001,581.2001,-0.0,581.2001,581.2,0.0001,0,48000
633,1,48000,2,1585.0,1113.7999,1113.7999,0.0,900.0,900.0,0.0,1,48000
634,1,48000,2,770.0,377.1,377.1,-0.0,377.1,377.1,0.0,0,48000
635,1,48000,2,531.28,84.5,84.5,0.0,84.5,84.5,0.0,0,48000
636,1,16000,1,1686.83,981.1,981.1,0.0,900.0,900.0,0.0,1,16000
637,1,48000,2,1686.6265,714.6001,714.6001,-0.0,714.6001,714.6001,-0.0,0,48000
638,1,16000,1,525.08,88.6,88.6,0.0,88.6,88.6,0.0,0,16000
640,1,48000,2,813.52,407.0999,407.0999,0.0,407.0999,407.0999,0.0,0,48000
641,1,16000,1,754.96,186.7,186.7,0.0,186.7,186.7,0.0,0,16000
649,1,48000,2,992.05,368.0,368.0,-0.0,368.0,368.0,0.0,0,48000
650,1,16000,1,1035.69,418.5,418.5,0.0,418.5,418.5,0.0,0,16000
651,1,16000,1,586.66,74.5,74.5,0.0,74.5,74.5,0.0,0,16000
652,1,16000,1,953.29,355.4999,355.4999,0.0,355.4999,355.4999,-0.0,0,16000
653,1,48000,2,664.89,188.8,188.8,0.0,188.8,188.8,0.0,0,48000
654,1,16000,1,556.39,143.3999,143.3999,0.0,143.3999,143.3999,-0.0,0,16000
655,1,16000,1,855.09,266.3001,266.3001,0.0,266.3001,266.3001,-0.0,0,16000
656,1,16000,1,763.75,312.4,312.4,0.0,312.4,312.4,0.0,0,16000
657,1,48000,2,966.84,2377.9001,2377.9001,-0.0,900.0,900.0,0.0,1,48000
658,1,16000,1,988.19,315.5001,315.5001,-0.0,315.5001,315.5001,-0.0,0,16000
659,1,48000,2,1507.6206,692.3001,692.3001,-0.0,692.3001,692.3001,-0.0,0,48000
660,1,16000,1,1069.32,1560.2,1560.2,0.0,900.0,900.0,0.0,1,16000
661,1,48000,2,1253.65,1781.7,1781.7,0.0,900.0,900.0,0.0,1,48000
662,1,48000,2,847.19,341.1,341.1,-0.0,341.1,341.1,0.0,0,48000
663,1,16000,1,894.65,307.2001,307.2001,-0.0,307.2001,307.2001,-0.0,0,16000
664,1,16000,1,1198.34,1884.8999,1884.8999,0.0,900.0,900.0,0.0,1,16000
666,1,48000,2,1205.42,628.0999,628.0999,0.0,628.0999,628.0999,0.0,0,48000
667,1,16000,1,863.5,1123.7999,1123.7999,0.0,900.0,900.0,0.0,1,16000
669,1,48000,2,1370.0,741.2,741.2,0.0,741.2,741.2,0.0,0,48000
670,1,16000,1,638.35,168.7,168.7,0.0,168.7,168.7,0.0,0,16000
673,1,16000,1,601.91,719.3001,719.3001,-0.0,719.3001,719.3001,-0.0,0,16000
676,1,16000,1,583.35,701.0,701.0,0.0,701.0,701.0,0.0,0,16000
677,1,48000,2,900.41,371.5999,371.5999,-0.0,371.5999,371.5999,-0.0,0,48000
679,1,16000,1,1238.69,2808.3999,2808.3999,0.0,900.0,900.0,0.0,1,16000
680,1,48000,2,1391.09,753.7999,753.7999,0.0,753.7999,753.7999,0.0,0,48000
682,1,16000,1,734.96,143.2,143.2,0.0,143.2,143.2,0.0,0,16000
683,1,48000,2,1283.86,1901.1,1901.1,0.0,900.0,900.0,0.0,1,48000
684,1,48000,2,1073.41,322.2999,322.2999,0.0,322.2999,322.2999,0.0,0,48000
687,1,16000,1,1112.26,1547.2001,1547.2001,-0.0,900.0,900.0,0.0,1,16000
688,1,16000,1,1127.05,467.3001,467.3001,-0.0,467.3001,467.3001,-0.0,0,16000
689,1,48000,2,890.19,1140.5001,1140.5001,-0.0,900.0,900.0,0.0,1,48000
691,1,48000,2,1297.99,1974.6997,1974.6997,-0.0,900.0,900.0,0.0,1,48000
692,1,48000,2,1024.737,146.4999,146.4999,0.0,146.4999,146.4999,0.0,0,48000
693,1,16000,1,691.72,847.4,847.4,0.0,847.4,847.4,0.0,0,16000
695,1,48000,2,1506.8,2049.8002,2049.8002,-0.0,900.0,900.0,0.0,1,48000
696,1,16000,1,763.58,936.1999,936.1999,0.0,900.0,900.0,0.0,1,16000
697,1,48000,2,1058.46,1631.2001,1631.2001,0.0,900.0,900.0,0.0,1,48000
698,1,48000,2,1420.0,864.8,864.8,0.0,864.8,864.8,0.0,0,48000
699,1,16000,1,705.0,119.2999,119.2999,0.0,119.2999,119.2999,-0.0,0,16000
702,1,16000,1,732.92,238.5999,238.5999,0.0,238.5999,238.5999,-0.0,0,16000
703,1,16000,1,813.02,172.2,172.2,0.0,172.2,172.2,0.0,0,16000
705,1,16000,1,785.99,198.3,198.3,0.0,198.3,198.3,0.0,0,16000
707,1,48000,2,870.35,311.4001,311.4001,-0.0,311.4001,311.4001,-0.0,0,48000
708,1,16000,1,896.06,1335.9001,1335.9001,-0.0,900.0,900.0,0.0,1,16000
709,1,48000,2,819.75,1067.1001,1067.1001,-0.0,900.0,900.0,0.0,1,48000
710,1,16000,1,833.26,322.5999,322.5999,0.0,322.5999,322.5999,-0.0,0,16000
712,1,16000,1,1226.04,1876.0001,1876.0001,0.0,900.0,900.0,0.0,1,16000
713,1,16000,1,790.46,1016.7,1016.7,0.0,900.0,900.0,0.0,1,16000
715,1,16000,1,1303.29,655.7001,655.7001,-0.0,655.7001,655.7001,-0.0,0,16000
716,1,16000,1,969.71,1360.8,1360.8,0.0,900.0,900.0001,-0.0001,1,16000
717,1,48000,2,1082.731,543.1,543.1,0.0,543.1,543.1,0.0,0,48000
718,1,16000,1,1281.87,776.5999,776.5999,0.0,776.5999,776.5999,-0.0,0,16000
