id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
A4_zeroshot_whole_minus_ctl300	EXTRA same-GPU control: whole minus 300 s zero-shot AUC, paired, both on this pod	0.0087	-0.0325	0.0510	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.01 [-0.03, 0.05]	difference: includes 0
A4_ctl300_vs_T7b_maxabs	EXTRA: max abs per-clip p_yes, 300 s window on this H100 NVL pod vs published 300 s (T7b, H200)	0.0305			275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.03	n/a
A4_ctl300_enc_meanof5	EXTRA same-GPU control: encoder probe mean of five [0.5961, 0.5816, 0.5959, 0.56, 0.6147], 300 s window, this pod	0.5897	0.5276	0.6543	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.59 [0.53, 0.65]	above 0.5
A4_ctl300_enc_minus_answer	EXTRA same-GPU control: encoder probe mean-of-five minus 300 s zero-shot answer, paired, this pod	-0.2382	-0.3166	-0.1564	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	-0.24 [-0.32, -0.16]	difference: excludes 0
A4_enc_whole_minus_ctl300	EXTRA same-GPU control: encoder probe mean-of-five, whole minus 300 s, paired, both on this pod	0.0085	-0.0264	0.0464	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.01 [-0.03, 0.05]	difference: includes 0
A4_ctl300_proj_meanof5	EXTRA same-GPU control: projector probe mean of five [0.5512, 0.5626, 0.5808, 0.5659, 0.5484], 300 s window, this pod	0.5618	0.4882	0.6353	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.56 [0.49, 0.64]	includes 0.5
A4_ctl300_proj_minus_answer	EXTRA same-GPU control: projector probe mean-of-five minus 300 s zero-shot answer, paired, this pod	-0.2661	-0.3491	-0.1802	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	-0.27 [-0.35, -0.18]	difference: excludes 0
A4_proj_whole_minus_ctl300	EXTRA same-GPU control: projector probe mean-of-five, whole minus 300 s, paired, both on this pod	0.0248	-0.0186	0.0707	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.02 [-0.02, 0.07]	difference: includes 0
A4_ctl300_llm_meanof5	EXTRA same-GPU control: LM probe mean of five [0.6908, 0.7031, 0.6893, 0.7049, 0.7129], 300 s window, this pod	0.7002	0.6211	0.7731	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.70 [0.62, 0.77]	above 0.5
A4_ctl300_llm_minus_answer	EXTRA same-GPU control: LM probe mean-of-five minus 300 s zero-shot answer, paired, this pod	-0.1277	-0.2012	-0.0612	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	-0.13 [-0.20, -0.06]	difference: excludes 0
A4_llm_whole_minus_ctl300	EXTRA same-GPU control: LM probe mean-of-five, whole minus 300 s, paired, both on this pod	0.0435	0.0003	0.0932	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.04 [0.00, 0.09]	difference: excludes 0
A4_ctl300_ans_meanof5	EXTRA same-GPU control: answer state probe mean of five [0.76, 0.736, 0.7391, 0.7161, 0.7748], 300 s window, this pod	0.7452	0.6826	0.8059	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.75 [0.68, 0.81]	above 0.5
A4_ctl300_ans_minus_answer	EXTRA same-GPU control: answer state probe mean-of-five minus 300 s zero-shot answer, paired, this pod	-0.0827	-0.1314	-0.0356	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	-0.08 [-0.13, -0.04]	difference: excludes 0
A4_ans_whole_minus_ctl300	EXTRA same-GPU control: answer state probe mean-of-five, whole minus 300 s, paired, both on this pod	0.0907	0.0480	0.1348	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.09 [0.05, 0.13]	difference: excludes 0
