pid,win_dur_s,capped,wave_samples,wave_s,feat_frames_formula,feat_frames_observed,audio_tok_expected_from_formula,audio_tok_observed,enc_positions,proj_positions,seq_len,fit_in_32k,p_yes,answer_mass,p_yes_rule,answer_mass_rule,cut_wav_sha256_first1MB,peak_gpu_gib,model_sec
310,297.8,0,4764800,297.8,29780,29780,7445,7445,14890,7445,7493,1,0.13314765673451026,0.9952533692121506,0.1331477099170843,0.9952548742294312,4d4dd406a991e4dcb161022f4e4b5d6d43d7105f4ff6318afda9319eb23eaec1,19.634,0.515
311,217.7999,0,3484798,217.7999,21779,21780,5445,5445,10890,5445,5493,1,0.9604989442453493,0.9988083243370056,0.9604988933473655,0.9988098666071892,8f8162650e6c02161d26ef0da479755a4db27aad1a951eae653934ec018a68ac,18.565,0.382
312,340.3999,0,5446398,340.3999,34039,34039,8510,8510,17020,8510,8558,1,0.09549637939473367,0.996743693947792,0.09549644097060807,0.9967450797557831,f6f18d57c10f08ec7a5d9745ef6ef25ef30d9d12db312d99c6ab22857651e831,20.214,0.612
313,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9690406367526657,0.9978163056075573,0.9690405941874842,0.9978176411241293,c38e163dfe5cc96d32b8406f419469640753fdc3b0701a62328e80302d74f7cb,27.76,1.936
314,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.40716458781979087,0.993412435054779,0.40716450163422413,0.9934144020080566,d34b58adcd15148394a84e4ad10c4d60334bb92a146eb173ca6b81bec2026f84,27.76,2.246
315,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.12612673976875907,0.99626424908638,0.1261267436755205,0.9962657541036606,0c5aafaaf1c851bb017f80282bdd8cf39d286bdfa99429872634fb30cd811032,27.76,1.921
316,226.3,0,3620800,226.3,22630,22630,5657,5657,11315,5657,5705,1,0.8522100278875331,0.9984248727560043,0.8522098482144581,0.9984264820814133,8d7890c64a7e357a06c7834eba57f6ffff02450d0d76e95454d9000728cd5d80,18.678,0.403
317,233.9999,0,3743998,233.9999,23399,23400,5850,5850,11700,5850,5898,1,0.8671905204281921,0.9982544779777527,0.8671903403635494,0.998256266117096,0d7a8a99617a6d709f38b75005a23bf1ab61d31dea8bfc790a325263d3110e93,18.783,0.411
318,249.5999,0,3993598,249.5999,24959,24960,6240,6240,12480,6240,6288,1,0.08522110346867857,0.9965059235692024,0.08522117986486563,0.996508352458477,0f536117d9c89a853ffb5bfe9be40c847f890357f63d130752bfac712454e3f7,18.987,0.45
319,900.0001,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.8990922614332196,0.9974292367696762,0.8990920555501574,0.9974311888217926,5dfcd97a00166982f0c2b2601d8eac31d6475422f93b380daa89d958f6e0b7f3,27.76,1.925
320,249.1,0,3985600,249.1,24910,24910,6227,6227,12455,6227,6275,1,0.37867649801557346,0.9946971237659454,0.3786766195122693,0.9946997165679932,84f9e78ffd6573b4bec40b7394ae9b0a0efaec093e3c83da3427dbf5603c8516,18.98,0.439
321,311.5999,0,4985598,311.5999,31159,31159,7790,7790,15580,7790,7838,1,0.9756547031508478,0.9989959113299847,0.9756546688853771,0.998997412621975,aede32907bd82f4da2f6d13b9628c3ca0bf7e7a553566ac7eedcb45dce8fb7ea,19.826,0.554
322,537.0999,0,8593598,537.0999,53709,53709,13427,13427,26855,13427,13475,1,0.9198818118248081,0.9983591809868813,0.9198816875912164,0.9983612596988678,e015e32c756a52c7d6043d589dc8e455023f391cd22565d2468c1330cbdbf0cf,22.868,1.061
323,417.3001,0,6676801,417.3001,41730,41730,10432,10432,20865,10432,10480,1,0.033099353538913634,0.9978276900947094,0.03309938550297926,0.9978292025625706,3efaca40832a4f6bf518c69022b936f747006a2a2954f960aadca49b86c84e1e,21.247,0.759
324,275.7001,0,4411201,275.7001,27570,27571,6892,6893,13786,6893,6941,1,0.037402575367588266,0.9970743171870708,0.03740264174997911,0.9970759339630604,4b333f3721a380d6ec4e14b37c99e93c3aaf472397822f0189d19b59053b14b9,19.341,0.483
325,528.2,0,8451200,528.2,52820,52820,13205,13205,26410,13205,13253,1,0.8933457449643811,0.9977863058447838,0.8933456583265726,0.9977878704667091,063ba42a919917302573fb109e545c18e8899d67eb86911a1de9a994f5bac5ad,22.743,1.01
326,196.3,0,3140800,196.3,19630,19630,4907,4907,9815,4907,4955,1,0.03517840306211605,0.9980209246277809,0.035178438172125764,0.9980222582817078,b0d83ddc4700d2e75f0e7b8887e11d28323e974648e2293d917866f5b53146c2,18.273,0.338
327,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.8874994447064009,0.9975831806659698,0.887499360778754,0.9975848868489265,ddaed03cb9857ec14bbd8978e29d3abb6c74e4f4c5759ba59a11bd33791fc3af,27.76,1.94
328,679.2,0,10867200,679.2,67920,67920,16980,16980,33960,16980,17028,1,0.05341099788960222,0.9973093755543232,0.05341102951438894,0.9973106682300568,406b17b99be9e83de4ed561f0741ff71992665ab97ba4d843279c5aa309f70d7,24.781,1.407
329,365.4,0,5846400,365.4,36540,36540,9135,9135,18270,9135,9183,1,0.023014551863542093,0.9983001202344894,0.023014576795946828,0.9983013048768044,f6b091408be8f45496dca3f1321ebabeeb85542ce0f2c45e1540c712067f8908,20.552,0.671
330,181.6,0,2905600,181.6,18160,18160,4540,4540,9080,4540,4588,1,0.6368903630812103,0.9963625371456146,0.6368902317093892,0.9963641464710236,a4b9f0d17005d64104a89a49267dc9fa55be71551b749c7979cbd18cf5769b3a,18.069,0.317
331,447.8,0,7164800,447.8,44780,44780,11195,11195,22390,11195,11243,1,0.8877399951814692,0.9977222308516502,0.8877397787322296,0.9977244883775711,f63c853472662bce3d6eca9637a1c959a7e4abf189bae55735b08bd816fcb201,21.66,0.8
332,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9841548777256777,0.9988917969167233,0.9841548258979688,0.998892879113555,b0ff2f994cdcff0ffd188c799cb49afd6ff5bd4ec88cbd36ee50a0e7e18823b3,27.76,1.923
333,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.4838361626950141,0.9939296245574951,0.48383597513187954,0.993931919336319,f9aa10b0e398d44471d53f5bb9c4f2f97ee79772ecaed4c80b7499d9e354de4b,27.76,1.946
334,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.1258455512372126,0.9956077635288239,0.12584564120082656,0.995609775185585,1559e2b51c23c1ae89db88acc7e964dae916d4d33609bd4f480ad6348947e1ee,27.76,1.966
335,452.7001,0,7243201,452.7001,45270,45270,11317,11317,22635,11317,11365,1,0.056728511097437644,0.9963269010186195,0.056728556483176935,0.9963284023106098,bdd3c2e3f17170c1630d540c91c8a6c7708f2a685b9ecb0ebb75d0a3f26f96e4,21.725,0.829
336,379.1,0,6065600,379.1,37910,37910,9477,9477,18955,9477,9525,1,0.2458329706505735,0.9954787045717239,0.24583304593216784,0.9954814910888672,777a35f42dc86ee357130d5cbf80fc0f35c5118fd2cc5c042e35bb97b8585ae0,20.73,0.692
337,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9324998191264083,0.9970622807741165,0.9324997377322544,0.9970638379454613,dac6ddc5ae7f52898871af5e79eafb964d8f82d7f0be0f2aaad10a35d4a9467f,27.76,1.958
338,287.8,0,4604800,287.8,28780,28780,7195,7195,14390,7195,7243,1,0.8175077569955473,0.996651291847229,0.8175076980775786,0.9966526031494141,96630433c5c2ca745ad45b34f16f1f89337026adfa008eab27caf3aeef2cb9fc,19.503,0.5
339,443.5,0,7096000,443.5,44350,44350,11087,11087,22175,11087,11135,1,0.8740536761532703,0.9971267879009247,0.8740535750108034,0.9971284717321396,26935c67f2ab0b4cc7f6431e3f8348865c05c385aa1109d0b8506b3e796f41ec,21.603,0.798
340,204.2999,0,3268798,204.2999,20429,20430,5107,5107,10215,5107,5155,1,0.07166395543697283,0.9968349486589432,0.07166401912174586,0.9968365579843521,4fa39da3c4efb4894d04cb6aecbc94d41f5c3297497d0e1146021243450e8b4d,18.38,0.353
341,418.6001,0,6697601,418.6001,41860,41860,10465,10465,20930,10465,10513,1,0.11939404851642772,0.9969291388988495,0.11939411802004364,0.996930368244648,7cae5811970981aca319ae3dd668d0f3790b21983483705c239185b33daa0212,21.27,0.756
343,272.6999,0,4363198,272.6999,27269,27270,6817,6817,13635,6817,6865,1,0.8354601389523022,0.997324675321579,0.8354599993546026,0.9973259121179581,52fe10f7fb7b87ebf975015d3c5c7f0ae059c58bc06132237af0b260f46cced9,19.297,0.481
344,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.7310271575186259,0.9955060482025146,0.7310270476940164,0.9955077469348907,7635b1ff4ecfd440b0a53673b9b3dd8beb8b7c323b7ee65b17e8f00b26b3c169,27.76,1.951
345,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9688741846136737,0.9981089849025011,0.9688741187279101,0.9981102831661701,79068bc1c5655f67663d1da3b8d8ff4c4b1bb22fb6c7c83212eedb0be3863c1a,27.76,1.951
346,699.4999,0,11191998,699.4999,69949,69949,17487,17487,34975,17487,17535,1,0.9867983625478944,0.9992270786315203,0.9867983446640938,0.999228123575449,e5d64cf555d8b130dccad3049f78e476b21f878e2997f1c30d53db61039b96e3,25.056,1.461
347,145.1,0,2321600,145.1,14510,14510,3627,3627,7255,3627,3675,1,0.07162881694011768,0.9968374744057655,0.07162886414789782,0.9968390017747879,16ff95519224590f41956b3646792c1577cd0cb2f9203910d6710636baacad95,17.553,0.259
348,328.0999,0,5249598,328.0999,32809,32809,8202,8202,16405,8202,8250,1,0.9435013877406035,0.9982885830104351,0.94350134106591,0.9982905276119709,6642018ee92341c04d1fc186c76ec16260874bccfed3acd3c115bdd7c96737ae,20.048,0.588
349,503.0,0,8048000,503.0,50300,50300,12575,12575,25150,12575,12623,1,0.9708741856268183,0.9983715005218983,0.9708741381689624,0.9983733911067247,4821d9fff87149e6f7782a1f38998b7610d532b1fe39a7bc6563325ee2c452ff,22.405,0.944
350,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9605531087025531,0.9982624091207981,0.9605530206181855,0.9982640519738197,dd29f87b2c942785393914b799dd4ed68decb3d6ee35e7cb0d794d12691d285c,27.76,1.946
351,900.0001,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9529323756278415,0.997719582170248,0.9529322940743217,0.9977217316627502,d2c1e76e37883c624c027a1e14f91a45402c68aa70ab9ead2ce5cd920cf9a7d0,27.76,1.961
352,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9100262479361133,0.9968212693929672,0.9100260584829832,0.9968233108520508,fa477630a9cc5c178a3ad4d6c7ea194a6d48d07e898c0c1378c71e28a0103991,27.76,1.946
353,415.1999,0,6643198,415.1999,41519,41519,10380,10380,20760,10380,10428,1,0.9283944351458162,0.9984780326485634,0.9283943875381915,0.9984800741076469,b2591dfc8cdeea477a7115a15cece33570a07295505eae8e216501ba202f3246,21.22,0.75
354,167.4999,0,2679998,167.4999,16749,16750,4187,4187,8375,4187,4235,1,0.3209992224329111,0.9977075755596161,0.32099925597864065,0.9977086782455444,148e77ad41266bc45d8de0b37c0ffa4fada55d7259b2c9bf886739b523938698,17.87,0.287
355,358.3,0,5732800,358.3,35830,35830,8957,8957,17915,8957,9005,1,0.9097482114514917,0.9971869140863419,0.9097480920122798,0.9971888139843941,f8511cb40099445d8edf031dbec7e92a6a68f7e516fe242fe758ff1091da8ce4,20.45,0.646
356,591.4999,0,9463998,591.4999,59149,59149,14787,14787,29575,14787,14835,1,0.9435726756351925,0.9977831691503525,0.9435725946336588,0.9977847076952457,ac6fb13ff412f9370b1749ac0dad99fbaf3d99447c3006a647421d0ebfca9abb,23.599,1.186
357,530.4,0,8486400,530.4,53040,53040,13260,13260,26520,13260,13308,1,0.03738197896917722,0.9976202882826328,0.03738203641480047,0.9976221434772015,0811d7265c59fb670bbab423ef6483825125d115d3cf4921087707a8482ba133,22.773,1.005
358,258.0,0,4128000,258.0,25800,25800,6450,6450,12900,6450,6498,1,0.8743477263645087,0.9966825097799301,0.8743475818626361,0.9966844469308853,4ca08c06bcb8ea40936a261026b42a54ace1e1072881e9f17071f20909d5db4c,19.1,0.455
359,605.3001,0,9684801,605.3001,60530,60530,15132,15132,30265,15132,15180,1,0.974194443241057,0.9985181596130133,0.974194394955443,0.9985200446099043,c066894736db30ca490075413f9fa2a00bb202252154bb63a07e1eb95831d6bd,23.784,1.224
360,218.3,0,3492800,218.3,21830,21830,5457,5457,10915,5457,5505,1,0.20195941034732964,0.9966887980699539,0.20195951465237433,0.99669049680233,5ca11afae009fe345fa179ca21bbc8516fc6d1c5b8ac8da817009d7bd17a259c,18.569,0.386
361,397.8001,0,6364801,397.8001,39780,39780,9945,9945,19890,9945,9993,1,0.027637303793361927,0.9981173928827047,0.02763733478783218,0.9981188345700502,e378bfe3fa0ab8d5c9927e94e01e86a77838eb1f59348088c9db9bd7c19077fa,20.99,0.933
362,286.7,0,4587200,286.7,28670,28670,7167,7167,14335,7167,7215,1,0.4076529195408865,0.9964548051357269,0.4076528570389226,0.9964567124843597,8195de2a1c3b766a5be5a747cf4133937aebd6407f703b4b4d1910570c63bc77,19.485,0.493
363,804.5001,0,12872001,804.5001,80450,80450,20112,20112,40225,20112,20160,1,0.021626900589202528,0.9985448233783245,0.021626932102734857,0.9985459521412849,91dea7a8e30d18abe69cdbbf66acc7819254d5025296c12efaf474c876eeb653,26.474,1.774
364,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.13294684184650785,0.994116336107254,0.13294688569067056,0.9941185861825943,d155f7107850a140a7a02384eb5dbd12cd15759260e70bdda1a19cecfedebb8c,27.76,1.954
365,718.1001,0,11489601,718.1001,71810,71810,17952,17952,35905,17952,18000,1,0.4076178812321096,0.9952229559421539,0.40761774759357583,0.9952255487442017,d80a058d73b518766720f00677f191c9ca7b7dfcc096418f84fb0a1e4d3ef2b7,25.307,1.518
366,847.1,0,13553600,847.1,84710,84710,21177,21177,42355,21177,21225,1,0.01590440031264556,0.9985174518078566,0.015904414242267212,0.9985189195722342,a1c6ce75552a1f173b424e93eff4162c52944e9f8ba9550e1b59de16c47be7d6,27.047,1.854
367,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9604113355275852,0.997938722372055,0.9604112596242771,0.9979402907192707,58658e9c45678a1c3d7e7c039d3763075703c15dcc5095847824b9d2178aa045,27.76,1.979
368,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.5927526858079715,0.9943905174732208,0.5927525211900347,0.994392603635788,68801a86b13bd82943bb42b4b3c1b25788f2470dee59dc308abf700c97e4fbf6,27.76,1.962
369,749.3,0,11988800,749.3,74930,74930,18732,18732,37465,18732,18780,1,0.035159317344970416,0.9970854669809341,0.03515934890863507,0.9970867969095707,76576edd12425afb3dc260498a090f06d3aef2c1a89cb7f6b557973ecdfd7d87,25.727,1.584
370,849.3001,0,13588801,849.3001,84930,84930,21232,21232,42465,21232,21280,1,0.022980737559049228,0.9980797432363033,0.02298075571423879,0.998080737888813,994c899bc17f019f21f8c91ee69fda2ef16f5d0e204ae046365064ed011627fe,27.078,1.908
371,309.8001,0,4956801,309.8001,30980,30980,7745,7745,15490,7745,7793,1,0.8804078749084439,0.9979109391570091,0.8804077176806847,0.9979127421975136,d1a15461bd90b4aecb915e42fbad484a79850517d4357c520136769b77a86c30,19.796,0.684
372,751.3001,0,12020801,751.3001,75130,75130,18782,18782,37565,18782,18830,1,0.9850764318629762,0.9988229405134916,0.9850764119317131,0.9988243523985147,e3b8ef77ea20aa39fca8a67f5a43e4e88ff2a3f230a3e8474a658b4782bbe3ae,25.755,1.589
373,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.8434032752931313,0.9958223253488541,0.8434031122612081,0.9958241432905197,1161fad5f2752554ae9171c4b04448aa5b6920b169c71820c35474d1c020905e,27.76,1.974
374,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9401867998794705,0.9975887089967728,0.9401867067807403,0.9975905194878578,137baf884975e28bef36876720356c26433cfc6da2d59800d7117a2a043cd30a,27.76,1.977
375,177.1,0,2833600,177.1,17710,17710,4427,4427,8855,4427,4475,1,0.03116789937187992,0.9977567531168461,0.0311679432027014,0.9977583978325129,b034970922db01443eccb3a829744deec0faf043259a8b649d58723e144e7fce,18.008,0.307
376,615.6,0,9849600,615.6,61560,61560,15390,15390,30780,15390,15438,1,0.9831411820355073,0.9989898391067982,0.9831411489933962,0.998991085216403,b2dd169eb1e434c92b6aa23e7d73525e7a637625508ba97c92e90b740d7b6296,23.926,1.259
377,843.8999,0,13502398,843.8999,84389,84389,21097,21097,42195,21097,21145,1,0.42266161029300797,0.9965909123420715,0.4226615468278497,0.996593177318573,d2ad73d30221e5d8b6d7e522d004db4fdb64ba7f3ceaeb3549cec7b8a3cbf303,27.004,2.357
378,432.0999,0,6913598,432.0999,43209,43209,10802,10802,21605,10802,10850,1,0.056753742514387334,0.9969873577356339,0.05675379919433308,0.9969892501831055,a2200137867ce5f354ac8341ef38523f4d86294ee3bf62131948f5500f865b73,21.446,0.786
379,708.9001,0,11342401,708.9001,70890,70890,17722,17722,35445,17722,17770,1,0.04745925011980188,0.9975026622414589,0.04745928872989488,0.9975038915872574,31f6d047fceb71440f2a16bb93788e42c2057bac05d3ad7a1511eab789907e39,25.186,1.493
380,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.13305689296113737,0.9947713762521744,0.13305697638991013,0.9947733283042908,a2753521bcdfc198ea8cca7bcaf290f0570f031c03b71d4ae53cc6f52d2dade3,27.76,1.989
381,501.0001,0,8016001,501.0001,50100,50100,12525,12525,25050,12525,12573,1,0.6513191569085942,0.9963409900665283,0.6513190648059509,0.9963427782058716,49e5d7c8b7489d4050965701dcafe8ea8b23e07b1206314b17e20694b7e38c1f,22.38,1.158
382,364.7999,0,5836798,364.7999,36479,36479,9120,9120,18240,9120,9168,1,0.025990341765192843,0.9989911112934351,0.025990388352508713,0.9989926889538765,5c0395574f7220a6c8422ecd7e2e760115655b6e6b279aefd0b7d17bedd34ac7,20.544,0.676
383,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.7432935670901275,0.9958503544330597,0.743293275396596,0.9958525896072388,6dffd30204e50337a7748f6ca139f22519bda6e13c2e042aa662e9a136c6cc59,27.76,1.997
384,495.7001,0,7931201,495.7001,49570,49570,12392,12392,24785,12392,12440,1,0.960396013083532,0.9986157342791557,0.9603959682812601,0.9986173324286938,8228989544e3d52ad063fbbadc5bdf75ad14e039bba0c60f750b5fc7a0af652d,22.306,0.949
385,80.3001,0,1284801,80.3001,8030,8031,2007,2008,4016,2008,2056,1,0.08046944260002684,0.996236652135849,0.08046948246971203,0.9962383806705475,020c3d7f01d77f95b0d5a38522a949ced7ba09622c15f968d5ea454ef7311f19,16.644,0.148
386,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.5159217818403071,0.995782196521759,0.5159216142825561,0.9957842528820038,36caa4a3881e3b10174a0d1057012b4a7cf17bb21cfe6487de10431dea0bd3a0,27.76,2.032
387,210.4001,0,3366401,210.4001,21040,21041,5260,5260,10521,5260,5308,1,0.03116920748269026,0.9977846778929234,0.031169242053723806,0.9977865591645241,bda66e1b5de7f11e378531faafd5dd5b5cfbc0f616de22874a858f54a6d5b355,18.463,0.373
388,170.3,0,2724800,170.3,17030,17030,4257,4257,8515,4257,4305,1,0.8598693987276194,0.9973800033330917,0.8598693075702214,0.9973821192979813,0bc698c16c4abfcd1f939f21eb4c3258218c47655bdb309208b8fc8e55516c5e,17.908,0.299
389,209.9,0,3358400,209.9,20990,20990,5247,5247,10495,5247,5295,1,0.24530177047573862,0.9952747225761414,0.24530180659464634,0.9952768236398697,aa3a833112856c0fc315b43b1dfdabfa5cf01e708f9fbc820ce05145a7be0ec5,18.459,0.37
390,569.8,0,9116800,569.8,56980,56980,14245,14245,28490,14245,14293,1,0.9867717728558573,0.999202479608357,0.9867717502753479,0.9992040125653148,27f42c60372d6d7b6b90a16350d81dad9d4007c2fdc3d9d1e710bf037c351321,23.313,1.333
391,246.8999,0,3950398,246.8999,24689,24690,6172,6172,12345,6172,6220,1,0.7667074236697806,0.997481107711792,0.7667073040866086,0.9974828958511353,983d8e815db01b88c145f4ffcecc4eba663acc2762f17cb30de2731f83b4dc45,18.954,0.432
392,258.0,0,4128000,258.0,25800,25800,6450,6450,12900,6450,6498,1,0.06759999311737888,0.9967949837446213,0.06760003911261017,0.9967969506978989,89472a3074e8a955a3aedeeb4478f5d37be479d835a6a2a1c47d4ca7f51932a7,19.1,0.451
393,225.9,0,3614400,225.9,22590,22590,5647,5647,11295,5647,5695,1,0.04748434585582263,0.9970693849027157,0.0474844051267262,0.997070886194706,42e1e2da5158f2e952edc926efb79fcf10d33581e2333783cdf20366f23519e8,18.674,0.393
395,900.0001,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.08043726631770345,0.99686598777771,0.08043731999281364,0.9968690276145935,a1ecdc0e40d369ec0811d8f049c6c991e9a337c5438429ea35877cbf534582ea,27.76,1.979
396,389.7,0,6235200,389.7,38970,38970,9742,9742,19485,9742,9790,1,0.08517270280620733,0.9969597086310387,0.08517275500275434,0.9969614595174789,d9a9974cd2df3878c964ef358f94111ad727ae3951899cfacd8d85679b753db7,20.88,0.709
397,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.7053745364048377,0.9952172636985779,0.7053742379840704,0.9952192902565002,febbc4559f0c9a9da11b073bddc14893e8c4df979de598c090fc2ef2f94bcd8f,27.76,1.968
399,370.0999,0,5921598,370.0999,37009,37009,9252,9252,18505,9252,9300,1,0.08048187678554955,0.9969848766922951,0.08048194272179302,0.9969863742589951,058bfbf1d2f1fbe05ba25f92c6f72d43d0e832a621804b594c77c8f9c7693ad4,20.613,0.669
400,478.9001,0,7662401,478.9001,47890,47890,11972,11972,23945,11972,12020,1,0.3215778800916508,0.9968912899494171,0.32157785931018984,0.9968945980072021,29b89a272d0cfa7ea7ab2236f4c1cb9fa426e7b7825ea077b79b212e61419dfa,22.079,0.889
401,454.1,0,7265600,454.1,45410,45410,11352,11352,22705,11352,11400,1,0.09028123685270158,0.9957704842090607,0.09028131016133964,0.9957723990082741,b38789058e136c47d5ad1b72216a7f2b710e14ac85262328b9541eaf77bfba7d,21.743,0.839
402,462.9999,0,7407998,462.9999,46299,46299,11575,11575,23150,11575,11623,1,0.7664253413691708,0.9968735426664352,0.7664251330770876,0.996875524520874,5ab82aec2356676aedc7a4b6aba631e539a495a94e2d5773018bf7df38a423b1,21.871,0.861
403,900.0001,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.05336066290713528,0.9966595061123371,0.05336069496494771,0.9966608621180058,0b4617879a69244f4c8dee6b334a8979dcd603a26fcea153f36c80c1e843a217,27.76,1.955
404,899.9999,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.12603296501250677,0.9958672970533371,0.12603302641033323,0.9958694130182266,e266b77962407dc8e6c1d38c203eb91e78c46d92f2cb937079694a013cb0bd32,27.76,1.971
405,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.9363572073188958,0.9979236647486687,0.9363571295447305,0.9979250207543373,e455108e5fb394d3b47dc4bfd236599720f1df42213a85605fcfeaba734ee651,27.76,1.966
406,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.029344855690615502,0.9974993374198675,0.029344882600977187,0.9975009616464376,5bb5f1797d4e0575464a9d23df3acfbba43c6eb99eec4ba10d3e2c6aeaa35c8c,27.76,1.969
407,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.09550240005044663,0.9962706565856934,0.09550244555667285,0.9962722882628441,26fd1eb61d5f121d15012025ac1181cae48409f61aaafbac07a2e1a2d7a079c0,27.76,1.946
408,372.6,0,5961600,372.6,37260,37260,9315,9315,18630,9315,9363,1,0.02761873226311282,0.9977010600268841,0.027618765608848076,0.9977026879787445,502d29ddfdef732f25c8df02d0e8cd4c45e67330699248fcbab2936b76aabc74,20.643,0.676
409,718.4,0,11494400,718.4,71840,71840,17960,17960,35920,17960,18008,1,0.899172537842164,0.9963768199086189,0.8991724386685851,0.996378056704998,8f9d883982ae9ba6d76d4b7a129356943ccf9f1ff6da985153ff65e31d0806cc,25.312,1.51
410,609.7,0,9755200,609.7,60970,60970,15242,15242,30485,15242,15290,1,0.10098663494831628,0.9968230724334717,0.1009867110883065,0.9968246817588806,d88675b4f4fa74aeb5f9685bf5efd2ce4d9e83b0a1ec95dce44d64a15f2c1ac1,23.842,1.266
