seg_uid,set,pid,span,full_turns,heard_turns,full_pwords,heard_pwords,frac_words_heard
c001446,conflict,367,27.6,2,2,69,69,1.0
c001447,conflict,367,21.8,2,2,63,63,1.0
c001459,conflict,367,32.1,2,2,91,91,1.0
c001473,conflict,367,57.0,3,2,74,17,0.2297
c001474,conflict,367,21.9,4,4,46,46,1.0
c001737,conflict,377,32.4,2,2,55,55,1.0
c001738,conflict,377,39.1,4,4,82,82,1.0
c001739,conflict,377,51.0,2,2,108,108,1.0
c001742,conflict,377,40.2,8,7,40,34,0.85
c001754,conflict,377,53.6,2,2,112,112,1.0
c001763,conflict,377,57.0,9,4,46,24,0.5217
c001777,conflict,378,41.0,4,4,62,62,1.0
c001881,conflict,381,27.1,4,4,46,46,1.0
c001894,conflict,381,28.4,6,6,41,41,1.0
c001896,conflict,381,25.4,5,5,53,53,1.0
c001897,conflict,381,17.9,3,3,54,54,1.0
c001900,conflict,381,28.0,6,6,52,52,1.0
c001901,conflict,381,24.7,4,4,60,60,1.0
c001903,conflict,381,23.5,3,3,44,44,1.0
c001905,conflict,381,28.8,5,5,38,38,1.0
c001928,conflict,382,13.6,3,3,29,29,1.0
c001966,conflict,384,47.6,8,6,47,29,0.617
c001984,conflict,384,13.2,1,1,42,42,1.0
c002050,conflict,388,35.7,7,6,33,28,0.8485
c002326,conflict,404,35.0,5,4,35,25,0.7143
c002353,conflict,405,35.6,4,4,46,46,1.0
c002354,conflict,405,32.1,5,4,41,39,0.9512
c002356,conflict,405,26.0,2,2,57,57,1.0
c002357,conflict,405,66.8,9,6,84,22,0.2619
c002358,conflict,405,23.5,3,3,51,51,1.0
c002368,conflict,405,61.5,2,2,162,162,1.0
c002382,conflict,405,44.4,6,5,57,38,0.6667
c002388,conflict,405,30.2,4,4,56,56,1.0
c002443,conflict,408,46.4,6,4,41,9,0.2195
c002508,conflict,411,44.4,4,3,25,12,0.48
c002513,conflict,411,42.6,1,1,122,122,1.0
c002579,conflict,414,56.9,12,7,52,20,0.3846
c002580,conflict,414,32.5,5,5,73,73,1.0
c002582,conflict,414,54.0,7,5,78,29,0.3718
c002583,conflict,414,31.9,4,4,40,40,1.0
c002584,conflict,414,37.0,5,5,55,55,1.0
c002602,conflict,414,22.1,2,2,70,70,1.0
c002705,conflict,419,16.8,1,1,46,46,1.0
c002710,conflict,419,18.0,1,1,47,47,1.0
c002810,conflict,423,46.6,7,5,52,37,0.7115
c002812,conflict,423,36.7,5,4,42,38,0.9048
c002816,conflict,423,57.1,7,4,50,22,0.44
c002834,conflict,424,14.2,1,1,46,46,1.0
c002897,conflict,426,64.1,7,5,85,25,0.2941
c002900,conflict,426,38.3,8,6,44,36,0.8182
c002940,conflict,429,37.6,4,4,52,52,1.0
c002945,conflict,429,45.7,7,5,49,21,0.4286
c002948,conflict,429,28.0,5,5,47,47,1.0
c003046,conflict,434,30.7,3,3,81,81,1.0
c003160,conflict,439,16.0,3,3,32,32,1.0
c003168,conflict,439,65.1,2,2,174,174,1.0
c003170,conflict,439,19.3,1,1,62,62,1.0
c003175,conflict,439,67.2,2,2,160,160,1.0
c003184,conflict,440,24.4,3,3,46,46,1.0
c003212,conflict,440,33.7,4,4,56,56,1.0
c003216,conflict,441,28.1,4,4,37,37,1.0
c003318,conflict,445,30.4,2,2,65,65,1.0
c003365,conflict,448,58.3,6,2,41,4,0.0976
c003369,conflict,448,31.3,3,3,54,54,1.0
c003374,conflict,448,17.9,2,2,51,51,1.0
c003378,conflict,448,55.7,3,3,111,111,1.0
c003381,conflict,448,19.2,1,1,46,46,1.0
c003388,conflict,448,28.0,2,2,86,86,1.0
c003474,conflict,451,32.1,4,4,68,68,1.0
c003477,conflict,451,21.2,5,5,44,44,1.0
c003491,conflict,452,26.5,4,4,35,35,1.0
c003501,conflict,453,91.7,11,3,70,9,0.1286
c003502,conflict,453,39.0,3,3,72,72,1.0
c003506,conflict,453,17.8,1,1,51,51,1.0
c003523,conflict,453,22.4,1,1,66,66,1.0
c003552,conflict,455,35.2,3,3,57,57,1.0
c003591,conflict,457,26.9,3,3,54,54,1.0
c003654,conflict,461,67.1,9,4,46,10,0.2174
c003661,conflict,461,20.9,2,2,57,57,1.0
c003668,conflict,461,30.2,5,5,43,43,1.0
c003670,conflict,461,51.1,9,5,41,27,0.6585
c003835,conflict,468,21.1,3,3,41,41,1.0
c003885,conflict,469,43.4,3,3,72,72,1.0
c003914,conflict,470,26.7,1,1,73,73,1.0
c003970,conflict,474,17.2,1,1,53,53,1.0
c004000,conflict,476,67.6,8,2,44,20,0.4545
c004252,conflict,487,17.0,2,2,42,42,1.0
c004410,conflict,603,36.9,5,5,47,47,1.0
c004434,conflict,603,14.2,1,1,59,59,1.0
c004587,conflict,615,37.7,8,6,41,29,0.7073
c004751,conflict,624,39.7,6,4,41,29,0.7073
c004846,conflict,628,43.1,2,2,93,93,1.0
c004875,conflict,629,29.4,1,1,61,61,1.0
c004876,conflict,629,32.0,3,3,48,48,1.0
c004970,conflict,634,8.1,1,1,25,25,1.0
c004977,conflict,634,26.6,3,3,52,52,1.0
c004999,conflict,636,29.3,2,2,80,80,1.0
c005009,conflict,636,20.8,2,2,57,57,1.0
c005010,conflict,636,16.6,3,3,45,45,1.0
c005025,conflict,636,18.5,1,1,73,73,1.0
c005029,conflict,636,36.4,1,1,103,103,1.0
c005040,conflict,637,57.5,3,3,93,93,1.0
c005042,conflict,637,29.0,4,4,25,25,1.0
c005068,conflict,640,61.6,4,4,120,120,1.0
c005070,conflict,640,39.2,4,4,44,44,1.0
c005083,conflict,640,44.8,4,4,83,83,1.0
c005087,conflict,641,48.1,9,6,48,29,0.6042
c005094,conflict,641,33.5,5,5,32,32,1.0
c005105,conflict,649,46.2,6,4,52,36,0.6923
c005113,conflict,649,18.9,3,3,43,43,1.0
c005115,conflict,649,52.1,7,4,44,31,0.7045
c005266,conflict,659,61.0,10,5,48,10,0.2083
c005279,conflict,659,57.2,5,4,87,33,0.3793
c005280,conflict,659,20.4,2,2,49,49,1.0
c005285,conflict,659,27.0,4,4,45,45,1.0
c005297,conflict,659,29.7,5,5,50,50,1.0
c005299,conflict,659,43.7,10,8,41,29,0.7073
c005327,conflict,661,51.6,8,4,29,16,0.5517
c005331,conflict,661,34.1,5,5,64,64,1.0
c005333,conflict,661,36.9,6,6,55,55,1.0
c005359,conflict,661,34.8,7,7,41,41,1.0
c005369,conflict,662,63.1,7,5,62,25,0.4032
c005600,conflict,680,46.4,3,3,100,100,1.0
c005624,conflict,680,25.3,5,5,40,40,1.0
c005627,conflict,680,21.5,5,5,40,40,1.0
c005693,conflict,684,21.4,4,4,31,31,1.0
c005694,conflict,684,22.2,4,4,37,37,1.0
c005743,conflict,688,27.9,4,4,57,57,1.0
c005751,conflict,688,47.0,9,6,44,27,0.6136
c005895,conflict,698,31.9,2,2,49,49,1.0
c005898,conflict,698,23.6,3,3,42,42,1.0
c005899,conflict,698,38.9,2,2,88,88,1.0
c005900,conflict,698,45.5,6,6,60,60,1.0
c005901,conflict,698,36.8,3,3,84,84,1.0
c005906,conflict,698,31.2,4,4,56,56,1.0
c005913,conflict,698,22.5,2,2,60,60,1.0
c005929,conflict,698,22.2,1,1,63,63,1.0
c005962,conflict,705,87.3,17,6,42,14,0.3333
c006004,conflict,708,27.4,3,3,66,66,1.0
c006059,conflict,712,17.1,1,1,65,65,1.0
c006160,conflict,716,24.9,4,4,49,49,1.0
c006172,conflict,717,34.5,3,3,83,83,1.0
c006173,conflict,717,20.0,1,1,66,66,1.0
c006176,conflict,717,28.4,4,4,41,41,1.0
c006179,conflict,717,18.4,1,1,59,59,1.0
a000030,agreement,301,26.4,3,3,48,48,1.0
a000049,agreement,303,20.2,2,2,66,66,1.0
a000189,agreement,308,36.6,8,6,37,34,0.9189
a000189,agreement,308,36.6,8,6,37,34,0.9189
a000189,agreement,308,36.6,8,6,37,34,0.9189
a000210,agreement,309,20.0,2,2,44,44,1.0
a000210,agreement,309,20.0,2,2,44,44,1.0
a000244,agreement,311,44.2,8,7,38,24,0.6316
a000244,agreement,311,44.2,8,7,38,24,0.6316
a000315,agreement,314,19.1,3,3,51,51,1.0
a000341,agreement,315,33.2,4,4,51,51,1.0
a000349,agreement,315,36.4,3,3,67,67,1.0
a000339,agreement,315,24.8,1,1,55,55,1.0
a000432,agreement,321,19.5,1,1,56,56,1.0
a000432,agreement,321,19.5,1,1,56,56,1.0
a000432,agreement,321,19.5,1,1,56,56,1.0
a000647,agreement,332,44.9,8,6,42,18,0.4286
a000647,agreement,332,44.9,8,6,42,18,0.4286
a000647,agreement,332,44.9,8,6,42,18,0.4286
a000818,agreement,338,19.5,2,2,43,43,1.0
a000818,agreement,338,19.5,2,2,43,43,1.0
a000818,agreement,338,19.5,2,2,43,43,1.0
a000818,agreement,338,19.5,2,2,43,43,1.0
a000818,agreement,338,19.5,2,2,43,43,1.0
a000818,agreement,338,19.5,2,2,43,43,1.0
a000818,agreement,338,19.5,2,2,43,43,1.0
a000933,agreement,345,20.1,2,2,41,41,1.0
a000933,agreement,345,20.1,2,2,41,41,1.0
a000933,agreement,345,20.1,2,2,41,41,1.0
a000933,agreement,345,20.1,2,2,41,41,1.0
a000933,agreement,345,20.1,2,2,41,41,1.0
a000975,agreement,346,45.5,8,6,52,29,0.5577
a000975,agreement,346,45.5,8,6,52,29,0.5577
a000975,agreement,346,45.5,8,6,52,29,0.5577
a000966,agreement,346,25.9,2,2,49,49,1.0
a000980,agreement,346,26.8,2,2,67,67,1.0
a001003,agreement,348,38.0,5,5,68,68,1.0
a001011,agreement,348,32.4,5,5,44,44,1.0
a001011,agreement,348,32.4,5,5,44,44,1.0
a001011,agreement,348,32.4,5,5,44,44,1.0
a001003,agreement,348,38.0,5,5,68,68,1.0
a001011,agreement,348,32.4,5,5,44,44,1.0
a001267,agreement,362,29.4,5,5,45,45,1.0
a001269,agreement,362,22.2,3,3,43,43,1.0
a001267,agreement,362,29.4,5,5,45,45,1.0
a001267,agreement,362,29.4,5,5,45,45,1.0
a001294,agreement,363,22.5,1,1,65,65,1.0
a001294,agreement,363,22.5,1,1,65,65,1.0
a001421,agreement,366,30.2,3,3,65,65,1.0
a001421,agreement,366,30.2,3,3,65,65,1.0
a001466,agreement,367,29.6,2,2,87,87,1.0
a001466,agreement,367,29.6,2,2,87,87,1.0
a001444,agreement,367,31.1,3,3,77,77,1.0
a001457,agreement,367,44.9,3,3,126,126,1.0
a001466,agreement,367,29.6,2,2,87,87,1.0
a001752,agreement,377,28.3,4,4,66,66,1.0
a001752,agreement,377,28.3,4,4,66,66,1.0
a001752,agreement,377,28.3,4,4,66,66,1.0
a001752,agreement,377,28.3,4,4,66,66,1.0
a001752,agreement,377,28.3,4,4,66,66,1.0
a001752,agreement,377,28.3,4,4,66,66,1.0
a001770,agreement,378,41.1,4,4,95,95,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001879,agreement,381,23.7,2,2,75,75,1.0
a001910,agreement,382,29.9,5,5,52,52,1.0
a001977,agreement,384,35.8,7,6,41,31,0.7561
a001977,agreement,384,35.8,7,6,41,31,0.7561
a002044,agreement,388,40.4,5,3,30,15,0.5
a002343,agreement,404,40.6,8,5,40,27,0.675
a002369,agreement,405,35.6,6,6,47,47,1.0
a002369,agreement,405,35.6,6,6,47,47,1.0
a002369,agreement,405,35.6,6,6,47,47,1.0
a002369,agreement,405,35.6,6,6,47,47,1.0
a002369,agreement,405,35.6,6,6,47,47,1.0
a002369,agreement,405,35.6,6,6,47,47,1.0
a002369,agreement,405,35.6,6,6,47,47,1.0
a002369,agreement,405,35.6,6,6,47,47,1.0
a002449,agreement,408,44.2,3,3,105,105,1.0
a002500,agreement,411,40.5,4,4,77,77,1.0
a002500,agreement,411,40.5,4,4,77,77,1.0
a002589,agreement,414,44.4,7,5,43,15,0.3488
a002588,agreement,414,21.8,2,2,45,45,1.0
a002589,agreement,414,44.4,7,5,43,15,0.3488
a002588,agreement,414,21.8,2,2,45,45,1.0
a002589,agreement,414,44.4,7,5,43,15,0.3488
a002588,agreement,414,21.8,2,2,45,45,1.0
a002696,agreement,419,24.8,2,2,61,61,1.0
a002696,agreement,419,24.8,2,2,61,61,1.0
a002805,agreement,423,23.4,3,3,42,42,1.0
a002805,agreement,423,23.4,3,3,42,42,1.0
a002805,agreement,423,23.4,3,3,42,42,1.0
a002846,agreement,424,15.2,1,1,50,50,1.0
a002886,agreement,426,22.9,5,5,53,53,1.0
a002886,agreement,426,22.9,5,5,53,53,1.0
a002952,agreement,429,38.4,3,3,65,65,1.0
a002952,agreement,429,38.4,3,3,65,65,1.0
a002952,agreement,429,38.4,3,3,65,65,1.0
a003036,agreement,434,28.3,1,1,78,78,1.0
a003161,agreement,439,33.6,1,1,99,99,1.0
a003178,agreement,439,59.8,1,1,171,171,1.0
a003161,agreement,439,33.6,1,1,99,99,1.0
a003181,agreement,439,74.3,5,5,158,158,1.0
a003196,agreement,440,24.2,2,2,69,69,1.0
a003196,agreement,440,24.2,2,2,69,69,1.0
a003228,agreement,441,40.2,6,5,42,39,0.9286
a003312,agreement,445,32.7,4,4,69,69,1.0
a003370,agreement,448,25.9,1,1,58,58,1.0
a003370,agreement,448,25.9,1,1,58,58,1.0
a003376,agreement,448,24.0,4,4,45,45,1.0
a003370,agreement,448,25.9,1,1,58,58,1.0
a003376,agreement,448,24.0,4,4,45,45,1.0
a003370,agreement,448,25.9,1,1,58,58,1.0
a003465,agreement,451,38.3,5,4,50,39,0.78
a003462,agreement,451,18.1,1,1,42,42,1.0
a003496,agreement,452,34.9,7,6,45,36,0.8
a003517,agreement,453,49.9,7,7,107,107,1.0
a003515,agreement,453,48.2,10,7,47,25,0.5319
a003515,agreement,453,48.2,10,7,47,25,0.5319
a003515,agreement,453,48.2,10,7,47,25,0.5319
a003546,agreement,455,36.6,3,3,60,60,1.0
a003604,agreement,457,25.3,3,3,32,32,1.0
a003667,agreement,461,36.9,7,6,53,39,0.7358
a003659,agreement,461,23.8,5,5,39,39,1.0
a003659,agreement,461,23.8,5,5,39,39,1.0
a003667,agreement,461,36.9,7,6,53,39,0.7358
a003837,agreement,468,23.4,3,3,52,52,1.0
a003892,agreement,469,40.2,6,5,51,33,0.6471
a003916,agreement,470,26.3,3,3,39,39,1.0
a003971,agreement,474,16.9,2,2,38,38,1.0
a004003,agreement,476,41.7,5,3,57,34,0.5965
a004261,agreement,487,25.4,1,1,71,71,1.0
a004421,agreement,603,31.5,4,4,63,63,1.0
a004427,agreement,603,12.2,1,1,46,46,1.0
a004600,agreement,615,35.1,4,4,42,42,1.0
a004759,agreement,624,36.7,8,6,41,22,0.5366
a004859,agreement,628,41.9,5,4,50,16,0.32
a004893,agreement,629,31.8,2,2,62,62,1.0
a004893,agreement,629,31.8,2,2,62,62,1.0
a004983,agreement,634,22.4,1,1,57,57,1.0
a004982,agreement,634,25.9,2,2,49,49,1.0
a005018,agreement,636,34.1,2,2,96,96,1.0
a005024,agreement,636,20.3,2,2,67,67,1.0
a005021,agreement,636,17.4,2,2,54,54,1.0
a005021,agreement,636,17.4,2,2,54,54,1.0
a005014,agreement,636,36.1,4,4,64,64,1.0
a005048,agreement,637,22.1,2,2,40,40,1.0
a005048,agreement,637,22.1,2,2,40,40,1.0
a005077,agreement,640,14.9,1,1,45,45,1.0
a005077,agreement,640,14.9,1,1,45,45,1.0
a005077,agreement,640,14.9,1,1,45,45,1.0
a005090,agreement,641,43.9,6,5,52,22,0.4231
a005090,agreement,641,43.9,6,5,52,22,0.4231
a005100,agreement,649,44.8,9,6,44,20,0.4545
a005101,agreement,649,35.6,4,3,34,33,0.9706
a005103,agreement,649,48.9,4,4,88,88,1.0
a005289,agreement,659,37.9,7,5,41,22,0.5366
a005289,agreement,659,37.9,7,5,41,22,0.5366
a005289,agreement,659,37.9,7,5,41,22,0.5366
a005289,agreement,659,37.9,7,5,41,22,0.5366
a005289,agreement,659,37.9,7,5,41,22,0.5366
a005289,agreement,659,37.9,7,5,41,22,0.5366
a005351,agreement,661,35.8,7,6,45,33,0.7333
a005356,agreement,661,33.4,6,6,52,52,1.0
a005351,agreement,661,35.8,7,6,45,33,0.7333
a005351,agreement,661,35.8,7,6,45,33,0.7333
a005367,agreement,662,44.3,6,4,47,31,0.6596
a005621,agreement,680,37.6,8,6,29,23,0.7931
a005609,agreement,680,23.8,2,2,60,60,1.0
a005631,agreement,680,20.5,5,5,43,43,1.0
a005680,agreement,684,39.1,5,3,26,10,0.3846
a005680,agreement,684,39.1,5,3,26,10,0.3846
a005733,agreement,688,28.9,5,5,47,47,1.0
a005733,agreement,688,28.9,5,5,47,47,1.0
a005905,agreement,698,28.9,1,1,80,80,1.0
a005905,agreement,698,28.9,1,1,80,80,1.0
a005905,agreement,698,28.9,1,1,80,80,1.0
a005905,agreement,698,28.9,1,1,80,80,1.0
a005905,agreement,698,28.9,1,1,80,80,1.0
a005905,agreement,698,28.9,1,1,80,80,1.0
a005896,agreement,698,17.4,1,1,43,43,1.0
a005896,agreement,698,17.4,1,1,43,43,1.0
a005970,agreement,705,49.0,7,4,47,26,0.5532
a005996,agreement,708,28.8,2,2,81,81,1.0
a006073,agreement,712,22.5,3,3,38,38,1.0
a006148,agreement,716,22.6,4,4,32,32,1.0
a006180,agreement,717,34.6,5,5,55,55,1.0
a006169,agreement,717,26.2,2,2,87,87,1.0
a006168,agreement,717,30.1,1,1,91,91,1.0
a006169,agreement,717,26.2,2,2,87,87,1.0
