dataset,layer,probe_auc,answer_auc,above,condition,plotted,curve_column,auc_mean,auc_std,mean_minus_std_above,above_answer_ci_hi,curve_file
adresso,29,0.895723,0.615039,1,AD,omitted,auc_oof,0.886954,0.047333,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,30,0.885674,0.615039,1,AD,omitted,auc_oof,0.874885,0.050463,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,31,0.893015,0.615039,1,AD,omitted,auc_oof,0.888971,0.052409,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adress2020,0,0.655325,0.624096,1,AD,omitted,auc_oof,0.649531,0.061028,0,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,1,0.65549,0.624096,1,AD,omitted,auc_oof,0.64151,0.075637,0,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,2,0.65023,0.624096,1,AD,omitted,auc_oof,0.6425,0.052797,0,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,3,0.682281,0.624096,1,AD,omitted,auc_oof,0.685521,0.055497,1,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,4,0.67883,0.624096,1,AD,omitted,auc_oof,0.679792,0.063272,0,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,5,0.653517,0.624096,1,AD,omitted,auc_oof,0.651875,0.069536,0,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,6,0.686226,0.624096,1,AD,omitted,auc_oof,0.675521,0.066948,0,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,7,0.706114,0.624096,1,AD,omitted,auc_oof,0.702604,0.056514,1,0,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,8,0.7214,0.624096,1,AD,omitted,auc_oof,0.717135,0.082224,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,9,0.740302,0.624096,1,AD,omitted,auc_oof,0.735625,0.072242,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,10,0.766437,0.624096,1,AD,omitted,auc_oof,0.76099,0.076629,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,11,0.783037,0.624096,1,AD,omitted,auc_oof,0.784323,0.095354,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,12,0.775641,0.624096,1,AD,omitted,auc_oof,0.767813,0.095001,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,13,0.789612,0.624096,1,AD,omitted,auc_oof,0.780208,0.086306,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,14,0.775148,0.624096,1,AD,omitted,auc_oof,0.776406,0.084769,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,15,0.78879,0.624096,1,AD,omitted,auc_oof,0.780313,0.086302,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,16,0.798488,0.624096,1,AD,omitted,auc_oof,0.786198,0.076096,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,17,0.815089,0.624096,1,AD,omitted,auc_oof,0.809635,0.07984,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,18,0.796515,0.624096,1,AD,omitted,auc_oof,0.796354,0.084878,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,19,0.791256,0.624096,1,AD,omitted,auc_oof,0.795156,0.079304,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,20,0.785174,0.624096,1,AD,omitted,auc_oof,0.786823,0.088239,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,21,0.812459,0.624096,1,AD,omitted,auc_oof,0.815469,0.07716,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,22,0.802597,0.624096,1,AD,omitted,auc_oof,0.79776,0.094509,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,23,0.783859,0.624096,1,AD,omitted,auc_oof,0.779844,0.090722,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,24,0.802433,0.624096,1,AD,omitted,auc_oof,0.792708,0.09894,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,25,0.824786,0.624096,1,AD,omitted,auc_oof,0.816302,0.106375,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,26,0.809993,0.624096,1,AD,omitted,auc_oof,0.795,0.102246,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,27,0.819034,0.624096,1,AD,omitted,auc_oof,0.810469,0.091113,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,28,0.799145,0.624096,1,AD,omitted,auc_oof,0.790677,0.108201,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,29,0.803748,0.624096,1,AD,omitted,auc_oof,0.794115,0.102478,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,30,0.799145,0.624096,1,AD,omitted,auc_oof,0.786719,0.112414,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020,31,0.785832,0.624096,1,AD,omitted,auc_oof,0.778698,0.108877,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv
pcgita,0,0.871993,0.563478,1,PD,plotted,auc,0.870413,0.03316,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,1,0.888975,0.563478,1,PD,plotted,auc,0.891124,0.030133,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,2,0.907898,0.563478,1,PD,plotted,auc,0.909752,0.031148,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,3,0.904774,0.563478,1,PD,plotted,auc,0.904975,0.035056,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,4,0.908045,0.563478,1,PD,plotted,auc,0.906314,0.039002,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,5,0.916817,0.563478,1,PD,plotted,auc,0.915645,0.041877,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,6,0.923362,0.563478,1,PD,plotted,auc,0.920826,0.03955,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,7,0.921726,0.563478,1,PD,plotted,auc,0.920694,0.039963,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,8,0.919575,0.563478,1,PD,plotted,auc,0.918702,0.035111,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,9,0.913856,0.563478,1,PD,plotted,auc,0.914025,0.038039,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,10,0.910306,0.563478,1,PD,plotted,auc,0.911157,0.035011,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,11,0.913306,0.563478,1,PD,plotted,auc,0.915397,0.034482,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,12,0.915643,0.563478,1,PD,plotted,auc,0.917207,0.033899,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,13,0.919815,0.563478,1,PD,plotted,auc,0.922364,0.035691,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,14,0.916655,0.563478,1,PD,plotted,auc,0.920033,0.032821,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,15,0.916025,0.563478,1,PD,plotted,auc,0.92038,0.032267,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,16,0.905159,0.563478,1,PD,plotted,auc,0.909289,0.029234,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,17,0.909336,0.563478,1,PD,plotted,auc,0.911835,0.033252,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,18,0.903868,0.563478,1,PD,plotted,auc,0.907595,0.032949,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,19,0.907567,0.563478,1,PD,plotted,auc,0.908917,0.034993,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,20,0.907182,0.563478,1,PD,plotted,auc,0.907835,0.036141,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,21,0.899453,0.563478,1,PD,plotted,auc,0.900926,0.03635,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,22,0.892706,0.563478,1,PD,plotted,auc,0.892744,0.030713,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,23,0.894921,0.563478,1,PD,plotted,auc,0.893893,0.032691,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,24,0.901035,0.563478,1,PD,plotted,auc,0.900273,0.033845,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,25,0.905893,0.563478,1,PD,plotted,auc,0.904455,0.033332,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,26,0.899979,0.563478,1,PD,plotted,auc,0.898835,0.02307,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,27,0.898628,0.563478,1,PD,plotted,auc,0.896281,0.030174,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,28,0.896577,0.563478,1,PD,plotted,auc,0.893008,0.034243,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,29,0.890398,0.563478,1,PD,plotted,auc,0.886934,0.030695,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,30,0.895517,0.563478,1,PD,plotted,auc,0.891347,0.028975,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
pcgita,31,0.884562,0.563478,1,PD,plotted,auc,0.881182,0.028633,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv
neurovoz,0,0.83646,0.695081,1,PD,omitted,auc_oof,0.851053,0.078183,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,1,0.850057,0.695081,1,PD,omitted,auc_oof,0.862611,0.077767,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,2,0.868352,0.695081,1,PD,omitted,auc_oof,0.878292,0.080287,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,3,0.864934,0.695081,1,PD,omitted,auc_oof,0.877074,0.071792,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,4,0.884688,0.695081,1,PD,omitted,auc_oof,0.893887,0.069633,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,5,0.88318,0.695081,1,PD,omitted,auc_oof,0.892471,0.071816,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,6,0.889159,0.695081,1,PD,omitted,auc_oof,0.900114,0.072695,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,7,0.887374,0.695081,1,PD,omitted,auc_oof,0.900505,0.071348,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,8,0.896375,0.695081,1,PD,omitted,auc_oof,0.908368,0.069558,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,9,0.903424,0.695081,1,PD,omitted,auc_oof,0.913214,0.065958,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,10,0.914427,0.695081,1,PD,omitted,auc_oof,0.923088,0.070719,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,11,0.912035,0.695081,1,PD,omitted,auc_oof,0.919629,0.05797,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,12,0.911469,0.695081,1,PD,omitted,auc_oof,0.919209,0.054564,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,13,0.916454,0.695081,1,PD,omitted,auc_oof,0.923362,0.053728,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,14,0.91124,0.695081,1,PD,omitted,auc_oof,0.918675,0.047995,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,15,0.92429,0.695081,1,PD,omitted,auc_oof,0.928543,0.047532,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,16,0.923287,0.695081,1,PD,omitted,auc_oof,0.926223,0.041685,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,17,0.927309,0.695081,1,PD,omitted,auc_oof,0.930921,0.04163,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,18,0.92835,0.695081,1,PD,omitted,auc_oof,0.930522,0.041865,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,19,0.931473,0.695081,1,PD,omitted,auc_oof,0.932708,0.03795,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,20,0.931542,0.695081,1,PD,omitted,auc_oof,0.931892,0.036469,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,21,0.931823,0.695081,1,PD,omitted,auc_oof,0.930898,0.031713,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,22,0.933083,0.695081,1,PD,omitted,auc_oof,0.931501,0.033577,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz,23,0.930882,0.695081,1,PD,omitted,auc_oof,0.929594,0.030045,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv
