id,cell,metric,estimator,used,value,lo,hi,draws_used,n,n_spk,note
T3_nested_cos,all,"cos(NESTED probe direction, readout direction d)","nested, saved layers",supplement,0.02556100205,,,,468,228,"per-fold layers [23, 22, 23, 16, 23]; d is the final-stage readout direction"
T3_nested_floor_vs_probe,all,random floor mean|cos| vs nested probe direction,"fresh default_rng(0), 2000 dirs",supplement,0.01211992666,0.0005084333891,0.03439698868,2000,468,228,
T3_nested_all_probe,all,nested probe AUC out of fold,"nested, full 468 OOF",supplement,0.8295040682,0.7815861375,0.8773740853,2000,468,228,
T3_nested_all_perp_z,all,"nested probe AUC, d projected out (within-fold z)","nested, full 468 OOF",supplement,0.8168539326,0.7677585995,0.8651835419,2000,468,228,
T3_nested_all_keep_z,all,"nested matched control, d kept (within-fold z)","nested, full 468 OOF",supplement,0.819876017,0.7708705897,0.8679590083,2000,468,228,
T3_nested_conflict_probe,conflict,nested probe AUC out of fold,"nested, full 468 OOF restricted to arm",supplement,0.6554455446,0.5548968541,0.7542780976,2000,146,100,
T3_nested_conflict_perp_z,conflict,"nested probe AUC, d projected out (within-fold z)","nested, full 468 OOF restricted to arm",supplement,0.6398239824,0.5413198833,0.7402625797,2000,146,100,
T3_nested_conflict_keep_z,conflict,"nested matched control, d kept (within-fold z)","nested, full 468 OOF restricted to arm",supplement,0.6374037404,0.5391251996,0.7364764706,2000,146,100,
T3_nested_agreement_probe,agreement,nested probe AUC out of fold,"nested, full 468 OOF restricted to arm",supplement,0.8974817997,0.8531248436,0.9349275759,2000,322,175,
T3_nested_agreement_perp_z,agreement,"nested probe AUC, d projected out (within-fold z)","nested, full 468 OOF restricted to arm",supplement,0.8842343955,0.8376842994,0.9248577191,2000,322,175,
T3_nested_agreement_keep_z,agreement,"nested matched control, d kept (within-fold z)","nested, full 468 OOF restricted to arm",supplement,0.8888491069,0.8437538261,0.9283161238,2000,322,175,
T3_nested_paired_perp_z,conflict-agreement,"nested paired difference, perp_z","nested, restricted, paired speaker bootstrap",supplement,-0.2444104131,-0.3489481403,-0.1438372554,2000,468,228,
