figure,source,dataset,stream,layer,plotted,reference,absdiff
fig1_gap_whole,Line2D arrays,PC-GITA,llm,4,0.8890776859504133,0.8890776859504133,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,5,0.8906033057851239,0.8906033057851239,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,6,0.886609917355372,0.886609917355372,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,7,0.883090909090909,0.883090909090909,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,8,0.8813239669421489,0.8813239669421489,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,9,0.872089256198347,0.872089256198347,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,10,0.8710644628099173,0.8710644628099173,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,11,0.8744330578512396,0.8744330578512396,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,12,0.8663140495867767,0.8663140495867767,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,13,0.8710247933884296,0.8710247933884296,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,14,0.871114049586777,0.871114049586777,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,15,0.8681487603305786,0.8681487603305786,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,16,0.8647239669421488,0.8647239669421488,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,17,0.8626247933884297,0.8626247933884297,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,18,0.8587537190082644,0.8587537190082644,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,19,0.8558099173553719,0.8558099173553719,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,20,0.8496793388429753,0.8496793388429753,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,21,0.855095867768595,0.855095867768595,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,22,0.8615669421487603,0.8615669421487603,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,23,0.8608347107438016,0.8608347107438016,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,24,0.8476363636363636,0.8476363636363636,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,25,0.8460363636363637,0.8460363636363637,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,26,0.8406264462809918,0.8406264462809918,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,27,0.8394165289256199,0.8394165289256199,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,28,0.8547206611570247,0.8547206611570247,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,0,0.6840759395583107,0.6840759395583107,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,1,0.6720747772181325,0.6720747772181325,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,2,0.6517241379310345,0.6517241379310345,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,3,0.6644808213870592,0.6644808213870592,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,4,0.6738086013173189,0.6738086013173189,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,5,0.6854901201084851,0.6854901201084851,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,6,0.689984502130957,0.689984502130957,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,7,0.7176191398682681,0.7176191398682681,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,8,0.7318868655559859,0.7318868655559859,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,9,0.7132894227043781,0.7132894227043781,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,10,0.7393645873692367,0.7393645873692367,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,11,0.7253196435490119,0.7253196435490119,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,12,0.716272762495157,0.716272762495157,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,13,0.7400426191398684,0.7400426191398684,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,14,0.7324874079814025,0.7324874079814025,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,15,0.7578845408756296,0.7578845408756296,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,16,0.7669314219294847,0.7669314219294847,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,17,0.7625726462611391,0.7625726462611391,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,18,0.7615652847733436,0.7615652847733436,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,19,0.7763948082138705,0.7763948082138705,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,20,0.7680550174351026,0.7680550174351026,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,21,0.7966485858194499,0.7966485858194499,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,22,0.7965710964742347,0.7965710964742347,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,23,0.803215807826424,0.803215807826424,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,24,0.7950406819062378,0.7950406819062378,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,25,0.7957962030220845,0.7957962030220845,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,26,0.7990023246803565,0.7990023246803565,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,27,0.808330104610616,0.808330104610616,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,28,0.7924351026733825,0.7924351026733825,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,29,0.7889771406431616,0.7889771406431616,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,30,0.7945757458349477,0.7945757458349477,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,31,0.7908368849283224,0.7908368849283224,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,0,0.7668926772568772,0.7668926772568772,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,1,0.7728981015110423,0.7728981015110423,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,2,0.7745447500968616,0.7745447500968616,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,3,0.7930550174351028,0.7930550174351028,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,4,0.7911468423091825,0.7911468423091825,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,5,0.787504843084076,0.787504843084076,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,6,0.780453312669508,0.780453312669508,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,7,0.8045524990313832,0.8045524990313832,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,8,0.8097345989926384,0.8097345989926384,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,9,0.831722200697404,0.831722200697404,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,10,0.8318287485470747,0.8318287485470747,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,11,0.830453312669508,0.830453312669508,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,12,0.8291747384734598,0.8291747384734598,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,13,0.8225106547849672,0.8225106547849672,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,14,0.8135025184037196,0.8135025184037196,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,15,0.8058310732274312,0.8058310732274312,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,16,0.8130375823324292,0.8130375823324292,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,17,0.81474234792716,0.81474234792716,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,18,0.8127857419604805,0.8127857419604805,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,19,0.8160790391321192,0.8160790391321192,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,20,0.8113618752421541,0.8113618752421541,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,21,0.8134250290585043,0.8134250290585043,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,22,0.8275474622239442,0.8275474622239442,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,23,0.8225687717938786,0.8225687717938786,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,24,0.8302595893064704,0.8302595893064704,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,25,0.8330976365749709,0.8330976365749709,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,26,0.8352867105772956,0.8352867105772956,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,27,0.8396358000774893,0.8396358000774893,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,28,0.8253390158853158,0.8253390158853158,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,0,0.583514571552849,0.583514571552849,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,1,0.5593011454255473,0.5593011454255473,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,2,0.6051181673191243,0.6051181673191243,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,3,0.5998260113092649,0.5998260113092649,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,4,0.6070755400898942,0.6070755400898942,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,5,0.5969986950848195,0.5969986950848195,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,6,0.6046831955922864,0.6046831955922864,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,7,0.586704364216326,0.586704364216326,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,8,0.5824271422357546,0.5824271422357546,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,9,0.5932289401188923,0.5932289401188923,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,10,0.6151225170363926,0.6151225170363926,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,11,0.6092503987240829,0.6092503987240829,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,12,0.601348412353197,0.601348412353197,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,13,0.6087429317094389,0.6087429317094389,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,14,0.609757865738727,0.609757865738727,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,15,0.6240394374365666,0.6240394374365666,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,16,0.6468029578077426,0.6468029578077426,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,17,0.6604320719153255,0.6604320719153255,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,18,0.6847179933304335,0.6847179933304335,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,19,0.6874728142670726,0.6874728142670726,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,20,0.6752211106278092,0.6752211106278092,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,21,0.6673916195447296,0.6673916195447296,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,22,0.661302015369001,0.661302015369001,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,23,0.6519501232419893,0.6519501232419893,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,24,0.6610845295055822,0.6610845295055822,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,25,0.6654342467739597,0.6654342467739597,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,26,0.6396259243149195,0.6396259243149195,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,27,0.6233507322024069,0.6233507322024069,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,28,0.6291141075830071,0.6291141075830071,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,29,0.6177323473974191,0.6177323473974191,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,30,0.5980136291141076,0.5980136291141076,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,encoder,31,0.6360011599246049,0.6360011599246049,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,0,0.6093953892996955,0.6093953892996955,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,1,0.63179643323184,0.63179643323184,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,2,0.6441206321589097,0.6441206321589097,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,3,0.6641293315934464,0.6641293315934464,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,4,0.6647092938958967,0.6647092938958967,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,5,0.6663041902276352,0.6663041902276352,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,6,0.6341162824416413,0.6341162824416413,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,7,0.6491953023053502,0.6491953023053502,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,8,0.687835290706104,0.687835290706104,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,9,0.7059591126576773,0.7059591126576773,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,10,0.738871973321734,0.738871973321734,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,11,0.7606930549514281,0.7606930549514281,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,12,0.7437291576047557,0.7437291576047557,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,13,0.7351747136436132,0.7351747136436132,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,14,0.7443816151950123,0.7443816151950123,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,15,0.7519211251268667,0.7519211251268667,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,16,0.7307525010874293,0.7307525010874293,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,17,0.7162534435261708,0.7162534435261708,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,18,0.7361896476729013,0.7361896476729013,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,19,0.7143685660432072,0.7143685660432072,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,20,0.7185732927359721,0.7185732927359721,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,21,0.70864143830651,0.70864143830651,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,22,0.7092938958967667,0.7092938958967667,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,23,0.732419892706974,0.732419892706974,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,24,0.7288676236044657,0.7288676236044657,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,25,0.7292301000434972,0.7292301000434972,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,26,0.7473539219950703,0.7473539219950703,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,27,0.7596056256343338,0.7596056256343338,0.0
fig1_gap_whole,Line2D arrays,E-DAIC,llm,28,0.775264607800493,0.775264607800493,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,0,0.871993388429752,0.871993388429752,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,1,0.8889752066115704,0.8889752066115704,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,2,0.907897520661157,0.907897520661157,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,3,0.9047735537190082,0.9047735537190082,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,4,0.9080446280991734,0.9080446280991734,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,5,0.9168165289256198,0.9168165289256198,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,6,0.9233619834710745,0.9233619834710745,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,7,0.9217256198347108,0.9217256198347108,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,8,0.9195752066115702,0.9195752066115702,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,9,0.9138561983471074,0.9138561983471074,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,10,0.9103057851239668,0.9103057851239668,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,11,0.913305785123967,0.913305785123967,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,12,0.9156429752066114,0.9156429752066114,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,13,0.9198148760330578,0.9198148760330578,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,14,0.9166545454545456,0.9166545454545456,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,15,0.9160247933884298,0.9160247933884298,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,16,0.9051586776859504,0.9051586776859504,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,17,0.9093355371900824,0.9093355371900824,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,18,0.9038677685950413,0.9038677685950413,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,19,0.9075669421487604,0.9075669421487604,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,20,0.9071818181818184,0.9071818181818184,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,21,0.8994528925619835,0.8994528925619835,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,22,0.8927057851239669,0.8927057851239669,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,23,0.8949206611570246,0.8949206611570246,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,24,0.9010347107438018,0.9010347107438018,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,25,0.9058925619834712,0.9058925619834712,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,26,0.8999785123966941,0.8999785123966941,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,27,0.8986280991735536,0.8986280991735536,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,28,0.8965768595041321,0.8965768595041321,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,29,0.890398347107438,0.890398347107438,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,30,0.8955173553719007,0.8955173553719007,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,encoder,31,0.8845619834710744,0.8845619834710744,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,0,0.8847785123966941,0.8847785123966941,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,1,0.8854396694214874,0.8854396694214874,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,2,0.8857371900826446,0.8857371900826446,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,3,0.8859768595041322,0.8859768595041322,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,4,0.8890776859504133,0.8890776859504133,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,5,0.8906033057851239,0.8906033057851239,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,6,0.886609917355372,0.886609917355372,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,7,0.883090909090909,0.883090909090909,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,8,0.8813239669421489,0.8813239669421489,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,9,0.872089256198347,0.872089256198347,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,10,0.8710644628099173,0.8710644628099173,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,11,0.8744330578512396,0.8744330578512396,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,12,0.8663140495867767,0.8663140495867767,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,13,0.8710247933884296,0.8710247933884296,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,14,0.871114049586777,0.871114049586777,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,15,0.8681487603305786,0.8681487603305786,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,16,0.8647239669421488,0.8647239669421488,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,17,0.8626247933884297,0.8626247933884297,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,18,0.8587537190082644,0.8587537190082644,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,19,0.8558099173553719,0.8558099173553719,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,20,0.8496793388429753,0.8496793388429753,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,21,0.855095867768595,0.855095867768595,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,22,0.8615669421487603,0.8615669421487603,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,23,0.8608347107438016,0.8608347107438016,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,24,0.8476363636363636,0.8476363636363636,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,25,0.8460363636363637,0.8460363636363637,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,26,0.8406264462809918,0.8406264462809918,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,27,0.8394165289256199,0.8394165289256199,0.0
fig1_gap_whole_v4layout,Line2D arrays,PC-GITA,llm,28,0.8547206611570247,0.8547206611570247,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,0,0.6840759395583107,0.6840759395583107,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,1,0.6720747772181325,0.6720747772181325,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,2,0.6517241379310345,0.6517241379310345,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,3,0.6644808213870592,0.6644808213870592,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,4,0.6738086013173189,0.6738086013173189,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,5,0.6854901201084851,0.6854901201084851,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,6,0.689984502130957,0.689984502130957,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,7,0.7176191398682681,0.7176191398682681,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,8,0.7318868655559859,0.7318868655559859,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,9,0.7132894227043781,0.7132894227043781,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,10,0.7393645873692367,0.7393645873692367,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,11,0.7253196435490119,0.7253196435490119,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,12,0.716272762495157,0.716272762495157,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,13,0.7400426191398684,0.7400426191398684,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,14,0.7324874079814025,0.7324874079814025,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,15,0.7578845408756296,0.7578845408756296,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,16,0.7669314219294847,0.7669314219294847,0.0
fig1_gap_whole_v4layout,Line2D arrays,Pitt,encoder,17,0.7625726462611391,0.7625726462611391,0.0
