dataset,stream,layer,x_plot,auc_plotted
PC-GITA,llm,17,49.0,0.8626247933884297
PC-GITA,llm,18,50.0,0.8587537190082644
PC-GITA,llm,19,51.0,0.8558099173553719
PC-GITA,llm,20,52.0,0.8496793388429753
PC-GITA,llm,21,53.0,0.855095867768595
PC-GITA,llm,22,54.0,0.8615669421487603
PC-GITA,llm,23,55.0,0.8608347107438016
PC-GITA,llm,24,56.0,0.8476363636363636
PC-GITA,llm,25,57.0,0.8460363636363637
PC-GITA,llm,26,58.0,0.8406264462809918
PC-GITA,llm,27,59.0,0.8394165289256199
PC-GITA,llm,28,60.0,0.8547206611570247
PC-GITA,answer_line,,,0.5635
Pitt,encoder,0,0.0,0.6840759395583107
Pitt,encoder,1,1.0,0.6720747772181325
Pitt,encoder,2,2.0,0.6517241379310345
Pitt,encoder,3,3.0,0.6644808213870592
Pitt,encoder,4,4.0,0.6738086013173189
Pitt,encoder,5,5.0,0.6854901201084851
Pitt,encoder,6,6.0,0.689984502130957
Pitt,encoder,7,7.0,0.7176191398682681
Pitt,encoder,8,8.0,0.7318868655559859
Pitt,encoder,9,9.0,0.7132894227043781
Pitt,encoder,10,10.0,0.7393645873692367
Pitt,encoder,11,11.0,0.7253196435490119
Pitt,encoder,12,12.0,0.716272762495157
Pitt,encoder,13,13.0,0.7400426191398684
Pitt,encoder,14,14.0,0.7324874079814025
Pitt,encoder,15,15.0,0.7578845408756296
Pitt,encoder,16,16.0,0.7669314219294847
Pitt,encoder,17,17.0,0.7625726462611391
Pitt,encoder,18,18.0,0.7615652847733436
Pitt,encoder,19,19.0,0.7763948082138705
Pitt,encoder,20,20.0,0.7680550174351026
Pitt,encoder,21,21.0,0.7966485858194499
Pitt,encoder,22,22.0,0.7965710964742347
Pitt,encoder,23,23.0,0.803215807826424
Pitt,encoder,24,24.0,0.7950406819062378
Pitt,encoder,25,25.0,0.7957962030220845
Pitt,encoder,26,26.0,0.7990023246803565
Pitt,encoder,27,27.0,0.808330104610616
Pitt,encoder,28,28.0,0.7924351026733825
Pitt,encoder,29,29.0,0.7889771406431616
Pitt,encoder,30,30.0,0.7945757458349477
Pitt,encoder,31,31.0,0.7908368849283224
Pitt,llm,0,32.0,0.7668926772568772
Pitt,llm,1,33.0,0.7728981015110423
Pitt,llm,2,34.0,0.7745447500968616
Pitt,llm,3,35.0,0.7930550174351028
Pitt,llm,4,36.0,0.7911468423091825
Pitt,llm,5,37.0,0.787504843084076
Pitt,llm,6,38.0,0.780453312669508
Pitt,llm,7,39.0,0.8045524990313832
Pitt,llm,8,40.0,0.8097345989926384
Pitt,llm,9,41.0,0.831722200697404
Pitt,llm,10,42.0,0.8318287485470747
Pitt,llm,11,43.0,0.830453312669508
Pitt,llm,12,44.0,0.8291747384734598
Pitt,llm,13,45.0,0.8225106547849672
Pitt,llm,14,46.0,0.8135025184037196
Pitt,llm,15,47.0,0.8058310732274312
Pitt,llm,16,48.0,0.8130375823324292
Pitt,llm,17,49.0,0.81474234792716
Pitt,llm,18,50.0,0.8127857419604805
Pitt,llm,19,51.0,0.8160790391321192
Pitt,llm,20,52.0,0.8113618752421541
Pitt,llm,21,53.0,0.8134250290585043
Pitt,llm,22,54.0,0.8275474622239442
Pitt,llm,23,55.0,0.8225687717938786
Pitt,llm,24,56.0,0.8302595893064704
Pitt,llm,25,57.0,0.8330976365749709
Pitt,llm,26,58.0,0.8352867105772956
Pitt,llm,27,59.0,0.8396358000774893
Pitt,llm,28,60.0,0.8253390158853158
Pitt,answer_line,,,0.6578
E-DAIC,encoder,0,0.0,0.583514571552849
E-DAIC,encoder,1,1.0,0.5593011454255473
E-DAIC,encoder,2,2.0,0.6051181673191243
E-DAIC,encoder,3,3.0,0.5998260113092649
E-DAIC,encoder,4,4.0,0.6070755400898942
E-DAIC,encoder,5,5.0,0.5969986950848195
E-DAIC,encoder,6,6.0,0.6046831955922864
E-DAIC,encoder,7,7.0,0.586704364216326
E-DAIC,encoder,8,8.0,0.5824271422357546
E-DAIC,encoder,9,9.0,0.5932289401188923
E-DAIC,encoder,10,10.0,0.6151225170363926
E-DAIC,encoder,11,11.0,0.6092503987240829
E-DAIC,encoder,12,12.0,0.601348412353197
E-DAIC,encoder,13,13.0,0.6087429317094389
E-DAIC,encoder,14,14.0,0.609757865738727
E-DAIC,encoder,15,15.0,0.6240394374365666
E-DAIC,encoder,16,16.0,0.6468029578077426
E-DAIC,encoder,17,17.0,0.6604320719153255
E-DAIC,encoder,18,18.0,0.6847179933304335
E-DAIC,encoder,19,19.0,0.6874728142670726
E-DAIC,encoder,20,20.0,0.6752211106278092
E-DAIC,encoder,21,21.0,0.6673916195447296
E-DAIC,encoder,22,22.0,0.661302015369001
E-DAIC,encoder,23,23.0,0.6519501232419893
E-DAIC,encoder,24,24.0,0.6610845295055822
E-DAIC,encoder,25,25.0,0.6654342467739597
E-DAIC,encoder,26,26.0,0.6396259243149195
E-DAIC,encoder,27,27.0,0.6233507322024069
E-DAIC,encoder,28,28.0,0.6291141075830071
E-DAIC,encoder,29,29.0,0.6177323473974191
E-DAIC,encoder,30,30.0,0.5980136291141076
E-DAIC,encoder,31,31.0,0.6360011599246049
E-DAIC,llm,0,32.0,0.6093953892996955
E-DAIC,llm,1,33.0,0.63179643323184
E-DAIC,llm,2,34.0,0.6441206321589097
E-DAIC,llm,3,35.0,0.6641293315934464
E-DAIC,llm,4,36.0,0.6647092938958967
E-DAIC,llm,5,37.0,0.6663041902276352
E-DAIC,llm,6,38.0,0.6341162824416413
E-DAIC,llm,7,39.0,0.6491953023053502
E-DAIC,llm,8,40.0,0.687835290706104
E-DAIC,llm,9,41.0,0.7059591126576773
E-DAIC,llm,10,42.0,0.738871973321734
E-DAIC,llm,11,43.0,0.7606930549514281
E-DAIC,llm,12,44.0,0.7437291576047557
E-DAIC,llm,13,45.0,0.7351747136436132
E-DAIC,llm,14,46.0,0.7443816151950123
E-DAIC,llm,15,47.0,0.7519211251268667
E-DAIC,llm,16,48.0,0.7307525010874293
E-DAIC,llm,17,49.0,0.7162534435261708
E-DAIC,llm,18,50.0,0.7361896476729013
E-DAIC,llm,19,51.0,0.7143685660432072
E-DAIC,llm,20,52.0,0.7185732927359721
E-DAIC,llm,21,53.0,0.70864143830651
E-DAIC,llm,22,54.0,0.7092938958967667
E-DAIC,llm,23,55.0,0.732419892706974
E-DAIC,llm,24,56.0,0.7288676236044657
E-DAIC,llm,25,57.0,0.7292301000434972
E-DAIC,llm,26,58.0,0.7473539219950703
E-DAIC,llm,27,59.0,0.7596056256343338
E-DAIC,llm,28,60.0,0.775264607800493
E-DAIC,answer_line,,,0.8366
