p14clip,seg_uid,idx,sha256_full
agreement_321_a000436.wav,a000436,436,ae30182d333a3185f83a9f6b81571d78f587140b32ff5f57dd69dc24bec00457
agreement_321_a000439.wav,a000439,439,b490f9e157387e9ea2cdb1b26db20fbe02f923e4c5ca401b437606bc640bb9d2
agreement_323_a000472.wav,a000472,472,fe0f283a6c2198f7a834455ece4c9833c0e02d7a0935de6e1d774e158ab48416
agreement_323_a000484.wav,a000484,484,bce64b37c50ad38b5ddee66510351f27d9cc9ae8652b9e2cc52fede12265aa90
agreement_327_a000550.wav,a000550,550,218db1d7875e5a57b0b418017e3db12c5fab63be755c76511af85d4a9d9c4cb5
agreement_328_a000566.wav,a000566,566,ac93dd116b4768b23a83de5f89e51794a5ed6fc6088cfc002635bd348e3b4b7b
agreement_328_a000572.wav,a000572,572,0932c4b99ca4e5abe1264eb516bcac90b08b09c670d0337d141e498f32ec8e26
agreement_328_a000576.wav,a000576,576,68a4c47a6f562d72f73a5b77d006f8d3097e8570c239027d79f8380922f29c5c
agreement_329_a000594.wav,a000594,594,63d509bdec6b8b99dc9bb04437c783529583afcffa87f1f135f676b710e372fc
agreement_332_a000647.wav,a000647,647,2c626d5674ca2ed178cd588cd37778d58368ffc5a3e8c87885a3290eb982d85e
agreement_332_a000650.wav,a000650,650,f151a21d599dbdee3bd958c6d58f1cede7fd1065162d8eec71edcb51d42d41fa
agreement_338_a000814.wav,a000814,814,0ee546bb7223d3bef1dc3843158d6c870f5e01a0b95ae5070dde06809ef6681f
agreement_340_a000855.wav,a000855,855,51f8a8fb30d24ea869fbdba3ad7acbfca540d7b583824e300f66923a3d575470
agreement_345_a000937.wav,a000937,937,aeda5473b01ef53e56aac1bacbe6fc3eba65597eb9ac7c7e980a1a8c4e89ff2f
agreement_345_a000938.wav,a000938,938,b6abe032aa1aa064abf5a6c085934dc0bc51cdbafa4f834b513df40b4fd28eac
agreement_345_a000943.wav,a000943,943,5c0a335a9b209fb94e93ab154e3dedf0bb4fc0fbe018b03ee024022bbf7caa0a
agreement_345_a000951.wav,a000951,951,d357046dd91e23f9c37ad82b03a09a11c4ab644a80589a18a35fc5a59ce05133
agreement_346_a000962.wav,a000962,962,54f5243af37f3d685b7c8d01db5a7ee740305bbe70a11768e379e61fa92cd5f7
agreement_346_a000969.wav,a000969,969,d0fd30a56dcd5762258dd289d52bf6a5118560eed672695b91ee3d2f0367332b
agreement_346_a000973.wav,a000973,973,9215f98ab02ab9527d98a9dc61627b6266ff0f2cf42274e0553c50656ec0acb3
agreement_346_a000977.wav,a000977,977,52f59ae6e6192fc0a4c4de2226772f5b7a3871dfb5b23c89a3244c31bc9e9b98
agreement_346_a000979.wav,a000979,979,c9ecef3023a4d7f9fcd1f10846fc803cdc17aed295c79b2dd30b88a1bf60cf3f
agreement_346_a000980.wav,a000980,980,b8df904632c5e5ac0f65fe28ea8edf36a90081ac74c6994d4b66430e03ee0631
agreement_347_a000994.wav,a000994,994,37f8c06220ab9ef99fde7db39e19dc74bc8d0c2c2dc8648dfd066864bd2365b2
agreement_348_a001010.wav,a001010,1010,9c3dc257803b1f027737368f034d44e8db52a5e770b60a076c477e0ff747aa08
agreement_348_a001011.wav,a001011,1011,1cdb5fffe09a2189903d5748f065c5685886ddb655bd4bc14c7aec3fe4348e70
agreement_348_a001012.wav,a001012,1012,cd13fba6e722b724ee69e3ac85c95f0f8de2815af4df80837f93aed3b3a0ee26
agreement_354_a001133.wav,a001133,1133,328828b05fc53dd2a766301a465d692a6b349bafd0649c3271913690b7492e76
agreement_362_a001267.wav,a001267,1267,7e9544ea9046c8826c0dc483f0c84abf5d0a669f59b65bd4d4cd579a2cd5f6c4
agreement_362_a001270.wav,a001270,1270,a7f06d20e60d3a4dcce0953c829d9b24cd62431420227c5078fcb0f1e14fc479
agreement_363_a001277.wav,a001277,1277,1726728c77bffb5be23ddf39733fc99ef649723af1e9a8a8e62b6bbde9f51109
agreement_363_a001280.wav,a001280,1280,3f96d5d08da4e2ec4e729f37feeb1b62f2beb628ad3a22316252f00f4dd589e0
agreement_364_a001307.wav,a001307,1307,f27ddf8d553456c220c6044a61eea8a32aab9b26a0bb668c36056d43a722e3ef
agreement_364_a001315.wav,a001315,1315,aa008e019ebea8b2d80f9a40ef795a9400fda9b2b5afb65946a4b41e52405daa
agreement_364_a001342.wav,a001342,1342,cc42f52c66b94f6eecbbed2c6b798cf2d384eeb305334d8c42fec011528b19bc
agreement_364_a001349.wav,a001349,1349,f9754cb2e7ec1659f0786fce15ecb73565a73cba06a69cf1ebb256f0698d2816
agreement_366_a001402.wav,a001402,1402,8fada46f77167d158643df6645cae53d4797faa2eade8e731f4e0b01b109ae1e
agreement_366_a001403.wav,a001403,1403,d5c78d7d4e28280a96716bfc293d8ed7cdb6bc328c76abee6ab7e0c2b53be3b1
agreement_366_a001410.wav,a001410,1410,d34147c75fe5035b7c02a1bc19dd900d384079305451d7bc711a9a761ab66234
agreement_366_a001432.wav,a001432,1432,e36de0ab68b5578cb2da6e8acd7a59b63849194c3be4e93784157af75f5b53c3
agreement_366_a001434.wav,a001434,1434,9d1b0f73f115e9867a3b1d8cc4a706af46b3d730eb3e52aec89ad4d5c2633b8e
agreement_367_a001453.wav,a001453,1453,fa3734b0d4aec068a2e7258546abdc8812ff1c5b3bc527dfd5fb61178af11512
agreement_367_a001463.wav,a001463,1463,4cec05117dfd239bd7fc9f832ce1f9639762723e0991f574cf371c37e9621b63
agreement_367_a001465.wav,a001465,1465,157fc2d940d209bc80f50427b7381a6912b45acfa1206fe208de13ed815d3491
agreement_367_a001468.wav,a001468,1468,6d4a7c867a0857483e3b8277e3099c8ef5b6d0d88175e974aec449e193a4b3a7
agreement_369_a001513.wav,a001513,1513,d23d525759a52b7f1680ecd898837a3bb5f9f6622684deae4b51da7dc97e3add
agreement_369_a001529.wav,a001529,1529,7486f502579dcede0d03e7df8f83a3f99c4ed283355fb85c6900d63f99a163bb
agreement_370_a001542.wav,a001542,1542,27ccd359373c59bbf97880d6174ad5ba88c1c4b8d0b16f7c8d84831ae965dc07
agreement_370_a001544.wav,a001544,1544,f94c6c802d0c7f93e8742f204e9e2ba2be031a339da706171916ff3d3b087e82
agreement_370_a001564.wav,a001564,1564,c411fd5eb672473ded5d1c3181d54b75766e6d20158874368dedbd77484d0914
agreement_374_a001656.wav,a001656,1656,03bd6a750f34f2d787c6f80649a5245258a18b1a291612049b5f3e62af19b1a4
agreement_374_a001662.wav,a001662,1662,4392f4efb22cc4967d320c9839ce81e1558fa13ecc0aed9269088fe373374068
agreement_374_a001664.wav,a001664,1664,82c64c11da4458ee058306e7445a404e4de1476b99478c6d133f833845a82fd9
agreement_377_a001749.wav,a001749,1749,32577eb3ed68901d56cbdac8b1fd67e152566b3da1296e5c30e3eaeca8f84f99
agreement_377_a001758.wav,a001758,1758,98f5e962592d269dca9ef4743daf9afab4ad7f71a944af7c6a26e6e461b23116
agreement_377_a001759.wav,a001759,1759,c4de5bf12a99365c17ccab2e807260b01c72031858ba6f367089589dc6b8cd6e
agreement_377_a001761.wav,a001761,1761,770d4f8ae9fef350ad6cdfff937f637cc05501c4c7c114e7ff108e4b3fe6363d
agreement_378_a001773.wav,a001773,1773,bd76a372d27479c2d5fc7233b1cc5742f0864e6a0a5dedb1c2784e099a2e9976
agreement_379_a001810.wav,a001810,1810,81a9f18d0a98ed6edb4fc3e396a19fb98105cd570c828a898158ef1206ce9ca9
agreement_379_a001816.wav,a001816,1816,42fc79518fb4d3d4d45a3d8ac18a96213b5ae3b7a8dec20d81d1113c57fe9872
agreement_379_a001818.wav,a001818,1818,c07b6d321128564691598ceb8fea71284ed27dd3964519e111e7072db340f5d0
agreement_381_a001879.wav,a001879,1879,a9e8bd6453e3b18c0078b8f862f8a07d377d42f0d9bbc7ec974d1105fa4adf93
agreement_381_a001882.wav,a001882,1882,04346557cab088671514e7a18642d9a3be54854dfa203fd5abab467df76d2b86
agreement_381_a001887.wav,a001887,1887,1ab13e899b5c30ed28b5eead10dfbf78355e5d326c56c77616e8e9f173e45a67
agreement_381_a001892.wav,a001892,1892,adaafe856d310a35bfdab41300679ff389fb54c4d5d2db7365dcd9b96763fb42
agreement_382_a001916.wav,a001916,1916,205baaa0ed5c42a17e9fabc5269d522e6e19387026248af98f0aeee04fa56561
agreement_384_a001974.wav,a001974,1974,0f43a76df8cf2f7b465af474bdaefb78f57e8394c49260c2a3f412e5d7419db1
agreement_384_a001978.wav,a001978,1978,89a0a7d4861ec3583793de850a87b3dceb8e364379d518450b423b0bbd1aaebc
agreement_387_a002035.wav,a002035,2035,1f92aa65e34463c36935a1592ef6caad0842063e0a6e04f75e005ad7c167b645
agreement_392_a002117.wav,a002117,2117,2269cf46b5c42abf35b034a948e0dbab3e956b5e75ccdd5dca38ec203f02c17c
agreement_403_a002307.wav,a002307,2307,9ecbe02740bfbad417635c2fd03a2e93633766cd656559281ecd20e079c4d0c1
agreement_403_a002318.wav,a002318,2318,a31100f4daf8a4e0088d123a653a3b99ccbd719f0d57d40f790da4536a3674e5
agreement_404_a002325.wav,a002325,2325,1a0a58eb411d269d7ee8138a0edccfdb9e725cc58338a772ebd25729d819d44c
agreement_405_a002361.wav,a002361,2361,8d98abf78dab73a6ca9468763cb86cb11bf502b3cc2fc0cee91272248d6d1767
agreement_405_a002365.wav,a002365,2365,7cbfab00a34c7eecc507c62fc2145ee108e543a296e4384b86666cc8da159f3a
agreement_405_a002369.wav,a002369,2369,4dffe4c29cf0031d87c7b6b0203ea5ef82a8622aa38540099a6197cc9b5a1ebd
agreement_405_a002370.wav,a002370,2370,dace2ae81dc21615be58617162862bdc7a1baafaf8497396bbe46e663314dc4e
agreement_405_a002376.wav,a002376,2376,aa536cca36fa7801128d5a90aab5ce22ec9c5c8112fe3989b52a31276a3d8d99
agreement_406_a002396.wav,a002396,2396,470c724f031408d349507c18050b04387ab55e5a7c171a58804c118627ff22b8
agreement_406_a002403.wav,a002403,2403,ece5af4ddbc5972f509e91a7b39bacf69a318a1196b3110ad48a4b9c248e4410
agreement_407_a002414.wav,a002414,2414,d1655c408dfa1cc1c1e683577ed39406e792946f4a530b7099287be3cd10ad9b
agreement_408_a002449.wav,a002449,2449,008bf853b7edac1f9b8e4e3419b1a5f1cfcd3e5a3fb619026781af89e88adfbe
agreement_411_a002503.wav,a002503,2503,d474e4234aedc665d50ee4f310f2533cf4870ef4b6aad9576f687700ef43fe2d
agreement_411_a002524.wav,a002524,2524,39e56f738194dd7ccf3104652f5645fce9b8e2338762b97e932596996827ed4c
agreement_411_a002530.wav,a002530,2530,d18c54281b77d1b227f7dbecd9ab45f963868313a107ecb66a8f399904ad3b50
agreement_414_a002588.wav,a002588,2588,43743bdfce57b03967d2f2f853688f38f2567dbc5adca4a0bbbe0e555fc0e538
agreement_414_a002590.wav,a002590,2590,fa53b0e0b6c6ee5e5cd8fb979b84b67c56c63580daa87af57c40f23a33bbf397
agreement_414_a002591.wav,a002591,2591,9f863256d53396ac917896094c004e2e2a2862d2642c547bf77ab04b34f12150
agreement_414_a002593.wav,a002593,2593,9ee38d0bbb52ba0b2dfec70293b5570adf9e07de014480556d4bb996c2b33735
agreement_414_a002596.wav,a002596,2596,04cdcb9c836a83bfe741e0fa28924804648e43c2a2b7bb6fc3b7e295f37f92b7
agreement_415_a002605.wav,a002605,2605,bd20e15ff1f23b3f2a330a78563c7b35713dfb55af022debd89923e76dfac5f4
agreement_416_a002627.wav,a002627,2627,a0675153d939c5968a063b8b2b6bb56be249ed2b73ceca849d77e3def671f30f
agreement_416_a002638.wav,a002638,2638,288e2bd1cae4bb8e098926ec822addd4fe83f71d79160bb5a04259aa7427d175
agreement_419_a002697.wav,a002697,2697,0b0e44c8ad14923f562170b3721f66f9329b11bf5838046c1d78881f2c3bc73a
agreement_419_a002698.wav,a002698,2698,8a3212e564c1dd03a0913f5d39f479cc9de26804fc88125e497b1109f5731eae
agreement_419_a002701.wav,a002701,2701,9200bacb98fe5ebb503ae73450944b8b970731c458e75b41c649c1cd91a7dbcc
agreement_419_a002712.wav,a002712,2712,9cab3c530567a11f330811ad7405bc08d01306645e6742305912963be10b2488
agreement_420_a002738.wav,a002738,2738,ac621f9099dd75ce56d3c1abfb35db8ab8fd60075e746840cee7687cc8efc775
agreement_420_a002740.wav,a002740,2740,b1dbaed34c2d7e0b3cc48143bdc6eddcbfea00820436abc2a7676d2267887d64
agreement_423_a002821.wav,a002821,2821,2e9869e4a9c5d44685bc9906055bf797c6e11077fac6da6b4df47dd4a4366da9
agreement_424_a002826.wav,a002826,2826,7305187719a52e43ccf3bd2db00a23774539ade2ad1e6e651ee5d0c9c8128e60
agreement_424_a002827.wav,a002827,2827,01c2aa1c15e2b9203183cf34cca73b3b61d45ddecbae765d697c07fbb87c9448
agreement_424_a002846.wav,a002846,2846,86da35c771e95a0783c2fdcc788bbd5e92588bdd083b2cd2b081cd7703dfe37b
agreement_426_a002894.wav,a002894,2894,6b242d0f285e24be4b81655a049d7092e42e4d975f9b0e4e3a01073b760f7983
agreement_426_a002895.wav,a002895,2895,371135975d01be332789b0b82453fa3e7b7580598bf940658e9b6cf001740825
agreement_429_a002951.wav,a002951,2951,9f67e3a1a8fecd32e0ae3e86e9d00c924683e12610212f212954c73c66d4dd86
agreement_430_a002960.wav,a002960,2960,ecedc628f08c1780b20c744d80e5aff4e6be555fa943c37191753e5f573cc14e
agreement_430_a002968.wav,a002968,2968,a1c6c256bc885cd3f5805287319f4eb900a0aa9600ccd7793cb122f5e0de480c
agreement_430_a002978.wav,a002978,2978,56109a9c2b1a3fcadf4a5c3ae91def9f7f122900d919372c511d0ae08b9518c2
agreement_431_a002994.wav,a002994,2994,9a5c57d8c6e1c2bd8e609c3ad92c6658bb1df20475535d696aea2d1f3f13b1f1
agreement_432_a003009.wav,a003009,3009,f786f362f864a77376b0f4b414adb77803988bc3fdc45800d60ddab4558e0a73
agreement_434_a003036.wav,a003036,3036,a40cf485425b0e1b379ebb04baef2e2fe7c1cb1e7520fadbb0a9f5528cca2903
agreement_434_a003058.wav,a003058,3058,7664d0dd73ae9bdce6de8cd9c950176cda4525a1477c131ea550766fa0d7e738
agreement_434_a003064.wav,a003064,3064,aaa1e93398667ac41438a4120973d95f4aef6e0f12885e7dba50aba7946cf2d1
agreement_436_a003091.wav,a003091,3091,a7bc00d8e2429d518f6e82235bc6f1e9db144b4f2525ef35d5c123825bb1a800
agreement_437_a003112.wav,a003112,3112,4e13da6452a480c5f50ae71d4e0ef0310b91b28128ef2380c7f7a68de0152af9
agreement_437_a003120.wav,a003120,3120,b9b59958e29a5ddc85207de6124ed8bbc9b90d485bde4557011d8f0a99b01786
agreement_438_a003133.wav,a003133,3133,dee77a64dc286a9d411d30cb5f3045f8891e7962fd5829ddcc9a895f092ca99b
agreement_438_a003142.wav,a003142,3142,bb18b6baba79f7464a3f13ed4c23b66f5933b08984a72f7208f82a8c160b053d
agreement_439_a003161.wav,a003161,3161,12d267772bcdc2451f21021a500a8114d40ee029aa53dd8726d984e96bd71b2f
agreement_439_a003181.wav,a003181,3181,1e8519765d05b421c412f6545989bc14fa7ae4f7a895dd904b24dfc429e1b11e
agreement_440_a003196.wav,a003196,3196,2736ec5d3f2f2ba741b59ca076779e94b23b4a2e1a590a2451dc34107f027cae
agreement_440_a003202.wav,a003202,3202,28744bcb2ec7d928d8ac5a6868ebe41a667e1cd9f2957027ddf26a9fc1167a9f
agreement_440_a003205.wav,a003205,3205,443473afc6e681af693cb948c6bf15ed30fb397872056dbb113d383c392dc09b
agreement_440_a003206.wav,a003206,3206,476e3c597c2459f2609adf1c7d68402f9089aaa745f95ba1bf84a5707f93c388
agreement_441_a003223.wav,a003223,3223,4aeb4d0bfceeb4d6a632b77943293db0b79df3982735a2e92328f50360ebde1d
agreement_441_a003225.wav,a003225,3225,8c3fd9d208377e5009c6253a9cdbd22aace4758fdf6c4094930a406aedaadb30
agreement_441_a003229.wav,a003229,3229,1d3f2c1bbe65587ca0aa627804f9868a43a913cb6d17feaedfe55646819aa955
agreement_443_a003259.wav,a003259,3259,dda07e99242e003a942f76277d87900dda740c038b10739a738fee4b9d48f741
agreement_445_a003302.wav,a003302,3302,15b990fda861c29975598bc48b6edd051a33810030cf125667b1f1f3c47fb741
agreement_445_a003309.wav,a003309,3309,c5c1b40fcbb11e0c938f20a9e7746ccd2bfd61ff06e0dca51f64f55585e84286
agreement_446_a003323.wav,a003323,3323,39b76c9551899ca4e653bd172e369328e977289950e9549c973611a553ab3bf2
agreement_447_a003344.wav,a003344,3344,0e4fd1c541d08c52520ea6bc87816dfb61c01988ae71e9459b0c664763552bbb
agreement_447_a003346.wav,a003346,3346,b56c53ab56a80bcd6bd8f38cdbbbed4ea64e0787a5cde3f9753a816653e9ffed
agreement_447_a003353.wav,a003353,3353,c7663522eae6ea253d4cd9689eceb0f409b74b4bc6a09b4c413153ce096e4653
agreement_448_a003370.wav,a003370,3370,967a526d1d0753cc439629b8ee9bb377085ce23afd26055302f24386c519524a
agreement_448_a003385.wav,a003385,3385,6f4935f04a2364e9ac90bbd44eb44f7be73725085482e1abce6b159a413433ab
agreement_448_a003392.wav,a003392,3392,fe90aa49d35327bdb033b6f99b3349dea481d6927086f51805b312232e0b897c
agreement_449_a003417.wav,a003417,3417,9b960aba6caaeb8845bc5c6250bda9dbe50d3fa7b0dd5939e0c94bf4469b023f
agreement_451_a003461.wav,a003461,3461,09a1a31c5ab51d451f568d6eae72a6430aee2374e622ed4316fcdc2e2ea76008
agreement_451_a003462.wav,a003462,3462,8969d85e4767a2e0023182f7c04b72b31e503eb95ced8ba6e36649adc4fd12e0
agreement_451_a003483.wav,a003483,3483,555b008bb64b0176e7650d36dc991fe3d1a3b2bc93fc07ab052a3478bbf96638
agreement_452_a003493.wav,a003493,3493,740ae33f24abc4247886e27d85f40528e6ee9d7b758ef731ea0768a654c9eecb
agreement_454_a003525.wav,a003525,3525,091a021d5c0f774762d50699a0f8a3bb99442e1ec5a1a94117cc8f1ff10a73c4
agreement_454_a003534.wav,a003534,3534,f0633ce106d3a8d24f3386414cf92adeb7a5ee9a440908872ee95299a05546bf
agreement_457_a003595.wav,a003595,3595,4533de8e7f332a49b763a164795ad1a3ff882a69e4085f56249f8024746df8c1
agreement_457_a003596.wav,a003596,3596,21a04437de8ad82f824ab06aef42984956d9c86ceecf41522e9664138e0f35ea
agreement_457_a003598.wav,a003598,3598,6f3b2864199ce5739e169fcff3cc551bdb8f90adf3819cb81ec83854a03ea317
agreement_457_a003602.wav,a003602,3602,a980a09f542b627d62b489fe0d00af2f3532ae2408066914d61edd2417c177c1
agreement_461_a003660.wav,a003660,3660,228909780d98120b6484051928c09380f8ef9d5550080324a932be136a83f847
agreement_461_a003662.wav,a003662,3662,0def9bfba9bf2467b535cb9319dcf0530be483ba709e94de4b399fd65b104e71
agreement_461_a003672.wav,a003672,3672,8a5a678fee8ad07e4a5073694e8f2a0f9ea96f545f3ff92695230bbb021160de
agreement_463_a003717.wav,a003717,3717,b9a0b7b9d523c908936abf0401862745b95cf43acaf0916bfb2bd59d9f152ed0
agreement_464_a003724.wav,a003724,3724,060cd72ece9520eb354581d349bc4324a6069c6f8ebed0c084c4ea42c51cea9f
agreement_464_a003727.wav,a003727,3727,a3ecf5d624d717a62365ac634de775bc07cce7cbd515460bba9850c5eea121f3
agreement_465_a003748.wav,a003748,3748,dd6dbaf3bd017a74c051251c97ea682dfd415d03e09af1cafa6a3e529929c9f0
agreement_465_a003758.wav,a003758,3758,e88024ad73ea03f4b980a9cb4c5be975e42cc83effcb509b4013cdec1dba0e45
agreement_465_a003762.wav,a003762,3762,a13d535e201fcad2b5cc74cb8ee8bd856ab18c24b4751096f6660fd925550a20
agreement_465_a003773.wav,a003773,3773,aa9798a884d1c4f3615f6d56d7f37e1621086e556176c694343d4e5ede6a33f4
agreement_465_a003774.wav,a003774,3774,abb9b5a0cd7c0f33f76ff15e76d1fb501bc2586ce56e79f7e37f454ca156b942
agreement_467_a003810.wav,a003810,3810,4934afbbb69b12129bc5d1e634f63c4c92c228be078bbcf9915f8c87cabffffe
agreement_467_a003811.wav,a003811,3811,dca5e2e4f8a8cbe813a3cb66405ad2a7b05cf93540dd9cc9d9bc9cbefc72e121
agreement_468_a003837.wav,a003837,3837,c187201f6f37dc91dfdf684130c8097c326df4eeaf433b5db8bdbcf33d29599f
agreement_468_a003847.wav,a003847,3847,bc1a0276875ed1cf20ac9562a2b11d860303c2189e39854dc763950ea382f944
agreement_468_a003858.wav,a003858,3858,5a0a80ffda5e984cacccc92e2c713744c7df4338c2f4c8f628290826cecc940e
agreement_469_a003864.wav,a003864,3864,0d7f8c5790e00060961b02cca9af38ece719badc3b54afb97ad08b6ee5835745
agreement_469_a003884.wav,a003884,3884,43d01ec71c123eb339a940af637f7e9aefa4abeca58247a224a460752df9827b
agreement_469_a003889.wav,a003889,3889,aacbc0043dcb943df3feed9d7fd90f672756094b9f913f6bdd542de266e57741
agreement_469_a003892.wav,a003892,3892,8335f474bb24232116a6a0d0e959de09ba63d3dd7fbb52fe6bd5dc704f349d7f
agreement_470_a003904.wav,a003904,3904,513674bfd6392c400d49072c20fb23e604fc365ce49827956c89f7ee7185163d
agreement_470_a003905.wav,a003905,3905,522b20f95131394cef6e21c7bb1600fb25ad073e67b952715d8ccdb387552e8c
agreement_470_a003909.wav,a003909,3909,5b10e381de834bbb59c993bad6143b10ee14d0294b7bb08589f9f002e091554f
agreement_470_a003916.wav,a003916,3916,c227f0f927582e9f035523b178a8d1aac0e26f1a8a2d1ce7186ca72a195bb39b
agreement_471_a003919.wav,a003919,3919,947519c8c01f4f7d180d3dd8f05494144031ccc377bef0341f5dc46e90a25e32
agreement_471_a003928.wav,a003928,3928,26272c95f203a2dc63481530dfa0e9dcd048acb81d464af54fe2b5ca4ae7aaad
agreement_471_a003934.wav,a003934,3934,a294d65dd537a53975143fb0f793568adc216c7e51a015fbf79e43188c097f95
agreement_472_a003938.wav,a003938,3938,e6ad67d578cd9717acc0911146a452378b8e6c4ef1c633b9d1b099b1567ef026
agreement_472_a003948.wav,a003948,3948,d08b176f8202e72ee28f26b2064d92fff3ffc243ce894e2c976ceec4bf1f5c19
agreement_472_a003950.wav,a003950,3950,a7a8f743b33d0b316e0021f67659b5ff6f1e0ac811850ba22d18821a497d7ccb
agreement_474_a003964.wav,a003964,3964,f7d2412eed30044885e092304a046fabf54a67ab04df6e381f784b283ac7c475
agreement_474_a003965.wav,a003965,3965,12d027dc7e3e1120008d24be7d84a62dd697e3c913e2213003b6b57644b40bc2
agreement_474_a003975.wav,a003975,3975,7cb6ff35ea259799eb459313f00a3d008265836e0e847bbaf0d4cfdd0e3ce454
agreement_476_a004001.wav,a004001,4001,efda13e32556a9695283397a6412508788c648a18a574f1860a61be62b727a1c
agreement_476_a004003.wav,a004003,4003,baec19913da4c476441d93b34ee6f08a6784f32c55b33df68e76c68928690afa
agreement_477_a004011.wav,a004011,4011,b5f011398f12302cbc94a5be0c87aa3943ea5c15ede1ed9a0c412b1100596311
agreement_477_a004024.wav,a004024,4024,f78d75240b9e533caf6086f4d212b304f8ec59060a5dd22c62f7b4890ff3a4ba
agreement_477_a004036.wav,a004036,4036,d36fedb5e37fd3042d049fbb67eace7368b93934ab834e7c5cb0cac108d3c73d
agreement_477_a004037.wav,a004037,4037,3a1bf6b29764fec39554e710339712eb2c9a02652489ca0372fd32177b4fd267
agreement_478_a004040.wav,a004040,4040,d59ac9f3457803e225c0a877a7b1587a52a5e95df13cfcd0dfd4b9ad66e5ceff
agreement_478_a004057.wav,a004057,4057,0885d96d8bdf779aa3ce54c6f08ea072f1b1cd97cd4a4569b8743ef48038657d
agreement_478_a004059.wav,a004059,4059,f3946d26fa5be451e4b1f4c0c4d03cef801664b847296b9f5109925efaa68829
agreement_480_a004079.wav,a004079,4079,5f05755d77b1e656194e1796b3247f8d99d17e9077bebb0c8cce577ad9b4535d
agreement_480_a004082.wav,a004082,4082,0d6adef0ccdc084df5222c2f366e024923215c425f4a9862842f3f562a9e9fd5
agreement_482_a004140.wav,a004140,4140,ab7cae130da0ce6d508c0be49ac776f1681a8c8e04194985eb80a28cbde93edc
agreement_485_a004229.wav,a004229,4229,cf09c6f2ccd17b8f8622f1ab6ffa9c4e1758f0029570e1ee0f0a9529bb7bbefd
agreement_486_a004239.wav,a004239,4239,42ddad5b821ca76801e9ba25affe8c132bb7102ff47c4a0c1535611320586a10
agreement_487_a004270.wav,a004270,4270,195693bf8186b2197a8ae2e107721b79811c5e95870cda6b6795f03ec8634339
agreement_488_a004279.wav,a004279,4279,777e790a743f213f0e3fad13fbcd5e3d61686b6ee9ddcc5e3a4f5601402a7d40
agreement_488_a004290.wav,a004290,4290,2abcfa3f7465270be486bee8ae980e7de38197b43bbe9f8a6c6dfd86fbb58935
