id	what	value	n	file	closes	note
T5_pitt_ans_pod13_maxabs	pitt ans curve: max |refit auc_oof - saved auc_oof| over 29 layers, pod refit (exact curves_from_states.py, AMD EPYC 9575F 64-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	29	scores/leftovers_23sep/t5/lo-t5-13/pitt_ans_ans_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_ans_pod13_match4dp	pitt ans curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	29/29	29	scores/leftovers_23sep/t5/lo-t5-13/pitt_ans_ans_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_pitt_ans_pod13_meanstd_match4dp	pitt ans curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	29/29 and 29/29	29	scores/leftovers_23sep/t5/lo-t5-13/pitt_ans_ans_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod10_maxabs	edaic_first30 enc curve: max |refit auc_oof - saved auc_oof| over 32 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	32	scores/leftovers_23sep/t5/lo-t5-10/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod10_match4dp	edaic_first30 enc curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	32/32	32	scores/leftovers_23sep/t5/lo-t5-10/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod10_meanstd_match4dp	edaic_first30 enc curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	32/32 and 32/32	32	scores/leftovers_23sep/t5/lo-t5-10/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod10_layers_above	edaic_first30 encoder layers above the zero-shot answer 0.6620: refit curve vs saved curve	2/32 vs 2/32	32	scores/leftovers_23sep/t5/lo-t5-10/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod9_maxabs	edaic_first30 enc curve: max |refit auc_oof - saved auc_oof| over 32 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	32	scores/leftovers_23sep/t5/lo-t5-9/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod9_match4dp	edaic_first30 enc curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	32/32	32	scores/leftovers_23sep/t5/lo-t5-9/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod9_meanstd_match4dp	edaic_first30 enc curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	32/32 and 32/32	32	scores/leftovers_23sep/t5/lo-t5-9/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_enc_pod9_layers_above	edaic_first30 encoder layers above the zero-shot answer 0.6620: refit curve vs saved curve	2/32 vs 2/32	32	scores/leftovers_23sep/t5/lo-t5-9/edaic30_encproj_encoder_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_proj_pod10_maxabs	edaic_first30 proj curve: max |refit auc_oof - saved auc_oof| over 1 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	1	scores/leftovers_23sep/t5/lo-t5-10/edaic30_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_proj_pod10_match4dp	edaic_first30 proj curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	1/1	1	scores/leftovers_23sep/t5/lo-t5-10/edaic30_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_proj_pod10_meanstd_match4dp	edaic_first30 proj curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	1/1 and 1/1	1	scores/leftovers_23sep/t5/lo-t5-10/edaic30_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_proj_pod9_maxabs	edaic_first30 proj curve: max |refit auc_oof - saved auc_oof| over 1 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	1	scores/leftovers_23sep/t5/lo-t5-9/edaic30_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_proj_pod9_match4dp	edaic_first30 proj curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	1/1	1	scores/leftovers_23sep/t5/lo-t5-9/edaic30_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_proj_pod9_meanstd_match4dp	edaic_first30 proj curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	1/1 and 1/1	1	scores/leftovers_23sep/t5/lo-t5-9/edaic30_encproj_proj_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_llm_pod5_maxabs	edaic_first30 llm curve: max |refit auc_oof - saved auc_oof| over 29 layers, pod refit (exact curves_from_states.py, AMD EPYC 9965 192-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	29	scores/leftovers_23sep/t5/lo-t5-5/edaic30_llm_llm_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_llm_pod5_match4dp	edaic_first30 llm curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	29/29	29	scores/leftovers_23sep/t5/lo-t5-5/edaic30_llm_llm_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_llm_pod5_meanstd_match4dp	edaic_first30 llm curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	29/29 and 29/29	29	scores/leftovers_23sep/t5/lo-t5-5/edaic30_llm_llm_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_ans_pod6_maxabs	edaic_first30 ans curve: max |refit auc_oof - saved auc_oof| over 29 layers, pod refit (exact curves_from_states.py, AMD EPYC 9965 192-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	0	29	scores/leftovers_23sep/t5/lo-t5-6/edaic30_ans_ans_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_ans_pod6_match4dp	edaic_first30 ans curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	29/29	29	scores/leftovers_23sep/t5/lo-t5-6/edaic30_ans_ans_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_edaic_first30_ans_pod6_meanstd_match4dp	edaic_first30 ans curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	29/29 and 29/29	29	scores/leftovers_23sep/t5/lo-t5-6/edaic30_ans_ans_perlayer.csv	STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	states from the same extraction run as the saved curve (p_yes equal to 1e-16)
T5_adress2020_enc_pod7_maxabs	adress2020 enc curve: max |refit auc_oof - saved auc_oof| over 32 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	2.88e-03	32	scores/leftovers_23sep/t5/lo-t5-7/adress2020_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0384 vs the saved run), so a 4 dp match is not expected
T5_adress2020_enc_pod7_match4dp	adress2020 enc curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	1/32	32	scores/leftovers_23sep/t5/lo-t5-7/adress2020_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0384 vs the saved run), so a 4 dp match is not expected
T5_adress2020_enc_pod7_meanstd_match4dp	adress2020 enc curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	5/32 and 1/32	32	scores/leftovers_23sep/t5/lo-t5-7/adress2020_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0384 vs the saved run), so a 4 dp match is not expected
T5_adress2020_enc_pod7_layers_above	adress2020 encoder layers above the zero-shot answer 0.6241: refit curve vs saved curve	32/32 vs 32/32	32	scores/leftovers_23sep/t5/lo-t5-7/adress2020_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0384 vs the saved run), so a 4 dp match is not expected
T5_adress2020_proj_pod7_maxabs	adress2020 proj curve: max |refit auc_oof - saved auc_oof| over 1 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	1.31e-03	1	scores/leftovers_23sep/t5/lo-t5-7/adress2020_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0384 vs the saved run), so a 4 dp match is not expected
T5_adress2020_proj_pod7_match4dp	adress2020 proj curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	0/1	1	scores/leftovers_23sep/t5/lo-t5-7/adress2020_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0384 vs the saved run), so a 4 dp match is not expected
T5_adress2020_proj_pod7_meanstd_match4dp	adress2020 proj curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	0/1 and 0/1	1	scores/leftovers_23sep/t5/lo-t5-7/adress2020_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0384 vs the saved run), so a 4 dp match is not expected
T5_neurovoz_enc_pod8_maxabs	neurovoz enc curve: max |refit auc_oof - saved auc_oof| over 32 layers, pod refit (exact curves_from_states.py, AMD EPYC 9655P 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	1.09e-03	32	scores/leftovers_23sep/t5/lo-t5-8/neurovoz_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0468 vs the saved run), so a 4 dp match is not expected
T5_neurovoz_enc_pod8_match4dp	neurovoz enc curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	5/32	32	scores/leftovers_23sep/t5/lo-t5-8/neurovoz_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0468 vs the saved run), so a 4 dp match is not expected
T5_neurovoz_enc_pod8_meanstd_match4dp	neurovoz enc curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	1/32 and 4/32	32	scores/leftovers_23sep/t5/lo-t5-8/neurovoz_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0468 vs the saved run), so a 4 dp match is not expected
T5_neurovoz_enc_pod8_layers_above	neurovoz encoder layers above the zero-shot answer 0.6951: refit curve vs saved curve	32/32 vs 32/32	32	scores/leftovers_23sep/t5/lo-t5-8/neurovoz_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0468 vs the saved run), so a 4 dp match is not expected
T5_neurovoz_proj_pod8_maxabs	neurovoz proj curve: max |refit auc_oof - saved auc_oof| over 1 layers, pod refit (exact curves_from_states.py, AMD EPYC 9655P 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	4.96e-06	1	scores/leftovers_23sep/t5/lo-t5-8/neurovoz_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0468 vs the saved run), so a 4 dp match is not expected
T5_neurovoz_proj_pod8_match4dp	neurovoz proj curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	0/1	1	scores/leftovers_23sep/t5/lo-t5-8/neurovoz_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0468 vs the saved run), so a 4 dp match is not expected
T5_neurovoz_proj_pod8_meanstd_match4dp	neurovoz proj curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	0/1 and 0/1	1	scores/leftovers_23sep/t5/lo-t5-8/neurovoz_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0468 vs the saved run), so a 4 dp match is not expected
T5_edaic_full_enc_pod9_maxabs	edaic_full enc curve: max |refit auc_oof - saved auc_oof| over 32 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	2.97e-03	32	scores/leftovers_23sep/t5/lo-t5-9/edaicfull_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0303 vs the saved run), so a 4 dp match is not expected
T5_edaic_full_enc_pod9_match4dp	edaic_full enc curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	2/32	32	scores/leftovers_23sep/t5/lo-t5-9/edaicfull_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0303 vs the saved run), so a 4 dp match is not expected
T5_edaic_full_enc_pod9_meanstd_match4dp	edaic_full enc curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	0/32 and 0/32	32	scores/leftovers_23sep/t5/lo-t5-9/edaicfull_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0303 vs the saved run), so a 4 dp match is not expected
T5_edaic_full_enc_pod9_layers_above	edaic_full encoder layers above the zero-shot answer 0.8285: refit curve vs saved curve	0/32 vs 0/32	32	scores/leftovers_23sep/t5/lo-t5-9/edaicfull_encproj_encoder_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0303 vs the saved run), so a 4 dp match is not expected
T5_edaic_full_proj_pod9_maxabs	edaic_full proj curve: max |refit auc_oof - saved auc_oof| over 1 layers, pod refit (exact curves_from_states.py, AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX, sklearn 1.9.1 numpy 2.1.2 scipy 1.18.1)	7.25e-04	1	scores/leftovers_23sep/t5/lo-t5-9/edaicfull_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0303 vs the saved run), so a 4 dp match is not expected
T5_edaic_full_proj_pod9_match4dp	edaic_full proj curve: layers whose refit auc_oof equals the saved auc_oof at 4 dp	0/1	1	scores/leftovers_23sep/t5/lo-t5-9/edaicfull_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0303 vs the saved run), so a 4 dp match is not expected
T5_edaic_full_proj_pod9_meanstd_match4dp	edaic_full proj curve: layers matching at 4 dp on auc_mean and on auc_std (fold mean and fold SD)	0/1 and 0/1	1	scores/leftovers_23sep/t5/lo-t5-9/edaicfull_encproj_proj_perlayer.csv	partly: shows the size of the gap only; does not close (the saved curve's own states are not on disk)	states from a different extraction (max |p_yes diff| 0.0303 vs the saved run), so a 4 dp match is not expected
T5_adresso_enc_refit	adresso encoder curve refit	not possible	32		does not close: only a 161-clip P16 POD4B subset exists (curve uses 237 clips)	only a 161-clip P16 POD4B subset exists (curve uses 237 clips)
T5_pcgita_enc_refit	pcgita encoder curve refit	not possible	32		does not close: no Qwen2.5-Omni PC-GITA states on disk	no Qwen2.5-Omni PC-GITA states on disk
T5_kcl_enc_refit	kcl encoder curve refit	not possible	32		does not close: no Qwen2.5-Omni MDVR-KCL states on disk	no Qwen2.5-Omni MDVR-KCL states on disk
T5_edaic_mid300_enc_refit	edaic_mid300 encoder curve refit	not possible	32		does not close: podC states were never pulled; none on disk	podC states were never pulled; none on disk
T5_edaic_mid30_enc_refit	edaic_mid30 encoder curve refit	not possible	32		does not close: podB states were never pulled; none on disk	podB states were never pulled; none on disk
T5_diag_pitt_enc_macfile_pod10	pitt encoder curve, pod refit with the Mac fold order (sklearn 1.7.2 GroupKFold) on an AVX-512 pod: max |diff| vs saved; layers matching at 4 dp	5.37e-02; 0/32	32	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj__macfile_enc.csv	diagnosis for STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX
T5_diag_pitt_enc_mac_macfile_mac	pitt encoder curve, Mac refit, Mac fold order (reproduces the P17 verifier's refit): max |diff| vs saved; layers matching at 4 dp	5.34e-02; 0/32	32	scores/leftovers_23sep/t5/mac_diag/pitt_encproj__mac_macfile_enc.csv	diagnosis for STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	Apple M4 Max, OpenBLAS Accelerate (numpy and scipy build config)
T5_diag_pitt_enc_mac_podfile_mac	pitt encoder curve, Mac refit (sklearn 1.7.2, numpy 2.2.6, Accelerate) with the pod fold order: max |diff| vs saved; layers matching at 4 dp	5.62e-04; 11/32	32	scores/leftovers_23sep/t5/mac_diag/pitt_encproj__mac_podfile_enc.csv	diagnosis for STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	Apple M4 Max, OpenBLAS Accelerate (numpy and scipy build config)
T5_diag_pitt_enc_exact_script_pod1	pitt encoder curve, exact script on a Zen 3 pod without AVX-512 (OpenBLAS Haswell/Zen kernels): max |diff| vs saved; layers matching at 4 dp	6.78e-04; 8/32	32	scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj_encoder_perlayer.csv	diagnosis for STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	AMD EPYC 7713 64-Core Processor, OpenBLAS Haswell
T5_diag_pitt_enc_podfile_f64_pod10	pitt encoder curve, AVX-512 pod, pod folds, features cast to float64: max |diff| vs saved; layers matching at 4 dp	4.65e-04; 8/32	32	scores/leftovers_23sep/t5/lo-t5-10/pitt_encproj__podfile_f64_enc.csv	diagnosis for STATUS_LEDGER section 5 DONE_UNVERIFIED item 1 and section 1 spot check 8 (P17 T5 curve values); audit_p17 item 5 caveat	AMD EPYC 9654 96-Core Processor, OpenBLAS SkylakeX
