model	dataset	condition	probe_mean5	per_repeat	answer	gap	lo	hi	interval	n	n_pos	n_speakers	usable_draws	status	perclip	draws	sidecar	zeroshot
Qwen3-Omni-30B-A3B	E-DAIC	MDD	0.5828	0.5380 0.6103 0.5941 0.6149 0.5567	0.6290	-0.0462	-0.1412	+0.0527	covers 0	275	66	275	2000	VERIFIED	scores/part26/Qwen3-Omni-30B-A3B_E-DAIC/Q3O_EDAIC_perclip.csv	scores/part26/Qwen3-Omni-30B-A3B_E-DAIC/Q3O_EDAIC_draws.npz	scores/part26/Qwen3-Omni-30B-A3B_E-DAIC/Q3O_EDAIC_perclip.sidecar.json	<local data dir>/release/overnight2/q3o_new/q3o_edaic_zeroshot_scores.csv
Qwen3-Omni-30B-A3B	Pitt	AD	0.8122	0.8199 0.8016 0.8142 0.8342 0.7914	0.7619	+0.0503	-0.0087	+0.1095	covers 0	468	290	228	2000	VERIFIED	scores/part26/Qwen3-Omni-30B-A3B_Pitt/per_clip/Qwen3-Omni-30B-A3B_Pitt_perclip.csv	scores/part26/Qwen3-Omni-30B-A3B_Pitt/draws/Qwen3-Omni-30B-A3B_Pitt_draws.npz	scores/part26/Qwen3-Omni-30B-A3B_Pitt/per_clip/Qwen3-Omni-30B-A3B_Pitt_perclip.sidecar.json	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv
Qwen3-Omni-30B-A3B	ADReSSo	AD	0.8750	0.8758 0.8657 0.8778 0.8721 0.8835	0.7774	+0.0976	+0.0362	+0.1616	above 0	237	122	237	2000	VERIFIED	scores/part26/Qwen3-Omni-30B-A3B_ADReSSo/Qwen3-Omni-30B-A3B_ADReSSo_perclip.csv	scores/part26/Qwen3-Omni-30B-A3B_ADReSSo/draws/Qwen3-Omni-30B-A3B_ADReSSo_draws.npz	scores/part26/Qwen3-Omni-30B-A3B_ADReSSo/Qwen3-Omni-30B-A3B_ADReSSo_perclip.sidecar.json	<local data dir>/release/overnight2/q3o_new/q3o_adresso_zeroshot_scores.csv
Qwen3-Omni-30B-A3B	ADReSS-2020	AD	0.8445	0.8337 0.8555 0.8458 0.8401 0.8475	0.7097	+0.1348	+0.0417	+0.2335	above 0	156	78	156	2000	VERIFIED	scores/part26/Qwen3-Omni-30B-A3B_ADReSS-2020/per_clip/p26_q3o_adress2020_perclip.csv	scores/part26/Qwen3-Omni-30B-A3B_ADReSS-2020/draws/p26_q3o_adress2020_draws.npz	scores/part26/Qwen3-Omni-30B-A3B_ADReSS-2020/per_clip/p26_q3o_adress2020_perclip.sidecar.json	<local data dir>/release/overnight2/q3o_new/q3o_adress2020_zeroshot_scores.csv
Kimi-Audio	PC-GITA	PD	0.8768	0.9028 0.8478 0.8616 0.8797 0.8918	0.6147	+0.2621	+0.1810	+0.3364	above 0	1100	550	100	2000	VERIFIED	scores/part26/Kimi-Audio_PC-GITA/Kimi-Audio_PC-GITA_perclip.csv	scores/part26/Kimi-Audio_PC-GITA/draws/Kimi-Audio_PC-GITA_draws.npz	scores/part26/Kimi-Audio_PC-GITA/Kimi-Audio_PC-GITA_perclip.sidecar.json	<local data dir>/release/overnight2/part3/kimi_pcgita_zeroshot_scores.csv
Kimi-Audio	NeuroVoz	PD	0.9319	0.9313 0.9325 0.9247 0.9310 0.9403	0.6204	+0.3115	+0.2515	+0.3674	above 0	1270	621	107	2000	VERIFIED	scores/part26/Kimi-Audio_NeuroVoz/per_clip/p26_kimi_neurovoz_perclip.csv	scores/part26/Kimi-Audio_NeuroVoz/draws/p26_kimi_neurovoz_draws.npz	scores/part26/Kimi-Audio_NeuroVoz/per_clip/p26_kimi_neurovoz_perclip.sidecar.json	<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_zeroshot_scores.csv
Kimi-Audio	MDVR-KCL	PD	0.7631	0.6935 0.7946 0.8512 0.7173 0.7589	0.7113	+0.0518	-0.1637	+0.2901	covers 0	37	16	37	2000	VERIFIED	scores/part26/Kimi-Audio_MDVR-KCL/per_clip/p26_kimi_kcl_perclip.csv	scores/part26/Kimi-Audio_MDVR-KCL/draws/p26_kimi_kcl_draws.npz	scores/part26/Kimi-Audio_MDVR-KCL/per_clip/p26_kimi_kcl_perclip.sidecar.json	<local data dir>/release/overnight2/kimi_new/kimi_kcl_zeroshot_scores.csv
Kimi-Audio	E-DAIC	MDD	0.5823	0.5636 0.6129 0.6059 0.5995 0.5296	0.6293	-0.0469	-0.1393	+0.0533	covers 0	275	66	275	2000	VERIFIED	scores/part26/Kimi-Audio_E-DAIC/p26_kimi_edaic_enc_perclip.csv	scores/part26/Kimi-Audio_E-DAIC/draws/p26_kimi_edaic_enc_draws.npz	scores/part26/Kimi-Audio_E-DAIC/p26_kimi_edaic_enc_perclip.sidecar.json	<local data dir>/release/overnight2/part3/kimi_edaic_zeroshot_scores.csv
Kimi-Audio	Pitt	AD	0.8112	0.8264 0.8027 0.8059 0.8196 0.8015	0.7180	+0.0932	+0.0331	+0.1547	above 0	468	290	228	2000	VERIFIED	scores/part26/Kimi-Audio_Pitt/Kimi-Audio_Pitt_perclip.csv	scores/part26/Kimi-Audio_Pitt/Kimi-Audio_Pitt_draws.npz	scores/part26/Kimi-Audio_Pitt/Kimi-Audio_Pitt.sidecar.json	<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv
Kimi-Audio	ADReSSo	AD	0.8682	0.8490 0.8806 0.8926 0.8775 0.8415	0.7531	+0.1151	+0.0481	+0.1831	above 0	237	122	237	2000	VERIFIED	scores/part26/Kimi-Audio_ADReSSo/per_clip/Kimi-Audio_ADReSSo_perclip.csv	scores/part26/Kimi-Audio_ADReSSo/draws/Kimi-Audio_ADReSSo_draws.npz	scores/part26/Kimi-Audio_ADReSSo/per_clip/Kimi-Audio_ADReSSo_perclip.sidecar.json	<local data dir>/release/overnight2/kimi_new/kimi_adresso_zeroshot_scores.csv
Kimi-Audio	ADReSS-2020	AD	0.8881	0.8887 0.8902 0.8771 0.8974 0.8874	0.7053	+0.1829	+0.0879	+0.2738	above 0	156	78	156	2000	VERIFIED	scores/part26/Kimi-Audio_ADReSS-2020/per_clip/p26_kimi_adress2020_perclip.csv	scores/part26/Kimi-Audio_ADReSS-2020/draws/p26_kimi_adress2020_draws.npz	scores/part26/Kimi-Audio_ADReSS-2020/per_clip/p26_kimi_adress2020_perclip.sidecar.json	<local data dir>/release/overnight2/kimi_new/kimi_adress2020_zeroshot_scores.csv
