,tx_max_end,tar_audio_s,over,dcaps_proc_s
353,758.3,786.0,-27.700000000000045,415.1999375
354,549.5,576.8,-27.299999999999955,167.4999375
355,648.2,674.7,-26.5,358.3
356,943.5,954.0,-10.5,591.4999375
357,405.9,414.8,-8.900000000000034,530.4
358,605.7,647.9,-42.19999999999993,258.0
359,1006.6,1033.6,-26.999999999999886,605.3000625
360,408.8,440.4,-31.599999999999966,218.3
361,611.7,641.9,-30.199999999999932,397.8000625
362,586.7,590.2,-3.5,286.7
363,1214.4,1227.1,-12.699999999999818,804.5000625
364,1775.0,1781.5,-6.5,1340.2
365,1369.6,1386.1,-16.5,718.1000625
366,1292.8,1312.7,-19.90000000000009,847.1
367,1619.9,1637.0,-17.09999999999991,1068.9999375
368,1351.2,1354.8,-3.599999999999909,1039.7
369,1007.5,1041.1,-33.59999999999991,749.3
370,1198.8,1208.6,-9.799999999999955,849.300125
371,894.7,911.7,-17.0,309.8000625
372,1484.0,1513.7,-29.700000000000045,751.3000625
373,1250.6,1265.1,-14.5,949.2
374,1284.8,1287.7,-2.900000000000091,2039.8999375
375,615.4,621.2,-5.800000000000068,177.1
376,1010.3,1025.7,-15.400000000000091,615.6
377,1296.6,1328.3,-31.700000000000045,843.8999375
378,855.3,873.4,-18.100000000000023,432.0999375
379,999.6,1002.1,-2.5,708.9000625
380,1956.8,1966.2,-9.400000000000091,1278.0
381,1082.7,1089.3,-6.599999999999909,501.0000625
382,818.7,824.2,-5.5,364.7999375
383,1354.8,1369.1,-14.299999999999955,901.7
384,1048.5,1056.8,-8.299999999999955,495.7000625
385,498.5,536.3,-37.799999999999955,80.3000625
386,1036.1,1039.4,-3.300000000000182,1759.7999375
387,591.6,602.8,-11.199999999999932,210.400125
388,813.3,831.2,-17.90000000000009,170.3
389,944.0,953.2,-9.200000000000045,209.9
390,1349.0,1356.7,-7.7000000000000455,569.8
391,670.7,680.1,-9.399999999999977,246.8999375
392,615.6,655.7,-40.10000000000002,258.0
393,618.4,630.0,-11.600000000000023,225.9
395,887.2,889.2,-2.0,1338.1
396,748.2,780.4,-32.19999999999993,389.7
397,953.2,953.3,-0.09999999999990905,1426.9000625
399,724.3,734.0,-9.700000000000045,370.099875
400,921.7,936.7,-15.0,478.9000625
401,920.2,934.2,-14.0,454.1
402,952.5,955.49875,-2.9987499999999727,462.9999375
403,862.0,862.5,-0.5,1341.3
404,1129.2,1130.6,-1.3999999999998636,1616.800125
405,1565.0,1570.2,-5.2000000000000455,2529.7999375
406,720.2,721.8,-1.599999999999909,1047.4
407,1238.5,1252.4,-13.900000000000091,920.400125
408,701.4,715.9,-14.5,372.6
409,1004.0,1032.4,-28.40000000000009,718.4
410,1059.4,1065.0,-5.599999999999909,609.7
411,1373.4,1382.9,-9.5,1015.6000625
412,851.1,856.9,-5.7999999999999545,1162.699875
413,994.2,996.8,-2.599999999999909,596.2
414,963.3,984.3,-21.0,558.7999375
415,758.8,780.7,-21.90000000000009,396.4
416,853.4,865.8,-12.399999999999977,493.3
417,848.1,886.3,-38.19999999999993,451.4999375
418,1081.7,1089.2,-7.5,606.9
419,878.7,906.3,-27.59999999999991,649.7
420,1042.2,1048.9,-6.7000000000000455,403.8999375
421,827.4,837.0,-9.600000000000023,410.8000625
422,1321.5,1334.6,-13.099999999999909,804.1
423,988.3,995.9,-7.600000000000023,479.3
424,1062.0,1062.7,-0.7000000000000455,1851.700125
425,1153.3,1154.8,-1.5,1788.0000625
426,854.0,856.8,-2.7999999999999545,1276.9000625
427,866.6,871.8,-5.199999999999932,357.6
428,697.2,704.1,-6.899999999999977,259.0
429,947.7,957.5,-9.799999999999955,409.7000625
430,907.9,908.8,-0.8999999999999773,1349.6000625
431,808.2,833.8,-25.59999999999991,350.8
432,905.2,935.9,-30.699999999999932,415.5
433,777.4,801.9,-24.5,340.5000625
434,1313.8,1319.9,-6.100000000000136,864.3999375
435,1147.1,1185.0,-37.90000000000009,500.4000625
436,687.5,687.9,-0.39999999999997726,1050.8000625
437,842.1,849.6,-7.5,485.9000625
438,1426.5,1429.9,-3.400000000000091,2536.8
439,1279.9,1284.6,-4.699999999999818,987.8000625
440,1410.2,1414.1,-3.8999999999998636,724.6000625
441,946.2,971.3,-25.09999999999991,323.7000625
442,949.9,950.0,-0.10000000000002274,1488.2999375
443,679.1,701.3,-22.199999999999932,193.4
444,1290.2,1310.5,-20.299999999999955,962.2000625
445,708.0,709.6,-1.6000000000000227,360.6000625
446,993.9,998.4,-4.5,665.0
447,793.7,820.3,-26.59999999999991,462.0
448,1211.5,1213.0,-1.5,2054.3000625
449,1027.8,1029.7,-1.900000000000091,1787.5999375
450,1253.4,1275.2,-21.799999999999955,787.4
451,1162.4,1188.4,-26.0,685.7
452,879.5,889.1,-9.600000000000023,1083.599875
453,1027.8,1032.2,-4.400000000000091,1491.5000625
454,801.4,804.1,-2.7000000000000455,1032.2000625
455,747.9,750.4,-2.5,1173.0
456,862.0,882.7,-20.700000000000045,508.7
457,962.1,962.3,-0.1999999999999318,1406.9
458,926.2,949.7,-23.5,580.3
459,937.9,975.1,-37.200000000000045,384.6
461,976.5,981.5,-5.0,1207.7
462,961.0,965.1,-4.100000000000023,1612.7000625
463,809.7,834.7,-25.0,386.7999375
464,974.0,980.3,-6.2999999999999545,658.6999375
465,1163.3,1163.4,-0.10000000000013642,1932.9000625
466,1566.3,1566.5,-0.20000000000004547,2586.1999375
467,976.6,1002.4,-25.799999999999955,365.6999375
468,934.3,939.8,-5.5,1413.5000625
469,1118.9,1126.6,-7.699999999999818,639.399875
470,951.7,955.4,-3.699999999999932,1499.0000625
471,995.1,995.3,-0.1999999999999318,1627.2000625
472,899.9,903.0,-3.1000000000000227,397.8
473,502.4,533.3,-30.899999999999977,101.1
474,922.2,927.4,-5.199999999999932,1442.5000625
475,556.6,587.2,-30.600000000000023,224.5999375
476,604.5,608.8,-4.2999999999999545,785.6
477,1237.4,1244.7,-7.2999999999999545,829.6000625
478,936.0,936.2,-0.20000000000004547,1305.6
479,864.2,910.4,-46.19999999999993,256.0000625
480,865.6,865.7,-0.10000000000002274,1205.3000625
481,1097.0,1116.4,-19.40000000000009,656.3
482,1015.4,1019.0,-3.6000000000000227,1589.8
483,1576.8,1577.0,-0.20000000000004547,2384.200125
484,991.7,995.5,-3.7999999999999545,573.5999375
485,594.8,602.7,-7.900000000000091,212.4000625
486,661.3,682.3,-21.0,298.200125
487,1017.8,1023.5,-5.7000000000000455,692.0000625
488,854.5,884.9,-30.399999999999977,455.5
489,700.7,704.7,-4.0,842.8
490,662.3,691.3,-29.0,193.5999375
491,881.3,881.7,-0.40000000000009095,1268.9999375
492,912.3,912.5,-0.20000000000004547,1447.4
600,675.0,685.79,-10.789999999999964,98.1999375
601,650.6,699.54,-48.93999999999994,139.5
602,777.4,777.89,-0.4900000000000091,1092.8
603,1336.0,1337.1799791666667,-1.179979166666726,2052.4000833333334
604,619.7,626.81,-7.1099999999999,117.9999375
605,796.9,808.58,-11.680000000000064,208.5
606,522.1,529.19,-7.090000000000032,65.9000625
607,783.8,792.01,-8.210000000000036,220.3000625
608,1339.7,1384.12,-44.419999999999845,653.4001875
609,1340.0,1367.5600833333333,-27.560083333333296,740.6999375
612,883.1,907.29,-24.18999999999994,286.5
615,1202.7,1226.25,-23.549999999999955,573.3999375
617,1336.4,1364.03,-27.62999999999988,591.8
618,874.0,890.69,-16.690000000000055,139.2000625
619,1160.3,1168.62,-8.319999999999936,556.5
620,1075.4,1080.0,-4.599999999999909,393.2000208333333
622,810.0,815.0,-5.0,320.4000625
623,1405.4,1410.0,-4.599999999999909,725.6997708333333
624,784.9,849.36,-64.46000000000004,165.4999375
625,1105.8,1110.0,-4.2000000000000455,566.4
626,599.1,611.16,-12.059999999999945,89.8
627,1347.3,1375.0,-27.700000000000045,572.199875
628,1159.7,1164.86,-5.1599999999998545,562.1
629,1369.5,1375.0,-5.5,737.4999166666666
631,611.1,619.02,-7.919999999999959,675.9
632,1167.3,1155.0,12.299999999999955,581.2000625
633,1576.6,1585.0,-8.400000000000091,1113.7999375
634,764.5,770.0,-5.5,377.0999791666667
635,515.6,531.28,-15.67999999999995,84.50002083333334
636,1666.3,1686.83,-20.529999999999973,981.1
637,1181.4,1686.6265,-505.2265,714.6000625
638,476.8,525.08,-48.28000000000003,88.6
640,768.5,813.52,-45.01999999999998,407.0999375
641,685.0,754.96,-69.96000000000004,186.7
649,986.1,992.05,-5.949999999999932,367.99997916666666
650,997.0,1035.69,-38.690000000000055,418.5
651,539.3,586.66,-47.360000000000014,74.5
652,943.9,953.29,-9.389999999999986,355.4999375
653,651.7,664.89,-13.18999999999994,188.8
654,544.4,556.39,-11.990000000000009,143.3999375
655,842.0,855.09,-13.090000000000032,266.300125
656,741.1,763.75,-22.649999999999977,312.4
657,963.8,966.8399791666667,-3.0399791666667397,2377.9000625
658,974.6,988.19,-13.590000000000032,315.5000625
659,1241.2,1507.6205833333333,-266.4205833333333,692.3000625
660,1063.6,1069.32,-5.720000000000027,1560.2
661,1253.4,1253.6499791666668,-0.24997916666666242,1781.7
662,832.9,847.19,-14.290000000000077,341.09995833333335
663,886.1,894.65,-8.549999999999955,307.2000625
664,1197.8,1198.34,-0.5399999999999636,1884.8999375
666,1197.1,1205.4199791666667,-8.319979166666826,628.0999375
667,863.0,863.5,-0.5,1123.7999375
669,1367.7,1370.0,-2.2999999999999545,741.2
670,601.0,638.35,-37.35000000000002,168.7
673,599.6,601.91,-2.3099999999999454,719.3000625
676,578.7,583.35,-4.649999999999977,701.0
677,867.6,900.41,-32.809999999999945,371.59985416666666
679,1238.4,1238.69,-0.2899999999999636,2808.3999375
680,1387.2,1391.0899791666666,-3.889979166666535,753.7999375
682,726.2,734.96,-8.759999999999991,143.2
683,1281.5,1283.8599791666666,-2.3599791666665624,1901.1000208333332
684,1067.5,1073.4099791666667,-5.909979166666744,322.2999375
687,1111.7,1112.26,-0.5599999999999454,1547.2000625
688,1119.5,1127.05,-7.5499999999999545,467.3000625
689,885.0,890.19,-5.190000000000055,1140.5000625
691,1292.1,1297.99,-5.8900000000001,1974.6996666666666
692,528.8,1024.737,-495.9370000000001,146.4999375
693,687.3,691.72,-4.420000000000073,847.4
695,1501.4,1506.8,-5.399999999999864,2049.800166666667
696,760.4,763.58,-3.1800000000000637,936.1999375
697,1054.2,1058.46,-4.259999999999991,1631.200125
698,1416.7,1420.0,-3.2999999999999545,864.8000416666666
699,698.6,705.0,-6.399999999999977,119.2999375
702,728.4,732.92,-4.519999999999982,238.5999375
703,774.4,813.02,-38.620000000000005,172.2
705,684.7,785.99,-101.28999999999996,198.3
707,860.2,870.3499791666667,-10.14997916666664,311.4000625
708,893.9,896.06,-2.159999999999968,1335.9000625
709,818.8,819.75,-0.9500000000000455,1067.1000625
710,805.8,833.26,-27.460000000000036,322.5999375
712,1224.0,1226.04,-2.0399999999999636,1876.000125
713,789.5,790.46,-0.9600000000000364,1016.7
715,1296.7,1303.29,-6.589999999999918,655.7000625
716,967.7,969.71,-2.009999999999991,1360.8
717,953.8,1082.731,-128.93100000000004,543.1000208333334
718,1273.7,1281.87,-8.169999999999845,776.5999375
