key,model,dataset,stream,arm,value,lo,hi,n,n_spk,estimator,file,note
hc_pitt468_age_gap_clip,age,pitt,age_gap_years,all,6.5763,,,468,,"Pitt 468 segments, clip-level mean age dementia 71.74 minus control 65.17",<local data dir>/DementiaBank/pitt_conflict_manifest.csv,
hc_pitt468_age_gap_speaker,age,pitt,age_gap_years,all,7.5386,,,468,228,"Pitt 468 segments, speaker-level (mean age per speaker id 'spk'+group) dementia 72.21 minus control 64.67",<local data dir>/DementiaBank/pitt_conflict_manifest.csv,"speaker key = (group, spk); participant 172 appears in both groups (PART17 T3 note)"
hc_pittall_cookie_age_gap_rec_all_dx,age,pitt_cookie_all,age_gap_years,all,6.5318,,,549,292,"all Pitt cookie recordings in pitt_manifest.csv (all_dx), recording-level dementia 71.42 minus control 64.89",<local data dir>/DementiaBank/pitt_manifest.csv,
hc_pittall_cookie_age_gap_spk_all_dx,age,pitt_cookie_all,age_gap_years,all,6.5471,,,549,292,"all Pitt cookie recordings (all_dx), speaker-level mean-of-visits dementia 71.50 minus control 64.95",<local data dir>/DementiaBank/pitt_manifest.csv,
hc_pittall_cookie_age_gap_first_all_dx,age,pitt_cookie_all,age_gap_years,all,7.1003,,,549,292,"all Pitt cookie recordings (all_dx), speaker-level age at first listed visit, dementia minus control",<local data dir>/DementiaBank/pitt_manifest.csv,
hc_pittall_cookie_age_gap_rec_probable_possible_AD,age,pitt_cookie_all,age_gap_years,all,6.8992,,,498,267,"all Pitt cookie recordings in pitt_manifest.csv (probable_possible_AD), recording-level dementia 71.79 minus control 64.89",<local data dir>/DementiaBank/pitt_manifest.csv,
hc_pittall_cookie_age_gap_spk_probable_possible_AD,age,pitt_cookie_all,age_gap_years,all,7.2317,,,498,267,"all Pitt cookie recordings (probable_possible_AD), speaker-level mean-of-visits dementia 72.18 minus control 64.95",<local data dir>/DementiaBank/pitt_manifest.csv,
hc_pittall_cookie_age_gap_first_probable_possible_AD,age,pitt_cookie_all,age_gap_years,all,7.8222,,,498,267,"all Pitt cookie recordings (probable_possible_AD), speaker-level age at first listed visit, dementia minus control",<local data dir>/DementiaBank/pitt_manifest.csv,
hc_egemaps_pcgita,eGeMAPS,pcgita,egemaps,all,0.8332,,,1100,100,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8332)",<local data dir>/release/overnight/perclip/egemaps_pcgita_oof.csv,
hc_egemaps_neurovoz,eGeMAPS,neurovoz,egemaps,all,0.8439,,,1270,107,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8439)",<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,
hc_egemaps_kcl,eGeMAPS,kcl,egemaps,all,0.7411,,,37,37,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.7411)",<local data dir>/release/overnight/perclip/egemaps_kcl_oof.csv,
hc_egemaps_pitt,eGeMAPS,pitt,egemaps,all,0.6547,,,468,228,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.6547)",<local data dir>/release/overnight/perclip/egemaps_pitt_oof.csv,
hc_egemaps_adresso,eGeMAPS,adresso,egemaps,all,0.6942,,,237,237,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.6942)",<local data dir>/release/overnight/perclip/egemaps_adresso_oof.csv,
hc_egemaps_adress2020,eGeMAPS,adress2020,egemaps,all,0.7122,,,156,156,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.7122)",<local data dir>/release/overnight/perclip/egemaps_adress2020_oof.csv,
hc_egemaps_edaic,eGeMAPS,edaic,egemaps,all,0.5309,,,275,275,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.5309)",<local data dir>/release/overnight/perclip/egemaps_edaic_oof.csv,
hc_nested_Qwen2.5-Omni_pcgita_enc,Qwen2.5-Omni,pcgita,encoder_probe,all,0.8941,,,1100,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,
hc_nested_Qwen2.5-Omni_pcgita_llm,Qwen2.5-Omni,pcgita,lm_probe,all,0.8616,,,1100,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,
hc_nested_Qwen2.5-Omni_pcgita_ans,Qwen2.5-Omni,pcgita,answer_state_probe,all,0.8502,,,1100,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,
hc_nested_Qwen2.5-Omni_pcgita_proj,Qwen2.5-Omni,pcgita,projector_probe,all,0.8685,,,1100,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,
hc_nested_Qwen2.5-Omni_neurovoz_enc,Qwen2.5-Omni,neurovoz,encoder_probe,all,0.9213,,,1270,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,
hc_nested_Qwen2.5-Omni_neurovoz_llm,Qwen2.5-Omni,neurovoz,lm_probe,all,0.9264,,,1270,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,
hc_nested_Qwen2.5-Omni_neurovoz_ans,Qwen2.5-Omni,neurovoz,answer_state_probe,all,0.8895,,,1270,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,
hc_nested_Qwen2.5-Omni_neurovoz_proj,Qwen2.5-Omni,neurovoz,projector_probe,all,0.9092,,,1270,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,
hc_nested_Qwen2.5-Omni_kcl_enc,Qwen2.5-Omni,kcl,encoder_probe,all,0.7506,,,37,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/omni_kcl_nested_repeats.json,
hc_nested_Qwen2.5-Omni_kcl_llm,Qwen2.5-Omni,kcl,lm_probe,all,0.6220,,,37,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/omni_kcl_nested_repeats.json,
hc_nested_Qwen2.5-Omni_kcl_ans,Qwen2.5-Omni,kcl,answer_state_probe,all,0.5833,,,37,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/omni_kcl_nested_repeats.json,
hc_nested_Qwen2.5-Omni_kcl_proj,Qwen2.5-Omni,kcl,projector_probe,all,0.6548,,,37,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/omni_final/omni_kcl_nested_repeats.json,
hc_nested_Qwen2.5-Omni_pitt_enc,Qwen2.5-Omni,pitt,encoder_probe,all,0.7761,,,468,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,SUPERSEDED by the part10 5-repeat npz mean (0.7706); master_lookup row 126
hc_nested_Qwen2.5-Omni_pitt_llm,Qwen2.5-Omni,pitt,lm_probe,all,0.8032,,,468,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,
hc_nested_Qwen2.5-Omni_pitt_ans,Qwen2.5-Omni,pitt,answer_state_probe,all,0.7636,,,468,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,
hc_nested_Qwen2.5-Omni_pitt_proj,Qwen2.5-Omni,pitt,projector_probe,all,0.7507,,,468,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adresso_enc,Qwen2.5-Omni,adresso,encoder_probe,all,0.8752,,,237,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/omni_adresso_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adresso_llm,Qwen2.5-Omni,adresso,lm_probe,all,0.9048,,,237,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/omni_adresso_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adresso_ans,Qwen2.5-Omni,adresso,answer_state_probe,all,0.8593,,,237,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/omni_adresso_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adresso_proj,Qwen2.5-Omni,adresso,projector_probe,all,0.8612,,,237,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/omni_final/omni_adresso_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adress2020_enc,Qwen2.5-Omni,adress2020,encoder_probe,all,0.8043,,,156,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adress2020_llm,Qwen2.5-Omni,adress2020,lm_probe,all,0.8511,,,156,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adress2020_ans,Qwen2.5-Omni,adress2020,answer_state_probe,all,0.8217,,,156,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json,
hc_nested_Qwen2.5-Omni_adress2020_proj,Qwen2.5-Omni,adress2020,projector_probe,all,0.8097,,,156,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/omni_final/omni_adress2020_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_enc,Qwen2.5-Omni,edaic,encoder_probe,all,0.5966,,,275,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/omni_edaic_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_llm,Qwen2.5-Omni,edaic,lm_probe,all,0.4939,,,275,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/omni_edaic_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_ans,Qwen2.5-Omni,edaic,answer_state_probe,all,0.6146,,,275,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/omni_edaic_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_proj,Qwen2.5-Omni,edaic,projector_probe,all,0.5041,,,275,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/omni_final/omni_edaic_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_full_enc,Qwen2.5-Omni,edaic_full,encoder_probe,all,0.5930,,,275,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_full_llm,Qwen2.5-Omni,edaic_full,lm_probe,all,0.6853,,,275,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_full_ans,Qwen2.5-Omni,edaic_full,answer_state_probe,all,0.7542,,,275,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,
hc_nested_Qwen2.5-Omni_edaic_full_proj,Qwen2.5-Omni,edaic_full,projector_probe,all,0.5293,,,275,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,
hc_nested_Qwen2-Audio_pcgita_enc,Qwen2-Audio,pcgita,encoder_probe,all,0.9097,,,1100,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/q2a_pcgita_nested_repeats.json,
hc_nested_Qwen2-Audio_pcgita_llm,Qwen2-Audio,pcgita,lm_probe,all,0.8309,,,1100,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/q2a_pcgita_nested_repeats.json,
hc_nested_Qwen2-Audio_pcgita_ans,Qwen2-Audio,pcgita,answer_state_probe,all,0.8448,,,1100,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/q2a_pcgita_nested_repeats.json,
hc_nested_Qwen2-Audio_neurovoz_enc,Qwen2-Audio,neurovoz,encoder_probe,all,0.9324,,,1270,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/q2a_neurovoz_nested_repeats.json,
hc_nested_Qwen2-Audio_neurovoz_llm,Qwen2-Audio,neurovoz,lm_probe,all,0.8904,,,1270,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/q2a_neurovoz_nested_repeats.json,
hc_nested_Qwen2-Audio_neurovoz_ans,Qwen2-Audio,neurovoz,answer_state_probe,all,0.8808,,,1270,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/q2a_neurovoz_nested_repeats.json,
hc_nested_Qwen2-Audio_kcl_enc,Qwen2-Audio,kcl,encoder_probe,all,0.7714,,,37,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/q2a_kcl_nested_repeats.json,
hc_nested_Qwen2-Audio_kcl_llm,Qwen2-Audio,kcl,lm_probe,all,0.6250,,,37,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/q2a_kcl_nested_repeats.json,
hc_nested_Qwen2-Audio_kcl_ans,Qwen2-Audio,kcl,answer_state_probe,all,0.7702,,,37,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/q2a_kcl_nested_repeats.json,
hc_nested_Qwen2-Audio_pitt_enc,Qwen2-Audio,pitt,encoder_probe,all,0.7846,,,468,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/q2a_pitt_nested_repeats.json,
hc_nested_Qwen2-Audio_pitt_llm,Qwen2-Audio,pitt,lm_probe,all,0.8380,,,468,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/q2a_pitt_nested_repeats.json,
hc_nested_Qwen2-Audio_pitt_ans,Qwen2-Audio,pitt,answer_state_probe,all,0.8253,,,468,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/q2a_pitt_nested_repeats.json,
hc_nested_Qwen2-Audio_adresso_enc,Qwen2-Audio,adresso,encoder_probe,all,0.8537,,,237,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/q2a_adresso_nested_repeats.json,
hc_nested_Qwen2-Audio_adresso_llm,Qwen2-Audio,adresso,lm_probe,all,0.8923,,,237,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/q2a_adresso_nested_repeats.json,
hc_nested_Qwen2-Audio_adresso_ans,Qwen2-Audio,adresso,answer_state_probe,all,0.8190,,,237,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/q2a_adresso_nested_repeats.json,
hc_nested_Qwen2-Audio_adress2020_enc,Qwen2-Audio,adress2020,encoder_probe,all,0.8315,,,156,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/q2a_adress2020_nested_repeats.json,
hc_nested_Qwen2-Audio_adress2020_llm,Qwen2-Audio,adress2020,lm_probe,all,0.8884,,,156,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/q2a_adress2020_nested_repeats.json,
hc_nested_Qwen2-Audio_adress2020_ans,Qwen2-Audio,adress2020,answer_state_probe,all,0.8695,,,156,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/q2a_adress2020_nested_repeats.json,
hc_nested_Qwen2-Audio_edaic_enc,Qwen2-Audio,edaic,encoder_probe,all,0.5673,,,275,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/omni_final/q2a_edaic_nested_repeats.json,
hc_nested_Qwen2-Audio_edaic_llm,Qwen2-Audio,edaic,lm_probe,all,0.5224,,,275,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/omni_final/q2a_edaic_nested_repeats.json,
hc_nested_Qwen2-Audio_edaic_ans,Qwen2-Audio,edaic,answer_state_probe,all,0.5958,,,275,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/omni_final/q2a_edaic_nested_repeats.json,
hc_nested_Qwen3-Omni_pcgita_enc,Qwen3-Omni,pcgita,encoder_probe,all,0.8969,,,1100,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json,
hc_nested_Qwen3-Omni_pcgita_llm,Qwen3-Omni,pcgita,lm_probe,all,0.8807,,,1100,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json,
hc_nested_Qwen3-Omni_pcgita_ans,Qwen3-Omni,pcgita,answer_state_probe,all,0.8807,,,1100,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json,
hc_nested_Qwen3-Omni_pcgita_proj,Qwen3-Omni,pcgita,projector_probe,all,0.8862,,,1100,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json,
hc_nested_Qwen3-Omni_neurovoz_enc,Qwen3-Omni,neurovoz,encoder_probe,all,0.9372,,,1270,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json,
hc_nested_Qwen3-Omni_neurovoz_llm,Qwen3-Omni,neurovoz,lm_probe,all,0.9359,,,1270,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json,
hc_nested_Qwen3-Omni_neurovoz_ans,Qwen3-Omni,neurovoz,answer_state_probe,all,0.9447,,,1270,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json,
hc_nested_Qwen3-Omni_neurovoz_proj,Qwen3-Omni,neurovoz,projector_probe,all,0.9362,,,1270,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json,
hc_nested_Qwen3-Omni_kcl_enc,Qwen3-Omni,kcl,encoder_probe,all,0.7661,,,37,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json,
hc_nested_Qwen3-Omni_kcl_llm,Qwen3-Omni,kcl,lm_probe,all,0.7131,,,37,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json,
hc_nested_Qwen3-Omni_kcl_ans,Qwen3-Omni,kcl,answer_state_probe,all,0.6911,,,37,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json,
hc_nested_Qwen3-Omni_kcl_proj,Qwen3-Omni,kcl,projector_probe,all,0.8095,,,37,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json,
hc_nested_Qwen3-Omni_pitt_enc,Qwen3-Omni,pitt,encoder_probe,all,0.8289,,,468,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/overnight2/final/q3o_pitt_nested_repeats.json,
hc_nested_Qwen3-Omni_pitt_llm,Qwen3-Omni,pitt,lm_probe,all,0.8477,,,468,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/overnight2/final/q3o_pitt_nested_repeats.json,
hc_nested_Qwen3-Omni_pitt_ans,Qwen3-Omni,pitt,answer_state_probe,all,0.8268,,,468,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/overnight2/final/q3o_pitt_nested_repeats.json,
hc_nested_Qwen3-Omni_pitt_proj,Qwen3-Omni,pitt,projector_probe,all,0.7619,,,468,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/overnight2/final/q3o_pitt_nested_repeats.json,
hc_nested_Qwen3-Omni_adresso_enc,Qwen3-Omni,adresso,encoder_probe,all,0.8750,,,237,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json,
hc_nested_Qwen3-Omni_adresso_llm,Qwen3-Omni,adresso,lm_probe,all,0.9068,,,237,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json,
hc_nested_Qwen3-Omni_adresso_ans,Qwen3-Omni,adresso,answer_state_probe,all,0.8724,,,237,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json,
hc_nested_Qwen3-Omni_adresso_proj,Qwen3-Omni,adresso,projector_probe,all,0.8450,,,237,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json,
hc_nested_Qwen3-Omni_adress2020_enc,Qwen3-Omni,adress2020,encoder_probe,all,0.8445,,,156,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adress2020_nested_repeats.json,
hc_nested_Qwen3-Omni_adress2020_llm,Qwen3-Omni,adress2020,lm_probe,all,0.8830,,,156,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adress2020_nested_repeats.json,
hc_nested_Qwen3-Omni_adress2020_ans,Qwen3-Omni,adress2020,answer_state_probe,all,0.8973,,,156,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adress2020_nested_repeats.json,
hc_nested_Qwen3-Omni_adress2020_proj,Qwen3-Omni,adress2020,projector_probe,all,0.8149,,,156,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/overnight2/q3o_new/q3o_adress2020_nested_repeats.json,
hc_nested_Qwen3-Omni_edaic_enc,Qwen3-Omni,edaic,encoder_probe,all,0.5828,,,275,,"five split nested, mean of 5 repeats (json field enc.mean)",<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json,
hc_nested_Qwen3-Omni_edaic_llm,Qwen3-Omni,edaic,lm_probe,all,0.5442,,,275,,"five split nested, mean of 5 repeats (json field llm.mean)",<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json,
hc_nested_Qwen3-Omni_edaic_ans,Qwen3-Omni,edaic,answer_state_probe,all,0.5317,,,275,,"five split nested, mean of 5 repeats (json field ans.mean)",<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json,
hc_nested_Qwen3-Omni_edaic_proj,Qwen3-Omni,edaic,projector_probe,all,0.5232,,,275,,"five split nested, mean of 1 repeats (json field proj.mean)",<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json,
hc_pitt_enc_5rep_npz,Qwen2.5-Omni,pitt,encoder_probe,all,0.7706,,,468,,"five split nested, mean of per-repeat AUCs recomputed here: 0.7598, 0.7725, 0.7459, 0.7903, 0.7843",<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,
hc_enc_minus_egemaps_pcgita,Qwen2.5-Omni,pcgita,enc_minus_egemaps,all,0.0609,,,1100,100,Qwen2.5-Omni nested encoder probe (5-repeat mean 0.8941) minus eGeMAPS OOF AUC 0.8332,<local data dir>/release/overnight/perclip/egemaps_pcgita_oof.csv,
hc_enc_minus_egemaps_neurovoz,Qwen2.5-Omni,neurovoz,enc_minus_egemaps,all,0.0774,,,1270,107,Qwen2.5-Omni nested encoder probe (5-repeat mean 0.9213) minus eGeMAPS OOF AUC 0.8439,<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,
hc_enc_minus_egemaps_kcl,Qwen2.5-Omni,kcl,enc_minus_egemaps,all,0.0095,,,37,37,Qwen2.5-Omni nested encoder probe (5-repeat mean 0.7506) minus eGeMAPS OOF AUC 0.7411,<local data dir>/release/overnight/perclip/egemaps_kcl_oof.csv,
