status,order_group,line,paper_value,file_value,file_path,triage,triage_reason,triage_recomputed,method_constant,kind,section,item_id,reason,context,tex_line_text
UNMATCHED,added_23sep,81,89,,,,,,yes,integer,Implementation Details,L81_570,"method/design constant, not a result; no file value indexed","The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis. We use E-DAIC \cite{daic}, the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) \cite{Kroenke2009}, stricter than PHQ-8 $\geq 10$ for 20 participants, rather than a clinical diagnosis.  The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole. The transcript condition uses the whole transcript."
UNMATCHED,added_23sep,83,30,,,,,,yes,integer,Implementation Details,L83_821,"method/design constant, not a result; no file value indexed","Models hear the first 30 s, because Qwen2-Audio cannot take more, so the conflict test of Section \refsec:setup runs on the same clips for all six models.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis. We use the DementiaBank Pitt cookie-theft descriptions \cite{pitt}, with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings \cite{adresso} from 237 speakers, as released with the ADReSS-M challenge \cite{adressm}, and the ADReSS-2020 benchmark split \cite{adress2020} including 108 training and 48 test recordings. Each Pitt segment starts at the participant's first timed utterance, and the ADReSSo and ADReSS-2020 windows start at the beginning of the recording, so interviewer prompts inside the window are kept. Models hear the first 30\,s, because Qwen2-Audio cannot take more, so the conflict test of Section~\ref{sec:setup} runs on the same clips for all six models. The three sets share speakers, so every result is within one set on speaker-disjoint folds and we make no transfer claim among them."
UNMATCHED,added_23sep,87,5,,,,,,yes,integer,Implementation Details,L87_249,"method/design constant, not a result; no file value indexed","Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.","\noindent\textbf{Probing.} The probe in Eq.~\ref{eq:probe} is logistic regression with $\ell_2$ penalty at $C=1$, balanced class weights and 2000 iterations, on features standardized inside the training fold. Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment. The release names the fold file behind every probe value and paired interval. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by $+0.03$ on average across 18 cells and by up to $+0.14$, so we quote the nested value wherever both exist."
UNMATCHED,added_23sep,87,4,,,,,,yes,integer,Implementation Details,L87_268,"method/design constant, not a result; no file value indexed","Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.","\noindent\textbf{Probing.} The probe in Eq.~\ref{eq:probe} is logistic regression with $\ell_2$ penalty at $C=1$, balanced class weights and 2000 iterations, on features standardized inside the training fold. Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment. The release names the fold file behind every probe value and paired interval. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by $+0.03$ on average across 18 cells and by up to $+0.14$, so we quote the nested value wherever both exist."
UNMATCHED,added_23sep,88,32,,,,,,yes,integer,Implementation Details,L88_81,"method/design constant, not a result; no file value indexed","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Layer-wise probing is performed on Qwen2.5-Omni \cite{qwen25omni}, end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers. We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni \cite{qwen3omni}, a Mixture-of-Experts model, as a check in Section~\ref{sec:gap}."
UNMATCHED,added_23sep,88,29,,,,,,yes,integer,Implementation Details,L88_123,"method/design constant, not a result; no file value indexed","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Layer-wise probing is performed on Qwen2.5-Omni \cite{qwen25omni}, end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers. We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni \cite{qwen3omni}, a Mixture-of-Experts model, as a check in Section~\ref{sec:gap}."
UNMATCHED,added_23sep,88,28,,,,,,no,integer,Implementation Details,L88_228,count 28 not found as n or n_spk in index rows for (no dataset),"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Layer-wise probing is performed on Qwen2.5-Omni \cite{qwen25omni}, end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers. We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni \cite{qwen3omni}, a Mixture-of-Experts model, as a check in Section~\ref{sec:gap}."
MISMATCH,added_23sep,92,0.07,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,UNTRIAGED (new since the 06:38 run),,,no,point,Implementation Details,L92_538,"context [model=Qwen2.5-Omni; data=any; stream=zero_shot; arm=all]; best current candidate Qwen2.5-Omni|edaic_full|zero_shot|all = 0.8285 (zero shot, original run (podA, transformers 5.17.0). Window ) rounds to 0.83; same-tier values: 0.5635 (pcgita Omni zero shot pcgita clip-level AUC, current), 0.5635 (pcgita PC-GITA Qwen2.5-Omni zero-shot answer AU, current), 0.5635 (pcgita Qwen2.5-Omni zero-shot audio answer AUC,, current), 0.5635 (pcgita zero shot AUC, current)","For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.","\noindent\textbf{Prompts.} \emph{``Based only on this recording, does this speaker show signs of X? Answer with one word, Yes or No''}, with X the condition; on the Parkinson's and depression datasets, the phrase ``this recording'' is replaced with ``how this person's voice sounds''.  For the transcript-only baseline, ``this recording'' is replaced with ``this transcript of what the person said''. For Qwen2.5-Omni, two other wording options, listed with the release, move the Table~\ref{tab:main} audio answers by 0.02 on average and 0.07 at most. Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt."
UNMATCHED,added_23sep,92,99,,,,,,no,percent,Implementation Details,L92_681,percentage with no indexed file value for context [model=Qwen2.5-Omni; data=edaic_conflict_v2; stream=prompt_variant; arm=conflict; stream from previous sentence],"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.","\noindent\textbf{Prompts.} \emph{``Based only on this recording, does this speaker show signs of X? Answer with one word, Yes or No''}, with X the condition; on the Parkinson's and depression datasets, the phrase ``this recording'' is replaced with ``how this person's voice sounds''.  For the transcript-only baseline, ``this recording'' is replaced with ``this transcript of what the person said''. For Qwen2.5-Omni, two other wording options, listed with the release, move the Table~\ref{tab:main} audio answers by 0.02 on average and 0.07 at most. Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt."
UNMATCHED,added_23sep,95,0.70,,,,,,yes,point,Implementation Details,L95_369,"method/design constant, not a result; no file value indexed",A segment is counted as positive or negative if that class has a probability of at least 0.70.,"\noindent\textbf{Conflict set construction.} From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5\,s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval \cite{tweeteval}. A segment is counted as positive or negative if that class has a probability of at least 0.70. A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment. This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers. Agreement segments are reused across pairs, so the agreement arm holds 311 distinct segments and is scored on those. "
UNMATCHED,added_23sep,95,15,,,,,,yes,integer,Implementation Details,L95_411,"method/design constant, not a result; no file value indexed","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.","\noindent\textbf{Conflict set construction.} From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5\,s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval \cite{tweeteval}. A segment is counted as positive or negative if that class has a probability of at least 0.70. A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment. This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers. Agreement segments are reused across pairs, so the agreement arm holds 311 distinct segments and is scored on those. "
UNMATCHED,added_23sep,95,4,,,,,,yes,integer,Implementation Details,L95_486,"method/design constant, not a result; no file value indexed","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.","\noindent\textbf{Conflict set construction.} From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5\,s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval \cite{tweeteval}. A segment is counted as positive or negative if that class has a probability of at least 0.70. A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment. This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers. Agreement segments are reused across pairs, so the agreement arm holds 311 distinct segments and is scored on those. "
MISMATCH,added_23sep,97,30 to 56,0.5635 to 0.7143,omni_kcl_zeroshot.json ; omni_neurovoz_zeroshot.json ; omni_pcgita_zeroshot.json,UNTRIAGED (new since the 06:38 run),,,no,range,Implementation Details,L97_803,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni zero_shot, PD' gives 0.5635 (pcgita) to 0.7143 (kcl); members: pcgita 0.5635; neurovoz 0.6951; kcl 0.7143; others: Qwen2.5-Omni zero_shot, AD gives 1 to 1 | Qwen2.5-Omni zero_shot, PD+AD gives 1 to 1 | Qwen2.5-Omni zero_shot, ALL7 (E-DAIC first 30 s) gives 1 to 1",Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,"For Alzheimer's disease, we score the words of each segment in the Pitt dataset \cite{pitt} with a logistic regression trained on six fluency markers from the CHAT transcription codes \cite{macwhinney2000chat,fraser2016linguistic}: type-token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it is a timing measure rather than a lexical one (alone it separates the groups at 0.71). The regression is trained on five speaker-disjoint folds, and segments whose out-of-fold score falls in the top or bottom third are kept. A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment. This leaves 146 segments in conflict and 322 in agreement. Segments run from 30 to 56\,s (median 33\,s) and the models hear the first 30\,s of each."
UNMATCHED,added_23sep,97,33,,,,,,yes,integer,Implementation Details,L97_823,"method/design constant, not a result; no file value indexed",Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,"For Alzheimer's disease, we score the words of each segment in the Pitt dataset \cite{pitt} with a logistic regression trained on six fluency markers from the CHAT transcription codes \cite{macwhinney2000chat,fraser2016linguistic}: type-token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it is a timing measure rather than a lexical one (alone it separates the groups at 0.71). The regression is trained on five speaker-disjoint folds, and segments whose out-of-fold score falls in the top or bottom third are kept. A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment. This leaves 146 segments in conflict and 322 in agreement. Segments run from 30 to 56\,s (median 33\,s) and the models hear the first 30\,s of each."
UNMATCHED,added_23sep,97,30,,,,,,yes,integer,Implementation Details,L97_860,"method/design constant, not a result; no file value indexed",Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,"For Alzheimer's disease, we score the words of each segment in the Pitt dataset \cite{pitt} with a logistic regression trained on six fluency markers from the CHAT transcription codes \cite{macwhinney2000chat,fraser2016linguistic}: type-token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it is a timing measure rather than a lexical one (alone it separates the groups at 0.71). The regression is trained on five speaker-disjoint folds, and segments whose out-of-fold score falls in the top or bottom third are kept. A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment. This leaves 146 segments in conflict and 322 in agreement. Segments run from 30 to 56\,s (median 33\,s) and the models hear the first 30\,s of each."
UNMATCHED,added_23sep,101,7.5,,,,,,no,point,Implementation Details,L101_219,no indexed value for context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=age_gap_years; arm=all],"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).","\noindent\textbf{Checks.} As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) \cite{egemaps}. On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset). Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons."
UNMATCHED,added_23sep,101,81,,,,,,no,integer,Implementation Details,L101_395,count 81 not found as n or n_spk in index rows for pitt_agematched,"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).","\noindent\textbf{Checks.} As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) \cite{egemaps}. On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset). Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons."
UNMATCHED,added_23sep,101,95,,,,,,no,percent,Implementation Details,L101_443,"percentage with no indexed file value for context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=age_gap_years; arm=all; dataset from previous sentence, stream from previous sentence]","Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons.","\noindent\textbf{Checks.} As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) \cite{egemaps}. On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset). Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons."
UNMATCHED,added_23sep,101,2000,,,,,,no,integer,Implementation Details,L101_480,count 2000 not found as n or n_spk in index rows for pitt_agematched,"Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons.","\noindent\textbf{Checks.} As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) \cite{egemaps}. On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset). Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons."
MISMATCH,added_23sep,125,0.84,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,UNTRIAGED (new since the 06:38 run),,,no,point,Experimental Results,L125_27,"context [model=Qwen2.5-Omni; data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=zero_shot; arm=all]; best current candidate Qwen2.5-Omni|edaic_full|zero_shot|all = 0.8285 (zero shot, original run (podA, transformers 5.17.0). Window ) rounds to 0.83; same-tier values: 0.662 (edaic E-DAIC (first 30 s, omni_final) Qwen2.5-, current), 0.662 (edaic Omni zero-shot answer AUC, 30 s window, current), 0.662 (edaic Qwen2.5-Omni zero-shot answer AUC, FIRST, current), 0.662 (edaic Qwen2.5-Omni zero-shot audio answer AUC,, current)",E-DAIC | Zero-shot Audio :: E-DAIC & 275 (275) & 0.84 & 0.82 & 0.86,E-DAIC      &  275 (275) & 0.84 & 0.82 & 0.86 \\
