id,what,value,lo,hi,value_full,lo_full,hi_full,n,n_spk,kind,source,closes,note
M7mo5_pcgita_zeroshot,"Qwen2.5-Omni pcgita: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval",0.5635,0.4931,0.6331,0.5634776859504133,0.49306400723091104,0.6330859923977538,1100,100,exact,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_pcgita_single_gap_ref,"Qwen2.5-Omni pcgita: OLD single-split gap (single-split probe 0.9089 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)",0.3454,0.2636,0.4275,0.34538677685950414,0.26363164315908616,0.42747673948462256,1100,100,"exact, superseded convention",<local data dir>/release/omni_final/omni_pcgita_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_neurovoz_gap,"Qwen2.5-Omni neurovoz: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)",0.2262,0.1714,0.2836,0.22621850462373672,0.17135572813278427,0.2835872616162633,1270,107,"exact point, approximate interval",<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json ; <local data dir>/release/omni_final/omni_neurovoz_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_neurovoz_probe_mean5,"Qwen2.5-Omni neurovoz: Table 1 encoder probe, mean of five per-repeat AUCs [0.9275, 0.9154, 0.928, 0.9124, 0.9232]",0.9213,,,0.9213,,,1270,107,read from file (Table 1 value),<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_neurovoz_zeroshot,"Qwen2.5-Omni neurovoz: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval",0.6951,0.6356,0.7519,0.6950814953762633,0.6355883997757804,0.7518676424825447,1270,107,exact,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_neurovoz_single_gap_ref,"Qwen2.5-Omni neurovoz: OLD single-split gap (single-split probe 0.9160 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)",0.2209,0.166,0.2783,0.2208910525049066,0.16602827601395415,0.2782598094974332,1270,107,"exact, superseded convention",<local data dir>/release/omni_final/omni_neurovoz_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_kcl_gap,"Qwen2.5-Omni kcl: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)",0.0363,-0.2075,0.2638,0.03631428571428574,-0.20748555479608102,0.26383701298701295,37,37,"exact point, approximate interval",<local data dir>/release/omni_final/omni_kcl_nested_repeats.json ; <local data dir>/release/omni_final/omni_kcl_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_kcl_probe_mean5,"Qwen2.5-Omni kcl: Table 1 encoder probe, mean of five per-repeat AUCs [0.744, 0.8304, 0.7768, 0.625, 0.7768]",0.7506,,,0.7506,,,37,37,read from file (Table 1 value),<local data dir>/release/omni_final/omni_kcl_nested_repeats.json,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_kcl_zeroshot,"Qwen2.5-Omni kcl: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval",0.7143,0.521,0.881,0.7142857142857143,0.5209790209790209,0.8809565434565434,37,37,exact,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
M7mo5_kcl_single_gap_ref,"Qwen2.5-Omni kcl: OLD single-split gap (single-split probe 0.7768 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)",0.0625,-0.1813,0.29,0.0625,-0.18129984051036677,0.2900227272727272,37,37,"exact, superseded convention",<local data dir>/release/omni_final/omni_kcl_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps),
VAL_pitt_part10_exact,"pitt_part10: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC",0.1128,0.0455,0.1768,0.11280123982952339,0.04550149479611408,0.1768100605302147,468,228,exact (validation run),<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,validation of the approximation used for M7 non-Pitt,"Table 1 Pitt encoder value 0.7706; exact row must equal part16 M7 fix +0.1128 [0.0455, 0.1768]"
VAL_pitt_part10_shifted_repeat0,"pitt_part10: shifted repeat0 paired interval (the approximation), compare with the exact row",0.1128,0.0403,0.1824,0.11280123982952339,0.04026047077375107,0.18243389347527647,468,228,approximation (validation run),<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0052 hi +0.0056
VAL_pitt_part10_shifted_repeat1,"pitt_part10: shifted repeat1 paired interval (the approximation), compare with the exact row",0.1128,0.0397,0.1805,0.11280123982952339,0.03968869115087475,0.18050398269336726,468,228,approximation (validation run),<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0058 hi +0.0037
VAL_pitt_part10_shifted_repeat2,"pitt_part10: shifted repeat2 paired interval (the approximation), compare with the exact row",0.1128,0.0421,0.1833,0.11280123982952339,0.04208557145651934,0.18326575602497097,468,228,approximation (validation run),<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0034 hi +0.0065
VAL_pitt_part10_shifted_repeat3,"pitt_part10: shifted repeat3 paired interval (the approximation), compare with the exact row",0.1128,0.038,0.1852,0.11280123982952339,0.037983533374136604,0.1852006224901584,468,228,approximation (validation run),<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0075 hi +0.0084
VAL_pitt_part10_shifted_repeat4,"pitt_part10: shifted repeat4 paired interval (the approximation), compare with the exact row",0.1128,0.0464,0.1798,0.11280123982952339,0.04638356096303377,0.1798127392045023,468,228,approximation (validation run),<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,validation of the approximation used for M7 non-Pitt,endpoint error lo +0.0009 hi +0.0030
VAL_edaic300_T7b_exact,"edaic300_T7b: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC",-0.2394,-0.3188,-0.1572,-0.2393649412788168,-0.3188292697258822,-0.15723986914309845,275,275,exact (validation run),<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,validation of the approximation used for M7 non-Pitt,"exact row must equal master_lookup row 224: -0.2394 [-0.3188, -0.1572]"
VAL_edaic300_T7b_shifted_repeat0,"edaic300_T7b: shifted repeat0 paired interval (the approximation), compare with the exact row",-0.2394,-0.329,-0.1405,-0.2393649412788168,-0.3290100525972987,-0.1405319862873601,275,275,approximation (validation run),<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0102 hi +0.0167
VAL_edaic300_T7b_shifted_repeat1,"edaic300_T7b: shifted repeat1 paired interval (the approximation), compare with the exact row",-0.2394,-0.3319,-0.1434,-0.2393649412788168,-0.33194184733648724,-0.14338103850079648,275,275,approximation (validation run),<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0131 hi +0.0139
VAL_edaic300_T7b_shifted_repeat2,"edaic300_T7b: shifted repeat2 paired interval (the approximation), compare with the exact row",-0.2394,-0.3317,-0.1413,-0.2393649412788168,-0.33170109423125055,-0.14126954399878225,275,275,approximation (validation run),<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0129 hi +0.0160
VAL_edaic300_T7b_shifted_repeat3,"edaic300_T7b: shifted repeat3 paired interval (the approximation), compare with the exact row",-0.2394,-0.328,-0.1524,-0.2393649412788168,-0.3279978969861475,-0.15235704435025674,275,275,approximation (validation run),<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0092 hi +0.0049
VAL_edaic300_T7b_shifted_repeat4,"edaic300_T7b: shifted repeat4 paired interval (the approximation), compare with the exact row",-0.2394,-0.3243,-0.1548,-0.2393649412788168,-0.3243420566349117,-0.15476183375959598,275,275,approximation (validation run),<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0055 hi +0.0025
VAL_neurovoz_pod6_reextract_exact,"neurovoz_pod6_reextract: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC",0.2267,0.1742,0.2851,0.22672413151410942,0.17421111833708722,0.2850649649145644,1270,107,exact (validation run),<local data dir>/release/scores/part20/POD6/B_neurovoz_full_check/omni_nvfull_enc_nested5_oof.csv,validation of the approximation used for M7 non-Pitt,"re-extracted states (not Table 1 states), Table 1 outer splits; per-repeat 0.9287/0.9158/0.9253/0.9129/0.9262 vs Table 1 0.9275/0.9154/0.928/0.9124/0.9232"
VAL_neurovoz_pod6_reextract_shifted_single,"neurovoz_pod6_reextract: shifted single paired interval (the approximation), compare with the exact row",0.2267,0.1723,0.2841,0.22672413151410942,0.17232712678745254,0.28412185589339517,1270,107,approximation (validation run),<local data dir>/release/scores/part20/POD6/B_neurovoz_full_check/omni_nvfull_enc_nested5_oof.csv,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0019 hi -0.0009
VAL_adress2020_pod4b_reextract_exact,"adress2020_pod4b_reextract: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC",0.1783,0.075,0.277,0.17827087442472067,0.0750032959789057,0.27704811507936505,156,156,exact (validation run),scores/leftovers_23sep/m7m11/lo-m7m11-1/adress2020_pod4b_enc_rep5_oof.csv,validation of the approximation used for M7 non-Pitt,"re-extracted states (PART 16 POD4B orig), refit on Linux CPU pod lo-m7m11-1 with sklearn 1.9.1; outer folds equal the Table 1 seed files {'seed0': 156, 'seed1': 156, 'seed2': 156, 'seed3': 156, 'seed4': 156}"
VAL_adress2020_pod4b_reextract_shifted_single,"adress2020_pod4b_reextract: shifted single paired interval (the approximation), compare with the exact row",0.1783,0.075,0.2823,0.17827087442472067,0.07498409689576063,0.2823236200670476,156,156,approximation (validation run),scores/leftovers_23sep/m7m11/lo-m7m11-1/adress2020_pod4b_enc_rep5_oof.csv,validation of the approximation used for M7 non-Pitt,endpoint error lo -0.0000 hi +0.0053
