id	what	value	lo	hi	n	n_spk	kind	file	source	verifier_value	verifier_lo	verifier_hi	agree_4dp	verifier_extra	closes	note
M7mo5_pcgita_zeroshot	Qwen2.5-Omni pcgita: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval	0.5635	0.4931	0.6331	1100	100	exact	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv	0.5635	0.4931	0.6331	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_pcgita_single_gap_ref	Qwen2.5-Omni pcgita: OLD single-split gap (single-split probe 0.9089 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)	0.3454	0.2636	0.4275	1100	100	exact, superseded convention	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_pcgita_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv	0.3454	0.2636	0.4275	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_neurovoz_gap	Qwen2.5-Omni neurovoz: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)	0.2262	0.1714	0.2836	1270	107	exact point, approximate interval	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json ; <local data dir>/release/omni_final/omni_neurovoz_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	0.2262	0.1714	0.2836	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_neurovoz_probe_mean5	Qwen2.5-Omni neurovoz: Table 1 encoder probe, mean of five per-repeat AUCs [0.9275, 0.9154, 0.928, 0.9124, 0.9232]	0.9213			1270	107	read from file (Table 1 value)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json	0.9213			True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_neurovoz_zeroshot	Qwen2.5-Omni neurovoz: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval	0.6951	0.6356	0.7519	1270	107	exact	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	0.6951	0.6356	0.7519	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_neurovoz_single_gap_ref	Qwen2.5-Omni neurovoz: OLD single-split gap (single-split probe 0.9160 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)	0.2209	0.1660	0.2783	1270	107	exact, superseded convention	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_neurovoz_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	0.2209	0.1660	0.2783	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_kcl_gap	Qwen2.5-Omni kcl: encoder probe (Table 1 mean of five per-repeat AUCs) minus zero-shot answer AUC; interval is the APPROXIMATE shifted single-split paired interval (exact per-draw mean-of-five interval impossible: per-repeat OOF never saved, states deleted)	0.0363	-0.2075	0.2638	37	37	exact point, approximate interval	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_kcl_nested_repeats.json ; <local data dir>/release/omni_final/omni_kcl_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv	0.0363	-0.2075	0.2638	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_kcl_probe_mean5	Qwen2.5-Omni kcl: Table 1 encoder probe, mean of five per-repeat AUCs [0.744, 0.8304, 0.7768, 0.625, 0.7768]	0.7506			37	37	read from file (Table 1 value)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_kcl_nested_repeats.json	0.7506			True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_kcl_zeroshot	Qwen2.5-Omni kcl: zero-shot answer AUC recomputed from per-clip p_yes, speaker bootstrap interval	0.7143	0.5210	0.8810	37	37	exact	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv	0.7143	0.5210	0.8810	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
M7mo5_kcl_single_gap_ref	Qwen2.5-Omni kcl: OLD single-split gap (single-split probe 0.7768 minus zero-shot), exact paired interval, reference only (reproduces part16 M7)	0.0625	-0.1813	0.2900	37	37	exact, superseded convention	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/omni_final/omni_kcl_enc_nested_oof.csv ; <local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv	0.0625	-0.1813	0.2900	True		STATUS_LEDGER 6.me.6 / 5.5 / spot check 5 (M7 non-Pitt gaps)	
VAL_pitt_part10_exact	pitt_part10: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC	0.1128	0.0455	0.1768	468	228	exact (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	0.1128	0.0455	0.1768	True		validation of the approximation used for M7 non-Pitt	Table 1 Pitt encoder value 0.7706; exact row must equal part16 M7 fix +0.1128 [0.0455, 0.1768]
VAL_pitt_part10_shifted_repeat0	pitt_part10: shifted repeat0 paired interval (the approximation), compare with the exact row	0.1128	0.0403	0.1824	468	228	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	0.1128	0.0403	0.1824	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0052 hi +0.0056
VAL_pitt_part10_shifted_repeat1	pitt_part10: shifted repeat1 paired interval (the approximation), compare with the exact row	0.1128	0.0397	0.1805	468	228	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	0.1128	0.0397	0.1805	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0058 hi +0.0037
VAL_pitt_part10_shifted_repeat2	pitt_part10: shifted repeat2 paired interval (the approximation), compare with the exact row	0.1128	0.0421	0.1833	468	228	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	0.1128	0.0421	0.1833	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0034 hi +0.0065
VAL_pitt_part10_shifted_repeat3	pitt_part10: shifted repeat3 paired interval (the approximation), compare with the exact row	0.1128	0.0380	0.1852	468	228	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	0.1128	0.0380	0.1852	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0075 hi +0.0084
VAL_pitt_part10_shifted_repeat4	pitt_part10: shifted repeat4 paired interval (the approximation), compare with the exact row	0.1128	0.0464	0.1798	468	228	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz	0.1128	0.0464	0.1798	True		validation of the approximation used for M7 non-Pitt	endpoint error lo +0.0009 hi +0.0030
VAL_edaic300_T7b_exact	edaic300_T7b: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC	-0.2394	-0.3188	-0.1572	275	275	exact (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv	-0.2394	-0.3188	-0.1572	True		validation of the approximation used for M7 non-Pitt	exact row must equal master_lookup row 224: -0.2394 [-0.3188, -0.1572]
VAL_edaic300_T7b_shifted_repeat0	edaic300_T7b: shifted repeat0 paired interval (the approximation), compare with the exact row	-0.2394	-0.3290	-0.1405	275	275	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv	-0.2394	-0.3290	-0.1405	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0102 hi +0.0167
VAL_edaic300_T7b_shifted_repeat1	edaic300_T7b: shifted repeat1 paired interval (the approximation), compare with the exact row	-0.2394	-0.3319	-0.1434	275	275	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv	-0.2394	-0.3319	-0.1434	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0131 hi +0.0139
VAL_edaic300_T7b_shifted_repeat2	edaic300_T7b: shifted repeat2 paired interval (the approximation), compare with the exact row	-0.2394	-0.3317	-0.1413	275	275	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv	-0.2394	-0.3317	-0.1413	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0129 hi +0.0160
VAL_edaic300_T7b_shifted_repeat3	edaic300_T7b: shifted repeat3 paired interval (the approximation), compare with the exact row	-0.2394	-0.3280	-0.1524	275	275	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv	-0.2394	-0.3280	-0.1524	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0092 hi +0.0049
VAL_edaic300_T7b_shifted_repeat4	edaic300_T7b: shifted repeat4 paired interval (the approximation), compare with the exact row	-0.2394	-0.3243	-0.1548	275	275	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/edaic_rerun/part17/T7b/T7b_edaic300_meanof5_perclip.csv	-0.2394	-0.3243	-0.1548	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0055 hi +0.0025
VAL_neurovoz_pod6_reextract_exact	neurovoz_pod6_reextract: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC	0.2267	0.1742	0.2851	1270	107	exact (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/scores/part20/POD6/B_neurovoz_full_check/omni_nvfull_enc_nested5_oof.csv	0.2267	0.1742	0.2851	True		validation of the approximation used for M7 non-Pitt	re-extracted states (not Table 1 states), Table 1 outer splits; per-repeat 0.9287/0.9158/0.9253/0.9129/0.9262 vs Table 1 0.9275/0.9154/0.928/0.9124/0.9232
VAL_neurovoz_pod6_reextract_shifted_single	neurovoz_pod6_reextract: shifted single paired interval (the approximation), compare with the exact row	0.2267	0.1723	0.2841	1270	107	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	<local data dir>/release/scores/part20/POD6/B_neurovoz_full_check/omni_nvfull_enc_nested5_oof.csv	0.2267	0.1723	0.2841	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0019 hi -0.0009
VAL_adress2020_pod4b_reextract_exact	adress2020_pod4b_reextract: EXACT paired interval, per draw mean of five per-repeat AUCs minus answer AUC	0.1783	0.0750	0.2770	156	156	exact (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	scores/leftovers_23sep/m7m11/lo-m7m11-1/adress2020_pod4b_enc_rep5_oof.csv	0.1783	0.0750	0.2770	True		validation of the approximation used for M7 non-Pitt	re-extracted states (PART 16 POD4B orig), refit on Linux CPU pod lo-m7m11-1 with sklearn 1.9.1; outer folds equal the Table 1 seed files {'seed0': 156, 'seed1': 156, 'seed2': 156, 'seed3': 156, 'seed4': 156}
VAL_adress2020_pod4b_reextract_shifted_single	adress2020_pod4b_reextract: shifted single paired interval (the approximation), compare with the exact row	0.1783	0.0750	0.2823	156	156	approximation (validation run)	scores/leftovers_23sep/m7m11/m7_meanof5_gaps.csv	scores/leftovers_23sep/m7m11/lo-m7m11-1/adress2020_pod4b_enc_rep5_oof.csv	0.1783	0.0750	0.2823	True		validation of the approximation used for M7 non-Pitt	endpoint error lo -0.0000 hi +0.0053
M11fix_B_xsys_disagree_mean_PD	MDVR-KCL PD: cross-system disagreement (large-v3 vs medium), mean	0.3049	0.1301	0.4944	16	16	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.3049	0.1301	0.4944	True	mac all37 [0.1157, 0.5115] | pod all37 [0.1157, 0.5115] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_B_xsys_disagree_mean_control	MDVR-KCL control: cross-system disagreement (large-v3 vs medium), mean	0.4779	0.0917	1.1479	21	21	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.4779	0.0917	1.1479	True	mac all37 [0.0814, 1.1692] | pod all37 [0.0814, 1.1692] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_B_xsys_disagree_diff_PD_minus_control	MDVR-KCL PD minus control: cross-system disagreement (large-v3 vs medium), mean	-0.1730	-0.8969	0.3060	37	37	the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	-0.1730	-0.8969	0.3060	True		STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_C_mean_token_logprob_mean_PD	MDVR-KCL PD: Whisper large-v3 mean per-token logprob, mean	-0.1103	-0.1502	-0.0739	16	16	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	-0.1103	-0.1502	-0.0739	True	mac all37 [-0.1506, -0.0730] | pod all37 [-0.1506, -0.0730] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_C_mean_token_logprob_mean_control	MDVR-KCL control: Whisper large-v3 mean per-token logprob, mean	-0.1356	-0.2345	-0.0759	21	21	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	-0.1356	-0.2345	-0.0759	True	mac all37 [-0.2325, -0.0753] | pod all37 [-0.2325, -0.0753] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_C_mean_token_logprob_diff_PD_minus_control	MDVR-KCL PD minus control: Whisper large-v3 mean per-token logprob, mean	0.0253	-0.0532	0.1288	37	37	the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.0253	-0.0532	0.1288	True		STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_C_compression_ratio_mean_PD	MDVR-KCL PD: zlib compression ratio, mean	1.5938	1.4484	1.7269	16	16	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	1.5938	1.4484	1.7269	True	mac all37 [1.4471, 1.7433] | pod all37 [1.4471, 1.7433] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_C_compression_ratio_mean_control	MDVR-KCL control: zlib compression ratio, mean	1.4898	1.3076	1.6417	21	21	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	1.4898	1.3076	1.6417	True	mac all37 [1.3121, 1.6422] | pod all37 [1.3121, 1.6422] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_C_compression_ratio_diff_PD_minus_control	MDVR-KCL PD minus control: zlib compression ratio, mean	0.1040	-0.1036	0.3400	37	37	the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.1040	-0.1036	0.3400	True		STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_D_n_words_30s_mean_PD	MDVR-KCL PD: words in the 30 s window, mean	59.1875	46.1875	71.9375	16	16	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	59.1875	46.1875	71.9375	True	mac all37 [46.1426, 73.5385] | pod all37 [46.1426, 73.5385] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_D_n_words_30s_mean_control	MDVR-KCL control: words in the 30 s window, mean	55.8095	43.0464	67.6202	21	21	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	55.8095	43.0464	67.6202	True	mac all37 [43.0521, 67.6530] | pod all37 [43.0521, 67.6530] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_D_n_words_30s_diff_PD_minus_control	MDVR-KCL PD minus control: words in the 30 s window, mean	3.3780	-13.8212	22.5698	37	37	the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	3.3780	-13.8212	22.5698	True		STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_F_wer_vs_local_copy_mean_PD	MDVR-KCL PD: large-v3 vs the other stored transcript copy, WER mean	0.3123	0.1974	0.4388	16	16	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.3123	0.1974	0.4388	True	mac all37 [0.1943, 0.4487] | pod all37 [0.1943, 0.4487] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_F_wer_vs_local_copy_mean_control	MDVR-KCL control: large-v3 vs the other stored transcript copy, WER mean	0.3987	0.2558	0.5577	21	21	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.3987	0.2558	0.5577	True	mac all37 [0.2578, 0.5627] | pod all37 [0.2578, 0.5627] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_F_wer_vs_local_copy_diff_PD_minus_control	MDVR-KCL PD minus control: large-v3 vs the other stored transcript copy, WER mean	-0.0863	-0.2851	0.1047	37	37	the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	-0.0863	-0.2851	0.1047	True		STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_B_xsys_disagree_MEDIAN_PD	MDVR-KCL PD: cross-system disagreement, median	0.1027	0.0323	0.3617	16	16	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.1027	0.0323	0.3617	True	mac all37 [0.0323, 0.4799] | pod all37 [0.0323, 0.4799] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_B_xsys_disagree_MEDIAN_control	MDVR-KCL control: cross-system disagreement, median	0.0333	0.0000	0.1341	21	21	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.0333	0.0000	0.1341	True	mac all37 [0.0000, 0.2088] | pod all37 [0.0000, 0.2088] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_B_xsys_disagree_MEDIAN_diff_PD_minus_control	MDVR-KCL PD minus control: cross-system disagreement, median	0.0694	-0.1008	0.4112	37	37	the cell's speakers (37, or 31 for the >=20-word subset), same idx for both groups (paired)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.0694	-0.1008	0.4112	True		STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
M11fix_B_xsys_disagree_ge20w_MEAN_PD	MDVR-KCL PD: cross-system disagreement, mean over clips with >= 20 words	0.2100	0.0671	0.3837	14	14	within-cell speakers (final)	scores/leftovers_23sep/m7m11/m11_group_intervals.csv	<local data dir>/release/edaic_rerun/part16/M11_kcl_wer.csv	0.2100	0.0671	0.3837	True	mac all37 [0.0645, 0.3906] | pod all37 [0.0645, 0.3906] | all37 agree True	STATUS_LEDGER 5.4 / audit_p16 item 4 (M11 group-mean CIs, script vs verifier)	
