clip,speaker,p_probe_seed0,p_probe_seed1,p_probe_seed2,p_probe_seed3,p_probe_seed4,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,p_probe_single,fold_single,p_yes_zeroshot,p_yes_states
321.wav,321,0.9840962886810303,0.05036672577261925,0.7542317509651184,0.42863044142723083,0.8139806389808655,3,1,1,4,0,0.1505783498287201,3,0.9871779459306244,0.9871779459306244
322.wav,322,0.41767367720603943,0.2335045039653778,0.3844306170940399,0.9531702995300293,0.01772238127887249,2,1,3,0,1,0.4181288182735443,2,0.934388870267945,0.934388870267945
323.wav,323,0.5692116618156433,0.9885309934616089,0.8877283930778503,0.3085424304008484,0.969692051410675,3,4,0,4,3,0.888594925403595,1,0.9697833492708581,0.9697833492708581
324.wav,324,0.9927384257316589,0.9946951270103455,0.9802131056785583,0.9999239444732666,0.14022724330425262,1,2,0,4,2,0.9820435047149658,0,0.9804301148914126,0.9804301148914126
325.wav,325,0.08117901533842087,2.955179297714494e-05,0.002373568946495652,0.0004285992472432554,9.885466170089785e-06,0,2,0,2,2,0.0005974452942609787,4,0.507793395883434,0.507793395883434
326.wav,326,8.63765478698042e-07,5.792785668745637e-05,0.000289636809611693,0.02973587065935135,0.0038302813190966845,4,3,3,0,0,0.0009221850195899606,3,0.9362830938181027,0.9362830938181027
327.wav,327,0.5734286308288574,0.01726086251437664,0.38232558965682983,0.005316822789609432,0.013459636829793453,4,0,3,4,0,0.0014657058054581285,2,0.9504084256329447,0.9504084256329447
328.wav,328,0.007172595709562302,0.026737045496702194,0.0028448556549847126,0.00011898137745447457,0.002562581328675151,4,3,2,4,4,0.0023981574922800064,1,0.9815939847919118,0.9815939847919118
329.wav,329,0.004767776932567358,0.0164894200861454,0.009794673882424831,0.0005365358665585518,0.0005600290023721755,2,3,3,1,2,0.004869161173701286,0,0.5467355665336675,0.5467355665336675
330.wav,330,0.6757612228393555,0.0005763134104199708,0.9325646162033081,0.10254568606615067,0.5829809904098511,3,2,3,0,4,0.29018986225128174,4,0.9683791214751741,0.9683791214751741
331.wav,331,0.9775758981704712,0.8643028736114502,0.9023579359054565,0.05145798251032829,0.004214153159409761,1,1,0,3,3,0.0008557656547054648,3,0.5117245253661458,0.5117245253661458
332.wav,332,0.12056669592857361,0.20196877419948578,0.13727602362632751,0.23496627807617188,0.05933915451169014,1,0,2,1,0,0.015487303026020527,2,0.9894286609532706,0.9894286609532706
333.wav,333,0.008409104309976101,5.0805607315851375e-05,1.0167111952341656e-07,1.0401829968031961e-05,3.3702506243571406e-06,2,2,1,2,3,3.8667814806103706e-05,1,0.9353458319700629,0.9353458319700629
334.wav,334,0.0029716878198087215,0.9928869605064392,0.00044275159598328173,0.10044892877340317,0.9936995506286621,0,1,4,3,3,0.0015931042144075036,0,0.8969697983461898,0.8969697983461898
335.wav,335,0.6107346415519714,0.6201967000961304,0.12485159933567047,0.16558188199996948,0.25689753890037537,2,2,0,0,0,0.017200922593474388,4,0.7981851777284079,0.7981851777284079
336.wav,336,0.16040678322315216,0.4224010705947876,0.0013134618056938052,1.3188455341150984e-06,0.0003238814533688128,1,0,4,2,3,0.011581838130950928,3,0.9810190686870587,0.9810190686870587
337.wav,337,0.10414382070302963,0.9937446713447571,0.014254116453230381,0.024939151480793953,0.9982855916023254,0,4,3,3,4,0.9774326086044312,2,0.5698434772889461,0.5698434772889461
338.wav,338,2.6623580197338015e-05,0.9841222763061523,0.00202520121820271,0.014470349997282028,0.08724275231361389,0,2,3,4,3,0.7259286642074585,1,0.8940423822434561,0.8940423822434561
339.wav,339,1.2232760582264746e-07,0.9498615264892578,0.00019290170166641474,0.8943642377853394,0.5252714157104492,0,0,4,1,2,0.013102266937494278,0,0.9715615510176725,0.9715615510176725
340.wav,340,0.943989098072052,0.06631164997816086,0.8830199837684631,0.9471590518951416,0.9330533742904663,1,0,3,4,4,0.5708180665969849,4,0.9748199063494142,0.9748199063494142
341.wav,341,0.05816815793514252,0.0006059385486878455,0.00025677107623778284,0.003692561760544777,0.005504943896085024,0,0,0,4,4,0.5461801886558533,3,0.9588407451368811,0.9588407451368811
343.wav,343,0.180023193359375,0.02191915735602379,0.5005097985267639,0.05787467956542969,0.0976182222366333,0,0,1,2,1,0.9845563173294067,2,0.9889272184796073,0.9889272184796073
344.wav,344,0.6201910972595215,0.030300788581371307,0.6440181136131287,0.00772021384909749,0.8984512090682983,2,2,1,1,2,0.25509554147720337,1,0.9098988450473743,0.9098988450473743
345.wav,345,0.0020239960867911577,0.0023465680424124002,0.000160734067321755,0.9999916553497314,0.0050068506971001625,4,3,2,0,2,6.434837996494025e-05,0,0.8116619769701605,0.8116619769701605
346.wav,346,0.1394897848367691,0.031451888382434845,0.7904852628707886,0.0073363264091312885,0.00021343039406929165,3,4,4,4,4,0.053914040327072144,4,0.9019163253968898,0.9019163253968898
347.wav,347,0.0033317427150905132,5.243876148597337e-05,0.002360936254262924,0.0049911183305084705,0.008853412233293056,0,4,2,2,4,0.021121297031641006,3,0.8418227395004783,0.8418227395004783
348.wav,348,0.0001171318072010763,0.3361501395702362,0.08291315287351608,0.09012480080127716,0.01946040615439415,0,1,2,3,1,0.0003644845855887979,2,0.13028879205887609,0.13028879205887609
349.wav,349,0.99846351146698,0.9698115587234497,0.9211872220039368,0.4849078953266144,0.9993634819984436,4,1,0,3,3,0.9856871962547302,1,0.971128038587057,0.971128038587057
350.wav,350,0.0003001850564032793,0.0002520631533116102,0.00014669234224129468,0.0012933834223076701,0.00023963087005540729,0,2,2,4,4,0.0025897128507494926,0,0.4765755458705347,0.4765755458705347
351.wav,351,0.18357035517692566,0.8963563442230225,0.3484964668750763,0.019854821264743805,0.5416730642318726,4,1,4,3,1,0.2993621230125427,4,0.6150840783616413,0.6150840783616413
352.wav,352,0.0003435610851738602,0.005323946475982666,0.13357685506343842,0.00010362075408920646,0.00021786720026284456,3,1,4,1,0,1.7198191244460759e-06,3,0.20946208192593757,0.20946208192593757
353.wav,353,2.9353725494729588e-06,0.3238150179386139,0.004468880593776703,5.982644528433959e-14,0.9859866499900818,0,1,2,2,1,8.382074478952006e-10,2,0.9600602384320435,0.9600602384320435
354.wav,354,3.493908661766909e-05,0.0031889101956039667,0.4390568137168884,8.695368160260841e-05,0.01818004623055458,2,3,3,2,3,0.053362343460321426,1,0.9962921613381311,0.9962921613381311
355.wav,355,0.0005806554108858109,0.7831035256385803,0.32869938015937805,0.13200899958610535,0.9285118579864502,2,3,4,3,2,0.9989527463912964,0,0.972413668671314,0.972413668671314
356.wav,356,0.09489012509584427,0.07080625742673874,0.1017172560095787,0.6816478371620178,0.005738832056522369,3,3,2,0,2,0.41141027212142944,4,0.8633830243880036,0.8633830243880036
357.wav,357,0.8545156717300415,0.4850328266620636,0.3010183870792389,0.0003665200201794505,0.3962714374065399,3,0,0,3,1,0.8563796877861023,3,0.9582220306456922,0.9582220306456922
358.wav,358,0.8714856505393982,0.8735975623130798,0.004990280605852604,0.9189444184303284,0.31283995509147644,2,4,3,0,1,0.004672142211347818,2,0.9511388901089435,0.9511388901089435
359.wav,359,2.099284392897971e-05,0.9986588954925537,0.00035301074967719615,0.9977685213088989,0.9158427715301514,4,2,4,0,4,0.003416546620428562,1,0.980579954079259,0.980579954079259
360.wav,360,0.0001782153849489987,0.43318551778793335,0.04117544740438461,0.18239127099514008,0.9782862663269043,0,2,2,3,0,0.046813081949949265,0,0.9899079322240504,0.9899079322240504
361.wav,361,0.5642304420471191,0.05217236280441284,0.7754406332969666,0.011018333956599236,0.12868669629096985,4,0,0,1,4,0.04278434067964554,4,0.33459553991341406,0.33459553991341406
362.wav,362,0.7575786709785461,0.4249153733253479,0.8728510141372681,0.03880009427666664,0.9894117712974548,3,1,0,0,3,0.004944134969264269,3,0.9241373251940349,0.9241373251940349
363.wav,363,0.002478507347404957,0.00037159366183914244,0.0006203522207215428,0.011232543736696243,0.9943699240684509,0,4,2,3,4,0.9074779152870178,2,0.9941791006255167,0.9941791006255167
364.wav,364,0.04077353700995445,0.003286256454885006,1.109244749386562e-05,0.5052805542945862,0.11444230377674103,1,3,3,0,4,0.6639416813850403,1,0.936748795658852,0.936748795658852
365.wav,365,0.791283130645752,0.9771363139152527,0.9744858145713806,0.7657831311225891,0.781853973865509,1,1,1,3,4,0.7158629298210144,0,0.986465789283425,0.986465789283425
366.wav,366,0.03409222140908241,0.0031274936627596617,0.00048486594459973276,0.025598512962460518,0.002948489971458912,3,0,4,4,1,0.0017339264741167426,4,0.4263072586017013,0.4263072586017013
367.wav,367,0.008914104662835598,0.5183019638061523,0.0033110484946519136,0.10417582839727402,0.00638967752456665,4,4,4,2,2,0.1674066036939621,3,0.9977828153464551,0.9977828153464551
368.wav,368,0.469020813703537,0.9354153275489807,0.8767015337944031,0.8771764636039734,0.8838552832603455,4,3,0,0,3,0.9538084268569946,2,0.8397287521535676,0.8397287521535676
369.wav,369,0.001736732549034059,0.8162211775779724,0.12842242419719696,0.5496790409088135,0.9383178949356079,0,0,4,2,2,0.8547202348709106,1,0.18476822816400537,0.18476822816400537
370.wav,370,0.00038989499444141984,0.00039079401176422834,5.102579962112941e-05,0.0002549643686506897,0.00013665479491464794,1,4,1,0,3,0.00016616327047813684,0,0.4648990752445416,0.4648990752445416
371.wav,371,0.4862838685512543,0.9945554733276367,0.4238748550415039,0.5939357280731201,0.03995642438530922,3,4,3,4,3,0.7924008965492249,4,0.9688508213120505,0.9688508213120505
372.wav,372,0.04057910293340683,0.9363481998443604,0.22064794600009918,0.9680277705192566,0.0025250413455069065,0,2,3,4,4,0.6705289483070374,3,0.9763087367697734,0.9763087367697734
373.wav,373,0.8914534449577332,0.5854359865188599,0.002536508021876216,0.10003012418746948,0.015034590847790241,0,2,0,4,3,0.01051105372607708,2,0.38490958171645245,0.38490958171645245
374.wav,374,0.742252767086029,0.20007067918777466,0.9974479675292969,0.9672989249229431,0.8194265961647034,2,2,2,4,1,0.04673163965344429,1,0.9518579314549274,0.9518579314549274
375.wav,375,0.7598317861557007,0.20209231972694397,0.8791552782058716,0.9670538306236267,0.8478350639343262,4,1,2,4,1,0.9180481433868408,0,0.9868778467428982,0.9868778467428982
376.wav,376,0.026807621121406555,0.15583524107933044,0.6697171330451965,0.7646526098251343,0.7860296368598938,2,3,1,0,3,0.8286052942276001,4,0.8940428139508934,0.8940428139508934
377.wav,377,0.4107224643230438,0.0006602400681003928,0.0006526513607241213,0.00016262114513665438,0.004666577558964491,4,4,0,0,2,0.0004097295459359884,3,0.3998080667440896,0.3998080667440896
378.wav,378,0.7558981776237488,0.6573919653892517,0.9751152992248535,0.8462992906570435,0.056506238877773285,1,4,4,3,1,0.018403636291623116,2,0.9960848540130547,0.9960848540130547
379.wav,379,0.04200075566768646,0.273306667804718,0.006934295408427715,0.5932558178901672,8.461611287202686e-05,4,4,2,3,0,0.0005003344267606735,1,0.16451126316227482,0.16451126316227482
380.wav,380,0.4386455714702606,0.7222667336463928,0.13113819062709808,0.20203883945941925,0.6338589787483215,1,0,1,1,1,0.17694900929927826,0,0.8539071713501065,0.8539071713501065
381.wav,381,0.766604483127594,0.8965930342674255,0.423981249332428,0.08283895254135132,0.1157982125878334,0,2,1,4,3,0.19046469032764435,4,0.9890971471906883,0.9890971471906883
382.wav,382,0.0038059945218265057,0.014636128209531307,0.008112087845802307,0.0003187036782037467,0.04111738130450249,2,2,2,4,0,0.17511165142059326,3,0.2845732290175389,0.2845732290175389
383.wav,383,1.6876290828804485e-05,0.005057166330516338,0.37217217683792114,0.02247001603245735,0.005534390453249216,1,1,2,1,4,0.0034810646902769804,2,0.1460861525469573,0.1460861525469573
384.wav,384,0.0005630618543364108,0.409770667552948,0.0031915970612317324,3.491224197205156e-05,0.5935837626457214,4,0,4,3,2,0.07720134407281876,1,0.9848098448588604,0.9848098448588604
385.wav,385,0.7466307878494263,0.982239842414856,0.47423139214515686,0.5065891742706299,0.002679449738934636,4,0,4,4,4,0.17198175191879272,0,0.9381191202090451,0.9381191202090451
386.wav,386,0.518186628818512,0.9336854219436646,0.08620267361402512,0.1731443852186203,0.009110317565500736,2,2,1,3,4,0.037445105612277985,4,0.9485269352889318,0.9485269352889318
387.wav,387,0.2634963095188141,0.013707594014704227,0.03188642859458923,0.0014549458865076303,0.004187182057648897,2,3,1,1,4,0.00018306382116861641,3,0.9770203686553681,0.9770203686553681
388.wav,388,0.002441548742353916,0.0004143613332416862,0.0005732231074944139,0.0005664233467541635,0.004882689565420151,4,2,4,1,4,0.0021597554441541433,2,0.9964614135548536,0.9964614135548536
389.wav,389,0.010308013297617435,0.010324493050575256,0.006702155340462923,0.0012871846556663513,0.0001072285303962417,0,2,0,2,0,0.0035019288770854473,1,0.9980880302951488,0.9980880302951488
390.wav,390,0.04560583457350731,0.0802474170923233,0.025307154282927513,0.006093797739595175,0.010315652936697006,1,1,0,1,1,0.020059192553162575,0,0.9563061585401424,0.9563061585401424
391.wav,391,0.9720511436462402,0.47087955474853516,0.9165120124816895,0.6733367443084717,0.9387054443359375,1,3,1,1,2,0.9526025056838989,4,0.99485941340025,0.99485941340025
392.wav,392,0.8601866364479065,0.8369677662849426,0.03974093496799469,0.9498512148857117,0.8307631015777588,2,3,2,3,1,0.9612269997596741,3,0.7852946547784281,0.7852946547784281
393.wav,393,0.04841821268200874,0.04697026312351227,0.004106604959815741,0.490492045879364,0.20390385389328003,4,4,1,0,1,0.8728652000427246,2,0.9821498822030825,0.9821498822030825
395.wav,395,0.6890140771865845,0.9904186129570007,0.9123697876930237,0.9326586723327637,0.5678678154945374,3,0,1,1,3,0.12552711367607117,1,0.06232799404651852,0.06232799404651852
396.wav,396,0.27826911211013794,0.018751874566078186,0.061913613229990005,0.13578779995441437,0.013026962988078594,4,0,2,3,2,0.0001570778840687126,0,0.9839691865676392,0.9839691865676392
397.wav,397,0.10821730643510818,0.004797536414116621,0.06352634727954865,0.003043536329641938,0.03152010217308998,0,3,1,0,3,0.011592711322009563,4,0.9862572533537529,0.9862572533537529
399.wav,399,0.999607503414154,0.9994309544563293,0.9998779296875,0.9973543882369995,0.9968374967575073,3,0,1,2,1,0.9936688542366028,3,0.7879133157050806,0.7879133157050806
400.wav,400,0.007415491621941328,0.07880596071481705,0.8752094507217407,0.0595230832695961,0.004739818628877401,2,4,2,3,4,0.00725583964958787,2,0.9956681822063891,0.9956681822063891
401.wav,401,0.012036257423460484,0.09667347371578217,0.26374635100364685,0.008373918011784554,0.6196743845939636,2,2,0,0,1,0.05483526736497879,1,0.4110891705297359,0.4110891705297359
402.wav,402,0.9978443384170532,0.858818531036377,0.878060519695282,0.9871096611022949,0.9382523894309998,2,3,1,0,0,0.612794816493988,0,0.9948993589924008,0.9948993589924008
403.wav,403,0.8846644759178162,0.030217422172427177,0.06619352847337723,0.15584006905555725,0.054684292525053024,0,2,2,2,0,0.009380171075463295,4,0.4301399532267693,0.4301399532267693
404.wav,404,0.05659749358892441,0.03343283385038376,0.9122660160064697,0.2053983062505722,0.43764200806617737,2,1,2,1,1,0.09365462511777878,3,0.07585971708536236,0.07585971708536236
405.wav,405,0.9100393652915955,0.918771505355835,0.914495050907135,0.19304238259792328,0.3142358362674713,4,1,1,0,2,0.9554120898246765,2,0.9241363032422327,0.9241363032422327
406.wav,406,0.011460383422672749,0.0031272051855921745,0.9724681973457336,0.0019191133324056864,4.092977178515866e-06,2,2,4,4,4,0.0031438027508556843,1,0.3629681632713576,0.3629681632713576
407.wav,407,1.548303225717973e-05,0.576132595539093,0.007961106486618519,0.14510424435138702,0.006312706973403692,4,4,2,3,3,0.23713621497154236,0,0.9019136131294563,0.9019136131294563
408.wav,408,6.072988617233932e-05,0.5000131726264954,0.004818970803171396,0.41668516397476196,0.9889522194862366,4,2,4,3,3,0.9992735981941223,4,0.9849257910743449,0.9849257910743449
409.wav,409,0.030101533979177475,0.0003106451767962426,2.9486696462299733e-07,0.003325890749692917,0.9042086601257324,1,4,3,3,0,0.371669203042984,3,0.9425051650750185,0.9425051650750185
410.wav,410,0.8346087336540222,0.9529539942741394,0.05326569080352783,0.6950094103813171,0.1564120054244995,1,4,3,1,1,0.813010036945343,2,0.9915530054700437,0.9915530054700437
411.wav,411,0.352446049451828,0.2773078978061676,0.08774111419916153,0.00047354595153592527,0.44917383790016174,1,4,4,1,2,0.10023187100887299,1,0.5698376224210335,0.5698376224210335
412.wav,412,0.9246290922164917,0.13196390867233276,0.04871460795402527,0.9369671940803528,0.30425208806991577,3,4,3,1,2,0.8049544095993042,0,0.953270676252733,0.953270676252733
413.wav,413,0.045651961117982864,0.5455864667892456,0.9506868720054626,0.10276126116514206,0.21622301638126373,0,4,1,4,2,0.5301077365875244,4,0.20056012080441915,0.20056012080441915
414.wav,414,0.05307500436902046,0.05402874946594238,0.07244521379470825,0.039545688778162,0.21288277208805084,4,2,0,4,4,0.04606138542294502,3,0.9433412800126451,0.9433412800126451
415.wav,415,0.6200705170631409,2.271775883855298e-05,2.9503726182156242e-05,6.055845005903393e-06,2.3217489797389135e-06,2,0,1,4,1,0.0008684947388246655,2,0.8509551913568254,0.8509551913568254
416.wav,416,0.5520443320274353,0.9975401163101196,0.8333606123924255,0.7726418375968933,0.20290784537792206,4,0,0,3,4,0.8923898935317993,1,0.9273603398929714,0.9273603398929714
417.wav,417,0.007677781395614147,0.5691617727279663,0.08328864723443985,0.022257620468735695,0.2691432237625122,3,4,3,2,3,0.009425242431461811,0,0.955314368283244,0.955314368283244
418.wav,418,0.0004635391815099865,0.0024444598238915205,0.000858296814840287,0.9412478804588318,4.272451860742876e-06,1,3,0,3,4,0.003114894265308976,4,0.9032891102448364,0.9032891102448364
419.wav,419,6.502928590634838e-05,1.1608770364546217e-05,0.0020926969591528177,2.1385960735642584e-06,0.00010139606456505135,0,0,0,2,3,5.76527952489414e-07,3,0.6757491600181214,0.6757491600181214
420.wav,420,3.9169271985883825e-06,0.016943728551268578,0.3922944962978363,0.0027938506100326777,0.0502956360578537,0,2,2,2,1,0.289164274930954,2,0.9853836355765936,0.9853836355765936
421.wav,421,0.0020215644035488367,0.00026919564697891474,0.9574448466300964,0.12546226382255554,0.0009710749727673829,3,0,4,1,2,0.006761948578059673,1,0.9529208335807857,0.9529208335807857
422.wav,422,0.5421672463417053,0.008594062179327011,0.9014512896537781,0.07049085944890976,0.9282248020172119,1,0,2,2,2,0.2489418387413025,0,0.35218978609629387,0.35218978609629387
423.wav,423,0.038155823945999146,0.01970105618238449,0.11180174350738525,0.002690800465643406,0.9642759561538696,3,0,3,2,2,0.007621469907462597,4,0.9032913270244445,0.9032913270244445
424.wav,424,0.0008876754436641932,0.15070600807666779,0.13810013234615326,0.022095009684562683,0.09874671697616577,0,4,1,2,4,0.16454225778579712,3,0.9252181374119762,0.9252181374119762
425.wav,425,0.1257053017616272,0.0008148864144459367,0.0921158492565155,0.9973503351211548,0.9673337340354919,1,1,4,1,0,0.8519219756126404,2,0.9995487064912519,0.9995487064912519
426.wav,426,0.01400281023234129,0.021757861599326134,0.044787030667066574,0.38549602031707764,0.6592965722084045,3,3,4,3,2,0.17808182537555695,1,0.9971547621402489,0.9971547621402489
427.wav,427,0.1940484344959259,0.037491485476493835,0.8314148187637329,0.007900104857981205,0.6994175910949707,2,3,3,0,0,0.006356172729283571,0,0.5039007099499064,0.5039007099499064
428.wav,428,0.0003838258271571249,0.005664885975420475,0.002160591073334217,0.19091883301734924,0.017045212909579277,0,0,1,0,1,0.15618711709976196,4,0.9343949397663908,0.9343949397663908
429.wav,429,0.2152673751115799,0.876153826713562,0.00972818210721016,0.8252034187316895,0.5305647850036621,1,1,4,0,4,0.784271776676178,3,0.9755740964106874,0.9755740964106874
430.wav,430,0.03339158743619919,0.576983630657196,0.9652430415153503,0.8687830567359924,0.6702237725257874,0,0,2,4,3,0.10045374929904938,2,0.5234237550767625,0.5234237550767625
431.wav,431,0.02674904093146324,0.0011924515711143613,0.0045973691157996655,1.0575059604889248e-05,0.10257614403963089,3,1,2,3,4,0.011727655306458473,1,0.3380654745921703,0.3380654745921703
432.wav,432,0.1325257271528244,0.4025149643421173,0.012086263857781887,0.009517526254057884,0.012490399181842804,1,4,1,0,1,0.126042440533638,0,0.9802791389436328,0.9802791389436328
433.wav,433,1.5089245835042675e-06,1.6038889043556992e-06,1.172918359770847e-06,0.0008324799709953368,0.0002267327217850834,1,1,1,0,2,2.2038613678887486e-05,4,0.9539659370797122,0.9539659370797122
434.wav,434,0.0001725893234834075,0.00021968132932670414,1.9277309547760524e-05,0.00013853357813786715,7.68713143770583e-05,1,4,1,2,1,0.022326940670609474,3,0.46490903999769934,0.46490903999769934
435.wav,435,0.0007145756972022355,0.005061143543571234,0.04169468209147453,5.644397242576815e-05,0.0039991592057049274,3,3,1,4,3,0.0010623290436342359,2,0.9946976542943339,0.9946976542943339
436.wav,436,0.0018328235018998384,2.3873778900451725e-06,0.22558346390724182,5.510569280886557e-06,0.0003884014440700412,2,4,0,4,4,2.8264921638765372e-05,1,0.6959500825586459,0.6959500825586459
437.wav,437,0.03523188456892967,0.0027854538056999445,0.026584617793560028,0.002937735291197896,0.0024775052443146706,0,1,3,3,3,2.1088877474539913e-05,0,0.8962451470226375,0.8962451470226375
438.wav,438,0.015056334435939789,0.07496840506792068,0.00013720606511924416,3.112559352302924e-05,0.0011890907771885395,4,2,3,3,2,0.01549694687128067,4,0.6442174901158044,0.6442174901158044
439.wav,439,0.0004120856465306133,0.009178685955703259,0.0001719818392302841,0.2113461196422577,0.000728284998331219,2,1,0,3,3,1.205957232741639e-05,3,0.6150834437355137,0.6150834437355137
440.wav,440,0.004748159553855658,0.0011437698267400265,0.0037578516639769077,0.9773259162902832,0.041975121945142746,1,1,0,2,4,0.9869391918182373,2,0.9425043563033577,0.9425043563033577
441.wav,441,0.5952605605125427,0.997531533241272,0.8808315396308899,5.0694827223196626e-05,0.001075678039342165,3,0,3,2,0,0.9932810664176941,1,0.993806440086064,0.993806440086064
442.wav,442,3.6323845051811077e-06,0.4631006121635437,8.498981287630158e-07,0.007014046888798475,0.010587048716843128,4,2,4,2,1,0.0018324125558137894,0,0.9907311928622011,0.9907311928622011
443.wav,443,3.4247466373926727e-07,0.001003422075882554,0.004814783576875925,8.305165465571918e-06,0.000128740823129192,2,1,0,2,0,1.9808830984402448e-05,4,0.21207255615553397,0.21207255615553397
444.wav,444,0.05949802324175835,0.6310901641845703,0.009953898377716541,0.013836261816322803,0.0006975549040362239,4,4,1,4,4,6.386250606738031e-05,3,0.9433459012719153,0.9433459012719153
445.wav,445,0.023366041481494904,0.011466462165117264,0.0024400718975812197,0.06871902197599411,0.0018415318336337805,1,0,3,1,0,0.009570661000907421,2,0.9241403208495963,0.9241403208495963
446.wav,446,0.009301505982875824,6.74982175041805e-06,0.00019866910588461906,0.00034854045952670276,1.0981843843183015e-05,2,0,4,2,2,1.9542987502063625e-05,1,0.9975463212814472,0.9975463212814472
447.wav,447,0.00010209763422608376,2.5174633933033874e-08,2.1449612177093513e-05,1.6103538200695766e-06,3.3678757560551276e-09,0,3,4,1,3,1.1439933444989947e-08,0,0.27202975157088044,0.27202975157088044
448.wav,448,0.0026190360076725483,0.0007747720810584724,0.10603390634059906,0.00038639333797618747,0.009088180027902126,3,4,2,4,3,0.03540048003196716,4,0.5195261712225073,0.5195261712225073
449.wav,449,0.010606581345200539,0.019203025847673416,0.2681286633014679,0.11571428179740906,0.072167307138443,1,0,1,3,4,0.039587702602148056,3,0.7826494842550393,0.7826494842550393
450.wav,450,0.38676613569259644,0.8158909678459167,0.0008416380733251572,0.0010105834808200598,0.6924081444740295,3,0,3,1,3,0.00037942256312817335,2,0.4035603198648439,0.4035603198648439
