stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
20,thinker_layer_20,0.892631,0.011065,0.830707,0.942615,2000,0.909355|0.891709|0.883119|0.878965|0.900007,1100,100
21,thinker_layer_21,0.891563,0.01054,0.829396,0.941115,2000,0.907889|0.888916|0.881572|0.880357|0.899083,1100,100
22,thinker_layer_22,0.887818,0.010364,0.825637,0.939258,2000,0.903236|0.885436|0.877522|0.876856|0.896036,1100,100
23,thinker_layer_23,0.884191,0.011593,0.821482,0.935257,2000,0.902145|0.883139|0.873111|0.871064|0.891498,1100,100
24,thinker_layer_24,0.883116,0.010467,0.819349,0.93349,2000,0.900240|0.881296|0.872689|0.872595|0.888760,1100,100
25,thinker_layer_25,0.887232,0.009741,0.824911,0.936319,2000,0.903532|0.885527|0.877491|0.877764|0.891846,1100,100
26,thinker_layer_26,0.887208,0.009682,0.824871,0.936341,2000,0.902907|0.887055|0.877446|0.876893|0.891740,1100,100
27,thinker_layer_27,0.89417,0.008103,0.832379,0.942174,2000,0.906534|0.885689|0.891635|0.886562|0.900431,1100,100
28,thinker_layer_28,0.889228,0.006522,0.827145,0.939914,2000,0.897944|0.882421|0.887375|0.882607|0.895792,1100,100
29,thinker_layer_29,0.88675,0.005807,0.825789,0.937719,2000,0.891445|0.878496|0.885370|0.883549|0.894891,1100,100
30,thinker_layer_30,0.887272,0.005911,0.826366,0.937843,2000,0.892122|0.881555|0.885140|0.881374|0.896169,1100,100
31,thinker_layer_31,0.890067,0.006995,0.829417,0.939125,2000,0.895664|0.884342|0.890172|0.880577|0.899580,1100,100
32,thinker_layer_32,0.885745,0.006524,0.824211,0.936301,2000,0.892073|0.879808|0.884797|0.877764|0.894286,1100,100
33,thinker_layer_33,0.889075,0.007636,0.827091,0.93897,2000,0.895559|0.883221|0.888803|0.878526|0.899268,1100,100
34,thinker_layer_34,0.884816,0.007742,0.823942,0.934831,2000,0.889195|0.877881|0.884354|0.875655|0.896993,1100,100
35,thinker_layer_35,0.883902,0.008133,0.823075,0.933155,2000,0.886921|0.877000|0.886360|0.873063|0.896169,1100,100
36,thinker_layer_36,0.878024,0.00861,0.817662,0.928342,2000,0.881407|0.871283|0.879104|0.866714|0.891613,1100,100
37,thinker_layer_37,0.881292,0.006654,0.821687,0.930583,2000,0.883944|0.880040|0.878188|0.872101|0.892185,1100,100
38,thinker_layer_38,0.886845,0.006184,0.827758,0.934658,2000,0.887817|0.884036|0.882848|0.881119|0.898405,1100,100
39,thinker_layer_39,0.887186,0.005766,0.828381,0.934381,2000,0.882721|0.887321|0.891375|0.879236|0.895279,1100,100
40,thinker_layer_40,0.881379,0.005077,0.820555,0.931067,2000,0.876906|0.881334|0.885035|0.874914|0.888707,1100,100
41,thinker_layer_41,0.879202,0.00642,0.815433,0.930616,2000,0.878967|0.875805|0.880965|0.870400|0.889874,1100,100
42,thinker_layer_42,0.876787,0.007417,0.812742,0.928895,2000,0.874693|0.872354|0.880742|0.867301|0.888845,1100,100
43,thinker_layer_43,0.877103,0.007968,0.812582,0.929599,2000,0.872727|0.876058|0.878112|0.867342|0.891278,1100,100
44,thinker_layer_44,0.877058,0.007081,0.813002,0.928696,2000,0.873775|0.875274|0.877896|0.868517|0.889828,1100,100
45,thinker_layer_45,0.873263,0.00879,0.808308,0.926107,2000,0.869831|0.872266|0.874815|0.861157|0.888248,1100,100
46,thinker_layer_46,0.872866,0.008587,0.809614,0.926084,2000,0.869263|0.872736|0.869509|0.863777|0.889046,1100,100
47,thinker_layer_47,0.865505,0.007961,0.799484,0.920559,2000,0.864770|0.864605|0.864559|0.854321|0.879273,1100,100
48,thinker_layer_48,0.851821,0.008927,0.784075,0.910615,2000,0.851455|0.854645|0.855298|0.835426|0.862283,1100,100
