stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
18,thinker_layer_18,0.889048,0.011071,0.828111,0.939307,2000,0.888755|0.883152|0.894340|0.872919|0.906071,1100,100
19,thinker_layer_19,0.892509,0.009847,0.831251,0.940952,2000,0.891769|0.887240|0.897236|0.878431|0.907871,1100,100
20,thinker_layer_20,0.888987,0.010346,0.826605,0.938114,2000,0.887600|0.885094|0.894076|0.873393|0.904770,1100,100
21,thinker_layer_21,0.885577,0.010666,0.822255,0.935813,2000,0.884674|0.882203|0.890840|0.868830|0.901339,1100,100
22,thinker_layer_22,0.883646,0.010789,0.820198,0.934925,2000,0.883339|0.878679|0.888539|0.867507|0.900164,1100,100
23,thinker_layer_23,0.880491,0.011441,0.816731,0.932619,2000,0.878322|0.877288|0.886241|0.862891|0.897714,1100,100
24,thinker_layer_24,0.882839,0.011315,0.819983,0.934202,2000,0.881064|0.878889|0.890208|0.865198|0.898836,1100,100
25,thinker_layer_25,0.879872,0.010963,0.818204,0.931561,2000,0.878628|0.877074|0.885830|0.862268|0.895560,1100,100
26,thinker_layer_26,0.883785,0.009681,0.823006,0.934357,2000,0.882069|0.883223|0.889050|0.867575|0.897008,1100,100
27,thinker_layer_27,0.880756,0.009764,0.818837,0.932119,2000,0.880853|0.880217|0.885959|0.863577|0.893174,1100,100
28,thinker_layer_28,0.876089,0.010259,0.81188,0.928483,2000,0.877005|0.873574|0.881473|0.858656|0.889736,1100,100
29,thinker_layer_29,0.872294,0.00991,0.807409,0.925675,2000,0.871590|0.867550|0.879686|0.856977|0.885666,1100,100
30,thinker_layer_30,0.877928,0.010119,0.814118,0.9304,2000,0.878159|0.871635|0.885023|0.862894|0.891927,1100,100
31,thinker_layer_31,0.880489,0.010624,0.819181,0.932599,2000,0.882114|0.875998|0.888742|0.862648|0.892944,1100,100
32,thinker_layer_32,0.877066,0.011573,0.815324,0.929544,2000,0.877301|0.876255|0.887663|0.856142|0.887970,1100,100
33,thinker_layer_33,0.873886,0.012305,0.810195,0.927115,2000,0.871433|0.870081|0.887413|0.854017|0.886486,1100,100
34,thinker_layer_34,0.871828,0.012481,0.807605,0.926152,2000,0.871228|0.867456|0.885658|0.851136|0.883661,1100,100
35,thinker_layer_35,0.875856,0.011267,0.812661,0.928356,2000,0.873977|0.872023|0.888798|0.857699|0.886782,1100,100
36,thinker_layer_36,0.870121,0.009994,0.806155,0.924232,2000,0.866179|0.868469|0.881739|0.854302|0.879917,1100,100
37,thinker_layer_37,0.8695,0.010532,0.805386,0.923804,2000,0.862202|0.868397|0.881889|0.854494|0.880521,1100,100
38,thinker_layer_38,0.869507,0.010169,0.803953,0.924024,2000,0.861931|0.865469|0.882952|0.857170|0.880013,1100,100
39,thinker_layer_39,0.872544,0.009929,0.80979,0.926225,2000,0.865909|0.869377|0.882579|0.859426|0.885431,1100,100
40,thinker_layer_40,0.869147,0.009852,0.805675,0.922245,2000,0.861258|0.866200|0.878845|0.857074|0.882359,1100,100
41,thinker_layer_41,0.871155,0.008425,0.809175,0.924012,2000,0.869098|0.868220|0.878314|0.858063|0.882081,1100,100
42,thinker_layer_42,0.86534,0.008675,0.802704,0.919739,2000,0.862574|0.861765|0.869179|0.853593|0.879592,1100,100
43,thinker_layer_43,0.860358,0.01054,0.798619,0.914873,2000,0.857514|0.853162|0.870306|0.846321|0.874486,1100,100
44,thinker_layer_44,0.853896,0.011071,0.788333,0.910025,2000,0.852461|0.850993|0.865711|0.835413|0.864901,1100,100
45,thinker_layer_45,0.85678,0.008433,0.791648,0.911319,2000,0.855114|0.851980|0.863314|0.844764|0.868726,1100,100
46,thinker_layer_46,0.852255,0.00828,0.787231,0.907538,2000,0.849213|0.848155|0.859354|0.840737|0.863817,1100,100
47,thinker_layer_47,0.848738,0.008666,0.781911,0.904232,2000,0.841911|0.845436|0.851813|0.840355|0.864174,1100,100
48,thinker_layer_48,0.850574,0.01056,0.78614,0.905308,2000,0.846451|0.846481|0.855788|0.836388|0.867760,1100,100
