row,part,task,id,paper_role,sampled,value_verified,lo,hi,n,file,resolved,method,config,check_value,check_lo,check_hi,value_status,ci_status,note
99,16,M4,M4#03:yes_rate_Qwen2.5_Omni_agreement,PAPER VALUE,paper value,0.2919,0.2073,0.3771,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm agreement, <local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv",0.2919,0.2073,0.3771,MATCH (recomputed),CI MATCH,
101,16,M4,M4#05:yes_rate_diff_conflict_minus_agreement_Qwen2.5_Omni,PAPER VALUE,paper value,-0.0683,-0.1788,0.0474,966,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5, conflict minus agreement, paired speaker draw, <local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv",-0.0683,-0.1788,0.0474,MATCH (recomputed),CI MATCH,
102,16,M4,M4#06:yes_rate_Qwen2_Audio_conflict,PAPER VALUE,paper value,0.9400,0.9199,0.9612,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm conflict, <local data dir>/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv",0.9400,0.9199,0.9612,MATCH (recomputed),CI MATCH,
104,16,M4,M4#08:yes_rate_Qwen2_Audio_agreement,PAPER VALUE,paper value,0.8675,0.8159,0.9102,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm agreement, <local data dir>/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv",0.8675,0.8159,0.9102,MATCH (recomputed),CI MATCH,
106,16,M4,M4#10:yes_rate_diff_conflict_minus_agreement_Qwen2_Audio,PAPER VALUE,paper value,0.0725,0.0200,0.1330,966,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5, conflict minus agreement, paired speaker draw, <local data dir>/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv",0.0725,0.0200,0.1330,MATCH (recomputed),CI MATCH,
107,16,M4,M4#11:yes_rate_Qwen3_Omni_30B_A3B_conflict,PAPER VALUE,paper value,0.3892,0.3347,0.4500,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm conflict, <local data dir>/release/edaic_rerun/part14/p14_q3o_zeroshot_scores.csv",0.3892,0.3347,0.4500,MATCH (recomputed),CI MATCH,
109,16,M4,M4#13:yes_rate_Qwen3_Omni_30B_A3B_agreement,PAPER VALUE,paper value,0.4182,0.3188,0.5097,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm agreement, <local data dir>/release/edaic_rerun/part14/p14_q3o_zeroshot_scores.csv",0.4182,0.3188,0.5097,MATCH (recomputed),CI MATCH,
110,16,M4,M4#14:median_answer_mass_Qwen3_Omni_30B_A3B_agreement,SUPPORT,random 10%,0.9998,,,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,,,,FOUND IN FILE,,
111,16,M4,M4#15:yes_rate_diff_conflict_minus_agreement_Qwen3_Omni_30B_A3B,PAPER VALUE,paper value,-0.0290,-0.1540,0.1078,966,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5, conflict minus agreement, paired speaker draw, <local data dir>/release/edaic_rerun/part14/p14_q3o_zeroshot_scores.csv",-0.0290,-0.1540,0.1078,MATCH (recomputed),CI MATCH,
112,16,M4,M4#16:yes_rate_AudioFlamingo2_conflict,PAPER VALUE,paper value,0.9710,0.9502,0.9887,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm conflict, <local data dir>/release/edaic_rerun/part14/p14_af2.csv",0.9710,0.9502,0.9887,MATCH (recomputed),CI MATCH,
114,16,M4,M4#18:yes_rate_AudioFlamingo2_agreement,PAPER VALUE,paper value,0.9834,0.9629,0.9979,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm agreement, <local data dir>/release/edaic_rerun/part14/p14_af2.csv",0.9834,0.9629,0.9979,MATCH (recomputed),CI MATCH,
115,16,M4,M4#19:median_answer_mass_AudioFlamingo2_agreement,SUPPORT,random 10%,0.9423,,,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,,,,FOUND IN FILE,,
116,16,M4,M4#20:yes_rate_diff_conflict_minus_agreement_AudioFlamingo2,PAPER VALUE,paper value,-0.0124,-0.0280,0.0020,966,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5, conflict minus agreement, paired speaker draw, <local data dir>/release/edaic_rerun/part14/p14_af2.csv",-0.0124,-0.0280,0.0020,MATCH (recomputed),CI MATCH,
117,16,M4,M4#21:yes_rate_AudioFlamingo3_conflict,PAPER VALUE,paper value,0.7039,0.6533,0.7554,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm conflict, <local data dir>/release/edaic_rerun/part14/p14_af3.csv",0.7039,0.6533,0.7554,MATCH (recomputed),CI MATCH,
119,16,M4,M4#23:yes_rate_AudioFlamingo3_agreement,PAPER VALUE,paper value,0.6687,0.5937,0.7371,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm agreement, <local data dir>/release/edaic_rerun/part14/p14_af3.csv",0.6687,0.5937,0.7371,MATCH (recomputed),CI MATCH,
121,16,M4,M4#25:yes_rate_diff_conflict_minus_agreement_AudioFlamingo3,PAPER VALUE,paper value,0.0352,-0.0491,0.1281,966,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5, conflict minus agreement, paired speaker draw, <local data dir>/release/edaic_rerun/part14/p14_af3.csv",0.0352,-0.0491,0.1281,MATCH (recomputed),CI MATCH,
122,16,M4,M4#26:yes_rate_Kimi_Audio_conflict,PAPER VALUE,paper value,0.8364,0.7976,0.8727,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm conflict, <local data dir>/release/edaic_rerun/part14/p14_kimi_zeroshot_scores.csv",0.8364,0.7976,0.8727,MATCH (recomputed),CI MATCH,
124,16,M4,M4#28:yes_rate_Kimi_Audio_agreement,PAPER VALUE,paper value,0.7578,0.6869,0.8221,483,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5 in arm agreement, <local data dir>/release/edaic_rerun/part14/p14_kimi_zeroshot_scores.csv",0.7578,0.6869,0.8221,MATCH (recomputed),CI MATCH,
126,16,M4,M4#30:yes_rate_diff_conflict_minus_agreement_Kimi_Audio,PAPER VALUE,paper value,0.0787,0.0160,0.1461,966,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,<local data dir>/release/edaic_rerun/part16/M4_yes_rates.csv,custom recompute from per-clip file (own code),"yes = p_yes > 0.5, conflict minus agreement, paired speaker draw, <local data dir>/release/edaic_rerun/part14/p14_kimi_zeroshot_scores.csv",0.0787,0.0160,0.1461,MATCH (recomputed),CI MATCH,
128,16,M5,M5_all_randfloor,SUPERSEDED / NOT USED,random 10%,0.0124,0.0005,0.0343,468,<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv,<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv,per-clip recompute (own Mann-Whitney),<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.json,,,,FOUND ONLY IN SIBLING FILE,CI ends found in sibling,closest natural statistic: 0.4132 (auc conflict [p_yes_scorer_saved]); 0.4136 (auc conflict [score_along_d_all])
132,16,M5,M5_all_auc_without_d_Xproj,SUPERSEDED / NOT USED,random 10%,0.8223,0.7743,0.8672,468,<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv,<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe_oof_all],0.8223,0.7742,0.8671,MATCH (recomputed),CI MATCH,
137,16,M5,M5_conflict_refit_auc_without_d,SUPERSEDED / NOT USED,random 10%,0.6869,0.5806,0.7872,146,<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv,<local data dir>/release/edaic_rerun/part16/M5_readout_direction_q2a.csv,per-clip recompute (own Mann-Whitney),auc conflict [z_probe_oof_without_d_armrefit],0.6869,0.5806,0.7872,MATCH (recomputed),CI MATCH,
157,16,M7,M7_pitt_zeroshot,PAPER VALUE,paper value,0.6578,0.6033,0.7125,468,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6578,0.6033,0.7125,MATCH (recomputed),CI MATCH,
160,16,M7,M7_adresso_zeroshot,PAPER VALUE,paper value,0.6150,0.5432,0.6890,237,<local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6150,0.5432,0.6890,MATCH (recomputed),CI MATCH,
161,16,M7,M7_adresso_gap,PAPER VALUE,paper value,0.2748,0.1920,0.3526,237,<local data dir>/release/edaic_rerun/part16/M7_perclip/adresso.csv,<local data dir>/release/edaic_rerun/part16/M7_perclip/adresso.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe] MINUS auc all [p_yes],0.2748,0.1920,0.3526,MATCH (recomputed),CI MATCH,
163,16,M7,M7_adress2020_zeroshot,PAPER VALUE,paper value,0.6241,0.5348,0.7148,156,<local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6241,0.5348,0.7148,MATCH (recomputed),CI MATCH,
164,16,M7,M7_adress2020_gap,PAPER VALUE,paper value,0.1637,0.0557,0.2693,156,<local data dir>/release/edaic_rerun/part16/M7_perclip/adress2020.csv,<local data dir>/release/edaic_rerun/part16/M7_perclip/adress2020.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe] MINUS auc all [p_yes],0.1637,0.0557,0.2693,MATCH (recomputed),CI MATCH,
166,16,M7,M7_pcgita_zeroshot,PAPER VALUE,paper value,0.5635,0.4931,0.6331,1100,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.5635,0.4931,0.6331,MATCH (recomputed),CI MATCH,
167,16,M7,M7_pcgita_gap,PAPER VALUE,paper value,0.3454,0.2636,0.4275,1100,<local data dir>/release/edaic_rerun/part16/M7_perclip/pcgita.csv,<local data dir>/release/edaic_rerun/part16/M7_perclip/pcgita.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe] MINUS auc all [p_yes],0.3454,0.2636,0.4275,MATCH (recomputed),CI MATCH,
169,16,M7,M7_neurovoz_zeroshot,PAPER VALUE,paper value,0.6951,0.6356,0.7519,1270,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6951,0.6356,0.7519,MATCH (recomputed),CI MATCH,
170,16,M7,M7_neurovoz_gap,PAPER VALUE,paper value,0.2209,0.1660,0.2783,1270,<local data dir>/release/edaic_rerun/part16/M7_perclip/neurovoz.csv,<local data dir>/release/edaic_rerun/part16/M7_perclip/neurovoz.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe] MINUS auc all [p_yes],0.2209,0.1660,0.2783,MATCH (recomputed),CI MATCH,
172,16,M7,M7_kcl_zeroshot,PAPER VALUE,paper value,0.7143,0.5210,0.8810,37,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7143,0.5210,0.8810,MATCH (recomputed),CI MATCH,
173,16,M7,M7_kcl_gap,PAPER VALUE,paper value,0.0625,-0.1813,0.2900,37,<local data dir>/release/edaic_rerun/part16/M7_perclip/kcl.csv,<local data dir>/release/edaic_rerun/part16/M7_perclip/kcl.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe] MINUS auc all [p_yes],0.0625,-0.1813,0.2900,MATCH (recomputed),CI MATCH,
180,16,M7fix,M7fix#01:Qwen2.5_Omni_Pitt_encoder_probe_5_repeat_CORRECTED_source,PAPER VALUE,paper value,0.7706,0.7157,0.8220,468,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,per-clip recompute (own Mann-Whitney),mean5 all [oof_rep0|oof_rep1|oof_rep2|oof_rep3|oof_rep4],0.7706,0.7157,0.8220,MATCH (recomputed),CI MATCH,
181,16,M7fix,M7fix#02:Qwen2.5_Omni_Pitt_paired_probe_minus_zero_shot_CORRECTED,PAPER VALUE,paper value,+0.1128,0.0455,0.1768,468,<local data dir>/release/edaic_rerun/part16/M7_perclip/pitt_FIXED.csv,<local data dir>/release/edaic_rerun/part16/M7_perclip/pitt_FIXED.csv,custom recompute from per-clip file (own code),"mean of 5 per-repeat AUCs (pitt_enc_nested5_oof.npz) minus omni_pitt_zeroshot p_yes, paired",0.1128,0.0455,0.1768,MATCH (recomputed),CI MATCH,cited file pitt_FIXED.csv holds only the averaged OOF; recomputed from the npz the M7fix row names
182,16,M8,M8#01:Qwen2.5_Omni_A_edaic_part14_conflict_src_primary,PAPER VALUE,paper value,0.2218,0.1829,0.2632,483,<local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes],0.2218,0.1829,0.2632,MATCH (recomputed),CI MATCH,
185,16,M8,M8#04:Qwen2_Audio_A_edaic_part14_conflict_src_primary,PAPER VALUE,paper value,0.2280,0.1816,0.2782,483,<local data dir>/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes],0.2280,0.1816,0.2782,MATCH (recomputed),CI MATCH,
