pid,win_dur_s,capped,ref_p_yes_answer,def_p_yes,def_mass,def_n_audio_tok,def_seq_len,def_peak_gib,def_sec,lift_p_yes,lift_mass,lift_n_audio_tok,lift_seq_len,lift_feat_frames,lift_fit,lift_peak_gib,lift_sec,inputs_identical,wave_samples,def_p_yes_rule,def_mass_rule,lift_p_yes_rule,lift_mass_rule
331,447.8,0,0.8811397993827889,0.8811397993827889,0.9973272308707237,7500,7548,19.538,0.86,0.8877064979815125,0.9977200627326965,11195,11243,44780,1,21.531,0.638,0,7164800,0.8811396488863082,0.9973292276263237,0.8877062749794596,0.997722327709198
332,900.0,1,0.9797050588278237,0.9797050588278237,0.998817928135395,7500,7548,19.538,0.762,0.9841659534883804,0.9988835230469704,22500,22548,90000,1,27.63,2.105,0,14400000,0.9797049904690658,0.9988193362951279,0.9841659007588688,0.998884666711092
333,900.0,1,0.6513047264289494,0.6513047264289494,0.996002584695816,7500,7548,19.538,0.565,0.48383095904753604,0.9941239953041077,22500,22548,90000,1,27.63,2.11,0,14400000,0.6513044589272949,0.9960046410560608,0.48383074446353636,0.9941264688968658
334,900.0,1,0.57777429730928,0.57777429730928,0.9944188892841339,7500,7548,19.538,0.687,0.12584164806766257,0.9958275109529495,22500,22548,90000,1,27.63,1.987,0,14400000,0.577774098855408,0.9944218099117279,0.12584174356779548,0.9958295971155167
335,452.7001,0,0.0902648265711472,0.0902648265711472,0.9936977252364159,7500,7548,19.538,0.544,0.05671081748250383,0.996363565325737,11317,11365,45270,1,21.594,1.167,0,7243201,0.09026490991137874,0.9937001094222069,0.05671086289329012,0.9963650666177273
336,379.1,0,0.15644481712349034,0.15644481712349034,0.9949766844511032,7500,7548,19.538,0.652,0.24561820638522777,0.9954832196235657,9477,9525,37910,1,20.601,0.603,0,6065600,0.1564449214913186,0.9949790686368942,0.24561824839147517,0.9954859614372253
337,900.0,1,0.09023581747158092,0.09023581747158092,0.9947228878736496,7500,7548,19.538,0.454,0.9362707333107312,0.9971187114715576,22500,22548,90000,1,27.63,2.025,0,14400000,0.09023589494473083,0.9947246760129929,0.9362706422236685,0.9971202090382576
338,287.8,0,0.8265984696013149,0.8265984696013149,0.9968329966068268,7195,7243,19.373,0.734,0.8265984696013149,0.9968329966068268,7195,7243,28780,1,19.373,0.562,1,4604800,0.8265983987363867,0.9968343079090118,0.8265983987363867,0.9968343079090118
339,443.5,0,0.9098227035969073,0.9098227035969073,0.9963275715708733,7500,7548,19.538,0.651,0.8807742976959239,0.9973611831665039,11087,11135,44350,1,21.473,0.713,0,7096000,0.909822626385269,0.9963290318846703,0.8807741912658547,0.9973627924919128
340,204.2999,0,0.0759270324789753,0.0759270324789753,0.9966922178864479,5107,5155,18.25,0.433,0.0759270324789753,0.9966922178864479,5107,5155,20430,1,18.25,0.485,1,3268798,0.07592709165660678,0.9966938942670822,0.07592709165660678,0.9966938942670822
341,418.6001,0,0.09029246763626994,0.09029246763626994,0.9952025264501572,7500,7548,19.538,0.494,0.11294386407740235,0.9969413802027702,10465,10513,41860,1,21.14,0.952,0,6697601,0.09029254116832196,0.9952047690749168,0.11294394153410321,0.9969426095485687
343,272.6999,0,0.8266876416459632,0.8266876416459632,0.9971722066402435,6817,6865,19.169,0.376,0.8266876416459632,0.9971722066402435,6817,6865,27270,1,19.169,0.54,1,4363198,0.826687498560764,0.9971735328435898,0.826687498560764,0.9971735328435898
344,900.0,1,0.887432711344838,0.887432711344838,0.9958638101816177,7500,7548,19.538,0.557,0.7187944744041483,0.9953086972236633,22500,22548,90000,1,27.63,2.78,0,14400000,0.8874326016146158,0.9958660826086998,0.7187943854364491,0.9953103959560394
345,900.0,1,0.9626726031869437,0.9626726031869437,0.99814622849226,7500,7548,19.538,0.642,0.966985888579347,0.9979766719043255,22500,22548,90000,1,27.63,2.153,0,14400000,0.9626725297015478,0.9981473572552204,0.9669858253092746,0.9979780316352844
346,699.4999,0,0.97967570323723,0.97967570323723,0.9985600784420967,7500,7548,19.538,0.666,0.9859791704088549,0.9992029666900635,17487,17535,69949,1,24.926,1.478,0,11191998,0.9796756714505553,0.9985614493489265,0.9859791532996782,0.9992040721699595
347,145.1,0,0.0716316966257223,0.0716316966257223,0.9968873709440231,3627,3675,17.455,0.317,0.0716316966257223,0.9968873709440231,3627,3675,14510,1,17.455,0.332,1,2321600,0.07163174648235879,0.9968889653682709,0.07163174648235879,0.9968889653682709
348,328.0999,0,0.9049385977181527,0.9049385977181527,0.9977734461426735,7500,7548,19.538,0.759,0.943501303672167,0.9982537999749184,8202,8250,32809,1,19.917,0.56,0,5249598,0.904938513458998,0.9977753832936287,0.9435012501025265,0.9982556886970997
349,503.0,0,0.9669829557982986,0.9669829557982986,0.9984482228755951,7500,7548,19.538,0.545,0.9741607524114962,0.9985769223421812,12575,12623,50300,1,22.275,1.042,0,8048000,0.9669829178173023,0.9984495565295219,0.9741607086517863,0.9985786192119122
350,900.0,1,0.919742369564913,0.919742369564913,0.9965304657816887,7500,7548,19.538,0.766,0.964976193593504,0.998424481600523,22500,22548,90000,1,27.63,2.155,0,14400000,0.9197422172410746,0.9965323805809021,0.9649761099762508,0.9984259270131588
351,900.0001,1,0.9364331593561641,0.9364331593561641,0.9974435716867447,7500,7548,19.538,0.76,0.958155316495606,0.9978831522166729,22500,22548,90000,1,27.63,2.514,0,14400000,0.9364330512867558,0.9974459782242775,0.9581552355144054,0.9978852272033691
352,900.0,1,0.859579413083626,0.859579413083626,0.9969286173582077,7500,7548,19.538,0.705,0.9047834090750342,0.9965111613273621,22500,22548,90000,1,27.63,1.788,0,14400000,0.8595793279736818,0.9969302415847778,0.9047832146357977,0.9965133517980576
353,415.1999,0,0.9283314441545092,0.9283314441545092,0.9978394508361816,7500,7548,19.538,0.759,0.9362133910864621,0.9985354170203209,10380,10428,41519,1,21.091,0.606,0,6643198,0.9283313835942287,0.9978426620364189,0.9362133306750517,0.9985373914241791
354,167.4999,0,0.33478341544125867,0.33478341544125867,0.9977389574050903,4187,4235,17.755,0.366,0.33478341544125867,0.9977389574050903,4187,4235,16750,1,17.755,0.397,1,2679998,0.3347834337522049,0.9977400600910187,0.3347834337522049,0.9977400600910187
355,358.3,0,0.8669245593082121,0.8669245593082121,0.9968404322862625,7500,7548,19.538,0.76,0.9098135786261355,0.9970535561442375,8957,9005,35830,1,20.321,0.598,0,5732800,0.8669244860939102,0.996842235326767,0.9098134590473033,0.9970554560422897
356,591.4999,0,0.13326321250129575,0.13326321250129575,0.9951273500919342,7500,7548,19.538,0.607,0.9401520249883261,0.99769027531147,14787,14835,59149,1,23.47,1.363,0,9463998,0.13326330049224938,0.9951293766498566,0.9401519457447512,0.9976918175816536
357,530.4,0,0.044772438707856695,0.044772438707856695,0.9967680685222149,7500,7548,19.538,0.574,0.037378419583012384,0.9975799433887005,13260,13308,53040,1,22.643,1.437,0,8486400,0.044772509224058614,0.9967703260481358,0.037378477037615716,0.9975817985832691
358,258.0,0,0.8809533250927535,0.8809533250927535,0.996756874024868,6450,6498,18.97,0.61,0.8809533250927535,0.996756874024868,6450,6498,25800,1,18.97,0.49,1,4128000,0.8809531672310321,0.9967587441205978,0.8809531672310321,0.9967587441205978
359,605.3001,0,0.45365676782796427,0.45365676782796427,0.9936979413032532,7500,7548,19.538,0.399,0.9741712704874118,0.9984404668211937,15132,15180,60530,1,23.655,1.453,0,9684801,0.45365667742033006,0.9937005043029785,0.9741712167906665,0.9984423574060202
360,218.3,0,0.20190127576437641,0.20190127576437641,0.9965542107820511,5457,5505,18.44,0.527,0.20190127576437641,0.9965542107820511,5457,5505,21830,1,18.44,0.464,1,3492800,0.20190136810695708,0.996555969119072,0.20190136810695708,0.996555969119072
361,397.8001,0,0.03519339227820809,0.03519339227820809,0.9970812052488327,7500,7548,19.538,0.71,0.026017748144529666,0.998256953433156,9945,9993,39780,1,20.86,0.956,0,6364801,0.03519343280182046,0.9970829151570797,0.02601778120979708,0.9982583336532116
362,286.7,0,0.4381700162120906,0.4381700162120906,0.9965216219425201,7167,7215,19.356,0.744,0.4381700162120906,0.9965216219425201,7167,7215,28670,1,19.356,0.615,1,4587200,0.4381699289094615,0.9965235888957977,0.4381699289094615,0.9965235888957977
363,804.5001,0,0.0447773970896114,0.0447773970896114,0.9963698349893093,7500,7548,19.538,0.637,0.022982782834408206,0.9983820468187332,20112,20160,80450,1,26.345,1.92,0,12872001,0.04477743905158814,0.9963718131184578,0.022982815093619265,0.9983832389116287
364,900.0,1,0.04471357348287914,0.04471357348287914,0.9963700287044048,7500,7548,19.538,0.459,0.1329812292083111,0.9944204390048981,22500,22548,90000,1,27.63,2.281,0,14400000,0.04471361911192275,0.9963715113699436,0.13298126794010157,0.9944226145744324
365,718.1001,0,0.2124902605892606,0.2124902605892606,0.9931138753890991,7500,7548,19.538,0.474,0.3778216826597239,0.995532751083374,17952,18000,71810,1,25.179,1.879,0,11489601,0.2124903114428947,0.9931165128946304,0.37782157078871126,0.9955352544784546
366,847.1,0,0.06379111765790685,0.06379111765790685,0.9948482364416122,7500,7548,19.538,0.758,0.01590432333667592,0.9985435996204615,21177,21225,84710,1,26.918,2.003,0,13553600,0.06379119931949408,0.9948502331972122,0.015904339101753703,0.9985450692474842
367,900.0,1,0.8597071255195874,0.8597071255195874,0.9951535910367966,7500,7548,19.538,0.759,0.960440090677702,0.9979553893208504,22500,22548,90000,1,27.63,2.075,0,14400000,0.8597069527960233,0.9951558709144592,0.9604400230422475,0.9979570731520653
368,900.0,1,0.21237745852414652,0.21237745852414652,0.9939145743846893,7500,7548,19.538,0.759,0.5927522545126644,0.9942145645618439,22500,22548,90000,1,27.63,2.277,0,14400000,0.21237746611422612,0.993916854262352,0.5927520720989475,0.9942166805267334
369,749.3,0,0.03737642969034465,0.03737642969034465,0.9964316375553608,7500,7548,19.538,0.679,0.03515088168303162,0.9971241317689419,18732,18780,74930,1,25.597,1.66,0,11988800,0.037376495775740114,0.9964335635304451,0.035150916263772654,0.9971255883574486
370,849.3001,0,0.03737966169128686,0.03737966169128686,0.9961661919951439,7500,7548,19.538,0.758,0.021624495691357524,0.9981509447097778,21232,21280,84930,1,26.949,1.952,0,13588801,0.03737970171588973,0.996168214827776,0.021624514662328186,0.9981518778949976
371,309.8001,0,0.8866679673265369,0.8866679673265369,0.9976414740085602,7500,7548,19.538,0.655,0.8867295862364962,0.9978935867547989,7745,7793,30980,1,19.666,0.786,0,4956801,0.8866677790272376,0.9976433664560318,0.8867294242051332,0.9978953823447227
372,751.3001,0,0.2024270103869707,0.2024270103869707,0.9937503188848495,7500,7548,19.538,0.76,0.9867962896325986,0.9988801134750247,18782,18830,75130,1,25.625,1.418,0,12020801,0.20242709987622814,0.993752971291542,0.9867962701648377,0.9988814620301127
373,900.0,1,0.03736493807223112,0.03736493807223112,0.9959061928093433,7500,7548,19.538,0.666,0.8349706465853765,0.9957234561443329,22500,22548,90000,1,27.63,1.887,0,14400000,0.037364978516085876,0.9959079064428806,0.8349704838218097,0.9957253634929657
374,900.0,1,0.39287072910422594,0.39287072910422594,0.9936851263046265,7500,7548,19.538,0.684,0.9436060172822124,0.9976931475102901,22500,22548,90000,1,27.63,1.788,0,14400000,0.39287079012275844,0.993687778711319,0.9436059181436209,0.9976948946714401
375,177.1,0,0.03310827557903107,0.03310827557903107,0.9976912289857864,4427,4475,17.887,0.426,0.03310827557903107,0.9976912289857864,4427,4475,17710,1,17.887,0.434,1,2833600,0.033108319651466586,0.9976929388940334,0.033108319651466586,0.9976929388940334
376,615.6,0,0.9648133624343687,0.9648133624343687,0.998053103685379,7500,7548,19.538,0.74,0.9831411739798535,0.9990111272782087,15390,15438,61560,1,23.797,1.533,0,9849600,0.9648133069332475,0.9980547055602074,0.9831411409394406,0.9990123733878136
377,843.8999,0,0.07167697907352083,0.07167697907352083,0.9955161288380623,7500,7548,19.538,0.724,0.4375835022063697,0.996566891670227,21097,21145,84389,1,26.875,1.533,0,13502398,0.07167702667641608,0.9955181702971458,0.43758336183521473,0.9965691864490509
378,432.0999,0,0.04748464140990342,0.04748464140990342,0.9967066906392574,7500,7548,19.538,0.762,0.06017905800846982,0.9969816580414772,10802,10850,43209,1,21.316,0.89,0,6913598,0.047484684384505524,0.9967086128890514,0.060179111698656335,0.9969835542142391
379,708.9001,0,0.02762497576855757,0.02762497576855757,0.9970008227974176,7500,7548,19.538,0.696,0.044718128715494465,0.9976100102066994,17722,17770,70890,1,25.057,1.329,0,11342401,0.02762501424676369,0.9970030076801777,0.04471816623667853,0.9976111724972725
380,900.0,1,0.06015143115370811,0.06015143115370811,0.9935986697673798,7500,7548,19.538,0.437,0.12606039016800413,0.9948257952928543,22500,22548,90000,1,27.63,2.4,0,14400000,0.06015149615854634,0.9936001971364021,0.1260604762457545,0.9948275983333588
381,501.0001,0,0.8265626869543455,0.8265626869543455,0.99655482172966,7500,7548,19.538,0.543,0.6513188350766644,0.9964327216148376,12525,12573,50100,1,22.25,1.276,0,8016001,0.8265625627076886,0.9965563416481018,0.651318702646073,0.9964344799518585
382,364.7999,0,0.021643745872606316,0.021643745872606316,0.9987884070724249,7500,7548,19.538,0.873,0.02599264524226837,0.9989982470870018,9120,9168,36479,1,20.415,0.955,0,5836798,0.02164378588592305,0.9987905193120241,0.025992691560429645,0.9989997632801533
383,900.0,1,0.04745167655229844,0.04745167655229844,0.9957234524190426,7500,7548,19.538,0.644,0.7311901596911544,0.9956571459770203,22500,22548,90000,1,27.63,1.998,0,14400000,0.04745171188737799,0.9957259297370911,0.7311898951129172,0.9956593811511993
384,495.7001,0,0.45460156475311075,0.45460156475311075,0.9924574494361877,7500,7548,19.538,0.664,0.9603935450567199,0.9986383467912674,12392,12440,49570,1,22.175,1.25,0,7931201,0.4546015263599633,0.9924605488777161,0.9603934991150979,0.9986398220062256
385,80.3001,0,0.08048147401090369,0.08048147401090369,0.9962627813220024,2008,2056,16.589,0.171,0.08048147401090369,0.9962627813220024,2008,2056,8031,1,16.589,0.196,1,1284801,0.08048152073538346,0.9962645173072815,0.08048152073538346,0.9962645173072815
386,900.0,1,0.777483820883704,0.777483820883704,0.9978314191102982,7500,7548,19.538,0.727,0.5776342883674257,0.9958471953868866,22500,22548,90000,1,27.63,2.339,0,14400000,0.7774836653774607,0.9978329986333847,0.5776341130952674,0.9958492517471313
387,210.4001,0,0.029336671228806132,0.029336671228806132,0.9979834649711847,5260,5308,18.336,0.486,0.029336671228806132,0.9979834649711847,5260,5308,21041,1,18.336,0.454,1,3366401,0.029336709068889712,0.9979851618409157,0.029336709068889712,0.9979851618409157
388,170.3,0,0.867172018643663,0.867172018643663,0.9974445700645447,4257,4305,17.792,0.571,0.867172018643663,0.9974445700645447,4257,4305,17030,1,17.792,0.361,1,2724800,0.867171917018902,0.9974466115236282,0.867171917018902,0.9974466115236282
389,209.9,0,0.23386264571407864,0.23386264571407864,0.9952962100505829,5247,5295,18.329,0.505,0.23386264571407864,0.9952962100505829,5247,5295,20990,1,18.329,0.505,1,3358400,0.23386268050489223,0.9952983558177948,0.23386268050489223,0.9952983558177948
390,569.8,0,0.10098364652589518,0.10098364652589518,0.9942721873521805,7500,7548,19.538,0.884,0.9859306694711006,0.999118635430932,14245,14293,56980,1,23.181,1.441,0,9116800,0.10098371290094871,0.9942747801542282,0.9859306461827563,0.9991202913224697
391,246.8999,0,0.7777251205925886,0.7777251205925886,0.9974256455898285,6172,6220,18.823,0.438,0.7777251205925886,0.9974256455898285,6172,6220,24690,1,18.823,0.586,1,3950398,0.7777249829154548,0.9974275082349777,0.7777249829154548,0.9974275082349777
392,258.0,0,0.06759074509710608,0.06759074509710608,0.9967514723539352,6450,6498,18.97,0.56,0.06759074509710608,0.9967514723539352,6450,6498,25800,1,18.97,0.605,1,4128000,0.06759078707081574,0.9967534989118576,0.06759078707081574,0.9967534989118576
393,225.9,0,0.04749220328068042,0.04749220328068042,0.9970073364675045,5647,5695,18.545,0.484,0.04749220328068042,0.9970073364675045,5647,5695,22590,1,18.545,0.402,1,3614400,0.04749226182372728,0.9970087744295597,0.04749226182372728,0.9970087744295597
395,900.0001,1,0.1921986993832762,0.1921986993832762,0.9940045773983002,7500,7548,19.538,0.712,0.07593475057306084,0.9968651533126831,22500,22548,90000,1,27.63,2.499,0,14400000,0.19219873078985608,0.9940070509910583,0.0759348063394223,0.9968680515885353
396,389.7,0,0.08516335061829543,0.08516335061829543,0.9956307485699654,7500,7548,19.538,0.57,0.08042751893151673,0.997017465531826,9742,9790,38970,1,20.751,0.585,0,6235200,0.08516337580577313,0.995632991194725,0.08042757052276306,0.9970191419124603
397,900.0,1,0.8264869817609863,0.8264869817609863,0.9971519410610199,7500,7548,19.538,0.67,0.717951220843555,0.9953145980834961,22500,22548,90000,1,27.63,2.209,0,14400000,0.8264867485262525,0.9971535205841064,0.7179508538508189,0.9953166842460632
399,370.0999,0,0.11933719962979955,0.11933719962979955,0.9958088845014572,7500,7548,19.538,0.753,0.07596905156692045,0.9970272332429886,9252,9300,37009,1,20.483,0.896,0,5921598,0.11933727359716846,0.9958112016320229,0.07596911737375273,0.997028723359108
400,478.9001,0,0.39330079211103836,0.39330079211103836,0.9964201152324677,7500,7548,19.538,0.646,0.34943345008428345,0.9969563484191895,11972,12020,47890,1,21.948,1.037,0,7662401,0.39330066698065463,0.9964228570461273,0.3494334189973159,0.9969595074653625
401,454.1,0,0.063891701703311,0.063891701703311,0.995977908372879,7500,7548,19.538,0.761,0.08533884615009169,0.9958764538168907,11352,11400,45410,1,21.613,0.952,0,7265600,0.06389176012892094,0.9959802627563477,0.08533891700325993,0.9958784207701683
402,462.9999,0,0.8267898081772873,0.8267898081772873,0.9972998648881912,7500,7548,19.538,0.667,0.7662510102984802,0.9968837052583694,11575,11623,46299,1,21.74,0.885,0,7407998,0.8267896406127674,0.9973016530275345,0.7662507909021703,0.9968857020139694
403,900.0001,1,0.02759007964310719,0.02759007964310719,0.9972902797162533,7500,7548,19.538,0.736,0.05030716349093049,0.9969713650643826,22500,22548,90000,1,27.63,2.13,0,14400000,0.02759012098290045,0.997292160987854,0.05030719506132347,0.9969725906848907
404,899.9999,1,0.15644492014577646,0.15644492014577646,0.9954541772603989,7500,7548,19.538,0.653,0.1192946266999337,0.9959338009357452,22500,22548,90000,1,27.63,2.165,0,14400000,0.1564449584791131,0.9954566955566406,0.11929469637249905,0.9959358423948288
405,900.0,1,0.9433892304188095,0.9433892304188095,0.9984469451010227,7500,7548,19.538,0.757,0.939986333657736,0.9979963190853596,22500,22548,90000,1,27.63,1.992,0,14400000,0.943389171435298,0.9984482079744339,0.9399862615609543,0.9979977272450924
406,900.0,1,0.027625822099824414,0.027625822099824414,0.9970387145876884,7500,7548,19.538,0.663,0.027614240184300334,0.9975987430661917,22500,22548,90000,1,27.63,2.236,0,14400000,0.027625863381556447,0.9970412701368332,0.027614269578344536,0.997600244358182
407,900.0,1,0.06376322559935724,0.06376322559935724,0.9962601438164711,7500,7548,19.538,0.471,0.0954636930937412,0.9961031526327133,22500,22548,90000,1,27.63,2.416,0,14400000,0.0637632785196322,0.9962615370750427,0.0954637350654696,0.9961049780249596
408,372.6,0,0.03517073832448851,0.03517073832448851,0.9969515986740589,7500,7548,19.538,0.653,0.027613502830236225,0.9976831898093224,9315,9363,37260,1,20.514,0.906,0,5961600,0.035170776789475514,0.9969533681869507,0.027613536350828985,0.9976848792284727
