model,dataset,n,n_speakers,median_mass,p10_mass,min_mass,share_below_0.01,share_below_0.15,mass_column_used,file
Audio Flamingo 3,kcl,37,37,0.9434018433094024,0.9203962504863739,0.813214510679245,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/part3/af3_kcl.csv
Qwen2.5-Omni,pitt,468,228,0.943814992904663,0.9214941740036011,0.9006712958216667,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_pitt_text_v7s_strip.csv
Audio Flamingo 3,edaic30,275,275,0.9441188126802444,0.8934306621551513,0.7838408052921295,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_edaic30_text.csv
unattributed,adress2020,156,156,0.9442116469144821,0.918868899345398,0.8600836396217346,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/runpod_results/adress2020_af3.csv
Audio Flamingo 3,kcl30b,37,37,0.9447878003120422,0.9175940692424774,0.8129226267337799,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_kcl30b_audio.csv
Audio Flamingo 2,unknown,390,74,0.9452540427446365,0.9340953648090362,0.9116645455360411,0.0,0.0,answer_mass,<local data dir>/Desktop/release/edaic_conflict_new/af2/perclip_390rows_af2.csv
Audio Flamingo 2,edaic_conflict,390,74,0.9452540427446365,0.9340953648090362,0.9116645455360411,0.0,0.0,answer_mass,<local data dir>/Desktop/release/edaic_conflict_new/af2/af2_edaic_conflict_30s.csv
Audio Flamingo 3,adress2020,156,156,0.9457225352525711,0.9171235263347626,0.8601750731468201,0.0,0.0,answer_mass,<local data dir>/Desktop/release/podE_final/out/af3_adress2020.csv
Audio Flamingo 3,adress2020,156,156,0.9457225352525711,0.9171235263347626,0.8601750731468201,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/af3_new/af3_adress2020.csv
Audio Flamingo 3,adress2020,156,156,0.9461354613304138,0.9189871102571487,0.8583584725856781,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_adress2020_audio.csv
Qwen2.5-Omni,pitt,468,228,0.9465623162686825,0.9257789149880409,0.9027575254440308,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_pitt_text_v3s_strip.csv
Audio Flamingo 3,pitt,468,228,0.948388084769249,0.9093532621860505,0.7586762383580208,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/part10/af3_pitt.csv
Audio Flamingo 3,pitt,468,228,0.948388084769249,0.9093532621860505,0.7586762383580208,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/final/af3_pitt.csv
Audio Flamingo 3,pitt,468,228,0.948676809668541,0.9133042812347412,0.7391040101647377,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/part3/af3_pitt.csv
Audio Flamingo 3,pitt,468,228,0.948895737528801,0.9124510288238524,0.7547941952943802,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_pitt_audio.csv
Qwen2.5-Omni,adress2020,156,156,0.9492531456053256,0.9205838590860367,0.8904154896736145,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_adress2020_text_v7s.csv
Qwen2.5-Omni,adress2020,156,156,0.9494892284274101,0.9262668155133724,0.893130749464035,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_adress2020_text_v1s.csv
Qwen2.5-Omni,adresso,237,237,0.951541505753994,0.9358030050992966,0.8813982456922531,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_adresso_audio.csv
Qwen2.5-Omni,adress2020,156,156,0.9517365396022797,0.925868958234787,0.9003982543945312,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_adress2020_text_v3s.csv
Audio Flamingo 3,edaicfull,275,275,0.951814353466034,0.9041127264499664,0.793448731303215,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_edaicfull_text.csv
Qwen2.5-Omni,pitt,468,228,0.9518627002835274,0.9341283366084099,0.9145113825798036,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_pitt_text.csv
unattributed,pitt468,468,228,0.9523705840110779,0.927055199444294,0.7656692862510681,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/runpod_results/pitt468_af3.csv
Audio Flamingo 3,smoke,3,1,0.9528866410255432,0.9498541235923768,0.9490959942340852,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_smoke_audio.csv
Qwen2.5-Omni,pitt,468,228,0.9530255366116762,0.9379780754446984,0.9076008945703506,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_pitt_audio.csv
Qwen2.5-Omni,adress2020,156,156,0.9549062848091125,0.9422853589057922,0.9098960012197496,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_adress2020_audio.csv
Qwen2.5-Omni,adresso,237,237,0.9565730541944504,0.9328728079795837,0.8202472487464547,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_adresso_text_v1s.csv
Audio Flamingo 3,adresso,237,237,0.9567984640598296,0.9201881289482117,0.5404112637042999,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_adresso_audio.csv
Qwen2.5-Omni,adress2020,156,156,0.9572695307433605,0.9375856146216393,0.910382643342018,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_adress2020_text.csv
unattributed,adresso237,237,237,0.9573426842689514,0.9219435691833495,0.5624448955059052,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/runpod_results/adresso237_af3.csv
Qwen2.5-Omni,adresso,237,237,0.957626525312662,0.935060441493988,0.7285924647003412,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_adresso_text_v7s.csv
Audio Flamingo 3,adresso,237,237,0.9578540325164796,0.921510249376297,0.5485797375440598,0.0,0.0,answer_mass,<local data dir>/Desktop/release/podE_final/out/af3_adresso.csv
Audio Flamingo 3,adresso,237,237,0.9578540325164796,0.921510249376297,0.5485797375440598,0.0,0.0,answer_mass,<local data dir>/Desktop/release/overnight2/af3_new/af3_adresso.csv
Qwen2.5-Omni,adresso,237,237,0.958630569279194,0.9351270750164986,0.7151879379525781,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_adresso_text_v3s.csv
Qwen2-Audio,edaic30,275,275,0.959451586008072,0.8766993522644043,0.6523239426314831,0.0,0.0,mass,<local data dir>/paper1_local_runs/qwen2audio_edaic30_text.csv
Qwen2.5-Omni,adresso,237,237,0.9610180705785752,0.9438675031065942,0.8939288500696421,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_adresso_text.csv
Audio Flamingo 2,adresso237,237,237,0.9613619148731232,0.9523787677288056,0.9431703090667723,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af2_results/af2_adresso237.csv
Audio Flamingo 2,pitt468,468,228,0.9625724405050278,0.9508032828569413,0.9350520074367524,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv
Audio Flamingo 3,adresso,237,237,0.9648930132389067,0.8995150983333587,0.816786140203476,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_adresso_text.csv
Audio Flamingo 3,conflict,390,74,0.9660986829549074,0.8892095983028412,0.7236226350069046,0.0,0.0,mass,<local data dir>/paper1_local_runs/af3_conflict_text.csv
Qwen2-Audio,edaicfull,275,275,0.9664300009608268,0.9095821246504784,0.8071786165237427,0.0,0.0,mass,<local data dir>/paper1_local_runs/qwen2audio_edaicfull_text.csv
Audio Flamingo 2,adress2020,156,156,0.9675679206848145,0.9538246989250182,0.9391726851463318,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/af2_results/af2_adress2020.csv
Kimi-Audio,conflict,390,74,0.9695406258106232,0.944992133975029,0.8756531327962875,0.0,0.0,mass,<local data dir>/paper1_local_runs/kimi_conflict_text.csv
Qwen2.5-Omni,conflict,390,74,0.97902812063694,0.9569359660148621,0.9345509707927704,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_conflict_text.csv
Kimi-Audio,adresso,237,237,0.9796972274780272,0.96135693192482,0.920482099056244,0.0,0.0,mass,<local data dir>/paper1_local_runs/kimi_adresso_text.csv
Qwen2-Audio,conflict,390,74,0.9808017835021019,0.8778848350048065,0.6103512346744537,0.0,0.0,mass,<local data dir>/paper1_local_runs/qwen2audio_conflict_text.csv
Qwen2.5-Omni,edaic30,275,275,0.9813490845263004,0.9674735277891159,0.9328334033489228,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_edaic30_text.csv
Kimi-Audio,pitt,468,228,0.981995329260826,0.9678193449974061,0.946995735168457,0.0,0.0,mass,<local data dir>/paper1_local_runs/kimi_pitt_text.csv
Kimi-Audio,edaicfull,275,275,0.984457477927208,0.9642892718315125,0.9215151965618134,0.0,0.0,mass,<local data dir>/paper1_local_runs/kimi_edaicfull_text.csv
Kimi-Audio,edaic30,275,275,0.9846373498439788,0.9727834075689317,0.9509133100509644,0.0,0.0,mass,<local data dir>/paper1_local_runs/kimi_edaic30_text.csv
Qwen2.5-Omni,edaic30,275,275,0.9847699329257013,0.9665188804268837,0.9283498227596284,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_edaic30_text_v7s.csv
Qwen2.5-Omni,edaicfull,275,275,0.9848074018955232,0.9719936370849609,0.9536787271499634,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_edaicfull_text.csv
Qwen2.5-Omni,unknown,390,74,0.9854272366501391,0.958503469824791,0.9083067178726196,0.0,0.0,mass,<local data dir>/Desktop/release/overnight/edaic_paradox/omni_clip_scores.csv
Kimi-Audio,adress2020,156,156,0.9854746907949448,0.9773550182580948,0.9528129696846008,0.0,0.0,mass,<local data dir>/paper1_local_runs/kimi_adress2020_text.csv
Qwen2.5-Omni,edaic30,20,20,0.9858556669205427,0.9677844397723676,0.963755428791046,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_edaic30_text_v4s.csv
Qwen2.5-Omni,edaic30,275,275,0.9858768247067928,0.969676099717617,0.9288670122623444,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_edaic30_text_v3s.csv
Qwen2.5-Omni,edaic30,275,275,0.9861263763159512,0.9705765321850777,0.9321673214435576,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_edaic30_text_v1s.csv
Qwen2.5-Omni,edaic30,20,20,0.9867024659179151,0.9726736180484296,0.9651551842689514,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_edaic30_text_v2s.csv
Qwen2.5-Omni,kcl,37,37,0.9887885749340056,0.9874063909053804,0.9852591156959534,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_kcl_zeroshot_scores.csv
Qwen2.5-Omni,kcl,37,37,0.9887885749340056,0.9874063909053804,0.9852591156959534,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_kcl_zeroshot_scores.csv
Qwen2.5-Omni,kcl37,37,37,0.9891204237937928,0.9871658563613891,0.9851227849721907,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/omni_results/omni_kcl37_recut_audio.csv
unattributed,unknown,966,138,0.9901652211556212,0.9405870288610458,0.6956106051802635,0.0,0.0,answer_mass,scores/part16/pod_sync/p14_q2a_text.csv
unattributed,unknown,966,138,0.9901652211556212,0.9405870288610458,0.6956106051802635,0.0,0.0,answer_mass,<local data dir>/Desktop/release/edaic_rerun/part15/partB/p14_q2a_text.csv
Qwen2.5-Omni,edaic,275,275,0.9911644905805588,0.9861069053411484,0.9694016501307487,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_edaic_p2.csv
Qwen2.5-Omni,edaic,275,275,0.9911644905805588,0.9861069053411484,0.9694016501307487,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_edaic_p2.csv
Qwen2.5-Omni,kcl,37,37,0.9915443658828736,0.9890149295330048,0.98521026968956,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_kcl_p2.csv
Qwen2.5-Omni,kcl,37,37,0.9915443658828736,0.9890149295330048,0.98521026968956,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_kcl_p2.csv
Qwen2.5-Omni,adress2020,156,156,0.991967648267746,0.9880199581384659,0.9843012988567352,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_adress2020_p2.csv
Qwen2.5-Omni,adress2020,156,156,0.991967648267746,0.9880199581384659,0.9843012988567352,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_adress2020_p2.csv
Qwen2.5-Omni,adresso,237,237,0.9920248687267303,0.9875623643398285,0.984021246433258,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_adresso_p2.csv
Qwen2.5-Omni,adresso,237,237,0.9920248687267303,0.9875623643398285,0.984021246433258,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_adresso_p2.csv
Qwen2.5-Omni,pitt,468,228,0.9922087490558624,0.9886679470539094,0.9838862717151642,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_pitt_p2.csv
Qwen2.5-Omni,pitt,468,228,0.9922087490558624,0.9886679470539094,0.9838862717151642,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_pitt_p2.csv
Qwen2.5-Omni,kcl,37,37,0.9927691519260406,0.9910399317741395,0.9891298860311508,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_kcl_p3.csv
Qwen2.5-Omni,kcl,37,37,0.9927691519260406,0.9910399317741395,0.9891298860311508,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_kcl_p3.csv
Qwen2.5-Omni,pitt,468,228,0.9930511564016342,0.9916539937257767,0.989552527666092,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_pitt_p3.csv
Qwen2.5-Omni,pitt,468,228,0.9930511564016342,0.9916539937257767,0.989552527666092,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_pitt_p3.csv
Qwen2.5-Omni,adress2020,156,156,0.9931405782699585,0.9918216317892075,0.990443766117096,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_adress2020_p3.csv
Qwen2.5-Omni,adress2020,156,156,0.9931405782699585,0.9918216317892075,0.990443766117096,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_adress2020_p3.csv
Qwen2.5-Omni,adresso,237,237,0.9932777285575868,0.9920791268348694,0.99067223072052,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_adresso_p3.csv
Qwen2.5-Omni,adresso,237,237,0.9932777285575868,0.9920791268348694,0.99067223072052,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_adresso_p3.csv
Qwen2.5-Omni,edaic,275,275,0.9933061450719832,0.9901018142700196,0.9850399270653724,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_edaic_p3.csv
Qwen2.5-Omni,edaic,275,275,0.9933061450719832,0.9901018142700196,0.9850399270653724,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_edaic_p3.csv
Qwen2.5-Omni,neurovoz,1270,107,0.9943686127662659,0.9929376602172851,0.9908995032310486,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_neurovoz_p3.csv
Qwen2.5-Omni,neurovoz,1270,107,0.9943686127662659,0.9929376602172851,0.9908995032310486,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_neurovoz_p3.csv
Kimi-Audio,smoke,2,1,0.9945511817932128,0.9940040111541747,0.9938672184944152,0.0,0.0,mass,<local data dir>/Desktop/release/overnight2/part3/kimi_smoke_zeroshot_scores.csv
Kimi-Audio,smoke,2,1,0.9945511817932128,0.9940040111541747,0.9938672184944152,0.0,0.0,mass,<local data dir>/Desktop/release/overnight2/kimi/kimi_smoke_zeroshot_scores.csv
Qwen2.5-Omni,pcgita,1100,100,0.9946672469377518,0.9925511807203293,0.9892600178718568,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_pcgita_p3.csv
Qwen2.5-Omni,pcgita,1100,100,0.9946672469377518,0.9925511807203293,0.9892600178718568,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_pcgita_p3.csv
Qwen2.5-Omni,pcgita1100,1100,100,0.9951477944850922,0.9939116865396501,0.9914949536323548,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/omni_results/omni_pcgita1100_audio.csv
Qwen2.5-Omni,pcgita,1100,100,0.9952073693275452,0.9938926979899406,0.9911609888076782,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_pcgita_zeroshot_scores.csv
Qwen2.5-Omni,pcgita,1100,100,0.9952073693275452,0.9938926979899406,0.9911609888076782,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_pcgita_zeroshot_scores.csv
Qwen2.5-Omni,neurovoz,1270,107,0.9952434152364731,0.9941072314977646,0.9926794171333312,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_neurovoz_zeroshot_scores.csv
Qwen2.5-Omni,neurovoz,1270,107,0.9952434152364731,0.9941072314977646,0.9926794171333312,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_neurovoz_zeroshot_scores.csv
Kimi-Audio,adresso,237,237,0.9955982565879822,0.9920842766761779,0.96981480717659,0.0,0.0,mass,<local data dir>/Desktop/release/overnight2/kimi_new/kimi_adresso_zeroshot_scores.csv
Kimi-Audio,adresso,237,237,0.9955982565879822,0.9920842766761779,0.96981480717659,0.0,0.0,mass,<local data dir>/Desktop/release/podD2_final/out/kimi_adresso_zeroshot_scores.csv
Qwen2.5-Omni,unknown,275,275,0.9958081096410752,0.9936502337455749,0.9899290204048156,0.0,0.0,mass,scores/edaic_windows/o25_mid30_zeroshot_scores.csv
Qwen2.5-Omni,unknown,275,275,0.9958438873291016,0.9932029753923416,0.9866856038570404,0.0,0.0,mass,scores/edaic_windows/o25_mid300_zeroshot_scores.csv
Qwen2-Audio,edaic,275,275,0.9959132522344588,0.9873167842626572,0.9746744632720948,0.0,0.0,mass,<local data dir>/paper1_local_runs/probe_results/edaic_zeroshot_scores.csv
Qwen2-Audio,edaic,275,275,0.9959258288145064,0.9872762873768807,0.9746851921081544,0.0,0.0,mass,<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv
Qwen2-Audio,edaic275,275,275,0.995934471487999,0.9873002111911774,0.9747664332389832,0.0,0.0,answer_mass,<local data dir>/paper1_local_runs/qwen2audio_edaic275_audio.csv
Qwen2-Audio,edaic,275,275,0.995934471487999,0.9873002111911774,0.9747664332389832,0.0,0.0,mass,<local data dir>/paper1_local_runs/probe2/pod_runs/edaic_zeroshot_scores.csv
Kimi-Audio,pcgita,1100,100,0.9959426373243332,0.9938024520874024,0.9839569330215454,0.0,0.0,mass,<local data dir>/Desktop/release/overnight2/part3/kimi_pcgita_zeroshot_scores.csv
Kimi-Audio,pcgita,1100,100,0.9959426373243332,0.9938024520874024,0.9839569330215454,0.0,0.0,mass,<local data dir>/Desktop/release/overnight2/kimi/kimi_pcgita_zeroshot_scores.csv
Qwen2.5-Omni,pitt,20,13,0.9959572851657867,0.9950387239456175,0.9933275282382964,0.0,0.0,mass,<local data dir>/paper1_local_runs/rebuild/omni_pitt_text_v1.csv
Kimi-Audio,adresso,237,237,0.9960148632526398,0.9927448928356171,0.9741898775100708,0.0,0.0,mass,<local data dir>/paper1_local_runs/kimi_adresso_audio.csv
Qwen2.5-Omni,neurovoz,1270,107,0.9960830509662628,0.9938173860311507,0.9870517700910568,0.0,0.0,mass,<local data dir>/Desktop/release/omni_final/omni_neurovoz_p2.csv
Qwen2.5-Omni,neurovoz,1270,107,0.9960830509662628,0.9938173860311507,0.9870517700910568,0.0,0.0,mass,<local data dir>/paper1_local_runs/omni_final/omni_neurovoz_p2.csv
Kimi-Audio,neurovoz,1270,107,0.9961485117673874,0.9947199285030365,0.9809311330318452,0.0,0.0,mass,<local data dir>/Desktop/release/podD2_final/out/kimi_neurovoz_zeroshot_scores.csv
Kimi-Audio,neurovoz,1270,107,0.9961485117673874,0.9947199285030365,0.9809311330318452,0.0,0.0,mass,<local data dir>/Desktop/release/overnight2/kimi_new/kimi_neurovoz_zeroshot_scores.csv
