id,speaker,arm,p_yes,answer_mass,prompt
conflict_314_c000312,314,conflict,0.7775323345,0.9969728291,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_314_c000325,314,conflict,0.1330827370,0.9964141548,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000333,315,conflict,0.2338562831,0.9951702356,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000335,315,conflict,0.1825850440,0.9944236130,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000337,315,conflict,0.3347761292,0.9958234727,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000344,315,conflict,0.5625022316,0.9940944016,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000345,315,conflict,0.3632267315,0.9947108328,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_318_c000389,318,conflict,0.3349247262,0.9927285612,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_321_c000428,321,conflict,0.0804309329,0.9976887926,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_321_c000434,321,conflict,0.0901496489,0.9977129102,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_321_c000441,321,conflict,0.2815888127,0.9956147075,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_323_c000475,323,conflict,0.1825888201,0.9967405349,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_323_c000480,323,conflict,0.4690856884,0.9971487224,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_327_c000548,327,conflict,0.2570368089,0.9962936640,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_328_c000562,328,conflict,0.1128983397,0.9969263002,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_328_c000563,328,conflict,0.5313417783,0.9965677261,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_328_c000564,328,conflict,0.1404087546,0.9953433573,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_329_c000589,329,conflict,0.0901684959,0.9957356006,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000642,332,conflict,0.3211562280,0.9971499443,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000644,332,conflict,0.0804199016,0.9979587793,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000649,332,conflict,0.9784270053,0.9988666531,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000654,332,conflict,0.1404228334,0.9960279763,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000656,332,conflict,0.0534569245,0.9963833541,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_338_c000810,338,conflict,0.1562888906,0.9952823073,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_338_c000820,338,conflict,0.0567151313,0.9982990324,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_338_c000821,338,conflict,0.7059161724,0.9969155490,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_338_c000822,338,conflict,0.0954333248,0.9966039062,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_338_c000824,338,conflict,0.0675910112,0.9973586649,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_338_c000825,338,conflict,0.0566743823,0.9982103519,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_340_c000847,340,conflict,0.1921382054,0.9960407168,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000931,345,conflict,0.0601479693,0.9970084839,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000932,345,conflict,0.1009626522,0.9956635758,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000935,345,conflict,0.3347742413,0.9955287278,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000939,345,conflict,0.1404323205,0.9968944490,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000940,345,conflict,0.0675818528,0.9982322454,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000941,345,conflict,0.1192791775,0.9962380677,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000942,345,conflict,0.0716233631,0.9978473112,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000947,345,conflict,0.8933970095,0.9967130870,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000948,345,conflict,0.1128508637,0.9969247505,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000949,345,conflict,0.2943882133,0.9944805503,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000952,345,conflict,0.8873477783,0.9973188192,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000953,345,conflict,0.0804013526,0.9969949946,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000954,346,conflict,0.1009702648,0.9955091104,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000956,346,conflict,0.2121938549,0.9952246398,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000957,346,conflict,0.1825620934,0.9961747080,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000971,346,conflict,0.1920644458,0.9976512343,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000972,346,conflict,0.4380723364,0.9949108064,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000974,346,conflict,0.2691197288,0.9967030883,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000982,346,conflict,0.2453061589,0.9958226979,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000983,346,conflict,0.4533899740,0.9968570769,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000984,346,conflict,0.1646190156,0.9956249297,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000985,346,conflict,0.2569751379,0.9973582625,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000986,346,conflict,0.1193222870,0.9975762814,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_347_c000988,347,conflict,0.1193429323,0.9967019334,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_347_c000990,347,conflict,0.1562105630,0.9960041046,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_347_c000993,347,conflict,0.2019734168,0.9967911392,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_347_c000995,347,conflict,0.1733969019,0.9964771867,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001000,348,conflict,0.1129369207,0.9957886711,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001001,348,conflict,0.1404531727,0.9968741834,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001005,348,conflict,0.0637557904,0.9982659742,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001006,348,conflict,0.1825704482,0.9964251518,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001007,348,conflict,0.0851595621,0.9982649982,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001013,348,conflict,0.0503553991,0.9984170869,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001014,348,conflict,0.2691569505,0.9967297912,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_354_c001129,354,conflict,0.2338278827,0.9964793622,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_354_c001131,354,conflict,0.2019897749,0.9973494262,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_354_c001137,354,conflict,0.1404462958,0.9979016483,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001260,362,conflict,0.1482180669,0.9956778735,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001263,362,conflict,0.2570178784,0.9916631281,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001265,362,conflict,0.2228264806,0.9971480519,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001266,362,conflict,0.2019770953,0.9959796667,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001268,362,conflict,0.3631180525,0.9933981001,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001271,362,conflict,0.4076014403,0.9975770116,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001278,363,conflict,0.1562104171,0.9972644895,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001284,363,conflict,0.1128800059,0.9960456789,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001285,363,conflict,0.3209803266,0.9963792562,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001288,363,conflict,0.5158570497,0.9948789179,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001290,363,conflict,0.5624633953,0.9958277345,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001295,363,conflict,0.8873090511,0.9979688674,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001296,363,conflict,0.4534352415,0.9970514178,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_364_c001302,364,conflict,0.1921059835,0.9953411222,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_364_c001308,364,conflict,0.2019453721,0.9962642193,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_364_c001309,364,conflict,0.1259962206,0.9969975352,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_364_c001310,364,conflict,0.3777144604,0.9968402088,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_366_c001416,366,conflict,0.2691046216,0.9950011671,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_366_c001417,366,conflict,0.1826164756,0.9940039068,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_366_c001423,366,conflict,0.2690572239,0.9974336326,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_366_c001429,366,conflict,0.2122109008,0.9955496490,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_366_c001430,366,conflict,0.2815738922,0.9956248105,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001447,367,conflict,0.0804115555,0.9982677773,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001473,367,conflict,0.3209797871,0.9965737760,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001474,367,conflict,0.2569747936,0.9973722398,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001475,367,conflict,0.1330467305,0.9975186586,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001477,367,conflict,0.1192717979,0.9973321036,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001478,367,conflict,0.2338881784,0.9965985566,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_369_c001515,369,conflict,0.0447030862,0.9977137856,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_369_c001522,369,conflict,0.4075407755,0.9971242547,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_370_c001551,370,conflict,0.2018861949,0.9950987995,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_370_c001553,370,conflict,0.3777621850,0.9958253205,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_370_c001561,370,conflict,0.2228484345,0.9965984672,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001666,374,conflict,0.1404564418,0.9956726283,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001668,374,conflict,0.4534586568,0.9961417317,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001669,374,conflict,0.4076605635,0.9922050536,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001670,374,conflict,0.4848105513,0.9941995740,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001673,374,conflict,0.9242385454,0.9968788698,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001676,374,conflict,0.4076568337,0.9961026609,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001684,374,conflict,0.1481701864,0.9962176532,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001732,377,conflict,0.1647267833,0.9954612404,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001737,377,conflict,0.2019260970,0.9968266636,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001738,377,conflict,0.1067671813,0.9973876923,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001739,377,conflict,0.1734267827,0.9975972474,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001742,377,conflict,0.1192680484,0.9977223426,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001747,377,conflict,0.1192757963,0.9970846027,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001754,377,conflict,0.1330628911,0.9961612970,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001763,377,conflict,0.7188567568,0.9980960786,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001766,377,conflict,0.1825821961,0.9972881675,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_378_c001777,378,conflict,0.2944267192,0.9949485064,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_379_c001803,379,conflict,0.2690616878,0.9938839376,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_379_c001811,379,conflict,0.1733976689,0.9962832034,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_379_c001815,379,conflict,0.1920678234,0.9957075417,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001881,381,conflict,0.5315004362,0.9965124726,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001894,381,conflict,0.1920741234,0.9978451133,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001895,381,conflict,0.1009510785,0.9975754395,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001896,381,conflict,0.1192697891,0.9975922778,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001897,381,conflict,0.0474500009,0.9984794520,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001898,381,conflict,0.2020273898,0.9969025552,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001900,381,conflict,0.2569954339,0.9973509312,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001901,381,conflict,0.2452769283,0.9956312329,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001905,381,conflict,0.1193202264,0.9979097769,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_382_c001924,382,conflict,0.1192880272,0.9975143299,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001964,384,conflict,0.0759349737,0.9962573275,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001965,384,conflict,0.2019751750,0.9958495498,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001966,384,conflict,0.1009483473,0.9975549728,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001984,384,conflict,0.8082049664,0.9972983897,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001985,384,conflict,0.1330510077,0.9967793375,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_387_c002031,387,conflict,0.3347945938,0.9954771101,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_392_c002114,392,conflict,0.4380223485,0.9965313971,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_392_c002121,392,conflict,0.3075637727,0.9952387512,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_392_c002122,392,conflict,0.4689776647,0.9954955578,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_403_c002308,403,conflict,0.0851683251,0.9943964183,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_403_c002310,403,conflict,0.3075379177,0.9955290258,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_404_c002331,404,conflict,0.1562508292,0.9956554025,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_404_c002336,404,conflict,0.8440618843,0.9968952388,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002350,405,conflict,0.1128820213,0.9970961586,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002351,405,conflict,0.1404975545,0.9973484725,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002353,405,conflict,0.0954159897,0.9973226637,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002354,405,conflict,0.1067550186,0.9975158423,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002356,405,conflict,0.2019694430,0.9957638234,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002357,405,conflict,0.1825772928,0.9959654361,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002358,405,conflict,0.2943703301,0.9967476130,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002381,405,conflict,0.3631625336,0.9965345860,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002382,405,conflict,0.2944496047,0.9974277318,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002385,405,conflict,0.3076422924,0.9969727695,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002386,405,conflict,0.0804044067,0.9982255995,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002387,405,conflict,0.3925524806,0.9960852563,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002388,405,conflict,0.1192843791,0.9967619553,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_406_c002391,406,conflict,0.1260436407,0.9963656664,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_406_c002394,406,conflict,0.3210995304,0.9962801933,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_407_c002426,407,conflict,0.6793889086,0.9968385100,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_408_c002443,408,conflict,0.1404706072,0.9954956323,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_411_c002509,411,conflict,0.5314535739,0.9952522516,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_411_c002520,411,conflict,0.3210736557,0.9940413535,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_411_c002525,411,conflict,0.4689703315,0.9960219264,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002579,414,conflict,0.0804200176,0.9955118597,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002581,414,conflict,0.1646277245,0.9977179021,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002582,414,conflict,0.0373524446,0.9985198043,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002583,414,conflict,0.1259941193,0.9971169382,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002584,414,conflict,0.1192900926,0.9965433925,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002594,414,conflict,0.5780545394,0.9955920577,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002595,414,conflict,0.6794494197,0.9952080548,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002598,414,conflict,0.5001420628,0.9976215065,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002599,414,conflict,0.1259808234,0.9975947589,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002601,414,conflict,0.2815886095,0.9970042109,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002603,414,conflict,0.0901726758,0.9975629821,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
