id,what,primary,verify,agree,n,n_spk
1a_q2a_text_conflict_lo,1a q2a text conflict CI lo,0.1851,0.1851,True,483,138
1a_q2a_text_conflict_hi,1a q2a text conflict CI hi,0.2886,0.2886,True,483,138
1a_q2a_text_agreement_auc,1a q2a text agreement AUC,0.9081,0.9081,True,483,138
1a_q2a_text_agreement_lo,1a q2a text agreement CI lo,0.8515,0.8515,True,483,138
1a_q2a_text_agreement_hi,1a q2a text agreement CI hi,0.9547,0.9547,True,483,138
1a_q2a_pearson,1a q2a Pearson r text vs audio,0.5155,0.5155,True,966,138
1a_q2a_same_decision,1a q2a same-decision share,0.7122,0.7122,True,966,138
1f_share_yesno_all,1f share first word Yes/No,1.0000,1.0000,True,966,138
1f_agree_gen_logit_all,1f agreement generated vs logit,0.9865,0.9865,True,966,138
1f_share_yesno_conflict,1f share Yes/No conflict,1.0000,1.0000,True,483,138
1f_agree_gen_logit_conflict,1f agreement conflict,0.9917,0.9917,True,483,138
1f_share_yesno_agreement,1f share Yes/No agreement,1.0000,1.0000,True,483,138
1f_agree_gen_logit_agreement,1f agreement agreement,0.9814,0.9814,True,483,138
