dataset,featset,task,target,perm_p,perm_p_sharp,q_fdr
neurovoz,interp_mfcc,vowel,updrs,0.3391521197007481,0.3391521197007481,0.5840953172623995
neurovoz,interp_mfcc,vowel,hy,0.3466334164588528,0.3466334164588528,0.5861255951031511
neurovoz,interp_mfcc,vowel,time_dx,0.9251870324189526,0.9251870324189526,0.9506179605930228
neurovoz,interp_mfcc,ddk,updrs,0.0798004987531172,0.0798004987531172,0.1902934970266641
neurovoz,interp_mfcc,ddk,hy,0.7182044887780549,0.7182044887780549,0.8258621738337085
neurovoz,interp_mfcc,ddk,time_dx,0.0798004987531172,0.0798004987531172,0.1902934970266641
neurovoz,interp_mfcc,all,updrs,0.6209476309226932,0.6209476309226932,0.8133091927714958
neurovoz,interp_mfcc,all,hy,0.770573566084788,0.770573566084788,0.8332946703009917
neurovoz,interp_mfcc,all,time_dx,0.0299251870324189,0.0299251870324189,0.10704009207749837
pcgita,qwen2_enc,read,updrs,0.024793388429752,0.01949,0.10704009207749837
pcgita,qwen2_enc,read,updrs_speech,0.0165289256198347,0.004498,0.05153782211138794
pcgita,qwen2_enc,read,hy,0.6198347107438017,0.529735,0.7572921730675742
pcgita,qwen2_enc,read,time_dx,0.0826446280991735,0.075962,0.1902934970266641
pcgita,qwen2_enc,vowel,updrs,0.0082644628099173,0.0005,0.02325
pcgita,qwen2_enc,vowel,updrs_speech,0.0495867768595041,0.0495867768595041,0.1487603305785123
pcgita,qwen2_enc,vowel,hy,0.5537190082644629,0.5537190082644629,0.7572921730675742
pcgita,qwen2_enc,vowel,time_dx,0.7272727272727273,0.7272727272727273,0.8258621738337085
pcgita,qwen2_enc,all,updrs,0.0082644628099173,0.001,0.031
pcgita,qwen2_enc,all,updrs_speech,0.024793388429752,0.024793388429752,0.10704009207749837
pcgita,qwen2_enc,all,hy,0.7603305785123967,0.7603305785123967,0.83218424526918
pcgita,qwen2_enc,all,time_dx,0.2809917355371901,0.2809917355371901,0.512396694214876
pcgita,interp_core,read,updrs,0.0648379052369077,0.0648379052369077,0.17735074079507107
pcgita,interp_core,read,updrs_speech,0.0249376558603491,0.0249376558603491,0.10704009207749837
pcgita,interp_core,read,hy,0.7281795511221946,0.7281795511221946,0.8258621738337085
pcgita,interp_core,read,time_dx,0.6309226932668329,0.6309226932668329,0.8133091927714958
pcgita,interp_core,vowel,updrs,0.5411471321695761,0.5411471321695761,0.7572921730675742
pcgita,interp_core,vowel,updrs_speech,0.0099750623441396,0.0099750623441396,0.0773067331670819
pcgita,interp_core,vowel,hy,0.3167082294264339,0.3167082294264339,0.5664204872434299
pcgita,interp_core,vowel,time_dx,0.4438902743142144,0.4438902743142144,0.6767507460856055
pcgita,interp_core,ddk,updrs,0.0448877805486284,0.0448877805486284,0.13915211970074806
pcgita,interp_core,ddk,updrs_speech,0.0224438902743142,0.0224438902743142,0.10704009207749837
pcgita,interp_core,ddk,hy,0.3241895261845386,0.3241895261845386,0.5688608667011715
pcgita,interp_core,ddk,time_dx,0.7206982543640897,0.7206982543640897,0.8258621738337085
pcgita,interp_core,words,updrs,0.0049875311720698,0.0049875311720698,0.05153782211138794
pcgita,interp_core,words,updrs_speech,0.0698254364089775,0.0698254364089775,0.18553615960099737
pcgita,interp_core,words,hy,0.7556109725685786,0.7556109725685786,0.83218424526918
pcgita,interp_core,words,time_dx,0.9301745635910224,0.9301745635910224,0.9506179605930228
pcgita,interp_core,monologue,updrs,0.0723192019950124,0.0723192019950124,0.18682460515378205
pcgita,interp_core,monologue,updrs_speech,0.0598503740648379,0.0598503740648379,0.16866923600090677
pcgita,interp_core,monologue,hy,0.6708229426433915,0.6708229426433915,0.8239270245439034
pcgita,interp_core,monologue,time_dx,0.1221945137157107,0.1221945137157107,0.2681145492984816
pcgita,interp_core,all,updrs,0.14214463840399,0.14214463840399,0.29376558603491265
pcgita,interp_core,all,updrs_speech,0.0448877805486284,0.0448877805486284,0.13915211970074806
pcgita,interp_core,all,hy,0.5511221945137157,0.5511221945137157,0.7572921730675742
pcgita,interp_core,all,time_dx,0.917705735660848,0.917705735660848,0.9506179605930228
pcgita,interp_mfcc,read,updrs,0.0049875311720698,0.0049875311720698,0.05153782211138794
pcgita,interp_mfcc,read,updrs_speech,0.0224438902743142,0.0224438902743142,0.10704009207749837
pcgita,interp_mfcc,read,hy,0.6483790523690773,0.6483790523690773,0.814854755004381
pcgita,interp_mfcc,read,time_dx,0.6384039900249376,0.6384039900249376,0.8133091927714958
pcgita,interp_mfcc,vowel,updrs,0.2693266832917705,0.2693266832917705,0.5009476309226932
pcgita,interp_mfcc,vowel,updrs_speech,0.0324189526184538,0.0324189526184538,0.11166528124134088
pcgita,interp_mfcc,vowel,hy,0.5311720698254364,0.5311720698254364,0.7572921730675742
pcgita,interp_mfcc,vowel,time_dx,0.3940149625935162,0.3940149625935162,0.6517757330810903
pcgita,interp_mfcc,ddk,updrs,0.0299251870324189,0.0299251870324189,0.10704009207749837
pcgita,interp_mfcc,ddk,updrs_speech,0.0074812967581047,0.005997,0.055772100000000005
pcgita,interp_mfcc,ddk,hy,0.683291770573566,0.683291770573566,0.825274476147294
pcgita,interp_mfcc,ddk,time_dx,0.7082294264339152,0.7082294264339152,0.8258621738337085
pcgita,interp_mfcc,words,updrs,0.0024937655860349,0.0024937655860349,0.04638403990024914
pcgita,interp_mfcc,words,updrs_speech,0.054862842892768,0.054862842892768,0.159445137157107
pcgita,interp_mfcc,words,hy,0.4039900249376558,0.4039900249376558,0.6517757330810903
pcgita,interp_mfcc,words,time_dx,0.1346633416458852,0.1346633416458852,0.2846293357515301
pcgita,interp_mfcc,monologue,updrs,0.0299251870324189,0.0299251870324189,0.10704009207749837
pcgita,interp_mfcc,monologue,updrs_speech,0.0448877805486284,0.0448877805486284,0.13915211970074806
pcgita,interp_mfcc,monologue,hy,0.4413965087281795,0.4413965087281795,0.6767507460856055
pcgita,interp_mfcc,monologue,time_dx,0.4713216957605985,0.4713216957605985,0.7069825436408977
pcgita,interp_mfcc,all,updrs,0.0049875311720698,0.0049875311720698,0.05153782211138794
pcgita,interp_mfcc,all,updrs_speech,0.0299251870324189,0.0299251870324189,0.10704009207749837
pcgita,interp_mfcc,all,hy,0.7605985037406484,0.7605985037406484,0.83218424526918
pcgita,interp_mfcc,all,time_dx,0.4413965087281795,0.4413965087281795,0.6767507460856055
