model	dataset	condition	master_json	tsv_probe_master	json_probe_mean	json_per_repeat	json_mean_matches_tsv	tsv_zs_master	zs_recomputed	zs_matches	zs_n	zs_file	tsv_diff_lo	tsv_diff_hi	tsv_point	tsv_probe_source	probe_file	probe_md5	kind	n_probe	n_joined	n_spk	labels_agree	per_repeat_recomputed	probe_recomputed	per_repeat_matches_json	probe_mean_matches_master	point_diff	key	diff_lo	diff_hi	boot_usable	excludes_zero	probe_above_answer	rank	is_out_dup
Qwen3-Omni-30B-A3B	E-DAIC	MDD	<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json	0.5828	0.5828	[0.538, 0.6103, 0.5941, 0.6149, 0.5567]	yes	0.629	0.629	yes	275	<local data dir>/release/overnight2/q3o_new/q3o_edaic_zeroshot_scores.csv	-0.1532	0.0656	-0.0447	<local data dir>/release/overnight2/q3o_new/q3o_edaic_enc_nested_oof.csv	<local data dir>/release/overnight2/q3o_new/q3o_edaic_enc_nested_oof.csv	24e3f67f74562dac04de565984ba3fdd	single	275	275	275	yes	[0.5844]	0.5844		NO	-0.0447	q3o_edaic_29	-0.1532	0.0656	2000	no	no	3	False
Qwen3-Omni-30B-A3B	Pitt	AD	<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_pitt_nested_repeats.json	0.8122	0.8122	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	yes	0.7619	0.7619	yes	468	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	-0.0087	0.1095	0.0503	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	de514c97135560e22ad3e5761cc37104	rep5	468	468	228	yes	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	0.8122	yes	yes	0.0503	q3o_pitt_33	-0.0087	0.1095	2000	no	yes	0	False
Qwen3-Omni-30B-A3B	ADReSSo	AD	<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json	0.875	0.875	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	yes	0.7774	0.7774	yes	237	<local data dir>/release/overnight2/q3o_new/q3o_adresso_zeroshot_scores.csv	0.0259	0.165	0.0944	<local data dir>/release/overnight2/q3o_new/q3o_adresso_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q3o_adresso_enc_rep5_oof.csv	4fc66efe3b3e45eb917c37dd65aca086	rep5	237	237	237	yes	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	0.875	yes	yes	0.0976	q3o_adresso_37	0.0362	0.1616	2000	yes	yes	0	False
Qwen3-Omni-30B-A3B	ADReSS-2020	AD	<local data dir>/release/overnight2/q3o_new/q3o_adress2020_nested_repeats.json	0.8445	0.8445	[0.8337, 0.8555, 0.8458, 0.8401, 0.8475]	yes	0.7097	0.7097	yes	156	<local data dir>/release/overnight2/q3o_new/q3o_adress2020_zeroshot_scores.csv	0.0436	0.2328	0.1363	<local data dir>/release/overnight2/q3o_new/q3o_adress2020_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q3o_adress2020_enc_rep5_oof.csv	55c7201a721dfe978292332c013bad2a	rep5	156	156	156	yes	[0.8337, 0.8555, 0.8458, 0.8401, 0.8475]	0.8445	yes	yes	0.1348	q3o_adress2020_40	0.0417	0.2335	2000	yes	yes	0	False
Kimi-Audio	PC-GITA	PD	<local data dir>/release/overnight2/part3/kimi_pcgita_nested_repeats.json	0.8715	0.8715	[0.8664, 0.8698, 0.8752, 0.8702, 0.8762]	yes	0.6147	0.6147	yes	1100	<local data dir>/release/overnight2/part3/kimi_pcgita_zeroshot_scores.csv					scores/part25/C/pull/p25C-7/out/kimi_pcgita_llm_rep5_oof.csv	adb4806538a39d198bbbeabb5658dace	rep5	1100	1100	100	yes	[0.8664, 0.8698, 0.8752, 0.8702, 0.8762]	0.8715	yes	yes	0.2568	kimi_pcgita_41	0.1839	0.3284	2000	yes	yes	0	False
Kimi-Audio	NeuroVoz	PD	<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_nested_repeats.json	0.9334	0.9334	[0.9354, 0.9192, 0.9397, 0.9334, 0.9391]	yes	0.6204	0.6204	yes	1270	<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_zeroshot_scores.csv					scores/part25/C/pull/p25C-6/out/kimi_neurovoz_llm_rep5_oof.csv	6ae555add0d6e24f482387edd1c58fb9	rep5	1270	1270	107	yes	[0.9354, 0.9192, 0.9397, 0.9334, 0.9391]	0.9334	yes	yes	0.3129	kimi_neurovoz_43	0.2556	0.3681	2000	yes	yes	0	False
Kimi-Audio	MDVR-KCL	PD	<local data dir>/release/overnight2/kimi_new/kimi_kcl_nested_repeats.json	0.731	0.731	[0.75, 0.6339, 0.756, 0.6815, 0.8333]	yes	0.7113	0.7113	yes	37	<local data dir>/release/overnight2/kimi_new/kimi_kcl_zeroshot_scores.csv					scores/part25/C/pull/p25C-5/out/kimi_kcl_llm_rep5_oof.csv	665cfe6ae5341a87c8234c51aa0bf456	rep5	37	37	37	yes	[0.75, 0.6339, 0.756, 0.6815, 0.8333]	0.731	yes	yes	0.0196	kimi_kcl_44	-0.1643	0.2141	2000	no	yes	0	False
Kimi-Audio	E-DAIC	MDD	<local data dir>/release/overnight2/part3/kimi_edaic_nested_repeats.json	0.484	0.484	[0.4632, 0.4954, 0.4891, 0.4987, 0.4735]	yes	0.6293	0.6293	yes	275	<local data dir>/release/overnight2/part3/kimi_edaic_zeroshot_scores.csv					scores/part25/C/pull/p25C-8/out/kimi_edaic_llm_rep5_oof.csv	304be7006198b9cfd1f37310dc7090b1	rep5	275	275	275	yes	[0.4632, 0.4954, 0.4891, 0.4987, 0.4735]	0.484	yes	yes	-0.1453	kimi_edaic_45	-0.2334	-0.0454	2000	yes	no	0	False
Kimi-Audio	Pitt	AD	<local data dir>/release/overnight2/part3/kimi_pitt_nested_repeats.json	0.8374	0.8374	[0.8498, 0.8383, 0.8412, 0.8268, 0.831]	yes	0.718	0.718	yes	468	<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv					scores/part25/C/pull/p25C-8/out/kimi_pitt_llm_rep5_oof.csv	cd935760b6351af791d01d058cb1f326	rep5	468	468	228	yes	[0.8498, 0.8383, 0.8412, 0.8268, 0.831]	0.8374	yes	yes	0.1194	kimi_pitt_47	0.0587	0.1788	2000	yes	yes	0	False
Kimi-Audio	ADReSSo	AD	<local data dir>/release/overnight2/kimi_new/kimi_adresso_nested_repeats.json	0.8993	0.8993	[0.8897, 0.9029, 0.8932, 0.9145, 0.8964]	yes	0.7531	0.7531	yes	237	<local data dir>/release/overnight2/kimi_new/kimi_adresso_zeroshot_scores.csv					scores/part25/C/pull/p25C-6/out/kimi_adresso_llm_rep5_oof.csv	b52ee5c3f2dbe2075ec91dccf4a36580	rep5	237	237	237	yes	[0.8897, 0.9029, 0.8932, 0.9145, 0.8964]	0.8993	yes	yes	0.1462	kimi_adresso_49	0.0821	0.2096	2000	yes	yes	0	False
Kimi-Audio	ADReSS-2020	AD	<local data dir>/release/overnight2/kimi_new/kimi_adress2020_nested_repeats.json	0.92	0.92	[0.9181, 0.9135, 0.9221, 0.9247, 0.9214]	yes	0.7053	0.7053	yes	156	<local data dir>/release/overnight2/kimi_new/kimi_adress2020_zeroshot_scores.csv					scores/part25/C/pull/p25C-5/out/kimi_adress2020_llm_rep5_oof.csv	7fc24ad54ff4a534eb5c163f073ef81f	rep5	156	156	156	yes	[0.9181, 0.9135, 0.9221, 0.9247, 0.9214]	0.92	yes	yes	0.2147	kimi_adress2020_50	0.1331	0.3032	2000	yes	yes	0	False
