order_group,line,item_id,paper_value,matcher_file_value,matcher_file,triage,paper_ok,quantity_in_sentence,correct_file,recomputed,reason,context
added_23sep,180,L180_791,0.96,0.1498,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_1a_joined.csv,MISPAIRING,yes,"Qwen2.5-Omni transcript only, agreement arm, E-DAIC Part 14 pairs",edaic_rerun/part17/T1_perclip_distinct_agreement.csv (p_o25t); edaic_rerun/part16/POD1/p14_o25_1a_joined.csv,"311 distinct 0.9620 [0.9345, 0.9822] n=311 spk=138; 483 rows 0.9596 [0.9306, 0.9823] n=483 spk=138 (conflict 0.1498 [0.1131, 0.1887] n=483 spk=138)",Matcher paired the agreement 0.96 with the conflict value 0.1498. Both agreement definitions round to 0.96.,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips."
added_23sep,180,L180_830,0.22,0.7987,<local data dir>/paper1_local_runs/omni_pitt_text.csv,MISPAIRING,yes,"Qwen3-Omni transcript only, conflict arm, E-DAIC Part 14 pairs","scores/part20/POD3c/p14_q3o_text.csv (Part 20 POD3c, Qwen3-Omni-30B-A3B-Instruct)","0.2243 [0.1757, 0.2742] n=483 spk=138; look-alike: Qwen2.5-Omni AUDIO conflict 0.2218 [0.1829, 0.2632] n=483 spk=138",Matcher paired it with a Pitt Qwen2.5-Omni text file. The Qwen3-Omni transcript file gives 0.22.,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips."
added_23sep,180,L180_839,0.95,0.7987,<local data dir>/paper1_local_runs/omni_pitt_text.csv,MISPAIRING,yes,"Qwen3-Omni transcript only, agreement arm, E-DAIC Part 14 pairs",scores/part20/POD3c/p14_q3o_text.csv,"311 distinct 0.9523 [0.9249, 0.9750] n=311 spk=138; 483 rows 0.9470 [0.9131, 0.9757] n=483 spk=138; look-alike: Qwen2.5-Omni AUDIO agreement 483 0.9482 [0.9039, 0.9828] n=483 spk=138",Matcher paired it with a Pitt Qwen2.5-Omni text file. The Qwen3-Omni transcript agreement arm gives 0.95 (311 distinct) or 0.95 (483 rows).,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips."
added_23sep,180,L180_1306,0.46,0.5322,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,MISPAIRING,yes,"Qwen2.5-Omni audio, conflict arm, 1,334 pairs chosen by the DistilBERT SST-2 scorer",scores/part20/POD3b/sst2_pairs_o25_audio.csv,"0.4619 [0.4165, 0.5102] n=1334 spk=162; pairs 1334",Matcher paired it with the Pitt conflict arm (0.5322). The second scorer run gives 0.46.,"A second sentiment scorer selects 1,334 pairs, on which the conflict arm scores 0.46 and stays 0.39 below the agreement arm."
added_23sep,180,L180_1321,0.39,0.5322,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,MISPAIRING,yes,"agreement minus conflict, paired, same 1,334 pairs",scores/part20/POD3b/sst2_pairs_o25_audio.csv,"distinct agreement segments 0.3934 [0.3410, 0.4420] n=2133 spk=162; all agreement rows 0.3697 [0.3073, 0.4269] n=2668 spk=162","Matcher paired it with the Pitt conflict arm. 0.39 is the gap with distinct agreement segments (the Table 2 convention); with all 1,334 agreement rows it is 0.37.","A second sentiment scorer selects 1,334 pairs, on which the conflict arm scores 0.46 and stays 0.39 below the agreement arm."
added_23sep,226,L226_670,5.0,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,yes,"LoRA trainable parameters (r 8 on q, k, v, o of 28 LM layers)",edaic_rerun/part16/POD2/lora_pitt_params.json; arithmetic from the Qwen2.5-Omni-7B config.json,"json 5,046,272; arithmetic 28 x 8 x ((3584+3584)+(3584+512)x2+(3584+3584)) = 5,046,272","Matcher paired a parameter count (millions) with an AUC. 5,046,272 = 5.0 M.","LoRA on the language model, with 5.0 M trainable parameters against 4.6 M for the projector, reaches 0.83 on Pitt and 0.55 on its conflict segments."
added_23sep,226,L226_706,4.6,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,yes,projector trainable parameters (Linear 1280 to 3584 with bias),edaic_rerun/part16/POD2/lora_pitt_params.json; arithmetic from config.json,"json 4,591,104; arithmetic 1280 x 3584 + 3584 = 4,591,104","Matcher paired a parameter count with an AUC. 4,591,104 = 4.6 M.","LoRA on the language model, with 5.0 M trainable parameters against 4.6 M for the projector, reaches 0.83 on Pitt and 0.55 on its conflict segments."
other,97,L97_361,0.92,0.7082,<local data dir>/release/edaic_rerun/pitt_all_segments.csv,REAL,no,speaking rate alone as a dementia predictor on the Pitt segments,edaic_rerun/pitt_all_segments.csv (column rate); build_ad_conflict.py comment,"all 708 0.6970 [0.6407, 0.7495] n=708 spk=266 (raw 0.3030); kept 468 0.7082 [0.6387, 0.7688] n=468 spk=228 (raw 0.2918)","No result file gives 0.92. Speaking rate alone gives 0.70 (all 708) and 0.71 (kept 468), direction free. 0.92 appears only in a code comment of build_ad_conflict.py ('caught by the validity battery at AUC 0.92'), with no output file behind it, and that comment describes a rate shortcut in the selected arm, not rate alone. Fix: 0.70, or drop the number.","For Alzheimer's disease, we score the words of each segment in Pitt database with a logistic regression trained on six fluency markers from the CHAT transcription codes : type token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it alone reaches 0.92 and would make the split trivial."
other,172,L172_48,0.61,0.6169,<local data dir>/release/overnight2/part3/af3_pitt.csv,MISPAIRING (file copy),"yes, if part10 is the release copy","Audio Flamingo 3 zero shot, Pitt conflict arm","overnight2/part10/af3_pitt.csv (paper) vs overnight2/part3/af3_pitt.csv (matcher, master_lookup canonical)","part10 0.6075 [0.5063, 0.7129] n=146 spk=100; part3 0.6169 [0.5188, 0.7209] n=146 spk=100","Right quantity, different copy of the same run. The paper's 0.61 is the part10 copy (0.61); the matcher used the part3 copy (0.62). Part 20 POD4c re-scored 10 Pitt windows and reproduced part10 exactly, not part3 (DISCREPANCIES.md). Decide which copy ships in the release; if part10, update master_lookup so the matcher stops flagging it.",Audio Flamingo 3 | Alzheimer's Conflict :: Audio Flamingo 3 & 0.42 & 0.81 & 0.61 & 0.59
other,172,L172_55,0.59,0.5822,<local data dir>/release/overnight2/part3/af3_pitt.csv,MISPAIRING (file copy),"yes, if part10 is the release copy","Audio Flamingo 3 zero shot, Pitt agreement arm","overnight2/part10/af3_pitt.csv (paper) vs overnight2/part3/af3_pitt.csv (matcher, master_lookup canonical)","part10 0.5855 [0.5144, 0.6554] n=322 spk=175; part3 0.5822 [0.5080, 0.6528] n=322 spk=175","Right quantity, different copy of the same run. The paper's 0.59 is the part10 copy (0.59); the matcher used the part3 copy (0.58). Part 20 POD4c re-scored 10 Pitt windows and reproduced part10 exactly, not part3 (DISCREPANCIES.md). Decide which copy ships in the release; if part10, update master_lookup so the matcher stops flagging it.",Audio Flamingo 3 | Alzheimer's Agree. :: Audio Flamingo 3 & 0.42 & 0.81 & 0.61 & 0.59
