clip,split,start_ms,clip_ms,span_ms,par_ms_win,inv_ms_win,gap_ms_win,inv_share_win,par_share_win,n_par_utt,n_inv_utt,untimed_par,untimed_inv
S041,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S043,train,0,30000,30000,29667,333,0,0.0111,0.9889,2,1,0,0
S048,train,6800,30000,30000,27014,5251,-2265,0.17503,0.90047,5,4,0,0
S049,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S051,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S052,train,4840,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S055,train,0,30000,30000,28941,1059,0,0.0353,0.9647,1,1,0,0
S056,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S058,train,9600,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S059,train,0,30000,30000,28457,1543,0,0.05143,0.94857,1,1,0,0
S061,train,5000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S062,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S063,train,8000,30000,30000,28397,2294,-691,0.07647,0.94657,2,1,0,0
S064,train,9840,28738,28738,24185,4265,288,0.14841,0.84157,3,4,0,0
S067,train,0,30000,30000,28359,1541,100,0.05137,0.9453,2,1,0,0
S068,train,0,30000,30000,20467,9533,0,0.31777,0.68223,2,1,0,0
S070,train,10000,30000,30000,29550,450,0,0.015,0.985,2,1,0,0
S071,train,0,30000,30000,27996,2004,0,0.0668,0.9332,1,1,0,0
S072,train,5500,30000,30000,29297,803,-100,0.02677,0.97657,2,1,0,0
S073,train,3600,30000,30000,28321,1675,4,0.05583,0.94403,2,1,0,0
S076,train,8000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S077,train,0,30000,30000,28172,1828,0,0.06093,0.93907,1,1,0,0
S079,train,3440,30000,30000,28020,1980,0,0.066,0.934,3,3,0,0
S080,train,3600,30000,30000,16256,13838,-94,0.46127,0.54187,3,3,0,0
S081,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S082,train,7000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S083,train,0,30000,30000,27074,2926,0,0.09753,0.90247,1,1,0,0
S084,train,3140,30000,30000,28063,1937,0,0.06457,0.93543,3,3,0,0
S086,train,0,30000,30000,27987,2013,0,0.0671,0.9329,1,1,0,0
S087,train,24000,30000,30000,21597,8603,-200,0.28677,0.7199,3,3,0,0
S089,train,34000,28214,28214,19123,8372,719,0.29673,0.67778,3,3,0,0
S090,train,16960,30000,30000,29267,733,0,0.02443,0.97557,1,1,0,0
S092,train,0,30000,30000,27698,3145,-843,0.10483,0.92327,2,2,0,0
S093,train,0,30000,30000,28147,1853,0,0.06177,0.93823,1,1,0,0
S094,train,3000,30000,30000,29962,38,0,0.00127,0.99873,1,1,0,0
S095,train,32000,30000,30000,27515,2485,0,0.08283,0.91717,2,2,0,0
S096,train,45000,30000,30000,28632,1368,0,0.0456,0.9544,2,1,0,0
S097,train,3760,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S100,train,10000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S101,train,9000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S103,train,7000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S104,train,3000,30000,30000,29791,209,0,0.00697,0.99303,1,1,0,0
S107,train,10000,30000,30000,27218,3018,-236,0.1006,0.90727,5,3,0,0
S108,train,7000,30000,30000,28293,1707,0,0.0569,0.9431,2,1,0,0
S110,train,15000,30000,30000,26987,3975,-962,0.1325,0.89957,3,2,0,0
S111,train,45000,30000,30000,25610,8008,-3618,0.26693,0.85367,5,4,0,0
S114,train,2760,26703,26703,24357,3689,-1343,0.13815,0.91214,4,3,0,0
S116,train,5000,30000,30000,28564,1436,0,0.04787,0.95213,2,2,0,0
S118,train,7640,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S122,train,1800,30000,30000,29987,13,0,0.00043,0.99957,1,1,0,0
S124,train,5000,30000,30000,19982,10018,0,0.33393,0.66607,1,2,0,0
S125,train,8000,30000,30000,26052,1240,2708,0.04133,0.8684,3,2,0,0
S126,train,22300,30000,30000,28890,1110,0,0.037,0.963,1,2,0,0
S127,train,6000,30000,30000,26298,3702,0,0.1234,0.8766,2,2,0,0
S128,train,24000,27743,27743,20072,6853,818,0.24702,0.7235,2,3,0,0
S129,train,25000,16476,16476,14269,731,1476,0.04437,0.86605,2,1,0,0
S130,train,7000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S132,train,18000,30000,30000,28801,1199,0,0.03997,0.96003,2,1,0,0
S135,train,0,30000,30000,29290,710,0,0.02367,0.97633,2,1,0,0
S136,train,22000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S137,train,35560,30000,30000,26520,3474,6,0.1158,0.884,4,2,0,0
S138,train,5200,28462,28462,22561,5718,183,0.2009,0.79267,4,4,0,0
S139,train,45000,30000,30000,12284,17799,-83,0.5933,0.40947,3,2,0,0
S140,train,10000,30000,30000,29379,1421,-800,0.04737,0.9793,2,2,0,0
S141,train,10000,30000,30000,29096,1604,-700,0.05347,0.96987,2,2,0,0
S142,train,6000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S143,train,7000,30000,30000,27329,2671,0,0.08903,0.91097,1,1,0,0
S144,train,7560,30000,30000,26545,568,2887,0.01893,0.88483,2,1,0,0
S145,train,19620,30000,30000,18606,11394,0,0.3798,0.6202,4,4,0,0
S148,train,10640,24620,24620,15940,8267,413,0.33578,0.64744,3,3,0,0
S149,train,7360,23436,23436,16984,5665,787,0.24172,0.7247,4,4,0,0
S150,train,0,28468,28468,28182,575,-289,0.0202,0.98995,1,1,0,0
S151,train,3680,25127,25127,20737,3583,807,0.1426,0.82529,3,4,0,0
S153,train,21140,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S154,train,0,30000,30000,24639,6061,-700,0.20203,0.8213,1,1,0,0
S156,train,45000,30000,30000,13718,16282,0,0.54273,0.45727,4,5,0,0
S160,test,0,26064,26064,24498,810,756,0.03108,0.93992,1,1,0,0
S161,test,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S162,test,0,30000,30000,28000,2000,0,0.06667,0.93333,1,1,0,0
S163,test,5000,30000,30000,29900,0,100,0.0,0.99667,2,0,0,0
S164,test,0,30000,30000,27600,2400,0,0.08,0.92,1,1,0,0
S165,test,0,30000,30000,22623,7735,-358,0.25783,0.7541,3,3,0,0
S166,test,0,30000,30000,25585,4415,0,0.14717,0.85283,3,3,0,0
S167,test,2000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S168,test,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S169,test,6700,30000,30000,29291,709,0,0.02363,0.97637,1,1,0,0
S170,test,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S171,test,11000,30000,30000,28003,1997,0,0.06657,0.93343,1,1,0,0
S172,test,8400,30000,30000,29000,1000,0,0.03333,0.96667,1,1,0,0
S173,test,35280,30000,30000,25264,5136,-400,0.1712,0.84213,3,3,0,0
S174,test,3000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S175,test,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S176,test,0,30000,30000,28004,1996,0,0.06653,0.93347,1,1,0,0
S177,test,0,30000,30000,27623,2377,0,0.07923,0.92077,1,1,0,0
S178,test,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S179,test,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S180,test,0,30000,30000,27275,2725,0,0.09083,0.90917,1,1,0,0
S181,test,3120,30000,30000,28308,1692,0,0.0564,0.9436,2,1,0,0
S182,test,9720,30000,30000,16069,15419,-1488,0.51397,0.53563,4,4,0,0
S183,test,4000,30000,30000,26591,3409,0,0.11363,0.88637,1,1,0,0
S184,test,6000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S185,test,2000,30000,30000,27595,2405,0,0.08017,0.91983,2,2,0,0
S186,test,0,30000,30000,28934,1066,0,0.03553,0.96447,2,1,0,0
S187,test,5000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S188,test,7000,30000,30000,28684,1316,0,0.04387,0.95613,2,2,0,0
S189,test,0,30000,30000,28537,1463,0,0.04877,0.95123,1,1,0,0
S190,test,12720,30000,30000,26220,3780,0,0.126,0.874,2,1,0,0
S191,test,0,30000,30000,28287,1713,0,0.0571,0.9429,1,1,0,0
S192,test,4480,30000,30000,29433,667,-100,0.02223,0.9811,2,1,0,0
S193,test,0,30000,30000,27493,2507,0,0.08357,0.91643,1,1,0,0
S194,test,32000,4333,4333,2108,2066,159,0.47681,0.4865,1,2,0,0
S195,test,7600,30000,30000,24789,5211,0,0.1737,0.8263,1,1,0,0
S196,test,0,30000,30000,26023,3969,8,0.1323,0.86743,2,1,0,0
S197,test,9000,30000,30000,28459,1541,0,0.05137,0.94863,2,1,0,0
S198,test,0,30000,30000,30000,997,-997,0.03323,1.0,1,1,0,0
S199,test,0,30000,30000,26902,2632,466,0.08773,0.89673,2,1,0,0
S200,test,0,30000,30000,27665,2335,0,0.07783,0.92217,1,1,0,0
S201,test,4000,30000,30000,21613,8387,0,0.27957,0.72043,2,1,0,0
S202,test,43000,30000,30000,28901,1099,0,0.03663,0.96337,2,1,0,0
S203,test,0,30000,30000,26340,3660,0,0.122,0.878,1,1,0,0
S204,test,0,30000,30000,25533,4467,0,0.1489,0.8511,1,1,0,0
S205,test,33000,26319,26319,22509,3790,20,0.144,0.85524,3,4,0,0
S206,test,7960,30000,30000,29072,928,0,0.03093,0.96907,1,1,0,0
S207,test,2000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
