pid,win_dur_s,samples_est,q3o_feature_frames,q3o_audio_tokens,q3o_heard_s,q3o_cut,af3_feature_frames,af3_audio_tokens,af3_heard_s,af3_cut
379,708.9001,11342402,70890,9216,708.9,0,60000,15000,600.0,1
380,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
381,501.0001,8016002,50100,6513,501.0,0,50101,12525,501.0,0
382,364.7999,5836798,36479,4742,364.79,0,36480,9120,364.8,0
383,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
384,495.7001,7931202,49570,6444,495.7,0,49571,12393,495.7,0
385,80.3001,1284802,8030,1044,80.3,0,8031,2008,80.3,0
386,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
387,210.4001,3366402,21040,2735,210.4,0,21041,5260,210.4,0
388,170.3,2724800,17030,2214,170.3,0,17030,4257,170.3,0
389,209.9,3358400,20990,2729,209.9,0,20990,5247,209.9,0
390,569.8,9116800,56980,7407,569.8,0,56980,14245,569.8,0
391,246.8999,3950398,24689,3210,246.89,0,24690,6172,246.9,0
392,258.0,4128000,25800,3354,258.0,0,25800,6450,258.0,0
393,225.9,3614400,22590,2937,225.9,0,22590,5647,225.9,0
395,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
396,389.7,6235200,38970,5066,389.7,0,38970,9742,389.7,0
397,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
399,370.0999,5921598,37009,4812,370.09,0,37010,9252,370.1,0
400,478.9001,7662402,47890,6226,478.9,0,47891,11973,478.9,0
401,454.1,7265600,45410,5904,454.1,0,45410,11352,454.1,0
402,462.9999,7407998,46299,6019,462.99,0,46300,11575,463.0,0
403,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
404,899.9999,14399998,89999,11700,899.99,0,60000,15000,600.0,1
405,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
406,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
407,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
408,372.6,5961600,37260,4844,372.6,0,37260,9315,372.6,0
409,718.4,11494400,71840,9339,718.4,0,60000,15000,600.0,1
410,609.7,9755200,60970,7926,609.7,0,60000,15000,600.0,1
411,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
412,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
413,596.2,9539200,59620,7751,596.2,0,59620,14905,596.2,0
414,558.7999,8940798,55879,7264,558.79,0,55880,13970,558.8,0
415,396.4,6342400,39640,5153,396.4,0,39640,9910,396.4,0
416,493.3,7892800,49330,6413,493.3,0,49330,12332,493.3,0
417,451.4999,7223998,45149,5870,451.49,0,45150,11287,451.5,0
418,606.9,9710400,60690,7890,606.9,0,60000,15000,600.0,1
419,649.7,10395200,64970,8446,649.7,0,60000,15000,600.0,1
420,403.8999,6462398,40389,5251,403.89,0,40390,10097,403.9,0
421,410.8001,6572802,41080,5340,410.8,0,41081,10270,410.8,0
422,804.1,12865600,80410,10454,804.1,0,60000,15000,600.0,1
423,479.3,7668800,47930,6231,479.3,0,47930,11982,479.3,0
424,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
425,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
426,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
427,357.6,5721600,35760,4649,357.6,0,35760,8940,357.6,0
428,259.0,4144000,25900,3367,259.0,0,25900,6475,259.0,0
429,409.7001,6555202,40970,5326,409.7,0,40971,10243,409.7,0
430,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
431,350.8,5612800,35080,4560,350.8,0,35080,8770,350.8,0
432,415.5,6648000,41550,5402,415.5,0,41550,10387,415.5,0
433,340.5001,5448002,34050,4427,340.5,0,34051,8513,340.5,0
434,864.3999,13830398,86439,11237,864.39,0,60000,15000,600.0,1
435,500.4001,8006402,50040,6505,500.4,0,50041,12510,500.4,0
436,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
437,485.9001,7774402,48590,6317,485.9,0,48591,12148,485.9,0
438,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
439,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
440,724.6001,11593602,72460,9420,724.6,0,60000,15000,600.0,1
441,323.7001,5179202,32370,4208,323.7,0,32371,8093,323.7,0
442,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
443,193.4,3094400,19340,2514,193.4,0,19340,4835,193.4,0
444,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
445,360.6001,5769602,36060,4688,360.6,0,36061,9015,360.6,0
446,665.0,10640000,66500,8645,665.0,0,60000,15000,600.0,1
447,462.0,7392000,46200,6006,462.0,0,46200,11550,462.0,0
448,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
449,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
450,787.4,12598400,78740,10236,787.4,0,60000,15000,600.0,1
451,685.7,10971200,68570,8914,685.7,0,60000,15000,600.0,1
452,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
453,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
454,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
455,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
456,508.7,8139200,50870,6613,508.7,0,50870,12717,508.7,0
457,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
458,580.3,9284800,58030,7544,580.3,0,58030,14507,580.3,0
459,384.6,6153600,38460,5000,384.6,0,38460,9615,384.6,0
461,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
462,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
463,386.7999,6188798,38679,5028,386.79,0,38680,9670,386.8,0
464,658.6999,10539198,65869,8563,658.69,0,60000,15000,600.0,1
465,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
466,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
467,365.6999,5851198,36569,4754,365.69,0,36570,9142,365.7,0
468,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
469,639.3999,10230398,63939,8312,639.39,0,60000,15000,600.0,1
470,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
471,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
472,397.8,6364800,39780,5171,397.8,0,39780,9945,397.8,0
473,101.1,1617600,10110,1315,101.1,0,10110,2527,101.1,0
474,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
475,224.5999,3593598,22459,2920,224.59,0,22460,5615,224.6,0
476,785.6,12569600,78560,10213,785.6,0,60000,15000,600.0,1
477,829.6001,13273602,82960,10785,829.6,0,60000,15000,600.0,1
478,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
479,256.0001,4096002,25600,3328,256.0,0,25601,6400,256.0,0
480,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
481,656.3,10500800,65630,8532,656.3,0,60000,15000,600.0,1
482,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
483,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
484,573.5999,9177598,57359,7457,573.59,0,57360,14340,573.6,0
485,212.4001,3398402,21240,2761,212.4,0,21241,5310,212.4,0
486,298.2001,4771202,29820,3877,298.2,0,29821,7455,298.2,0
487,692.0001,11072002,69200,8996,692.0,0,60000,15000,600.0,1
488,455.5,7288000,45550,5922,455.5,0,45550,11387,455.5,0
489,842.8,13484800,84280,10956,842.8,0,60000,15000,600.0,1
490,193.5999,3097598,19359,2517,193.59,0,19360,4840,193.6,0
491,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
492,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
600,98.1999,1571198,9819,1277,98.19,0,9820,2455,98.2,0
601,139.5,2232000,13950,1814,139.5,0,13950,3487,139.5,0
602,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
603,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
604,117.9999,1887998,11799,1534,117.99,0,11800,2950,118.0,0
605,208.5,3336000,20850,2711,208.5,0,20850,5212,208.5,0
606,65.9001,1054402,6590,857,65.9,0,6591,1648,65.9,0
607,220.3001,3524802,22030,2864,220.3,0,22031,5508,220.3,0
608,653.4002,10454403,65340,8494,653.4,0,60000,15000,600.0,1
609,740.6999,11851198,74069,9629,740.69,0,60000,15000,600.0,1
612,286.5,4584000,28650,3725,286.5,0,28650,7162,286.5,0
615,573.3999,9174398,57339,7454,573.39,0,57340,14335,573.4,0
617,591.8,9468800,59180,7693,591.8,0,59180,14795,591.8,0
618,139.2001,2227202,13920,1810,139.2,0,13921,3480,139.2,0
619,556.5,8904000,55650,7235,556.5,0,55650,13912,556.5,0
620,393.2,6291200,39320,5112,393.2,0,39320,9830,393.2,0
622,320.4001,5126402,32040,4165,320.4,0,32041,8010,320.4,0
623,725.6998,11611197,72569,9434,725.69,0,60000,15000,600.0,1
624,165.4999,2647998,16549,2152,165.49,0,16550,4137,165.5,0
625,566.4,9062400,56640,7363,566.4,0,56640,14160,566.4,0
626,89.8,1436800,8980,1167,89.8,0,8980,2245,89.8,0
627,572.1999,9155198,57219,7439,572.19,0,57220,14305,572.2,0
628,562.1,8993600,56210,7308,562.1,0,56210,14052,562.1,0
629,737.4999,11799998,73749,9588,737.49,0,60000,15000,600.0,1
631,675.9,10814400,67590,8787,675.9,0,60000,15000,600.0,1
632,581.2,9299200,58120,7556,581.2,0,58120,14530,581.2,0
633,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
634,377.1,6033600,37710,4903,377.1,0,37710,9427,377.1,0
635,84.5,1352000,8450,1099,84.5,0,8450,2112,84.5,0
636,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
637,714.6001,11433602,71460,9290,714.6,0,60000,15000,600.0,1
638,88.6,1417600,8860,1152,88.6,0,8860,2215,88.6,0
640,407.0999,6513598,40709,5293,407.09,0,40710,10177,407.1,0
641,186.7,2987200,18670,2427,186.7,0,18670,4667,186.7,0
649,368.0,5888000,36800,4784,368.0,0,36800,9200,368.0,0
650,418.5,6696000,41850,5441,418.5,0,41850,10462,418.5,0
651,74.5,1192000,7450,969,74.5,0,7450,1862,74.5,0
652,355.4999,5687998,35549,4622,355.49,0,35550,8887,355.5,0
653,188.8,3020800,18880,2454,188.8,0,18880,4720,188.8,0
654,143.3999,2294398,14339,1864,143.39,0,14340,3585,143.4,0
655,266.3001,4260802,26630,3462,266.3,0,26631,6658,266.3,0
656,312.4,4998400,31240,4061,312.4,0,31240,7810,312.4,0
657,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
658,315.5001,5048002,31550,4102,315.5,0,31551,7888,315.5,0
659,692.3001,11076802,69230,9000,692.3,0,60000,15000,600.0,1
660,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
661,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
662,341.1,5457600,34110,4435,341.1,0,34110,8527,341.1,0
663,307.2001,4915202,30720,3994,307.2,0,30721,7680,307.2,0
664,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
666,628.0999,10049598,62809,8166,628.09,0,60000,15000,600.0,1
667,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
669,741.2,11859200,74120,9636,741.2,0,60000,15000,600.0,1
670,168.7,2699200,16870,2193,168.7,0,16870,4217,168.7,0
673,719.3001,11508802,71930,9351,719.3,0,60000,15000,600.0,1
676,701.0,11216000,70100,9113,701.0,0,60000,15000,600.0,1
677,371.5999,5945598,37159,4831,371.59,0,37160,9290,371.6,0
679,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
680,753.7999,12060798,75379,9799,753.79,0,60000,15000,600.0,1
682,143.2,2291200,14320,1862,143.2,0,14320,3580,143.2,0
683,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
684,322.2999,5156798,32229,4190,322.29,0,32230,8057,322.3,0
687,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
688,467.3001,7476802,46730,6075,467.3,0,46731,11683,467.3,0
689,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
691,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
692,146.4999,2343998,14649,1905,146.49,0,14650,3662,146.5,0
693,847.4,13558400,84740,11016,847.4,0,60000,15000,600.0,1
695,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
696,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
697,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
698,864.8,13836800,86480,11242,864.8,0,60000,15000,600.0,1
699,119.2999,1908798,11929,1551,119.29,0,11930,2982,119.3,0
702,238.5999,3817598,23859,3102,238.59,0,23860,5965,238.6,0
703,172.2,2755200,17220,2239,172.2,0,17220,4305,172.2,0
705,198.3,3172800,19830,2578,198.3,0,19830,4957,198.3,0
707,311.4001,4982402,31140,4048,311.4,0,31141,7785,311.4,0
708,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
709,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
710,322.5999,5161598,32259,4194,322.59,0,32260,8065,322.6,0
712,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
713,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
715,655.7001,10491202,65570,8524,655.7,0,60000,15000,600.0,1
716,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
717,543.1,8689600,54310,7061,543.1,0,54310,13577,543.1,0
718,776.5999,12425598,77659,10096,776.59,0,60000,15000,600.0,1
