id	claimed	recomputed	lo	hi	verified	file
11_encoder_stage4	0.6071	0.5943			no	o25_whole_encoder_perlayer.csv
11_encoder_stage5	0.597	0.5987			no	o25_whole_encoder_perlayer.csv
11_encoder_stage6	0.6047	0.601			no	o25_whole_encoder_perlayer.csv
11_encoder_stage7	0.5867	0.58			no	o25_whole_encoder_perlayer.csv
11_encoder_stage8	0.5824	0.5908			no	o25_whole_encoder_perlayer.csv
11_encoder_stage9	0.5932	0.5936			no	o25_whole_encoder_perlayer.csv
11_encoder_stage10	0.6151	0.6079			no	o25_whole_encoder_perlayer.csv
11_encoder_stage11	0.6093	0.5727			no	o25_whole_encoder_perlayer.csv
11_encoder_stage12	0.6013	0.5537			no	o25_whole_encoder_perlayer.csv
11_encoder_stage13	0.6087	0.585			no	o25_whole_encoder_perlayer.csv
11_encoder_stage14	0.6098	0.5692			no	o25_whole_encoder_perlayer.csv
11_encoder_stage15	0.624	0.5993			no	o25_whole_encoder_perlayer.csv
11_encoder_stage16	0.6468	0.6124			no	o25_whole_encoder_perlayer.csv
11_encoder_stage17	0.6604	0.627			no	o25_whole_encoder_perlayer.csv
11_encoder_stage18	0.6847	0.6236			no	o25_whole_encoder_perlayer.csv
11_encoder_stage19	0.6875	0.636			no	o25_whole_encoder_perlayer.csv
11_encoder_stage20	0.6752	0.6285			no	o25_whole_encoder_perlayer.csv
11_encoder_stage21	0.6674	0.6297			no	o25_whole_encoder_perlayer.csv
11_encoder_stage22	0.6613	0.6287			no	o25_whole_encoder_perlayer.csv
11_encoder_stage23	0.652	0.6375			no	o25_whole_encoder_perlayer.csv
11_encoder_stage24	0.6611	0.6435			no	o25_whole_encoder_perlayer.csv
11_encoder_stage25	0.6654	0.6595			no	o25_whole_encoder_perlayer.csv
11_encoder_stage26	0.6396	0.6441			no	o25_whole_encoder_perlayer.csv
11_encoder_stage27	0.6234	0.604			no	o25_whole_encoder_perlayer.csv
11_encoder_stage28	0.6291	0.6191			no	o25_whole_encoder_perlayer.csv
11_encoder_stage29	0.6177	0.5992			no	o25_whole_encoder_perlayer.csv
11_encoder_stage30	0.598	0.587			no	o25_whole_encoder_perlayer.csv
11_encoder_stage31	0.636	0.6215			no	o25_whole_encoder_perlayer.csv
11_llm_stage0	0.6094	0.5844			no	o25_whole_llm_perlayer.csv
11_llm_stage1	0.6318	0.5928			no	o25_whole_llm_perlayer.csv
11_llm_stage2	0.6441	0.6053			no	o25_whole_llm_perlayer.csv
11_llm_stage3	0.6641	0.6064			no	o25_whole_llm_perlayer.csv
11_llm_stage4	0.6647	0.6126			no	o25_whole_llm_perlayer.csv
11_llm_stage5	0.6663	0.6218			no	o25_whole_llm_perlayer.csv
11_llm_stage6	0.6341	0.5996			no	o25_whole_llm_perlayer.csv
11_llm_stage7	0.6492	0.6151			no	o25_whole_llm_perlayer.csv
11_llm_stage8	0.6878	0.6628			no	o25_whole_llm_perlayer.csv
11_llm_stage9	0.706	0.6659			no	o25_whole_llm_perlayer.csv
11_llm_stage10	0.7389	0.7122			no	o25_whole_llm_perlayer.csv
11_llm_stage11	0.7607	0.7355			no	o25_whole_llm_perlayer.csv
11_llm_stage12	0.7437	0.7233			no	o25_whole_llm_perlayer.csv
11_llm_stage13	0.7352	0.7116			no	o25_whole_llm_perlayer.csv
11_llm_stage14	0.7444	0.7251			no	o25_whole_llm_perlayer.csv
11_llm_stage15	0.7519	0.7347			no	o25_whole_llm_perlayer.csv
11_llm_stage16	0.7308	0.7289			no	o25_whole_llm_perlayer.csv
11_llm_stage17	0.7163	0.7293			no	o25_whole_llm_perlayer.csv
11_llm_stage18	0.7362	0.7445			no	o25_whole_llm_perlayer.csv
11_llm_stage19	0.7144	0.7331			no	o25_whole_llm_perlayer.csv
11_llm_stage20	0.7186	0.731			no	o25_whole_llm_perlayer.csv
11_llm_stage21	0.7086	0.7121			no	o25_whole_llm_perlayer.csv
11_llm_stage22	0.7093	0.7081			no	o25_whole_llm_perlayer.csv
11_llm_stage23	0.7324	0.7263			no	o25_whole_llm_perlayer.csv
11_llm_stage24	0.7289	0.7155			no	o25_whole_llm_perlayer.csv
11_llm_stage25	0.7292	0.7216			no	o25_whole_llm_perlayer.csv
11_llm_stage26	0.7474	0.7302			no	o25_whole_llm_perlayer.csv
11_llm_stage27	0.7596	0.7283			no	o25_whole_llm_perlayer.csv
11_llm_stage28	0.7753	0.7358			no	o25_whole_llm_perlayer.csv
