id	what	value_computed	value_verified	lo	hi	n	n_spk	file	agree_4dp
P22_S1_formula_match	E-DAIC full windows whose logged n_audio_tok equals the code formula on win_dur_s (of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula matches 275 of 275 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	275	275			275	275	edaic_rerun/part16/EDAICFULL/full_zeroshot_scores.csv ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_S1_gt300_at_7500	E-DAIC full windows longer than 300 s that received exactly 7500 audio tokens (of 217) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives 217 of 217 windows over 300 s at 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	217	217			217	217	edaic_rerun/part16/EDAICFULL/full_zeroshot_scores.csv ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_S1_capped900	E-DAIC full windows capped at 900 s (windows_full.csv capped==1, of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives capped 89 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	89	89			275	275	edaic_rerun/variants/windows_full.csv ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_auc_default_all275	E-DAIC zero-shot AUC, default processor (300 s cut), all275	0.8278	0.8278	0.7703	0.8822	275	275	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_lifted_all275	E-DAIC zero-shot AUC, truncation=False (whole window), all275	0.8379	0.8379	0.7805	0.8876	275	275	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_diff_all275	paired AUC lifted minus default, all275	0.0101	0.0101	-0.0309	0.0518	275	275	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_lifted_all275_ruleids	as P22_auc_lifted_all275, rule Yes/No id set	0.8379	0.8379	0.7805	0.8876	275	275	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_default_long217	E-DAIC zero-shot AUC, default processor (300 s cut), long217	0.8380	0.8380	0.7758	0.8930	217	217	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_lifted_long217	E-DAIC zero-shot AUC, truncation=False (whole window), long217	0.8571	0.8571	0.8028	0.9062	217	217	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_diff_long217	paired AUC lifted minus default, long217	0.0192	0.0192	-0.0309	0.0703	217	217	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_lifted_long217_ruleids	as P22_auc_lifted_long217, rule Yes/No id set	0.8571	0.8571	0.8028	0.9062	217	217	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_default_capped89	E-DAIC zero-shot AUC, default processor (300 s cut), capped89	0.8169	0.8169	0.6985	0.9161	89	89	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_lifted_capped89	E-DAIC zero-shot AUC, truncation=False (whole window), capped89	0.8552	0.8552	0.7513	0.9414	89	89	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_diff_capped89	paired AUC lifted minus default, capped89	0.0383	0.0383	-0.0424	0.1360	89	89	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_auc_lifted_capped89_ruleids	as P22_auc_lifted_capped89, rule Yes/No id set	0.8552	0.8552	0.7513	0.9414	89	89	scores/part22/edaic_lifted_auc.json ; scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, auc_mine_p_yes_rule.json	True
P22_gate_maxdiff	validation gate: max |p_yes pod - reference| over 10 windows, unmodified extract_full.py	0	0.00e+00			10	10	scores/part22/p22_validation_gate.json ; pod_final_sync/p22/gate/gate_zeroshot_scores.csv recomputed vs part16 per-clip	True
P22_short58_maxdiff	max |p_yes lifted - default| on the 58 windows <= 300 s	0.00e+00	0.00e+00			58	58	scores/part22/edaic_lifted_auc.json ; verify/out/all_lift_merged.csv vs all_default.csv	True
P22_lift_tok_max	max audio tokens with truncation=False (900 s window)	22500	22500			275	275	verify/out/all_lift_merged.csv	True
P22_default_tok_max	max audio tokens with the default processor	7500	7500			275	275	verify/out/all_default.csv	True
P22_s3_probe_tok_default	pid 305 900 s window audio tokens, default processor	7500	7500			1	1	verify/out/all_default.csv, tokens_mine.json	True
P22_s3_probe_model_ran	model forward ran on the 22,500-token input	True	True			1	1	verify/out/all_lift_merged.csv	True
P22_s3_probe_peak_gib	pid 305 peak GPU memory GiB, truncation=False	27.63	not measured by verifier			1	1	scores/part22/p22_step3_probe.json	n/a
P22_s2_305_verdict	pid 305 verdict	TRUNCATION PROVEN	TRUNCATION PROVEN			1	1	verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_679_verdict	pid 679 verdict	TRUNCATION PROVEN	TRUNCATION PROVEN			1	1	verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_466_verdict	pid 466 verdict	TRUNCATION PROVEN	TRUNCATION PROVEN			1	1	verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_705_verdict	pid 705 verdict	CONTROL: window shorter than 300 s, full and 300 s cut are the same input	control: 198.3 s window, full and 300 s cut byte-identical inputs, p_yes equal			1	1	verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
