id	what	value	lo	hi	n	n_spk	file	value_computed	value_verified	agree_4dp
P22_S1_formula_match	E-DAIC full windows whose logged n_audio_tok equals the code formula on win_dur_s (of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula matches 275 of 275 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	275			275	275	edaic_rerun/part16/EDAICFULL/full_zeroshot_scores.csv	275	275	True
P22_S1_gt300_at_7500	E-DAIC full windows longer than 300 s that received exactly 7500 audio tokens (of 217) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives 217 of 217 windows over 300 s at 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	217			217	217	edaic_rerun/part16/EDAICFULL/full_zeroshot_scores.csv	217	217	True
P22_S1_capped900	E-DAIC full windows capped at 900 s (windows_full.csv capped==1, of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives capped 89 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	89			275	275	edaic_rerun/variants/windows_full.csv	89	89	True
P22_s1_quotes	step 1 md: quoted code blocks equal to the source files line for line (29 transformers 5.17.0 + HF snapshot ae9e1690 on the pod, 2 scoring scripts on the Mac); negative control vs Mac transformers 5.5.4 gives 25 mismatches	31/31 OK, 0 mismatch			31		scores/part22/P22_step1_processor_config.md ; verify/out/step1_check_pod.json, step1_check_mac_negcontrol.json	31 blocks quoted	31/31 OK, 0 mismatch	True
P22_s1_tf_version	transformers version used by the paper pod and this pod	5.17.0			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	5.17.0	5.17.0	True
P22_s1_fe_class	Qwen2_5OmniProcessor feature extractor class	WhisperFeatureExtractor			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	WhisperFeatureExtractor	WhisperFeatureExtractor	True
P22_s1_chunk_length	feature extractor chunk_length (preprocessor_config.json:2)	300			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	300	300	True
P22_s1_sampling_rate	feature extractor sampling_rate	16000			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	16000	16000	True
P22_s1_max_length	effective max_length = n_samples = chunk_length x sampling_rate (feature_extraction_whisper.py:91, :303)	4800000			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	4800000	4800000	True
P22_s1_truncation_default	WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196)	True			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True	True	True
P22_s1_cut_line	line that cuts the waveform	feature_extraction_sequence_utils.py:333			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	feature_extraction_sequence_utils.py:333	feature_extraction_sequence_utils.py:333	True
P22_s3_probe_tok_lifted	pid 305 900 s window audio tokens, truncation=False	22500			1	1	scores/part22/p22_step3_probe.json	22500	22500	True
P22_s3_probe_pyes_lifted	pid 305 p_yes, truncation=False	0.173336			1	1	scores/part22/p22_step3_probe.json	0.173336	0.173336	True
P22_s3_tokens_all275	lifted audio tokens per clip, pod job vs my rerun (275/275 equal); 89 capped windows all 22500; 217 windows above 7500; max seq_len 22548	275/275 equal			275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	275 equal	275/275 equal	True
P22_s3_short58_unchanged	58 windows <= 300 s: p_yes truncation off minus default, max abs (inputs identical)	0.0			58	58	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.0	0.0	True
P22_s3_perclip_lift_pod_vs_mine	lifted p_yes per clip, pod job vs my independent rescore: max abs diff (0 pos-neg order flips)	5.61e-08			275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv		5.61e-08	True
P22_all275_trunc	E-DAIC zero-shot answer AUC, 300 s cut (paper call; reference per-clip file), all 275 E-DAIC windows	0.8278	0.7703	0.8822	275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.8278	0.8278	True
P22_all275_lift	E-DAIC zero-shot answer AUC, whole window (truncation off), all 275 E-DAIC windows	0.8379	0.7805	0.8876	275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.8379	0.8379	True
P22_all275_diff	paired AUC difference, whole window minus 300 s cut (one draw per replicate), all 275 E-DAIC windows	0.0101	-0.0309	0.0518	275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.0101	0.0101	True
P22_long217_trunc	E-DAIC zero-shot answer AUC, 300 s cut (paper call; reference per-clip file), 217 windows longer than 300 s	0.8380	0.7758	0.8930	217	217	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.8380	0.8380	True
P22_long217_lift	E-DAIC zero-shot answer AUC, whole window (truncation off), 217 windows longer than 300 s	0.8571	0.8028	0.9062	217	217	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.8571	0.8571	True
P22_long217_diff	paired AUC difference, whole window minus 300 s cut (one draw per replicate), 217 windows longer than 300 s	0.0192	-0.0309	0.0703	217	217	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.0192	0.0192	True
P22_capped89_trunc	E-DAIC zero-shot answer AUC, 300 s cut (paper call; reference per-clip file), 89 windows capped at 900 s	0.8169	0.6985	0.9161	89	89	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.8169	0.8169	True
P22_capped89_lift	E-DAIC zero-shot answer AUC, whole window (truncation off), 89 windows capped at 900 s	0.8552	0.7513	0.9414	89	89	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.8552	0.8552	True
P22_capped89_diff	paired AUC difference, whole window minus 300 s cut (one draw per replicate), 89 windows capped at 900 s	0.0383	-0.0424	0.1360	89	89	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	0.0383	0.0383	True
P22_gate_maxdiff	validation gate: max |p_yes pod - reference| over 10 windows, unmodified extract_full.py	0			10	10	scores/part22/p22_validation_gate.json	0	0.00e+00	True
P22_s2_305_verdict	pid 305 verdict	TRUNCATION PROVEN			1	1	scores/part22/p22_step2_truncation_proof.json	TRUNCATION PROVEN	TRUNCATION PROVEN	True
P22_s2_679_verdict	pid 679 verdict	TRUNCATION PROVEN			1	1	scores/part22/p22_step2_truncation_proof.json	TRUNCATION PROVEN	TRUNCATION PROVEN	True
P22_s2_466_verdict	pid 466 verdict	TRUNCATION PROVEN			1	1	scores/part22/p22_step2_truncation_proof.json	TRUNCATION PROVEN	TRUNCATION PROVEN	True
P22_s2_705_verdict	pid 705 verdict	CONTROL: window shorter than 300 s, full and 300 s cut are the same input			1	1	scores/part22/p22_step2_truncation_proof.json	CONTROL: window shorter than 300 s, full and 300 s cut are the same input	control: 198.3 s window, full and 300 s cut byte-identical inputs, p_yes equal	True
P22_s3_probe_tok_default	pid 305 900 s window audio tokens, default processor	7500			1	1	scores/part22/p22_step3_probe.json	7500	7500	True
P22_s3_probe_model_ran	model forward ran on the 22,500-token input	True			1	1	scores/part22/p22_step3_probe.json	True	True	True
P22_s3_probe_peak_gib	pid 305 peak GPU memory GiB, truncation=False	27.63			1	1	scores/part22/p22_step3_probe.json	27.63	not measured by verifier	n/a
P22_auc_default_all275	E-DAIC zero-shot AUC, default processor (300 s cut), all275	0.8278	0.7703	0.8822	275	275	scores/part22/edaic_lifted_auc.json	0.8278	0.8278	True
P22_auc_lifted_all275	E-DAIC zero-shot AUC, truncation=False (whole window), all275	0.8379	0.7805	0.8876	275	275	scores/part22/edaic_lifted_auc.json	0.8379	0.8379	True
P22_auc_diff_all275	paired AUC lifted minus default, all275	0.0101	-0.0309	0.0518	275	275	scores/part22/edaic_lifted_auc.json	0.0101	0.0101	True
P22_auc_lifted_all275_ruleids	as P22_auc_lifted_all275, rule Yes/No id set	0.8379	0.7805	0.8876	275	275	scores/part22/edaic_lifted_auc.json	0.8379	0.8379	True
P22_auc_default_long217	E-DAIC zero-shot AUC, default processor (300 s cut), long217	0.8380	0.7758	0.8930	217	217	scores/part22/edaic_lifted_auc.json	0.8380	0.8380	True
P22_auc_lifted_long217	E-DAIC zero-shot AUC, truncation=False (whole window), long217	0.8571	0.8028	0.9062	217	217	scores/part22/edaic_lifted_auc.json	0.8571	0.8571	True
P22_auc_diff_long217	paired AUC lifted minus default, long217	0.0192	-0.0309	0.0703	217	217	scores/part22/edaic_lifted_auc.json	0.0192	0.0192	True
P22_auc_lifted_long217_ruleids	as P22_auc_lifted_long217, rule Yes/No id set	0.8571	0.8028	0.9062	217	217	scores/part22/edaic_lifted_auc.json	0.8571	0.8571	True
P22_auc_default_capped89	E-DAIC zero-shot AUC, default processor (300 s cut), capped89	0.8169	0.6985	0.9161	89	89	scores/part22/edaic_lifted_auc.json	0.8169	0.8169	True
P22_auc_lifted_capped89	E-DAIC zero-shot AUC, truncation=False (whole window), capped89	0.8552	0.7513	0.9414	89	89	scores/part22/edaic_lifted_auc.json	0.8552	0.8552	True
P22_auc_diff_capped89	paired AUC lifted minus default, capped89	0.0383	-0.0424	0.1360	89	89	scores/part22/edaic_lifted_auc.json	0.0383	0.0383	True
P22_auc_lifted_capped89_ruleids	as P22_auc_lifted_capped89, rule Yes/No id set	0.8552	0.7513	0.9414	89	89	scores/part22/edaic_lifted_auc.json	0.8552	0.8552	True
P22_short58_maxdiff	max |p_yes lifted - default| on the 58 windows <= 300 s	0.00e+00			58	58	scores/part22/edaic_lifted_auc.json	0.00e+00	0.00e+00	True
P22_lift_tok_max	max audio tokens with truncation=False (900 s window)	22500			275	275	scores/part22/edaic_lifted_auc.json	22500	22500	True
P22_default_tok_max	max audio tokens with the default processor	7500			275	275	scores/part22/edaic_lifted_auc.json	7500	7500	True
