family,claim,claimed,tex_line,tex_value,value,lo,hi,p,holm_claimed,survives_claimed,m_claimed,holm_full,survives_full,m_full,excl0,B,skipped,n_le0,n_ge0,n_clips,n_spk,term_aucs,file
ARMS,"Pitt conflict minus agreement, Audio Flamingo 3",False,180,Table 2: 0.61 / 0.59; not claimed significant (family member only),0.034732202185489,-0.06983256157728177,0.14740974308362212,0.5057471264367817,,,0,1.0,False,12,False,2000,0,505,1495,468,228,"[0.616941694169417, 0.582209491983928]",<local data dir>/release/overnight2/part3/af3_pitt.csv
ARMS,"Pitt conflict minus agreement, Kimi-Audio",False,180,Table 2: 0.72 / 0.72; not claimed significant (family member only),-0.0029877459639985338,-0.11338938461733043,0.10652876469905792,0.9385307346326837,,,0,1.0,False,12,False,2000,0,1062,938,468,228,"[0.7196919691969198, 0.7226797151609183]",<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv
FINE TUNE,"projector fine-tune minus zero-shot, PC-GITA",True,226,Table 1 (l.120-130): 0.56 -> 0.89; l.226 'improves significantly on every dataset except MDVR-KCL ... and E-DAIC',0.32274049586776876,0.23914726944027045,0.4039658811939295,0.0009995002498750624,0.005997001499250375,True,6,0.0079960019990005,True,8,True,2000,0,0,2000,2200,100,"[0.8862181818181819, 0.5634776859504131]",<local data dir>/release/omni_final/omnisft_pcgita_oof.csv vs <local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv
FINE TUNE,"projector fine-tune minus zero-shot, NeuroVoz",True,226,Table 1 (l.120-130): 0.70 -> 0.90; l.226 'improves significantly on every dataset except MDVR-KCL ... and E-DAIC',0.20775428070932866,0.15881803305766773,0.2578415910187819,0.0009995002498750624,0.005997001499250375,True,6,0.0079960019990005,True,8,True,2000,0,0,2000,2540,107,"[0.9028357760855918, 0.6950814953762632]",<local data dir>/release/omni_final/omnisft_neurovoz_oof.csv vs <local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv
FINE TUNE,"projector fine-tune minus zero-shot, MDVR-KCL",False,226,Table 1: 0.71 -> 0.70; l.226 names it as the exception (not significant),-0.014880952380952439,-0.27088068181818187,0.2363840326340325,0.927536231884058,,,0,0.927536231884058,False,8,False,2000,0,1094,927,74,37,"[0.6994047619047619, 0.7142857142857143]",<local data dir>/release/omni_final/omnisft_kcl_oof.csv vs <local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv
FINE TUNE,"projector fine-tune minus zero-shot, Pitt",True,226,Table 1 (l.120-130): 0.66 -> 0.77; l.226 'improves significantly on every dataset except MDVR-KCL ... and E-DAIC',0.10951181712514524,0.04541749774549659,0.1728238051550943,0.0029985007496251873,0.008995502248875561,True,6,0.014992503748125937,True,8,True,2000,0,2,1998,936,228,"[0.7672801239829523, 0.6577683068578071]",<local data dir>/release/omni_final/omnisft_pitt_oof.csv vs <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
FINE TUNE,"projector fine-tune minus zero-shot, ADReSSo",True,226,Table 1 (l.120-130): 0.62 -> 0.82; l.226 'improves significantly on every dataset except MDVR-KCL ... and E-DAIC',0.2095509622238061,0.12938243308983835,0.28674672933358264,0.0009995002498750624,0.005997001499250375,True,6,0.0079960019990005,True,8,True,2000,0,0,2000,474,237,"[0.8245901639344261, 0.61503920171062]",<local data dir>/release/omni_final/omnisft_adresso_oof.csv vs <local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv
FINE TUNE,"projector fine-tune minus zero-shot, ADReSS-2020",True,226,Table 1 (l.120-130): 0.62 -> 0.77; l.226 'improves significantly on every dataset except MDVR-KCL ... and E-DAIC',0.14431295200525973,0.04895805776014106,0.2369567901234568,0.0029985007496251873,0.008995502248875561,True,6,0.014992503748125937,True,8,True,2000,0,2,1998,312,156,"[0.7684089414858646, 0.6240959894806049]",<local data dir>/release/omni_final/omnisft_adress2020_oof.csv vs <local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv
FINE TUNE,"projector fine-tune minus zero-shot, E-DAIC whole interview (seed 0)",False,226,"Table 1: 0.84 -> 0.86; l.226 '+0.02 [-0.01, 0.05]' (not significant)",0.022292301000435,-0.0063755012224089355,0.054672203811101744,0.12493753123438281,,,0,0.24987506246876562,False,8,False,2000,0,124,1876,550,275,"[0.8588879222850515, 0.8365956212846165]",scores/part24/FT/FT24_whole_seed0_perclip.csv vs scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv
FINE TUNE,"LoRA minus projector fine-tune, Pitt",True,226,"l.226 'reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run'",0.057719876017047866,0.015354824049278376,0.1044231893807194,0.0079960019990005,0.008995502248875561,True,6,0.0239880059970015,True,8,True,2000,0,7,1993,936,228,"[0.8250000000000002, 0.7672801239829523]",<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv vs <local data dir>/release/omni_final/omnisft_pitt_oof.csv
CONTROLS,"encoder probe after minus before channel normalisation, PC-GITA",True,149,"l.149 'encoder probe falls to 0.83 (-0.07 [-0.12, -0.02])'",-0.06607272727272717,-0.11807733101505062,-0.01800942069134837,0.012993503248375811,0.025987006496751622,True,2,0.051974012993503245,False,4,True,2000,0,1988,12,2200,100,"[0.829806611570248, 0.8958793388429752]",<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_after_enc_nested_oof.csv vs <local data dir>/release/edaic_rerun/part16/POD4/p16_pg_before_enc_nested_oof.csv
CONTROLS,"encoder probe after minus before channel normalisation, NeuroVoz",True,149,"l.149 'probe falls to 0.89 (-0.03 [-0.061, -0.001])'",-0.030817881591647334,-0.06081860111939197,-0.0012329532883264876,0.03698150924537731,0.03698150924537731,True,2,0.11094452773613193,False,4,True,2000,0,1964,36,2540,107,"[0.8924419830831032, 0.9232598646747505]",<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_after_enc_nested_oof.csv vs <local data dir>/release/edaic_rerun/part16/POD4/p16_nv_before_enc_nested_oof.csv
CONTROLS,"zero-shot answer after minus before channel normalisation, PC-GITA",False,149,"not claimed significant (family member only, sensitivity)",-0.005408264462809842,-0.04370077556610681,0.03573776916201958,0.7786106946526736,,,0,0.7786106946526736,False,4,False,2000,0,1222,778,2200,100,"[0.5674214876033058, 0.5728297520661156]",<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_after_zeroshot_scores.csv vs <local data dir>/release/edaic_rerun/part16/POD4/p16_pg_before_zeroshot_scores.csv
CONTROLS,"zero-shot answer after minus before channel normalisation, NeuroVoz",False,149,"not claimed significant (family member only, sensitivity)",-0.01166169183855259,-0.033169626993470265,0.009833792075740873,0.2658670664667666,,,0,0.5317341329335332,False,4,False,2000,0,1735,265,2540,107,"[0.6991010572440196, 0.7107627490825722]",<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_after_zeroshot_scores.csv vs <local data dir>/release/edaic_rerun/part16/POD4/p16_nv_before_zeroshot_scores.csv
