model	dataset	condition	source_kind	probe_stream	encoder_probe	probe_used	probe_master_row	probe_recomputed	per_repeat_recomputed_4dp	per_repeat_original_4dp	probe_status	zero_shot_answer	answer_master_row	answer_recomputed	answer_status	row_status	diff_probe_minus_answer	diff_from_perclip	ci_lo	ci_hi	interval_excludes_0	probe_above_answer	interval_kind	boot_usable	n	n_speakers	n_pos	speaker_ids	independent_check	probe_perclip_source	probe_origin	answer_perclip_source	perclip_file	sidecar_file	draws_file
Kimi-Audio	MDVR-KCL	PD	master_lookup rows 17..178	LM probe (substitute: Kimi-Audio has no encoder probe row)	none in master_lookup	0.7310	27	0.7310	[0.75, 0.6339, 0.756, 0.6815, 0.8333]	[0.75, 0.6339, 0.756, 0.6815, 0.8333]	verified	0.7113	29	0.7113	verified	verified	+0.0197	+0.0196	-0.1643	+0.2141	no	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	37	37	16	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-5/kimi_kcl_llm_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-5	<local data dir>/release/overnight2/kimi_new/kimi_kcl_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_kimi_kcl_llm_perclip.csv	scores/part25/C/r2/sidecars/C_r2_kimi_kcl_llm.sidecar.json	scores/part25/C/r2/draws/C_r2_kimi_kcl_llm_draws.npz
Kimi-Audio	E-DAIC	MDD	master_lookup rows 17..178	LM probe (substitute: Kimi-Audio has no encoder probe row)	none in master_lookup	0.4840	23	0.4840	[0.4632, 0.4954, 0.4891, 0.4987, 0.4735]	[0.4632, 0.4954, 0.4891, 0.4987, 0.4735]	verified	0.6293	25	0.6293	verified	verified	-0.1453	-0.1453	-0.2334	-0.0454	yes	no	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	275	275	66	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-8/kimi_edaic_llm_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-8	<local data dir>/release/overnight2/part3/kimi_edaic_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_kimi_edaic_llm_perclip.csv	scores/part25/C/r2/sidecars/C_r2_kimi_edaic_llm.sidecar.json	scores/part25/C/r2/draws/C_r2_kimi_edaic_llm_draws.npz
Kimi-Audio	Pitt	AD	master_lookup rows 17..178	LM probe (substitute: Kimi-Audio has no encoder probe row)	none in master_lookup	0.8374	36	0.8374	[0.8498, 0.8383, 0.8412, 0.8268, 0.831]	[0.8498, 0.8383, 0.8412, 0.8268, 0.831]	verified	0.7180	38	0.7180	verified	verified	+0.1194	+0.1194	+0.0587	+0.1788	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	468	228	290	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-8/kimi_pitt_llm_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-8	<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_kimi_pitt_llm_perclip.csv	scores/part25/C/r2/sidecars/C_r2_kimi_pitt_llm.sidecar.json	scores/part25/C/r2/draws/C_r2_kimi_pitt_llm_draws.npz
Kimi-Audio	ADReSSo	AD	master_lookup rows 17..178	LM probe (substitute: Kimi-Audio has no encoder probe row)	none in master_lookup	0.8993	20	0.8993	[0.8897, 0.9029, 0.8932, 0.9145, 0.8964]	[0.8897, 0.9029, 0.8932, 0.9145, 0.8964]	verified	0.7531	22	0.7531	verified	verified	+0.1462	+0.1462	+0.0821	+0.2096	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	237	237	122	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-6/kimi_adresso_llm_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-6	<local data dir>/release/overnight2/kimi_new/kimi_adresso_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_kimi_adresso_llm_perclip.csv	scores/part25/C/r2/sidecars/C_r2_kimi_adresso_llm.sidecar.json	scores/part25/C/r2/draws/C_r2_kimi_adresso_llm_draws.npz
Kimi-Audio	ADReSS-2020	AD	master_lookup rows 17..178	LM probe (substitute: Kimi-Audio has no encoder probe row)	none in master_lookup	0.9200	17	0.9200	[0.9181, 0.9135, 0.9221, 0.9247, 0.9214]	[0.9181, 0.9135, 0.9221, 0.9247, 0.9214]	verified	0.7053	19	0.7053	verified	verified	+0.2147	+0.2147	+0.1331	+0.3032	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	156	156	78	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-5/kimi_adress2020_llm_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-5	<local data dir>/release/overnight2/kimi_new/kimi_adress2020_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_kimi_adress2020_llm_perclip.csv	scores/part25/C/r2/sidecars/C_r2_kimi_adress2020_llm.sidecar.json	scores/part25/C/r2/draws/C_r2_kimi_adress2020_llm_draws.npz
Kimi-Audio	PC-GITA	PD	PART 26 supplement, NOT master_lookup	encoder probe (PART 26 new Whisper-encoder extraction; Method currently says the Kimi encoder side is skipped)	0.8768	0.8768		0.8768	[0.9028, 0.8478, 0.8616, 0.8797, 0.8918]	[[0.9028495867768594, 0.8477884297520659, 0.8616264462809918, 0.8797388429752067, 0.8918396694214875]]	recomputed; equals PART 26 at 4 dp	0.6147	35	0.6147	verified	not a master row (new PART 26 value, recomputed)	+0.2621	+0.2621	+0.1810	+0.3364	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1100	100	550	probe file speaker column	PART 26 interval(s) [['.gap_ci', [0.1810317734202187, 0.3364143153221301]]]; agrees at 4 dp: True	<local data dir>/release_from_mac/scores/part26/Kimi-Audio_PC-GITA/Kimi-Audio_PC-GITA_perclip.csv	PART 26	<local data dir>/release/overnight2/part3/kimi_pcgita_zeroshot_scores.csv	scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_pcgita_enc_part26_perclip.csv	scores/part25/C/r2/kimi_enc/sidecars/C_r2_kimi_pcgita_enc_part26.sidecar.json	scores/part25/C/r2/kimi_enc/draws/C_r2_kimi_pcgita_enc_part26_draws.npz
Kimi-Audio	NeuroVoz	PD	PART 26 supplement, NOT master_lookup	encoder probe (PART 26 new Whisper-encoder extraction; Method currently says the Kimi encoder side is skipped)	0.9319	0.9319		0.9319	[0.9313, 0.9325, 0.9247, 0.931, 0.9403]	[[0.9312679732723949, 0.9324986539430165, 0.9246952452553042, 0.9309764309764309, 0.9402611226487423]]	recomputed; equals PART 26 at 4 dp	0.6204	32	0.6204	verified	not a master row (new PART 26 value, recomputed)	+0.3115	+0.3115	+0.2515	+0.3674	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1270	107	621	probe file speaker column	PART 26 interval(s) [['.gap_ci', [0.25147782533966806, 0.3673550380967104]]]; agrees at 4 dp: True	<local data dir>/release_from_mac/scores/part26/Kimi-Audio_NeuroVoz/per_clip/p26_kimi_neurovoz_perclip.csv	PART 26	<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_zeroshot_scores.csv	scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_neurovoz_enc_part26_perclip.csv	scores/part25/C/r2/kimi_enc/sidecars/C_r2_kimi_neurovoz_enc_part26.sidecar.json	scores/part25/C/r2/kimi_enc/draws/C_r2_kimi_neurovoz_enc_part26_draws.npz
Kimi-Audio	MDVR-KCL	PD	PART 26 supplement, NOT master_lookup	encoder probe (PART 26 new Whisper-encoder extraction; Method currently says the Kimi encoder side is skipped)	0.7631	0.7631		0.7631	[0.6935, 0.7946, 0.8512, 0.7173, 0.7589]	[[0.693452380952381, 0.7946428571428572, 0.8511904761904762, 0.7172619047619048, 0.7589285714285715]]	recomputed; equals PART 26 at 4 dp	0.7113	29	0.7113	verified	not a master row (new PART 26 value, recomputed)	+0.0518	+0.0518	-0.1637	+0.2901	no	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	37	37	16	probe file speaker column	PART 26 interval(s) [['.gap.ci_2p5_97p5', [-0.1636750841750841, 0.29006663292847495]]]; agrees at 4 dp: True	<local data dir>/release_from_mac/scores/part26/Kimi-Audio_MDVR-KCL/per_clip/p26_kimi_kcl_perclip.csv	PART 26	<local data dir>/release/overnight2/kimi_new/kimi_kcl_zeroshot_scores.csv	scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_kcl_enc_part26_perclip.csv	scores/part25/C/r2/kimi_enc/sidecars/C_r2_kimi_kcl_enc_part26.sidecar.json	scores/part25/C/r2/kimi_enc/draws/C_r2_kimi_kcl_enc_part26_draws.npz
Kimi-Audio	E-DAIC	MDD	PART 26 supplement, NOT master_lookup	encoder probe (PART 26 new Whisper-encoder extraction; Method currently says the Kimi encoder side is skipped)	0.5823	0.5823		0.5823	[0.5636, 0.6129, 0.6059, 0.5995, 0.5296]	[[0.5635783674061186, 0.6129476584022039, 0.6059156154849935, 0.5995360301580398, 0.5295780774249674]]	recomputed; equals PART 26 at 4 dp	0.6293	25	0.6293	verified	not a master row (new PART 26 value, recomputed)	-0.0470	-0.0469	-0.1393	+0.0533	no	no	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	275	275	66	probe file speaker column	PART 26 interval(s) [['.gap_ci95', [-0.1392675421033583, 0.05327596273804302]]]; agrees at 4 dp: True	<local data dir>/release_from_mac/scores/part26/Kimi-Audio_E-DAIC/p26_kimi_edaic_enc_perclip.csv	PART 26	<local data dir>/release/overnight2/part3/kimi_edaic_zeroshot_scores.csv	scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_edaic_enc_part26_perclip.csv	scores/part25/C/r2/kimi_enc/sidecars/C_r2_kimi_edaic_enc_part26.sidecar.json	scores/part25/C/r2/kimi_enc/draws/C_r2_kimi_edaic_enc_part26_draws.npz
Kimi-Audio	Pitt	AD	PART 26 supplement, NOT master_lookup	encoder probe (PART 26 new Whisper-encoder extraction; Method currently says the Kimi encoder side is skipped)	0.8112	0.8112		0.8112	[0.8264, 0.8027, 0.8059, 0.8196, 0.8015]	[[0.8264238667183262, 0.8026927547462224, 0.805850445563735, 0.8195660596667957, 0.801530414567997]]	recomputed; equals PART 26 at 4 dp	0.7180	38	0.7180	verified	not a master row (new PART 26 value, recomputed)	+0.0932	+0.0932	+0.0331	+0.1547	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	468	228	290	probe file speaker column	PART 26 interval(s) [['.gap.ci95', [0.03305832448174661, 0.154687551262835]], ['.gap.ci95_4dp', [0.0331, 0.1547]]]; agrees at 4 dp: True	<local data dir>/release_from_mac/scores/part26/Kimi-Audio_Pitt/Kimi-Audio_Pitt_perclip.csv	PART 26	<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv	scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_pitt_enc_part26_perclip.csv	scores/part25/C/r2/kimi_enc/sidecars/C_r2_kimi_pitt_enc_part26.sidecar.json	scores/part25/C/r2/kimi_enc/draws/C_r2_kimi_pitt_enc_part26_draws.npz
Kimi-Audio	ADReSSo	AD	PART 26 supplement, NOT master_lookup	encoder probe (PART 26 new Whisper-encoder extraction; Method currently says the Kimi encoder side is skipped)	0.8682	0.8682		0.8682	[0.849, 0.8806, 0.8926, 0.8775, 0.8415]	[[0.8489665003563792, 0.8806129722024234, 0.8925873129009266, 0.8775481111903065, 0.8415181753385602]]	recomputed; equals PART 26 at 4 dp	0.7531	22	0.7531	verified	not a master row (new PART 26 value, recomputed)	+0.1151	+0.1151	+0.0481	+0.1831	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	237	237	122	probe file speaker column	PART 26 interval(s) [['.gap.ci_2p5_97p5', [0.04813201894045922, 0.1830847953216375]]]; agrees at 4 dp: True	<local data dir>/release_from_mac/scores/part26/Kimi-Audio_ADReSSo/per_clip/Kimi-Audio_ADReSSo_perclip.csv	PART 26	<local data dir>/release/overnight2/kimi_new/kimi_adresso_zeroshot_scores.csv	scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_adresso_enc_part26_perclip.csv	scores/part25/C/r2/kimi_enc/sidecars/C_r2_kimi_adresso_enc_part26.sidecar.json	scores/part25/C/r2/kimi_enc/draws/C_r2_kimi_adresso_enc_part26_draws.npz
Kimi-Audio	ADReSS-2020	AD	PART 26 supplement, NOT master_lookup	encoder probe (PART 26 new Whisper-encoder extraction)	NOT LANDED						NOT LANDED at 2026-09-24T03:04:12Z: per-clip files 0, sidecars 0 in <local data dir>/release_from_mac/scores/part26/Kimi-Audio_ADReSS-2020																								
