line_start,line_end,unit,status,ratio,new_numbers,text,best_base_text
33,34,sentence,edited,0.621,,"Speech is an established marker of clinical conditions that affect speech production, and Audio LLMs can now answer clinical questions about a recording in natural language.",Audio language models (audio LLMs) can now answer clinical questions about a recording in natural language.
34,34,sentence,added,0.591,,"Their output depends on both paralinguistic and linguistic cues, and it is unclear how much of it is grounded in the voice rather than the words.","However, audio LLMs can leverage both auditory and linguistic information from speech and it is not clear how much of their output is grounded in paralinguistic speech, rather than language."
34,34,sentence,edited,0.756,,We compare the information present in an Audio LLM's audio representations against the answers it generates.,"In this paper, we compare the information present in audio representations against the response generated by the LLM."
34,34,sentence,edited,0.750,,"We train linear probes on its frozen hidden states and query it under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.","We train linear probes on the frozen hidden states of an audio LLM and query the same model on the same clips with the same question, across three conditions that differ in how much the spoken words carry the diagnosis: Parkinson's read speech, depression interviews and Alzheimer's picture descriptions."
34,34,sentence,added,0.403,0.75 0.92,"Probes detect the disorders from the representations with AUC from 0.75 to 0.92, while the zero-shot answer sits well below on Parkinson's and Alzheimer's, a representation utility gap.",The signal is present at every depth and still at the answer state; the emitted answer does not use it. \labelfig:gap \endfigure
34,34,sentence,edited,0.697,,"Where the words contradict the diagnosis, four of six models fall below chance.","Where the words contradict the correct diagnosis, six of nine audio LLMs fall to 0.36 AUC or below."
34,34,sentence,added,0.462,,Retraining only the projector narrows the gap on Parkinson's and Alzheimer's.,The language model integrates the signal; the projection onto the answer tokens discards it.
36,39,sentence,edited,0.953,,"\beginkeywords audio language models, clinical speech, Alzheimer's disease, Parkinson's disease, depression \endkeywords","\beginkeywords audio language models, clinical speech, probing, Alzheimer's disease, Parkinson's disease, depression \endkeywords"
44,48,sentence,added,0.492,,"\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption Linear probe AUC at each stage of Qwen2.5-Omni, speaker-disjoint folds, one dataset per condition.","\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption(a) The three places a linear probe reads Qwen2-Audio: each audio encoder layer, each language model stage at the audio token positions, and the hidden state at the answer position."
48,50,sentence,added,0.488,29 32,"The 32 audio encoder stages come first, then the projector, then the 29 language model stages read at the audio-token positions. \labelfig:gap \endfigure","The signal also survives past the audio encoder: probing the language model's stages at the audio-token positions on Alzheimer's rises to 0.86, and the answer state itself achieves 0.80 (Fig. \reffig:gapb)."
52,52,sentence,edited,0.896,,"Hence, it is not evident if their decisions are grounded in paralinguistic rather than linguistic evidence, when spoken words and paralinguistic speech can both point towards the presence of a clinical condition.","Hence, it is not evident if their decisions are grounded in auditory evidence, when spoken words and paralinguistic speech can both point towards the presence of a clinical condition."
54,54,sentence,edited,0.945,,"These benchmarks were used to measure how well a representation encodes a condition, not whether the model's answer uses it.","These benchmarks measure how well a representation encodes a condition, not whether the model's answer uses it."
54,54,sentence,edited,0.884,,"Chen et al. , and Pang et al. show that Audio LLMs follow the words in paralinguistic tasks, and the latter attribute this to signal degradation in the deep encoder layers.","Chen et al. and VoxParadox show audio LLMs following the words on paralinguistic tasks, the latter attributing this to signal degrading in the deep encoder layers."
54,54,sentence,added,0.513,,We extend their study to clinical diagnosis and evaluate conflicting linguistic and paralinguistic signals that arise naturally in speech.,"We extend this to clinical diagnosis with conflicts that arise naturally in patient speech, where the signal persists to the answer state and the readout is what discards it."
55,56,sentence,edited,0.797,,"In this paper, we study how Audio LLMs leverage information in audio representations to arrive at an answer about a clinical diagnosis.","In this paper, we study how audio LLMs leverage the information present in audio representations to reach an answer."
56,56,sentence,edited,0.915,,"Linear probes are trained on the frozen hidden states of an Audio LLM, which is then queried on the same recordings with the same question.",Linear probes are trained on the frozen hidden states of an audio LLM as the same model is queried on the same recordings with the same question.
59,60,sentence,edited,0.887,,"\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, and test six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized.","\item We compare what an audio LLM encodes against what it answers on seven clinical datasets, and test nine audio LLMs on the conflict sets: the paralinguistic signal is present and unused."
60,61,sentence,edited,0.693,,\item We localize the utility gap to the final readout of the LLM from representations and show that retraining only the projector recovers most of the performance.,"\item We localize the utility gap to the final readout of the LLM and evaluate nine interventions, of which only those that retrain a small component recover most of the gap."
67,67,sentence,edited,0.968,,"To this end, we first read the diagnostic information from the frozen model's hidden states with a linear probe, trained and evaluated on speaker-disjoint folds probing every layer of the encoder and the language model.","To this end, we first read the diagnostic information from the model's frozen hidden states with a linear probe, trained and evaluated on speaker-disjoint folds probing every layer of the encoder and the language model."
67,67,sentence,edited,0.696,,For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds and the AUC is calculated as follows.,"For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds, \beginequation \bar\mathbfh_\ell = \tfrac1T\textstyle\sum_t=1^T\mathbfh_\ell,t, \qquad AUC^probe_\ell = AUC\big(\sigma(\mathbfw_\ell^\top\bar\mathbfh_\ell + b_\ell), y\big), \labeleq:probe \endequation where y is the clinical label."
67,71,sentence,added,0.442,,"\beginequation AUC^probe_\ell = AUC\big(\sigma(\mathbfw_\ell^\top\bar\mathbfh_\ell + b_\ell), y\big) \labeleq:probe \endequation where y is the label and \bar\mathbfh_\ell is the mean-pooled activation.","For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds, \beginequation \bar\mathbfh_\ell = \tfrac1T\textstyle\sum_t=1^T\mathbfh_\ell,t, \qquad AUC^probe_\ell = AUC\big(\sigma(\mathbfw_\ell^\top\bar\mathbfh_\ell + b_\ell), y\big), \labeleq:probe \endequation where y is the clinical label."
71,75,sentence,added,0.592,,"We then ask the model the same prompt (clinical question) and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation AUC^answer = AUC(p(Y), y), \:\: p(Y) = \sigma\big(z(Y) - z(N)\big) \labeleq:answer \endequation z(Y) and z(N) are the logits of the first token of Yes and No at the first answer position, so p(Y) is the probability of Yes conditioned on the answer being one of the two.","We then ask the model the same clinical question and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation p_yes = \fracP(Yes)P(Yes) + P(No), \qquad AUC^answer = AUC(p_yes, y)."
75,75,sentence,added,0.451,,We also train a probe on the hidden state at this position.,Linear probes are trained on the frozen hidden states of an audio LLM as the same model is queried on the same recordings with the same question.
75,75,sentence,added,0.442,,The model reads its Yes or No answer from that vector.,All nine models answer the conflict test.
76,77,sentence,edited,0.821,,The utility gap is defined as \Delta_\ell = AUC^probe_\ell - AUC^answer,\labeleq:answer \endequation The utility gap is \Delta_\ell = AUC^probe_\ell - AUC^answer.
78,79,sentence,edited,0.941,,"In both cases we use frozen models, identical clips and an identical prompt, so any difference between the results is a property of the model rather than of the data or the prompt.","In both cases we use frozen models, identical clips and an identical question, so any difference between them is a property of the model rather than of the data or the prompt."
80,81,sentence,edited,0.775,,"We repeat the comparison across six Audio LLMs that share this encoder, projector and LLM design, to establish whether the utility gap is common across architectures.","We repeat the comparison across a set of audio LLMs that share a similar architecture, comprising an audio encoder, a projector and an LLM, in order to establish whether the utility gap is specific to one model or common across architectures."
81,81,sentence,edited,0.838,,"The models are Qwen2-Audio , Qwen2.5-Omni , Qwen3-Omni , Audio Flamingo 2 and 3 and Kimi-Audio .","The models are Qwen2-Audio , Qwen2.5-Omni , Qwen3-Omni , Audio Flamingo 2 and 3 , Kimi-Audio , SALMONN , MiMo-Audio and DiVA ."
83,83,sentence,added,0.548,,Each conflict segment is paired with an agreement segment from the same speaker.,"\begintable[t] \captionAnswers on the conflict and agreement segments, AUC against the label."
83,83,sentence,edited,0.746,,"Given that the speech signals are real, the contradictions occur naturally.",The voices are real and the contradiction occurs naturally.
83,83,sentence,edited,0.799,,"We also run a transcript only baseline where the model gets the words alone, with the same prompt and no audio, and establish how much of the decision can be attributed to language alone.","We also perform a language only control where the transcript gives the model the words alone, with the same question and no audio, and establish how much of the decision can be attributed to language alone."
83,83,sentence,edited,0.659,,"Finally, we ask whether the gap closes when the projector alone is retrained (see Section \refsec:results).","Finally, we ask whether the gap closes under interventions that leave the weights frozen and under retraining the projector alone (Section \refsec:results)."
84,86,sentence,edited,0.952,,"\sectionImplementation Details\labelsec:impl Datasets. Seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), are selected so that the diagnostic content of the spoken words differs between them.","\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the diagnostic content of the spoken words differs between them."
87,88,sentence,edited,0.949,,"From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry almost no diagnostic signals and any signal must come from the voice.","From the Parkinson's disease datasets, we only used the read speech (read-aloud) protocol where every speaker reads the same passage, so the words carry almost nothing and any signal must come from the voice."
90,90,sentence,edited,0.920,,"We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the label is the dataset's PHQ-8 self-report binary rather than a clinical diagnosis."
90,90,sentence,added,0.435,15 89,"The model hears the participant's whole interview, capped at 15 minutes for the 89 longest.","Top: nine models on the depression conflict set, 195 matched pairs from E-DAIC."
92,92,sentence,edited,0.786,,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","We use the DementiaBank Pitt cookie-theft descriptions , with 468 thirty-second segments from 228 speakers, the ADReSSo recordings from 237 speakers, and the ADReSS-2020 benchmark split including 108 training and 48 test recordings."
92,92,sentence,added,0.460,2020,"Each Pitt segment starts at the participant's first timed utterance, and the ADReSSo and ADReSS-2020 windows start at the beginning of the recording, so interviewer prompts inside the window are kept.",In each case we used a 30 s window starting at the patient's first words rather than at the interviewer's prompt.
92,92,sentence,added,0.412,30,"Models hear the first 30 s, the length Qwen2-Audio accepts, so the conflict test in Table \reftab:conflict runs on the same clips for all six models.","We find that the paralinguistic signal is present in the audio representations but is not reflected in the answer, which instead follows the spoken words."
92,92,sentence,added,0.416,,"The three sets share speakers, so every result is within one set on speaker-disjoint folds and we make no transfer claim among them.","Folds are speaker-disjoint (GroupKFold, 5 folds) and the layer is chosen inside the training folds."
95,96,sentence,edited,0.964,,"Probing. The probe of Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.","Probing. The probe of Eq. \refeq:probe is scikit-learn logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold."
96,97,sentence,edited,0.822,29 32,"The layer-wise probing is done on Qwen2.5-Omni , which we probe end-to-end: 32 hidden states in its audio encoder, the projector, and 29 hidden states in its language model taken at the audio-token positions.","The layer-wise probing and the interventions are done on Qwen2-Audio , which we probe end to end: 33 hidden-state stages in its audio encoder and 33 stages in its language model taken at the audio-token positions."
97,97,sentence,added,0.371,,"We chose this model due to its simpler architecture allowing for consistent probing, since Qwen3-Omni uses Mixture-of-Experts.","Such a comparison on its own cannot evaluate whether a model relies on paralinguistic or linguistic speech, since the spoken words and the diagnosis usually point in the same direction in clinical recordings."
98,99,sentence,added,0.561,,"Fine-tuning. The projector is trained with an AdamW optimizer with a learning rate 10^-4, for three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same 5 speaker-disjoint folds.","We retrain only the projector, the connector between the audio encoder and the language model, on the diagnosis answer, with the encoder and the language model frozen and the encoder's final output as its input: AdamW, learning rate 10^-4, 3 epochs, one clip per update, cross entropy over the Yes and No logits only, 5 speaker-disjoint folds."
101,101,sentence,edited,0.870,,"Answer with one word, Yes or No''; on the Parkinson's and depression datasets, the phrase ``this recording'' is replaced with ``how this person's voice sounds''.","Answer with one word, Yes or No''; on the Parkinson's sets and the depression answers, ``this recording'' reads ``how this person's voice sounds''."
101,101,sentence,added,0.452,,"For the transcript only baseline, ``this recording'' is replaced with ``this transcript of what the person said''.","Answer with one word, Yes or No''; on the Parkinson's sets and the depression answers, ``this recording'' reads ``how this person's voice sounds''."
101,101,sentence,added,0.438,0.02,Two other wordings move the answers by 0.02 on average.,All nine models answer the conflict test.
103,104,sentence,added,0.501,25 5,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .","From the raw E-DAIC transcripts we take 26,083 turns, 23,351 of them from participants once the interviewer is removed, and score each participant turn with a valence lexicon, checked against a TF-IDF logistic classifier trained out of fold."
104,104,sentence,added,0.360,0.70,A segment counts as positive or negative when that class has a probability of at least 0.70.,"In both cases we use frozen models, identical clips and an identical question, so any difference between them is a property of the model rather than of the data or the prompt."
104,104,sentence,added,0.397,15 4 8,"A participant with PHQ-8 of 15 or more speaking positively, or a healthy control with PHQ-8 of 4 or less speaking negatively, is a conflict segment.","This yields 138 moments where a depressed participant speaks positively and 57 where a healthy control speaks negatively, paired with matched agreement segments from the same speakers: 195 pairs over 74 speakers, with independent label and lexical directions (\phi = 0.000)."
104,104,sentence,added,0.536,208 280 483,"This yields 208 of the first kind and 280 of the second, each paired with an agreement segment from the same speaker: 483 pairs over 138 speakers, so that across the whole set the sentiment of the words does not predict the label.","This yields 138 moments where a depressed participant speaks positively and 57 where a healthy control speaks negatively, paired with matched agreement segments from the same speakers: 195 pairs over 74 speakers, with independent label and lexical directions (\phi = 0.000)."
104,104,sentence,edited,0.612,,"For Alzheimer's disease, we score the words of each segment in Pitt database with a logistic regression trained on six fluency markers from the CHAT transcription codes : type token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it alone reaches 0.92 and would make the split trivial.","For Alzheimer's disease, we score the words of each segment in Pitt database with a content-marker fluency model, after removing speaking rate, which alone reaches 0.92 and would make the split trivial; 146 segments land in conflict and 322 in agreement."
104,104,sentence,added,0.414,,"The markers are standardized and the regression is trained on five speaker-disjoint folds, so each segment is scored out of fold.","To this end, we first read the diagnostic information from the model's frozen hidden states with a linear probe, trained and evaluated on speaker-disjoint folds probing every layer of the encoder and the language model."
104,104,sentence,added,0.388,,Segments whose out-of-fold score falls in the top or bottom third are kept.,The voices are real and the contradiction occurs naturally.
104,104,sentence,added,0.393,,"A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment.","For depression these are segments where a depressed participant speaks positively or a control speaks negatively; for Alzheimer's, fluent segments from patients and disfluent ones from controls, each paired with a matched agreement segment from the same speaker."
104,104,sentence,added,0.476,,This leaves 146 segments in conflict and 322 in agreement.,"Bottom: the two models run on the Alzheimer's conflict set from Pitt, 146 conflict and 322 agreement segments."
104,104,sentence,added,0.440,30 91,"The median segment fits inside the 30 s window, and 91 percent of segments have at least half their words inside it.","\begintable[t] \captionAnswers on the conflict and agreement segments, AUC against the label."
105,106,sentence,added,0.501,2020,"Transcripts. For the Pitt database, ADReSS-2020 and E-DAIC , we use the transcripts provided with the dataset after stripping the annotation codes; ADReSSo and the three Parkinson's sets have no transcripts, so we transcribe them with whisper-large-v3 .","Transcripts. Pitt transcripts are the official ones with annotation codes stripped; ADReSSo ships none, so we use whisper-large-v3 ; E-DAIC ships its own."
107,108,sentence,added,0.388,,Checks. As an acoustic baseline we train a separate logistic regression classifier on eGeMAPS features .,The language model integrates the signal; the projection onto the answer tokens discards it.
108,108,sentence,added,0.385,129 275,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.","We use the DementiaBank Pitt cookie-theft descriptions , with 468 thirty-second segments from 228 speakers, the ADReSSo recordings from 237 speakers, and the ADReSS-2020 benchmark split including 108 training and 48 test recordings."
115,119,sentence,added,0.469,,\begintable[t] \setlength\tabcolsep5pt \caption AUC of Qwen2.5-Omni per dataset.,[tab:conflict] Qwen2.5-Omni & 0.31 & 0.85
119,119,sentence,added,0.446,,Zero-shot audio and text take the recording and its transcript.,No new recordings were made and no audio is redistributed.
119,120,sentence,added,0.466,,Fine-tuned is the same model after retraining only its projector on speaker-disjoint folds. \labeltab:main,The language model integrates the signal; the projection onto the answer tokens discards it.
141,143,sentence,added,0.434,,\subsectionAudio LLM performance We prompted Audio LLMs with a text prompt (clinical question) and a speech excerpt (clip) to perform zero-shot diagnosis.,Audio language models (audio LLMs) can now answer clinical questions about a recording in natural language.
143,143,sentence,added,0.464,0.56 0.71,"Zero-shot, Qwen2.5-Omni stays between 0.56 and 0.71 on the Parkinson's and Alzheimer's sets, and only E-DAIC is higher (Table \reftab:main).","The encoder probe reaches 0.89 to 0.96 on the Parkinson's sets and 0.78 on Pitt, far above the model's own answers on the same clips (Table \reftab:main)."
144,145,sentence,edited,0.742,,Table \reftab:main also reports the answer from the transcript alone.,Table \reftab:main also reports the answer when the model receives the transcript with no audio.
145,145,sentence,added,0.448,2020,"For AD the transcript alone matches the audio on the Pitt dataset, beats it on ADReSS-2020 and trails it on ADReSSo (Table \reftab:main).","The encoder probe reaches 0.89 to 0.96 on the Parkinson's sets and 0.78 on Pitt, far above the model's own answers on the same clips (Table \reftab:main)."
145,145,sentence,added,0.524,,"On the Parkinson's sets the transcript sits near chance, since every speaker reads the same sentences.",Dashes: transcript control not run; on read speech every speaker's transcript is the same passage. \labeltab:main \setlength\tabcolsep3pt
145,145,sentence,added,0.560,,On E-DAIC the audio answer on the whole interview matches the transcript alone.,Table \reftab:main also reports the answer when the model receives the transcript with no audio.
145,145,sentence,added,0.403,0.63 0.86 0.87 30,"Qwen3-Omni and Audio Flamingo 3 reach 0.87 and 0.86 on the same interviews, while Qwen2-Audio, which hears 30 s, stays at 0.63.","The models are Qwen2-Audio , Qwen2.5-Omni , Qwen3-Omni , Audio Flamingo 2 and 3 , Kimi-Audio , SALMONN , MiMo-Audio and DiVA ."
153,154,sentence,edited,0.814,0.75 0.77 0.92,"The best probe achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset, far above the model's own answers on the same clips (Fig. \reffig:gap).","The encoder probe reaches 0.89 to 0.96 on the Parkinson's sets and 0.78 on Pitt, far above the model's own answers on the same clips (Table \reftab:main)."
154,154,sentence,added,0.418,0.67 0.80 708,"On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67.","On Parkinson's and Alzheimer's speech, probes recover the diagnosis from the encoder at 0.78 to 0.96 AUC while the LLM's answers only reach 0.54 to 0.68."
154,154,sentence,added,0.480,0.54 0.68 0.77 0.93,The same probes on Qwen2-Audio achieve 0.77 to 0.93 against answers of 0.54 to 0.68 on the Parkinson's and Alzheimer's sets.,"The encoder probe reaches 0.89 to 0.96 on the Parkinson's sets and 0.78 on Pitt, far above the model's own answers on the same clips (Table \reftab:main)."
154,154,sentence,added,0.424,0.60 0.77 0.78 0.94,On Qwen3-Omni they obtain AUC scores of 0.77 to 0.94 against 0.60 to 0.78.,[tab:main] AD & ADReSSo & 0.87 & 0.66 & 0.68
154,154,sentence,added,0.457,,"We note that the probe is trained in-domain; hence, comparing its performance to zero-shot recognition by Audio LLMs is not fair.","The probe is trained in domain and the model answers zero-shot, so the size of the gap is not itself the point; that the information is present is."
154,154,sentence,added,0.456,,"However, these results demonstrate that representations contain necessary information for diagnosis.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis."
154,154,sentence,added,0.394,0.06 0.18,"The encoder probe beats the eGeMAPS baseline on all seven datasets, by 0.06 on PC-GITA to 0.18 on ADReSSo.","\begintable[t] \captionEncoder probe trained on one Parkinson's read speech dataset and tested on another, Qwen2-Audio, no retraining."
154,154,sentence,added,0.413,0.69 0.87,"Recording features from the quietest frames separate the NeuroVoz groups at 0.87 by spectral centroid alone and PC-GITA at 0.69, so part of the Parkinson's probe may come from the recording channel.","The mass P(Yes)+P(No) indicates whether the model followed the answer format at all: when it is low, most of the model's probability sits on other tokens and the ratio is taken over a choice the model did not make."
154,154,sentence,added,0.514,0.64,The Alzheimer's and E-DAIC sets stay below 0.64 on every such feature.,"On the Parkinson's, depression and Pitt sets the floor stays between 0.45 and 0.80 and every probe clears it."
154,154,sentence,added,0.447,0.71,Age alone separates the Pitt groups at 0.71.,All nine models answer the conflict test.
154,154,sentence,added,0.490,0.39 0.65 0.80,"On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65.",Diagonal is within dataset with the layer chosen inside the training folds. \labeltab:cross
154,154,sentence,edited,0.883,0.77,"The information also survives past the audio encoder as probing the language model's representations at the audio-token positions on Alzheimer's rises to 0.80, and the answer state itself achieves 0.77.","The signal also survives past the audio encoder: probing the language model's stages at the audio-token positions on Alzheimer's rises to 0.86, and the answer state itself achieves 0.80 (Fig. \reffig:gapb)."
154,154,sentence,added,0.468,,The probe and the answer use different directions of that vector.,The voices are real and the contradiction occurs naturally.
154,154,sentence,added,0.394,0.01,"The cosine between the probe direction and the Yes minus No readout direction is 0.01 in magnitude, no larger than between two random directions.","However, audio LLMs can leverage both auditory and linguistic information from speech and it is not clear how much of their output is grounded in paralinguistic speech, rather than language."
154,154,sentence,added,0.429,0.77,Removing the readout direction from the state leaves the probe at 0.77.,The resulting AUC is a floor the probe must outperform.
154,154,sentence,edited,0.641,,"The gap is widest on Parkinson's read-speech, narrower on Alzheimer's picture descriptions and reversed on depression.","Across the three conditions the gap tracks the diagnostic content of language: widest on Parkinson's read speech, narrower on Alzheimer's and absent on depression."
154,154,sentence,added,0.438,,The performance difference shrinks as the words carry more diagnostic information.,Inference scoring. Answers are scored with Eq. \refeq:answer.
154,154,sentence,added,0.497,0.69 0.83,"On E-DAIC the best probe is 0.69, at the language model, below the answer of 0.83.","On Pitt and ADReSSo the transcript alone scores 0.68, above the 0.62 and 0.66 the model reaches with the audio."
161,166,sentence,added,0.446,,"\begintable[t] \setlength\tabcolsep4pt \caption AUC on segments where the words conflict with the diagnosis and on matched agreement segments from the same speakers, E-DAIC for depression and Pitt for Alzheimer's. \labeltab:conflict","This yields 138 moments where a depressed participant speaks positively and 57 where a healthy control speaks negatively, paired with matched agreement segments from the same speakers: 195 pairs over 74 speakers, with independent label and lexical directions (\phi = 0.000)."
183,184,sentence,edited,0.935,,"To test for the language bias in Audio LLMs, we tested their performance on a set of samples for MDD and AD detection where the spoken words do not point towards the diagnosis, such as positive sentiment for MDD and fluent speech for AD.","To demonstrate the language bias of audio LLMs, we tested their performance on a set of samples for MDD and AD detection where the spoken words do not point towards the diagnosis, e.g., positive sentiment for MDD and fluent speech for AD."
184,184,sentence,added,0.457,,"No such test is possible for PD, since every speaker reads the same passage.",Dashes: transcript control not run; on read speech every speaker's transcript is the same passage. \labeltab:main \setlength\tabcolsep3pt
184,184,sentence,added,0.482,,Results in Table \reftab:conflict show a strong language bias.,"Hence, we add two conditions that allow a conflict between acoustics and language."
184,184,sentence,added,0.460,0.80,"On the depression segments four of the six models fall below chance when the words point away from the label, while every model except Audio Flamingo 2 scores above 0.80 when the words and the label agree.","However, if we look at a subset of the depression dataset where the words agree with the label, eight of nine models achieve a much higher AUC, with the exception of Audio Flamingo 2 that performs worse (Table \reftab:conflict)."
184,184,sentence,added,0.400,,Speaker-level bootstrap intervals for the difference between the two arms exclude zero for all six models.,"Folds are speaker-disjoint (GroupKFold, 5 folds) and the layer is chosen inside the training folds."
184,184,sentence,edited,0.818,,"Audio Flamingo 2 is the only model whose audio encoder, CLAP , was not trained for speech recognition, so its transcription is limited.","Audio Flamingo 2 is the only audio LLM in the selected group whose audio encoder, i.e., CLAP , was not trained for speech recognition and its transcription capability is thus limited."
184,184,sentence,added,0.474,0.18 0.29,"On the Pitt conflict segments the three Qwen models drop by 0.18 to 0.29 against their agreement segments, Kimi-Audio holds, and both Audio Flamingo models sit near chance on both sets (Table \reftab:conflict).","On the Pitt Alzheimer's conflict segments Qwen2-Audio falls to 0.41 (0.31 to 0.52) against 0.70 on agreement, and Qwen2.5-Omni to 0.44 against 0.77 while answering No on every clip."
227,229,sentence,added,0.353,,\subsectionSupervised Fine-tuning,\sectionIntroduction\labelsec:intro
229,230,sentence,added,0.465,,"Our probing results demonstrated the representation utility gap, i.e., LLM does not use the information available in audio features.",This points to a utility gap between the information in speech representations and the outputs of audio LLMs.
230,230,sentence,added,0.455,,"Hence, we retrain the projector between the audio encoder and the language model to make paralinguistic information more salient to the LLM.",They found that fusion fails to beat unimodal models and the dominance of language or paralinguistic speech is domain dependent.
230,230,sentence,added,0.374,37,"After fine-tuning the projector, AUC improves on every dataset except MDVR-KCL, which has 37 speakers, and E-DAIC, where it drops (Table \reftab:main).","\endtable \subsectionAudio LLM performance Asked the diagnosis question directly, Qwen2-Audio scores 0.54 to 0.68 on every dataset (Table \reftab:main)."
