order_group,line,context,paper_value,file_value,file_path,estimator,status,reason,item_id,kind,section,value_key,value_status,value_row,method_constant,in_comment
added_23sep,92,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",228,228,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,count: 260 index rows for pitt carry n_spk/n = 228 (e.g. handcheck_values.csv:12),L92_207,integer,Implementation Details,Qwen2.5-Omni|pitt|projector_ft|all,current,handcheck_values.csv:12,no,no
added_23sep,92,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",237,237,<local data dir>/release/overnight/perclip/egemaps_adresso_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.6942)",MATCH,count: 78 index rows for adresso carry n_spk/n = 237 (e.g. handcheck_values.csv:27),L92_327,integer,Implementation Details,eGeMAPS|adresso|egemaps|all,current,handcheck_values.csv:27,no,no
added_23sep,92,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",108,108,<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,"text only, local run Sep 15, train split only",MATCH,count: 1 index rows for adress2020 carry n = 108 (e.g. handcheck_values.csv:10),L92_461,integer,Implementation Details,Qwen2.5-Omni|adress2020|transcript|train,current,handcheck_values.csv:10,no,no
added_23sep,92,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",48,48,<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,"text only, local run Sep 15, test split only",MATCH,count: 1 index rows for adress2020 carry n = 48 (e.g. handcheck_values.csv:11),L92_478,integer,Implementation Details,Qwen2.5-Omni|adress2020|transcript|test,current,handcheck_values.csv:11,no,no
added_23sep,92,"Models hear the first 30 s, the length Qwen2-Audio accepts, so the conflict test in Table \reftab:conflict runs on the same clips for all six models.",30,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L92_721,integer,Implementation Details,,,,yes,no
added_23sep,96,"Probing. The probe of Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",1,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L96_110,integer,Implementation Details,,,,yes,no
added_23sep,96,"Probing. The probe of Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",2000,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L96_141,integer,Implementation Details,,,,yes,no
other,96,"Folds are speaker-disjoint (GroupKFold, 5 folds) and the layer is chosen inside the training folds. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.",5,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L96_249,integer,Implementation Details,,,,yes,no
added_23sep,97,"The layer-wise probing is done on Qwen2.5-Omni , which we probe end-to-end: 32 hidden states in its audio encoder, the projector, and 29 hidden states in its language model taken at the audio-token positions.",32,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L97_93,integer,Implementation Details,,,,yes,no
added_23sep,97,"The layer-wise probing is done on Qwen2.5-Omni , which we probe end-to-end: 32 hidden states in its audio encoder, the projector, and 29 hidden states in its language model taken at the audio-token positions.",29,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L97_151,integer,Implementation Details,,,,yes,no
added_23sep,99,"Fine-tuning. The projector is trained with an AdamW optimizer with a learning rate 10^-4, for three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same 5 speaker-disjoint folds.",10^-4,0.0001,<local data dir>/release/omni_final/omnisft_adress2020_sft.json,fine-tune config lr,MATCH,fine-tune config 'lr' across 7 omnisft/abl json files: [0.0001],L99_102,sci,Implementation Details,Qwen2.5-Omni|adress2020|projector_ft_config_lr|all,current,omnisft_adress2020_sft.json:lr,no,no
added_23sep,99,"Fine-tuning. The projector is trained with an AdamW optimizer with a learning rate 10^-4, for three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same 5 speaker-disjoint folds.",5,5,<local data dir>/release/omni_final/omnisft_adress2020_sft.json,fine-tune config folds,MATCH,fine-tune config 'folds' across 7 omnisft/abl json files: [5.0],L99_221,integer,Implementation Details,Qwen2.5-Omni|adress2020|projector_ft_config_folds|all,current,omnisft_adress2020_sft.json:folds,no,no
added_23sep,101,Two other wordings move the answers by 0.02 on average. %The two score within 0.01 of each other on Pitt.,0.02,,,,UNMATCHED,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),L101_418,point,Implementation Details,,,,no,no
added_23sep,104,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .",25,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L104_154,integer,Implementation Details,,,,yes,no
added_23sep,104,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .",5,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L104_167,integer,Implementation Details,,,,yes,no
added_23sep,104,A segment counts as positive or negative when that class has a probability of at least 0.70.,0.70,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L104_357,point,Implementation Details,,,,yes,no
added_23sep,104,"A participant with PHQ-8 of 15 or more speaking positively, or a healthy control with PHQ-8 of 4 or less speaking negatively, is a conflict segment.",15,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L104_391,integer,Implementation Details,,,,yes,no
added_23sep,104,"A participant with PHQ-8 of 15 or more speaking positively, or a healthy control with PHQ-8 of 4 or less speaking negatively, is a conflict segment.",4,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L104_458,integer,Implementation Details,,,,yes,no
added_23sep,104,"This yields 208 of the first kind and 280 of the second, each paired with an agreement segment from the same speaker: 483 pairs over 138 speakers, so that across the whole set the sentiment of the words does not predict the label.",208,208,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,"E-DAIC conflict segments, PHQ-8 >= 15 speaking positively (label 1), pool before pairing (RoBERTa arm column arm_roberta)",MATCH,count: 1 index rows for any dataset carry n/n_spk = 208 (e.g. handcheck_values.csv:146),L104_524,integer,Implementation Details,count|edaic_conflict_v2|conflict_count_pool|conflict,current,handcheck_values.csv:146,no,no
added_23sep,104,"This yields 208 of the first kind and 280 of the second, each paired with an agreement segment from the same speaker: 483 pairs over 138 speakers, so that across the whole set the sentiment of the words does not predict the label.",280,280,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,"E-DAIC conflict segments, PHQ-8 <= 4 speaking negatively (label 0), pool before pairing (RoBERTa arm column arm_roberta)",MATCH,count: 1 index rows for any dataset carry n/n_spk = 280 (e.g. handcheck_values.csv:147),L104_550,integer,Implementation Details,count|edaic_conflict_v2|conflict_count_pool|conflict,current,handcheck_values.csv:147,no,no
added_23sep,104,"This yields 208 of the first kind and 280 of the second, each paired with an agreement segment from the same speaker: 483 pairs over 138 speakers, so that across the whole set the sentiment of the words does not predict the label.",483,138,<local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv,Qwen2.5-Omni | A_edaic_part14 | conflict | src=primary,MATCH,count: 89 index rows for any dataset carry n_spk/n = 483 (e.g. part16/rows/M8.tsv:2),L104_630,integer,Implementation Details,Qwen2.5-Omni|edaic_conflict_v2|zero_shot|conflict,current,part16/rows/M8.tsv:2,no,no
added_23sep,104,"This yields 208 of the first kind and 280 of the second, each paired with an agreement segment from the same speaker: 483 pairs over 138 speakers, so that across the whole set the sentiment of the words does not predict the label.",138,138,<local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv,Qwen2.5-Omni | A_edaic_part14 | conflict | src=primary,MATCH,count: 146 index rows for any dataset carry n_spk/n = 138 (e.g. part16/rows/M8.tsv:2),L104_645,integer,Implementation Details,Qwen2.5-Omni|edaic_conflict_v2|zero_shot|conflict,current,part16/rows/M8.tsv:2,no,no
added_23sep,104,"For Alzheimer's disease, we score the words of each segment in Pitt database with a logistic regression trained on six fluency markers from the CHAT transcription codes : type token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it alone reaches 0.92 and would make the split trivial.",0.92,0.7082,<local data dir>/release/edaic_rerun/pitt_all_segments.csv,"speaking rate alone, clip-level rank AUC, direction-free max(auc, 1-auc) (raw auc 0.2918), kept468 segments",MISMATCH,"context [model=Qwen2.5-Omni (default); data=pitt; stream=speaking_rate_alone; arm=all]; best current candidate recording|pitt|speaking_rate_alone|all = 0.7082 (speaking rate alone, clip-level rank AUC, direction-free max) rounds to 0.71; same-tier values: 0.7082 (pitt speaking rate alone, clip-level rank AUC, current); paper value equals lower-tier ALT recording|pitt|speaking_rate_alone|all = 0.92 (build_ad_conflict.py)",L104_1104,point,Implementation Details,recording|pitt|speaking_rate_alone|all,current,handcheck_values.csv:145,no,no
added_23sep,104,This leaves 146 segments in conflict and 322 in agreement.,146,146,<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv,"zero shot, 30 s window, Pitt conflict arm only (146 clips, 100 speakers; arm from DementiaBank/pitt_conflict_manifest.csv set column, AUC restricted to the arm); canonical file (authors' decision 2026-09-",MATCH,count: 87 index rows for any dataset carry n = 146 (e.g. master_lookup.csv:225),L104_1512,integer,Implementation Details,Kimi-Audio|pitt|zero_shot|conflict,current,master_lookup.csv:225,no,no
added_23sep,104,This leaves 146 segments in conflict and 322 in agreement.,322,322,<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv,"zero shot, 30 s window, Pitt agreement arm only (322 clips, 175 speakers; arm from DementiaBank/pitt_conflict_manifest.csv set column, AUC restricted to the arm); canonical file (authors' decision 2026-09",MATCH,count: 87 index rows for any dataset carry n = 322 (e.g. master_lookup.csv:226),L104_1541,integer,Implementation Details,Kimi-Audio|pitt|zero_shot|agreement,current,master_lookup.csv:226,no,no
added_23sep,104,"The median segment fits inside the 30 s window, and 91 percent of segments have at least half their words inside it.",30,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L104_1594,integer,Implementation Details,,,,yes,no
added_23sep,104,"The median segment fits inside the 30 s window, and 91 percent of segments have at least half their words inside it.",91,,,,UNMATCHED,percentage with no indexed file value for context [model=Qwen2.5-Omni (default); data=any; stream=any; arm=all],L104_1612,percent,Implementation Details,,,,no,no
added_23sep,108,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.",seven,6.5763,<local data dir>/DementiaBank/pitt_conflict_manifest.csv,"Pitt 468 segments, clip-level mean age dementia 71.74 minus control 65.17",MATCH,"age gap 6.58 years rounds to 7 under 'Pitt 468 segments, clip-level mean age dementia 71.74 minus control 65.17'; all definitions: pitt=6.58 (Pitt 468 segments, clip-level mean age dementia 71.74 minus ); pitt=7.54 (Pitt 468 segments, speaker-level (mean age per speaker id 's); pitt_cookie_all=6.53 (all Pitt cookie recordings in pitt_manifest.csv (all_dx), re); pitt_cookie_all=6.55 (all Pitt cookie recordings (all_dx), speaker-level mean-of-v); pitt_cookie_all=7.10 (all Pitt cookie recordings (all_dx), speaker-level age at fi); pitt_cookie_all=6.90 (all Pitt cookie recordings in pitt_manifest.csv (probable_po); pitt_cookie_all=7.23 (all Pitt cookie recordings (probable_possible_AD), speaker-l); pitt_cookie_all=7.82 (all Pitt cookie recordings (probable_possible_AD), speaker-l)",L108_200,word_years,Implementation Details,age|pitt|age_gap_years|all,current,handcheck_values.csv:15,no,no
added_23sep,108,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.",275,129,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"zero shot answer, clip level, agematched",MATCH,count: 6 index rows for pitt_agematched carry n_spk/n = 275 (e.g. pitt_probe_estimators.csv:8),L108_293,integer,Implementation Details,Qwen2.5-Omni|pitt_agematched|zero_shot|all,current,pitt_probe_estimators.csv:8,no,no
added_23sep,108,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.",129,129,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"zero shot answer, clip level, agematched",MATCH,count: 6 index rows for pitt_agematched carry n_spk/n = 129 (e.g. pitt_probe_estimators.csv:8),L108_308,integer,Implementation Details,Qwen2.5-Omni|pitt_agematched|zero_shot|all,current,pitt_probe_estimators.csv:8,no,no
added_23sep,127,PC-GITA | Clips (speakers) [clips] :: PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,1100,1100,<local data dir>/release/overnight/perclip/egemaps_pcgita_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8332)",MATCH,count: 100 index rows for pcgita carry n = 1100 (e.g. handcheck_values.csv:23),L127_14,integer,Experimental Results,eGeMAPS|pcgita|egemaps|all,current,handcheck_values.csv:23,no,no
added_23sep,127,PC-GITA | Clips (speakers) [speakers] :: PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,100,100,<local data dir>/release/overnight/perclip/egemaps_pcgita_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8332)",MATCH,count: 78 index rows for pcgita carry n_spk/n = 100 (e.g. handcheck_values.csv:23),L127_20,integer,Experimental Results,eGeMAPS|pcgita|egemaps|all,current,handcheck_values.csv:23,no,no
added_23sep,127,PC-GITA | Zero-shot Audio :: PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,0.56,0.5635,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MATCH,"context [model=Qwen2.5-Omni; data=pcgita; stream=zero_shot; arm=all]; tier current; same-tier values that round differently: 0.5674 (pcgita PC-GITA Omni zero-shot AUC, AFTER normal, current), 0.5728 (pcgita PC-GITA Omni zero-shot AUC, BEFORE norma, current)",L127_27,point,Experimental Results,Qwen2.5-Omni|pcgita|zero_shot|all,current,handcheck_values.csv:123,no,no
added_23sep,127,PC-GITA | Zero-shot Text :: PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,0.52,0.5246,<local data dir>/release/overnight2/text_new/o25_pcgita_text.json,"text only, one documented prompt",MATCH,context [model=Qwen2.5-Omni; data=pcgita; stream=transcript; arm=all]; tier CONTESTED; NOTE S8: stored AUC does not reproduce from its per-clip file; rank-formula recompute gives 0.5218,L127_34,point,Experimental Results,Qwen2.5-Omni|pcgita|transcript|all,CONTESTED,master_lookup.csv:122,no,no
added_23sep,127,PC-GITA | Fine-tuned Audio :: PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,0.89,0.8862,<local data dir>/release/omni_final/omnisft_pcgita_sft.json,"projector only, 5 folds, 3 epochs, lr 0.0001, json auc_oof",MATCH,context [model=Qwen2.5-Omni; data=pcgita; stream=projector_ft; arm=all]; tier current,L127_41,point,Experimental Results,Qwen2.5-Omni|pcgita|projector_ft|all,current,omnisft_pcgita_sft.json,no,no
added_23sep,128,NeuroVoz | Clips (speakers) [clips] :: NeuroVoz & 1270 (107) & 0.70 & 0.54 & 0.90,1270,1270,<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8439)",MATCH,count: 89 index rows for neurovoz carry n = 1270 (e.g. handcheck_values.csv:24),L128_14,integer,Experimental Results,eGeMAPS|neurovoz|egemaps|all,current,handcheck_values.csv:24,no,no
added_23sep,128,NeuroVoz | Clips (speakers) [speakers] :: NeuroVoz & 1270 (107) & 0.70 & 0.54 & 0.90,107,107,<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8439)",MATCH,count: 68 index rows for neurovoz carry n_spk/n = 107 (e.g. handcheck_values.csv:24),L128_20,integer,Experimental Results,eGeMAPS|neurovoz|egemaps|all,current,handcheck_values.csv:24,no,no
added_23sep,128,NeuroVoz | Zero-shot Audio :: NeuroVoz & 1270 (107) & 0.70 & 0.54 & 0.90,0.70,0.6951,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MATCH,"context [model=Qwen2.5-Omni; data=neurovoz; stream=zero_shot; arm=all]; tier current; same-tier values that round differently: 0.7108 (neurovoz NeuroVoz Omni zero-shot AUC, BEFORE norm, current)",L128_27,point,Experimental Results,Qwen2.5-Omni|neurovoz|zero_shot|all,current,handcheck_values.csv:124,no,no
added_23sep,128,NeuroVoz | Zero-shot Text :: NeuroVoz & 1270 (107) & 0.70 & 0.54 & 0.90,0.54,0.5371,<local data dir>/release/overnight2/text_new/o25_neurovoz_text.json,"text only, one documented prompt",MATCH,context [model=Qwen2.5-Omni; data=neurovoz; stream=transcript; arm=all]; tier CONTESTED; NOTE S8: stored AUC does not reproduce from its per-clip file; rank-formula recompute gives 0.5372,L128_34,point,Experimental Results,Qwen2.5-Omni|neurovoz|transcript|all,CONTESTED,master_lookup.csv:116,no,no
added_23sep,128,NeuroVoz | Fine-tuned Audio :: NeuroVoz & 1270 (107) & 0.70 & 0.54 & 0.90,0.90,0.9028,<local data dir>/release/omni_final/omnisft_neurovoz_sft.json,"projector only, 5 folds, 3 epochs, lr 0.0001, json auc_oof",MATCH,context [model=Qwen2.5-Omni; data=neurovoz; stream=projector_ft; arm=all]; tier current,L128_41,point,Experimental Results,Qwen2.5-Omni|neurovoz|projector_ft|all,current,omnisft_neurovoz_sft.json,no,no
added_23sep,129,MDVR-KCL | Clips (speakers) [clips] :: MDVR-KCL & 37 (37) & 0.71 & 0.76 & 0.70,37,37,<local data dir>/release/overnight/perclip/egemaps_kcl_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.7411)",MATCH,count: 80 index rows for kcl carry n = 37 (e.g. handcheck_values.csv:25),L129_16,integer,Experimental Results,eGeMAPS|kcl|egemaps|all,current,handcheck_values.csv:25,no,no
added_23sep,129,MDVR-KCL | Clips (speakers) [speakers] :: MDVR-KCL & 37 (37) & 0.71 & 0.76 & 0.70,37,37,<local data dir>/release/overnight/perclip/egemaps_kcl_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.7411)",MATCH,count: 80 index rows for kcl carry n_spk/n = 37 (e.g. handcheck_values.csv:25),L129_20,integer,Experimental Results,eGeMAPS|kcl|egemaps|all,current,handcheck_values.csv:25,no,no
added_23sep,129,MDVR-KCL | Zero-shot Audio :: MDVR-KCL & 37 (37) & 0.71 & 0.76 & 0.70,0.71,0.7143,<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MATCH,context [model=Qwen2.5-Omni; data=kcl; stream=zero_shot; arm=all]; tier current,L129_27,point,Experimental Results,Qwen2.5-Omni|kcl|zero_shot|all,current,handcheck_values.csv:125,no,no
added_23sep,129,MDVR-KCL | Zero-shot Text :: MDVR-KCL & 37 (37) & 0.71 & 0.76 & 0.70,0.76,0.7634,<local data dir>/release/overnight2/text_new/o25_kcl_text.csv,MDVR-KCL Qwen2.5-Omni transcript-only answer AUC,MATCH,context [model=Qwen2.5-Omni; data=kcl; stream=transcript; arm=all]; tier current,L129_34,point,Experimental Results,Qwen2.5-Omni|kcl|transcript|all,current,part16/rows/M10.tsv:2,no,no
added_23sep,129,MDVR-KCL | Fine-tuned Audio :: MDVR-KCL & 37 (37) & 0.71 & 0.76 & 0.70,0.70,0.6994,<local data dir>/release/omni_final/omnisft_kcl_oof.csv,"projector only fine tune, 5 fold out of fold",MATCH,context [model=Qwen2.5-Omni; data=kcl; stream=projector_ft; arm=all]; tier current,L129_41,point,Experimental Results,Qwen2.5-Omni|kcl|projector_ft|all,current,bootstrap_cis.csv:157,no,no
added_23sep,132,E-DAIC | Clips (speakers) [clips] :: E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64,275,275,<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,"five split nested, mean of 5 repeats (json field ans.mean)",MATCH,"count: 222 index rows for edaic_full,edaic,edaic_mid300,edaic_mid30 carry n = 275 (e.g. handcheck_values.csv:60)",L132_15,integer,Experimental Results,Qwen2.5-Omni|edaic_full|answer_state_probe|all,current,handcheck_values.csv:60,no,no
added_23sep,132,E-DAIC | Clips (speakers) [speakers] :: E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64,275,,<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,"five split nested, mean of 5 repeats (json field ans.mean)",MATCH,"count: 222 index rows for edaic_full,edaic,edaic_mid300,edaic_mid30 carry n_spk/n = 275 (e.g. handcheck_values.csv:60)",L132_20,integer,Experimental Results,Qwen2.5-Omni|edaic_full|answer_state_probe|all,current,handcheck_values.csv:60,no,no
