id	what	value	lo	hi	value_verified	lo_verified	hi_verified	agree_4dp	published	matches_published_4dp	n	n_speakers	file	verifier_file	closes	note
3b_conflict_auc_probe_oof	probe OOF AUC, GroupKFold(5) by speaker, sklearn 1.9.1 folds	0.614521	0.5021	0.7246	0.614521	0.5021	0.7246	yes	0.6145	yes	146	100	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col oof	lo-pod3b-2 pod3b_verify.json fp16_conflict	audit_p16 item 6: POD3 by-arm probe 0.6145 and 0.9349 disagreed with the Mac verifier (0.5520, 0.9314)	
3b_conflict_auc_d	AUC of the projection on the readout direction alone	0.602860	0.4965	0.7025	0.602860	0.4965	0.7025	yes	0.6029	yes	146	100	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col proj_d	lo-pod3b-2 pod3b_verify.json fp16_conflict	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
3b_conflict_auc_probe_without_d_trainz	probe AUC with d removed, held-out scores standardised with the TRAINING fold (as shipped)	0.619582	0.5094	0.7283	0.619582	0.5094	0.7283	yes	0.6196	yes	146	100	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col perp_trainz	lo-pod3b-2 pod3b_verify.json fp16_conflict	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
3b_conflict_auc_probe_without_d_foldz	probe AUC with d removed, standardised WITHIN the held-out fold (canonical)	0.615842	0.5066	0.7249	0.615842	0.5066	0.7249	yes			146	100	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col perp_foldz	lo-pod3b-2 pod3b_verify.json fp16_conflict	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
3b_agreement_cosine	cosine of probe weight with the mass-weighted Yes minus No readout direction (lm_head as POD3 dumped it, float16)	0.008638			0.008638			yes	0.0086	yes	322	175	lo-pod3b-1 pod3b_primary_fp16.json (orig_direction_by_arm_fp16.csv prints 0.0086)	lo-pod3b-2 pod3b_verify.json fp16_agreement	audit_p16 item 6: POD3 cosines (3 rows) had no twin	
3b_agreement_cosine_bf16exact	same cosine with the exact bf16 lm_head (no float16 rounding)	0.008638			0.008638			yes	0.0086	yes	322	175	lo-pod3b-1 pod3b_primary_bf16exact.json (orig_direction_by_arm_bf16exact.csv prints 0.0086)	lo-pod3b-2 pod3b_verify.json bf16exact_agreement	audit_p16 item 6: POD3 cosines (3 rows) had no twin	
3b_agreement_cosine_random_floor	mean |cosine| of the probe weight with 2000 random unit directions, seed 0, and its 2.5/97.5 percentiles	0.017200	0.0007	0.0480	0.017229	0.0007	0.0480	yes	0.0172	yes	322	175	lo-pod3b-1 orig_direction_by_arm_fp16.csv (4 dp as the original script prints)	lo-pod3b-2 pod3b_verify.json fp16_agreement	audit_p16 item 6: POD3 cosines (3 rows) had no twin	
3b_agreement_auc_probe_oof	probe OOF AUC, GroupKFold(5) by speaker, sklearn 1.9.1 folds	0.934877	0.9034	0.9614	0.934877	0.9034	0.9614	yes	0.9349	yes	322	175	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col oof	lo-pod3b-2 pod3b_verify.json fp16_agreement	audit_p16 item 6: POD3 by-arm probe 0.6145 and 0.9349 disagreed with the Mac verifier (0.5520, 0.9314)	
3b_agreement_auc_d	AUC of the projection on the readout direction alone	0.826431	0.7741	0.8731	0.826431	0.7741	0.8731	yes	0.8264	yes	322	175	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col proj_d	lo-pod3b-2 pod3b_verify.json fp16_agreement	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
3b_agreement_auc_probe_without_d_trainz	probe AUC with d removed, held-out scores standardised with the TRAINING fold (as shipped)	0.934081	0.9021	0.9604	0.934081	0.9021	0.9604	yes	0.9341	yes	322	175	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col perp_trainz	lo-pod3b-2 pod3b_verify.json fp16_agreement	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
3b_agreement_auc_probe_without_d_foldz	probe AUC with d removed, standardised WITHIN the held-out fold (canonical)	0.932649	0.9021	0.9601	0.932649	0.9021	0.9601	yes			322	175	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col perp_foldz	lo-pod3b-2 pod3b_verify.json fp16_agreement	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
refit_all_macfolds_linuxfit	probe OOF AUC refit on Linux (sklearn 1.9.1) with the Mac's sklearn 1.7.2 GroupKFold folds	0.786362	0.7335	0.8359	0.786362	0.7335	0.8359	yes	0.7864	yes	468	228	lo-pod3b-3 pod3b_gap_perclip.csv col oof_mac_folds	lo-pod3b-2 pod3b_verify.json macfolds_all	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	published column holds the Mac partF value (POD3_partF_out.json)
refit_all_macfolds_cosine	cosine with the Mac's folds (fp16 lm_head)	0.005476			0.005476			yes			468	228	lo-pod3b-3 pod3b_gap.json	lo-pod3b-2 pod3b_verify.json macfolds_all	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
refit_all_linuxfolds_gapfit	probe OOF AUC with the Linux sklearn 1.9.1 folds, refit by the gap script	0.830686	0.7833	0.8741	0.830686	0.7833	0.8741	yes	0.8307	yes	468	228	lo-pod3b-3 pod3b_gap_perclip.csv col oof_linux_folds	lo-pod3b-2 pod3b_verify.json fp16_all	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
folds_all_speakers_new_foldmates	speakers whose fold-mates differ between the Mac folds and the Linux folds	228			228			yes			468	228	lo-pod3b-3 pod3b_gap.json	lo-pod3b-2 pod3b_verify.json macfolds_all	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	out of 228 speakers
refit_all_sk172rule_on_linux	probe OOF AUC with folds from the real sklearn 1.7.2 GroupKFold run on Linux x86 numpy 2.1.2	0.797346			0.797346			yes			468	228	lo-pod3b-2 sk172_linux_refit.json (sklearn 1.7.2 installed to a --target dir)	lo-pod3b-2 pod3b_verify.json legacyrule_linux_all (re-implementation of the 1.7.2 rule)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	folds identical to the Mac's: False
mac_all_macfit_macfolds	Mac diagnostic: sklearn 1.7.2 fit, Mac folds (reproduces partF)	0.786362			0.786362			yes	0.7864	yes	468	228	mac/mac_crosscheck.json	lo-pod3b-3 pod3b_gap.json auc_mac_folds (Linux fit, same folds)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
mac_all_macfit_linuxfolds	Mac diagnostic: sklearn 1.7.2 fit, Linux folds	0.830686			0.830686			yes	0.8307	yes	468	228	mac/mac_crosscheck.json	lo-pod3b-3 pod3b_gap.json auc_linux_folds (Linux fit, same folds)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
refit_conflict_macfolds_linuxfit	probe OOF AUC refit on Linux (sklearn 1.9.1) with the Mac's sklearn 1.7.2 GroupKFold folds	0.552035	0.4385	0.6637	0.552035	0.4385	0.6637	yes	0.552	yes	146	100	lo-pod3b-3 pod3b_gap_perclip.csv col oof_mac_folds	lo-pod3b-2 pod3b_verify.json macfolds_conflict	audit_p16 item 6: POD3 by-arm probe 0.6145 and 0.9349 disagreed with the Mac verifier (0.5520, 0.9314)	published column holds the Mac partF value (POD3_partF_out.json)
refit_conflict_macfolds_cosine	cosine with the Mac's folds (fp16 lm_head)	-0.007356			-0.007356			yes			146	100	lo-pod3b-3 pod3b_gap.json	lo-pod3b-2 pod3b_verify.json macfolds_conflict	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
refit_conflict_linuxfolds_gapfit	probe OOF AUC with the Linux sklearn 1.9.1 folds, refit by the gap script	0.614521	0.5021	0.7246	0.614521	0.5021	0.7246	yes	0.6145	yes	146	100	lo-pod3b-3 pod3b_gap_perclip.csv col oof_linux_folds	lo-pod3b-2 pod3b_verify.json fp16_conflict	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
folds_conflict_speakers_new_foldmates	speakers whose fold-mates differ between the Mac folds and the Linux folds	100			100			yes			146	100	lo-pod3b-3 pod3b_gap.json	lo-pod3b-2 pod3b_verify.json macfolds_conflict	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	out of 100 speakers
refit_conflict_sk172rule_on_linux	probe OOF AUC with folds from the real sklearn 1.7.2 GroupKFold run on Linux x86 numpy 2.1.2	0.621342			0.621342			yes			146	100	lo-pod3b-2 sk172_linux_refit.json (sklearn 1.7.2 installed to a --target dir)	lo-pod3b-2 pod3b_verify.json legacyrule_linux_conflict (re-implementation of the 1.7.2 rule)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	folds identical to the Mac's: False
mac_conflict_macfit_macfolds	Mac diagnostic: sklearn 1.7.2 fit, Mac folds (reproduces partF)	0.552035			0.552035			yes	0.552	yes	146	100	mac/mac_crosscheck.json	lo-pod3b-3 pod3b_gap.json auc_mac_folds (Linux fit, same folds)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
mac_conflict_macfit_linuxfolds	Mac diagnostic: sklearn 1.7.2 fit, Linux folds	0.614521			0.614521			yes	0.6145	yes	146	100	mac/mac_crosscheck.json	lo-pod3b-3 pod3b_gap.json auc_linux_folds (Linux fit, same folds)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
refit_agreement_macfolds_linuxfit	probe OOF AUC refit on Linux (sklearn 1.9.1) with the Mac's sklearn 1.7.2 GroupKFold folds	0.931376	0.9015	0.9580	0.931376	0.9015	0.9580	yes	0.9314	yes	322	175	lo-pod3b-3 pod3b_gap_perclip.csv col oof_mac_folds	lo-pod3b-2 pod3b_verify.json macfolds_agreement	audit_p16 item 6: POD3 by-arm probe 0.6145 and 0.9349 disagreed with the Mac verifier (0.5520, 0.9314)	published column holds the Mac partF value (POD3_partF_out.json)
refit_agreement_macfolds_cosine	cosine with the Mac's folds (fp16 lm_head)	0.007859			0.007859			yes			322	175	lo-pod3b-3 pod3b_gap.json	lo-pod3b-2 pod3b_verify.json macfolds_agreement	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
refit_agreement_linuxfolds_gapfit	probe OOF AUC with the Linux sklearn 1.9.1 folds, refit by the gap script	0.934877	0.9034	0.9614	0.934877	0.9034	0.9614	yes	0.9349	yes	322	175	lo-pod3b-3 pod3b_gap_perclip.csv col oof_linux_folds	lo-pod3b-2 pod3b_verify.json fp16_agreement	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
folds_agreement_speakers_new_foldmates	speakers whose fold-mates differ between the Mac folds and the Linux folds	175			175			yes			322	175	lo-pod3b-3 pod3b_gap.json	lo-pod3b-2 pod3b_verify.json macfolds_agreement	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	out of 175 speakers
refit_agreement_sk172rule_on_linux	probe OOF AUC with folds from the real sklearn 1.7.2 GroupKFold run on Linux x86 numpy 2.1.2	0.925926			0.925926			yes			322	175	lo-pod3b-2 sk172_linux_refit.json (sklearn 1.7.2 installed to a --target dir)	lo-pod3b-2 pod3b_verify.json legacyrule_linux_agreement (re-implementation of the 1.7.2 rule)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	folds identical to the Mac's: False
mac_agreement_macfit_macfolds	Mac diagnostic: sklearn 1.7.2 fit, Mac folds (reproduces partF)	0.931376			0.931376			yes	0.9314	yes	322	175	mac/mac_crosscheck.json	lo-pod3b-3 pod3b_gap.json auc_mac_folds (Linux fit, same folds)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
mac_agreement_macfit_linuxfolds	Mac diagnostic: sklearn 1.7.2 fit, Linux folds	0.934877			0.934877			yes	0.9349	yes	322	175	mac/mac_crosscheck.json	lo-pod3b-3 pod3b_gap.json auc_linux_folds (Linux fit, same folds)	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_auc_mean	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: mean	0.803262			0.803262			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_auc_sd	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: sd	0.012234			0.012234			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_auc_p2_5	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: p2_5	0.778648			0.778648			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_auc_p97_5	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: p97_5	0.824448			0.824448			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_auc_min	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: min	0.771348			0.771348			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_auc_max	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: max	0.841379			0.841379			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_n_at_or_above_published	partitions (of 200) with AUC at or above the pod value 0.8307	2			2			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_n_at_or_below_mac	partitions (of 200) with AUC at or below the Mac-fold value 0.7864	17			17			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_all_cos_min	cosine over the 200 partitions: min	0.002294			0.002294			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_all_cos_max	cosine over the 200 partitions: max	0.009024			0.009024			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_all_n_abs_cos_above_floor_hi	partitions (of 200) whose |cosine| exceeds the random-floor 97.5 percentile 0.0498	0			0			yes			468	228	lo-pod3b-3 pod3b_gap_spread_all.csv	lo-pod3b-4 verify_spread_all.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_conflict_auc_mean	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: mean	0.578270			0.578270			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_auc_sd	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: sd	0.033969			0.033969			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_auc_p2_5	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: p2_5	0.508421			0.508421			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_auc_p97_5	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: p97_5	0.637860			0.637860			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_auc_min	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: min	0.478548			0.478548			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_auc_max	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: max	0.657206			0.657206			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_n_at_or_above_published	partitions (of 200) with AUC at or above the pod value 0.6145	34			34			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_n_at_or_below_mac	partitions (of 200) with AUC at or below the Mac-fold value 0.5520	44			44			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_conflict_cos_min	cosine over the 200 partitions: min	-0.010553			-0.010553			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_conflict_cos_max	cosine over the 200 partitions: max	-0.003251			-0.003251			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_conflict_n_abs_cos_above_floor_hi	partitions (of 200) whose |cosine| exceeds the random-floor 97.5 percentile 0.0516	0			0			yes			146	100	lo-pod3b-3 pod3b_gap_spread_conflict.csv	lo-pod3b-4 verify_spread_conflict.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_agreement_auc_mean	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: mean	0.926187			0.926187			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_auc_sd	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: sd	0.007003			0.007003			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_auc_p2_5	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: p2_5	0.912555			0.912555			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_auc_p97_5	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: p97_5	0.939173			0.939173			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_auc_min	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: min	0.906433			0.906433			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_auc_max	probe OOF AUC over 200 speaker-grouped greedy partitions that differ only in tie order: max	0.947209			0.947209			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_n_at_or_above_published	partitions (of 200) with AUC at or above the pod value 0.9349	17			17			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_n_at_or_below_mac	partitions (of 200) with AUC at or below the Mac-fold value 0.9314	158			158			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
spread_agreement_cos_min	cosine over the 200 partitions: min	0.006326			0.006326			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_agreement_cos_max	cosine over the 200 partitions: max	0.011784			0.011784			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
