item_id,line,col,kind,text,value,value2,decimals,decimals2,unit,range_labels,in_red,in_comment,section,table,table_key,table_row,table_col,table_group,clause,context,prev_context,table_caption,para_before
L88_228,88,228,integer,28,28.0,,0,,,,no,no,Implementation Details,,,,,,the projected input and the outputs of its 28 layers.,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment.",,
L90_102,90,102,sci,10^-4,0.0001,,,,sci,,no,no,Implementation Details,,,,,,"Fine-tuning. The projector is trained with an AdamW optimizer with a learning rate 10^-4,","Fine-tuning. The projector is trained with an AdamW optimizer with a learning rate 10^-4, for three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same 5 speaker-disjoint folds.",,,
L90_221,90,221,integer,5,5.0,,0,,,,no,no,Implementation Details,,,,,,on the same 5 speaker-disjoint folds.,"Fine-tuning. The projector is trained with an AdamW optimizer with a learning rate 10^-4, for three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same 5 speaker-disjoint folds.",,,
L92_465,92,465,point,0.02,0.02,,2,,,,no,no,Implementation Details,,,,,,move the Table \reftab:main answers by 0.02 on average.,"Two other wordings, listed with the release, move the Table \reftab:main answers by 0.02 on average.","For the transcript only baseline, ``this recording'' is replaced with ``this transcript of what the person said''.",,
L92_602,92,602,percent,99,99.0,,0,,%,,no,no,Implementation Details,,,,,,Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them. %The two score within 0.01 of each other on Pitt.,Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them. %The two score within 0.01 of each other on Pitt.,"Two other wordings, listed with the release, move the Table \reftab:main answers by 0.02 on average.",,
L92_644,92,644,point,0.01,0.01,,2,,,,no,yes,Implementation Details,,,,,,Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them. %The two score within 0.01 of each other on Pitt.,Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them. %The two score within 0.01 of each other on Pitt.,"Two other wordings, listed with the release, move the Table \reftab:main answers by 0.02 on average.",,
L95_154,95,154,integer,25,25.0,,0,,,,no,no,Implementation Details,,,,,,we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .",,,
L95_167,95,167,integer,5,5.0,,0,,s,,no,no,Implementation Details,,,,,,we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .",,,
L95_359,95,359,point,0.70,0.7,,2,,,,no,no,Implementation Details,,,,,,A segment is counted as positive or negative if that class has a probability of at least 0.70.,A segment is counted as positive or negative if that class has a probability of at least 0.70.,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with a RoBERTa sentiment classifier trained on TweetEval .",,
L95_401,95,401,integer,15,15.0,,0,,,,no,no,Implementation Details,,,,,,"A participant with a PHQ-8 score of 15 or more speaking positively,","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",A segment is counted as positive or negative if that class has a probability of at least 0.70.,,
L95_476,95,476,integer,4,4.0,,0,,,,no,no,Implementation Details,,,,,,"or a healthy control with a PHQ-8 score of 4 or less speaking negatively,","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",A segment is counted as positive or negative if that class has a probability of at least 0.70.,,
L95_562,95,562,integer,488,488.0,,0,,,,no,no,Implementation Details,,,,,,"This yields a total of 488 conflicting segments,","This yields a total of 488 conflicting segments, each paired with an agreement segment from the same speaker over 138 speakers.","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",,
L95_653,95,653,integer,138,138.0,,0,,,,no,no,Implementation Details,,,,,,each paired with an agreement segment from the same speaker over 138 speakers.,"This yields a total of 488 conflicting segments, each paired with an agreement segment from the same speaker over 138 speakers.","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",,
L97_361,97,361,point,0.92,0.92,,2,,,,no,no,Implementation Details,,,,,,with speaking rate excluded because it alone reaches 0.92 and would make the split trivial.,"For Alzheimer's disease, we score the words of each segment in Pitt database with a logistic regression trained on six fluency markers from the CHAT transcription codes : type token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it alone reaches 0.92 and would make the split trivial.",,,
L97_701,97,701,integer,146,146.0,,0,,,,no,no,Implementation Details,,,,,,This leaves 146 segments in conflict and 322 in agreement.,This leaves 146 segments in conflict and 322 in agreement.,"A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment.",,
L97_730,97,730,integer,322,322.0,,0,,,,no,no,Implementation Details,,,,,,This leaves 146 segments in conflict and 322 in agreement.,This leaves 146 segments in conflict and 322 in agreement.,"A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment.",,
L97_783,97,783,integer,30,30.0,,0,,s,,no,no,Implementation Details,,,,,,"The median segment fits inside the 30 s window,","The median segment fits inside the 30 s window, and 91 percent of segments have at least half their words inside it.",This leaves 146 segments in conflict and 322 in agreement.,,
L97_801,97,801,percent,91,91.0,,0,,%,,no,no,Implementation Details,,,,,,and 91 percent of segments have at least half their words inside it.,"The median segment fits inside the 30 s window, and 91 percent of segments have at least half their words inside it.",This leaves 146 segments in conflict and 322 in agreement.,,
L101_192,101,192,word_years,seven,7.0,,0,,word_years,,no,no,Implementation Details,,,,,,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average,","On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.","Checks. As an acoustic baseline, we train a logistic regression classifier on eGeMAPS features .",,
L101_285,101,285,integer,275,275.0,,0,,,,no,no,Implementation Details,,,,,,so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.","Checks. As an acoustic baseline, we train a logistic regression classifier on eGeMAPS features .",,
L101_300,101,300,integer,129,129.0,,0,,,,no,no,Implementation Details,,,,,,so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.","Checks. As an acoustic baseline, we train a logistic regression classifier on eGeMAPS features .",,
L101_348,101,348,percent,95,95.0,,0,,%,,no,no,Implementation Details,,,,,,"Intervals are 95 percent speaker-level bootstrap intervals from 2000 draws,","Intervals are 95 percent speaker-level bootstrap intervals from 2000 draws, and a difference is called significant when its interval excludes zero.","On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.",,
L101_398,101,398,integer,2000,2000.0,,0,,,,no,no,Implementation Details,,,,,,"Intervals are 95 percent speaker-level bootstrap intervals from 2000 draws,","Intervals are 95 percent speaker-level bootstrap intervals from 2000 draws, and a difference is called significant when its interval excludes zero.","On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.",,
L107_181,107,181,point,0.995,0.995,,3,,,,no,yes,Experimental Results,,,,,,Six recording measurements containing no speech content separate patients from controls at 0.995 on the Italian dataset;,Six recording measurements containing no speech content separate patients from controls at 0.995 on the Italian dataset; we exclude it.,,,
L107_302,107,302,range,0.45 to 0.80,0.45,0.8,2,2,,,no,yes,Experimental Results,,,,,,On the four Parkinson's and depression datasets the recording-only floor is 0.45 to 0.80 and the probe stays above it;,"On the four Parkinson's and depression datasets the recording-only floor is 0.45 to 0.80 and the probe stays above it; on Neurovoz, age matching moves the encoder probe from 0.95 to 0.91 while a silence-only probe falls from 0.72 to 0.58.",,,
L107_400,107,400,change,0.95 to 0.91,0.95,0.91,2,2,,,no,yes,Experimental Results,,,,,,age matching moves the encoder probe from 0.95 to 0.91 while,"On the four Parkinson's and depression datasets the recording-only floor is 0.45 to 0.80 and the probe stays above it; on Neurovoz, age matching moves the encoder probe from 0.95 to 0.91 while a silence-only probe falls from 0.72 to 0.58.",,,
L107_451,107,451,change,0.72 to 0.58,0.72,0.58,2,2,,,no,yes,Experimental Results,,,,,,a silence-only probe falls from 0.72 to 0.58.,"On the four Parkinson's and depression datasets the recording-only floor is 0.45 to 0.80 and the probe stays above it; on Neurovoz, age matching moves the encoder probe from 0.95 to 0.91 while a silence-only probe falls from 0.72 to 0.58.",,,
L107_496,107,496,point,0.65,0.65,,2,,,,no,yes,Experimental Results,,,,,,"On Pitt the six together reach 0.65,","On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_519,107,519,point,0.78,0.78,,2,,,,no,yes,Experimental Results,,,,,,below the probe (0.78);,"On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_548,107,548,integer,64,64.0,,0,,,,no,yes,Experimental Results,,,,,,controls are younger (64 against,"On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_559,107,559,integer,72,72.0,,0,,,,no,yes,Experimental Results,,,,,,"72 years,","On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_579,107,579,point,0.70,0.7,,2,,,,no,yes,Experimental Results,,,,,,"age alone 0.70),","On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_593,107,593,integer,64,64.0,,0,,,,no,yes,Experimental Results,,,,,,but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.,"On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_631,107,631,integer,268,268.0,,0,,,,no,yes,Experimental Results,,,,,,but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.,"On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_667,107,667,point,0.79,0.79,,2,,,,no,yes,Experimental Results,,,,,,but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.,"On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_687,107,687,point,0.66,0.66,,2,,,,no,yes,Experimental Results,,,,,,but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.,"On Pitt the six together reach 0.65, below the probe (0.78); controls are younger (64 against 72 years, age alone 0.70), but on 64 age and sex matched speaker pairs (268 segments) the probe still reads 0.79 and the answer 0.66.",,,
L107_788,107,788,point,0.62,0.62,,2,,,,no,yes,Experimental Results,,,,,,"reads 0.62 on Pitt,","A classical baseline, eGeMAPS features into the same logistic classifier, reads 0.62 on Pitt, 0.73 on ADReSSo, 0.70 on ADReSS-2020 and 0.80 on MDVR-KCL; the probes beat it on every set, and on Pitt the model's own answer merely matches it.",,,
L107_802,107,802,point,0.73,0.73,,2,,,,no,yes,Experimental Results,,,,,,"0.73 on ADReSSo,","A classical baseline, eGeMAPS features into the same logistic classifier, reads 0.62 on Pitt, 0.73 on ADReSSo, 0.70 on ADReSS-2020 and 0.80 on MDVR-KCL; the probes beat it on every set, and on Pitt the model's own answer merely matches it.",,,
L107_819,107,819,point,0.70,0.7,,2,,,,no,yes,Experimental Results,,,,,,0.70 on ADReSS-2020 and 0.80 on MDVR-KCL;,"A classical baseline, eGeMAPS features into the same logistic classifier, reads 0.62 on Pitt, 0.73 on ADReSSo, 0.70 on ADReSS-2020 and 0.80 on MDVR-KCL; the probes beat it on every set, and on Pitt the model's own answer merely matches it.",,,
L107_843,107,843,point,0.80,0.8,,2,,,,no,yes,Experimental Results,,,,,,0.70 on ADReSS-2020 and 0.80 on MDVR-KCL;,"A classical baseline, eGeMAPS features into the same logistic classifier, reads 0.62 on Pitt, 0.73 on ADReSSo, 0.70 on ADReSS-2020 and 0.80 on MDVR-KCL; the probes beat it on every set, and on Pitt the model's own answer merely matches it.",,,
L120_14,120,14,integer,1100,1100.0,,0,,,,no,no,Experimental Results,tab:main,PC-GITA | Clips (speakers) [clips],PC-GITA,Clips (speakers) [clips],Parkinson's disease,1100 (100),PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,,AUC of Qwen2.5-Omni per dataset. Zero-shot audio and text take the recording and its transcript. Fine-tuned is the same model after retraining only its projector on speaker-disjoint folds.,
L120_20,120,20,integer,100,100.0,,0,,,,no,no,Experimental Results,tab:main,PC-GITA | Clips (speakers) [speakers],PC-GITA,Clips (speakers) [speakers],Parkinson's disease,1100 (100),PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,,AUC of Qwen2.5-Omni per dataset. Zero-shot audio and text take the recording and its transcript. Fine-tuned is the same model after retraining only its projector on speaker-disjoint folds.,
L120_27,120,27,point,0.56,0.56,,2,,,,no,no,Experimental Results,tab:main,PC-GITA | Zero-shot Audio,PC-GITA,Zero-shot Audio,Parkinson's disease,0.56,PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,,AUC of Qwen2.5-Omni per dataset. Zero-shot audio and text take the recording and its transcript. Fine-tuned is the same model after retraining only its projector on speaker-disjoint folds.,
L120_34,120,34,point,0.52,0.52,,2,,,,no,no,Experimental Results,tab:main,PC-GITA | Zero-shot Text,PC-GITA,Zero-shot Text,Parkinson's disease,0.52,PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,,AUC of Qwen2.5-Omni per dataset. Zero-shot audio and text take the recording and its transcript. Fine-tuned is the same model after retraining only its projector on speaker-disjoint folds.,
L120_41,120,41,point,0.89,0.89,,2,,,,no,no,Experimental Results,tab:main,PC-GITA | Fine-tuned Audio,PC-GITA,Fine-tuned Audio,Parkinson's disease,0.89,PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,,AUC of Qwen2.5-Omni per dataset. Zero-shot audio and text take the recording and its transcript. Fine-tuned is the same model after retraining only its projector on speaker-disjoint folds.,
L121_14,121,14,integer,1270,1270.0,,0,,,,no,no,Experimental Results,tab:main,NeuroVoz | Clips (speakers) [clips],NeuroVoz,Clips (speakers) [clips],Parkinson's disease,1270 (107),NeuroVoz & 1270 (107) & 0.70 & 0.54 & 0.90,,AUC of Qwen2.5-Omni per dataset. Zero-shot audio and text take the recording and its transcript. Fine-tuned is the same model after retraining only its projector on speaker-disjoint folds.,
