line_start,line_end,unit,status,ratio,new_numbers,text,best_base_text
71,72,sentence,edited,0.733,,"We repeat the comparison across six Audio LLMs that share the same design, an audio encoder, a projector that maps the encoder output into the language model's input space, and the language model, to establish whether the utility gap is common across architectures.","We repeat the comparison across six Audio LLMs that share this encoder, projector and LLM design, to establish whether the utility gap is common across architectures."
73,74,sentence,edited,0.896,,"Such a comparison on its own cannot tell if a model relies on paralinguistic or linguistic speech, since the spoken words and the diagnosis usually point in the same direction.","Such a comparison on its own cannot evaluate whether a model relies on paralinguistic or linguistic speech, since the spoken words and the diagnosis usually point in the same direction in clinical recordings."
74,74,sentence,added,0.439,,"Hence, we add two conditions, depression and Alzheimer's disease, in which the words and the diagnosis point in opposite directions.","Hence, we add two conditions that allow a conflict between acoustics and language."
74,74,sentence,added,0.410,,"A conflict segment is speech whose words point away from the speaker's diagnosis, such as a depressed participant speaking positively or a participant with dementia speaking fluently.",\section*Acknowledgments Research was sponsored by the ARO and was accomplished under Cooperative Agreement Number W911NF-25-2-0040.
74,74,sentence,added,0.395,,"An agreement segment is speech from the same speaker whose words point toward it, and the two are paired per speaker so the two arms, conflict and agreement, differ only in what is said.","Recent advances in speech processing demonstrated the utility of speech as a robust marker for a range of disorders, including psychological distress and neurodegenerative conditions ."
75,77,sentence,edited,0.776,,"\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.","\sectionImplementation Details\labelsec:impl Datasets. Seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), are selected so that the diagnostic content of the spoken words differs between them."
77,77,sentence,added,0.478,0.43 0.62 0.84,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.",The same probes on Qwen2-Audio achieve 0.77 to 0.93 against answers of 0.54 to 0.68 on the Parkinson's and Alzheimer's sets.
78,79,sentence,edited,0.904,,"From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry little of the diagnosis and most of the signal has to come from the voice.","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry almost no diagnostic signals and any signal must come from the voice."
79,79,sentence,edited,0.956,,"We use the following three corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .","We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) ."
80,81,sentence,added,0.451,,"The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis."
83,83,sentence,edited,0.941,227,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings."
87,87,sentence,edited,0.720,,"Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment.","Folds are speaker-disjoint (GroupKFold, 5 folds) and the layer is chosen inside the training folds."
87,88,sentence,edited,0.723,28,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","The layer-wise probing is done on Qwen2.5-Omni , which we probe end-to-end: 32 hidden states in its audio encoder, the projector, and 29 hidden states in its language model taken at the audio-token positions."
88,88,sentence,added,0.437,,"We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni , a Mixture-of-Experts model, as a check in Section \refsec:results.","We chose this model due to its simpler architecture allowing for consistent probing, since Qwen3-Omni uses Mixture-of-Experts."
92,92,sentence,edited,0.743,,"Two other wordings, listed with the release, move the Table \reftab:main answers by 0.02 on average.",Two other wordings move the answers by 0.02 on average.
92,92,sentence,added,0.453,99,Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them.,"Answer with one word, Yes or No''; on the Parkinson's and depression datasets, the phrase ``this recording'' is replaced with ``how this person's voice sounds''."
95,95,sentence,edited,0.935,,A segment is counted as positive or negative if that class has a probability of at least 0.70.,A segment counts as positive or negative when that class has a probability of at least 0.70.
95,95,sentence,edited,0.922,,"A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.","A participant with PHQ-8 of 15 or more speaking positively, or a healthy control with PHQ-8 of 4 or less speaking negatively, is a conflict segment."
95,95,sentence,edited,0.725,138 488,"This yields a total of 488 conflicting segments, each paired with an agreement segment from the same speaker over 138 speakers.",Each conflict segment is paired with an agreement segment from the same speaker.
97,97,sentence,edited,0.708,,"The regression is trained on five speaker-disjoint folds, and segments whose out-of-fold score falls in the top or bottom third are kept.",Segments whose out-of-fold score falls in the top or bottom third are kept.
98,99,sentence,edited,0.748,,"Transcripts. Pitt, ADReSS-2020 and E-DAIC come with transcripts, used with the annotation codes stripped, and ADReSSo and the three Parkinson's sets are transcribed with whisper-large-v3 .","Transcripts. For the Pitt database, ADReSS-2020 and E-DAIC , we use the transcripts provided with the dataset after stripping the annotation codes; ADReSSo and the three Parkinson's sets have no transcripts, so we transcribe them with whisper-large-v3 ."
100,101,sentence,edited,0.950,,"Checks. As an acoustic baseline, we train a logistic regression classifier on eGeMAPS features .",Checks. As an acoustic baseline we train a separate logistic regression classifier on eGeMAPS features .
101,101,sentence,added,0.561,2000 95,"Intervals are 95 percent speaker-level bootstrap intervals from 2000 draws, and a difference is called significant when its interval excludes zero.",Speaker-level bootstrap intervals for the difference between the two arms exclude zero for all six models.
134,136,sentence,edited,0.917,,\subsectionAudio LLM performance We prompted Audio LLMs with a clinical question and a speech excerpt to perform zero-shot diagnosis.,\subsectionAudio LLM performance We prompted Audio LLMs with a text prompt (clinical question) and a speech excerpt (clip) to perform zero-shot diagnosis.
139,140,sentence,edited,0.833,,"On PC-GITA and NeuroVoz the transcript sits near chance, since every speaker reads the same sentences.","On the Parkinson's sets the transcript sits near chance, since every speaker reads the same sentences."
148,149,sentence,edited,0.661,,"The encoder probe, with its layer chosen inside the training folds, achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset (Fig. \reffig:gap).","The best probe achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset, far above the model's own answers on the same clips (Fig. \reffig:gap)."
149,149,sentence,added,0.444,0.11 0.35,"The paired difference \Delta of Section \refsec:setup excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL, at 0.35 on PC-GITA and 0.11 on Pitt.","The gap is widest on Parkinson's read-speech, narrower on Alzheimer's picture descriptions and reversed on depression."
149,149,sentence,added,0.584,0.60 0.77 0.81 0.90,On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.77.,"On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67."
149,149,sentence,added,0.471,0.60 0.89,Normalising loudness and noise floor lowers those features to 0.60 on NeuroVoz and leaves the encoder probe at 0.89.,Removing the readout direction from the state leaves the probe at 0.77.
149,149,sentence,edited,0.630,0.63 0.90 38,On 38 age and sex matched NeuroVoz pairs the encoder probe stays at 0.90 and the zero-shot answer at 0.63.,"On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67."
149,149,sentence,edited,0.819,,"On the age-matched clips, the age alone falls to 0.39, while the encoder probe reaches 0.80 and the zero-shot answer 0.65.","On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65."
149,149,sentence,added,0.509,,The information also survives past the audio encoder.,We compare the information present in an Audio LLM's audio representations against the answers it generates.
149,149,sentence,edited,0.741,,"On Alzheimer's the probe on the language model's states at the audio-token positions reaches 0.80, and the answer state itself achieves 0.77.","The information also survives past the audio encoder as probing the language model's representations at the audio-token positions on Alzheimer's rises to 0.80, and the answer state itself achieves 0.77."
149,149,sentence,edited,0.790,,"The cosine between the probe direction and the readout direction, the Yes output embedding minus the No output embedding, is 0.01 in magnitude, no larger than between two random directions.","The cosine between the probe direction and the Yes minus No readout direction is 0.01 in magnitude, no larger than between two random directions."
149,149,sentence,added,0.482,0.005 0.01 0.81 0.83,"On Qwen2-Audio and Qwen3-Omni the cosine is 0.01 and 0.005, at the random floor, and removing the readout direction leaves their probes at 0.81 and 0.83.",Removing the readout direction from the state leaves the probe at 0.77.
149,149,sentence,added,0.489,0.59 0.70,"On E-DAIC the language model probe reaches 0.70 and the encoder probe 0.59, both below the answer of 0.83 with paired intervals excluding zero.","On E-DAIC the best probe is 0.69, at the language model, below the answer of 0.83."
179,180,sentence,added,0.440,,Table \reftab:conflict reports the conflict test defined in Section \refsec:setup.,"Hence, we add two conditions that allow a conflict between acoustics and language."
180,180,sentence,added,0.381,0.15 0.22 0.95 0.96 86,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips.","On the Pitt conflict segments the three Qwen models drop by 0.18 to 0.29 against their agreement segments, Kimi-Audio holds, and both Audio Flamingo models sit near chance on both sets (Table \reftab:conflict)."
180,180,sentence,added,0.363,0.19 0.24 0.26 0.34 0.60 0.80,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80, at 0.26 and 0.19.",The conflict sets are created for depression and Alzheimer's disease.
180,180,sentence,added,0.438,0.18 15 4 8 924,With the dataset's own binary label in place of the PHQ-8 cut points of 15 and 4 the set grows to 924 clips and the conflict arm scores 0.18.,"On E-DAIC the retrained projector lands near the probe range, consistent with a task the words carry and the voice does not."
180,180,sentence,added,0.438,0.39 0.46 1 334,"A second sentiment scorer selects 1,334 pairs, on which the conflict arm scores 0.46 and stays 0.39 below the agreement arm.","On the Pitt conflict segments the fine-tuned answer stays at 0.52, while the agreement segments rise to 0.86."
180,180,sentence,added,0.417,87 97,"It also answers Yes on 97 percent of the clips, and Qwen2-Audio on 87 percent or more, so their AUC reflects ranking rather than decisions.","The models are Qwen2-Audio , Qwen2.5-Omni , Qwen3-Omni , Audio Flamingo 2 and 3 and Kimi-Audio ."
180,180,sentence,added,0.415,0.01,Asking Qwen2.5-Omni to judge the voice alone leaves its Pitt answer within 0.01 of the recording wording.,The model reads its Yes or No answer from that vector.
225,226,sentence,edited,0.849,,"To narrow the gap, we retrain the projector between the audio encoder and the language model so that paralinguistic information becomes more salient to the language model.","Hence, we retrain the projector between the audio encoder and the language model to make paralinguistic information more salient to the LLM."
226,226,sentence,added,0.438,0.77,"On the Pitt dataset the retrained projector reaches the same 0.77 as the probe on the hidden state at the answer position in Section \refsec:gap, so retraining recovers what the readout left unused.","On E-DAIC the retrained projector lands near the probe range, consistent with a task the words carry and the voice does not."
226,226,sentence,added,0.409,0.55 0.83 4.6 5.0,"LoRA on the language model, with 5.0 M trainable parameters against 4.6 M for the projector, reaches 0.83 on Pitt and 0.55 on its conflict segments.",Retraining only the projector narrows the gap on Parkinson's and Alzheimer's.
226,226,sentence,edited,0.789,,"The fine tuning is on Qwen2.5-Omni, and we release the segment lists, scripts and every clip's score\footnote\hrefhttps://github.com/parw8649/audio-llm-utility-gaphttps://github.com/parw8649/audio-llm-utility-gap.","The direction test and the fine tuning are on Qwen2.5-Omni, and we release the segment lists, scripts and every clip's score\footnote\urlhttps://github.com/parw8649/audio-llm-utility-gap."
245,247,sentence,edited,0.760,,\section*Acknowledgments Research was sponsored by the ARO under Cooperative Agreement Number W911NF-25-2-0040 and the NIMH under Award Number R61MH135407.,\section*Acknowledgments Research was sponsored by the ARO and was accomplished under Cooperative Agreement Number W911NF-25-2-0040.
