status,line,item_id,paper_value,reason,kind_2325Z,checked_value,checked_file,context
UNMATCHED,87,L87_249,5,"method/design constant, not a result; no file value indexed",design,5 folds (constant),,"Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment."
UNMATCHED,87,L87_268,4,"method/design constant, not a result; no file value indexed",design,4 inner folds (constant),,"Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment."
UNMATCHED,88,L88_123,29,"method/design constant, not a result; no file value indexed",design,29 LM stages (architecture),,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers."
UNMATCHED,88,L88_228,28,count 28 not found as n or n_spk in index rows for (no dataset),design,28 LM layers (architecture),,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers."
UNMATCHED,88,L88_81,32,"method/design constant, not a result; no file value indexed",design,32 encoder states (architecture),,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers."
UNMATCHED,92,L92_681,99,percentage with no indexed file value for context [model=Qwen2.5-Omni; data=edaic_conflict_v2; stream=prompt_variant; arm=conflict; stream from previous sentence],result,"0.9917 of conflict clips (greedy word agrees with logit decision); 966 clips, all Yes/No",<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_greedy.csv,"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt."
UNMATCHED,95,L95_154,25,"method/design constant, not a result; no file value indexed",design,25 words (constant),,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval ."
UNMATCHED,95,L95_167,5,"method/design constant, not a result; no file value indexed",design,5 s (constant),,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval ."
UNMATCHED,95,L95_369,0.70,"method/design constant, not a result; no file value indexed",design,0.70 sentiment threshold (constant),,A segment is counted as positive or negative if that class has a probability of at least 0.70.
UNMATCHED,95,L95_411,15,"method/design constant, not a result; no file value indexed",design,PHQ-8 >= 15 (constant),,"A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment."
UNMATCHED,95,L95_486,4,"method/design constant, not a result; no file value indexed",design,PHQ-8 <= 4 (constant),,"A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment."
UNMATCHED,97,L97_823,33,"method/design constant, not a result; no file value indexed",result,median 33.3 s,<local data dir>/DementiaBank/pitt_conflict_manifest.csv,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.
UNMATCHED,97,L97_860,30,"method/design constant, not a result; no file value indexed",design,30 s heard (constant),,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.
UNMATCHED,101,L101_219,7.5,no indexed value for context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=age_gap_years; arm=all],result,7.5386 years (per speaker label),<local data dir>/DementiaBank/pitt_conflict_manifest.csv,"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset)."
UNMATCHED,101,L101_395,81,count 81 not found as n or n_spk in index rows for pitt_agematched,count,81 pairs,<local data dir>/DementiaBank/pitt_agematched_manifest.csv,"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset)."
UNMATCHED,101,L101_443,95,"percentage with no indexed file value for context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=age_gap_years; arm=all; dataset from previous sentence, stream from previous sentence]",design,95 percent (constant),,"Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons."
UNMATCHED,101,L101_480,2000,count 2000 not found as n or n_spk in index rows for pitt_agematched,design,2000 draws (constant),,"Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons."
UNMATCHED,140,L140_431,30,"method/design constant, not a result; no file value indexed",design,30 s (constant),,"Qwen3-Omni, which also hears the interviews whole, reaches 0.87, Audio Flamingo 3, which hears the first ten minutes, 0.86, and Qwen2-Audio, which hears 30 s, 0.63."
UNMATCHED,140,L140_493,0.66,"method/design constant, not a result; no file value indexed",result,"0.6620 [0.5831, 0.7315] (first 30 s)",<local data dir>/release/omni_final/omni_edaic_zeroshot_scores.csv,"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window."
UNMATCHED,140,L140_511,30,"method/design constant, not a result; no file value indexed",design,30 s (constant),,"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window."
UNMATCHED,140,L140_566,30,"count 30 not found as n or n_spk in index rows for edaic_full,edaic,edaic_mid300,edaic_mid30",design,30 s (constant),,"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window."
UNMATCHED,140,L140_573,0.81,"method/design constant, not a result; no file value indexed",result,"0.8122 [0.7479, 0.8707] (middle 300 s)",<local data dir>/release/edaic_rerun/variants/o25_mid300_zeroshot_scores.csv,"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window."
UNMATCHED,140,L140_607,0.84,"method/design constant, not a result; no file value indexed",result,"0.8366 [0.7786, 0.8866] (whole interview)",part23/A/A2_edaic_whole_zeroshot_perclip.csv,"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window."
UNMATCHED,140,L140_674,0.63,"method/design constant, not a result; no file value indexed",result,"encoder probe max over windows 0.6168 (mid 300 s); first 30 s 0.5966, mid 30 s 0.5771, first 300 s 0.5884, whole 0.5981",<local data dir>/release/edaic_rerun/variants/o25_mid300_nested_repeats.json and the files in verify/values_new_2325Z.csv,"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window."
UNMATCHED,149,L149_1433,38,count 38 not found as n or n_spk in index rows for pitt_agematched,count,38 pairs,<local data dir>/release/scores/part20/POD6/B_neurovoz_matched/nv_matched_pairs.csv,"On 38 age and sex matched NeuroVoz pairs (907 clips) the encoder probe reads 0.90 and the answer 0.63, although the recording features still separate that subset at 0.71."
UNMATCHED,149,L149_1472,907,count 907 not found as n or n_spk in index rows for pitt_agematched,count,907 clips,<local data dir>/release/scores/part20/POD6/B_neurovoz_matched/B_encprobe_nested5_nvmatched_oof.csv,"On 38 age and sex matched NeuroVoz pairs (907 clips) the encoder probe reads 0.90 and the answer 0.63, although the recording features still separate that subset at 0.71."
UNMATCHED,149,L149_1595,0.71,no indexed value for context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=confound; arm=all]; hint: equal after rounding: Qwen2.5-Omni|kcl|zero_shot|all=0.7143 (omni_kcl_zeroshot.json) / Qwen2.5-Omni|edaic_mid300|answer_state_probe|all=0.7065 (o25_mid300_nested_repeats.json) / Qwen2.5-Omni|edaic_full|lm_probe|all=0.7088 (edaic_full_perclip.csv),result,0.7112 (five recording features on the matched subset),<local data dir>/release/scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv,"On 38 age and sex matched NeuroVoz pairs (907 clips) the encoder probe reads 0.90 and the answer 0.63, although the recording features still separate that subset at 0.71."
UNMATCHED,149,L149_735,0.53 to 0.84,"no named set compatible with context [model=Qwen3-Omni; data=pitt; stream=enc_minus_egemaps; arm=all; dataset from previous sentence] (streams ['enc_minus_egemaps'], group any)",result,0.5309 to 0.8439 over seven sets,<local data dir>/release/overnight/egemaps_baseline.csv,"\par\parAcoustic, channel and age controls. The eGeMAPS baseline reads 0.53 to 0.84."
UNMATCHED,160,L160_33,30,count 30 not found as n or n_spk in index rows for (no dataset),design,30 s (constant),,\begintable[t] \setlength\tabcolsep4pt \caption Zero-shot AUC on 30 s segments whose words conflict with the diagnosis and on segments whose words agree with it.
UNMATCHED,180,L180_1096,86,percentage with no indexed file value for context [model=Qwen2.5-Omni; data=pitt; stream=transcript; arm=all; dataset from previous sentence],result,"0.8634 same decision (Qwen2.5-Omni transcript vs audio, 966 clips)",<local data dir>/release/edaic_rerun/part16/POD1/p14_1a_completion.json,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and for Qwen2.5-Omni the transcript decision matches the audio decision on 86 percent of clips."
UNMATCHED,180,L180_1309,0.34,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),result,"0.3439 [0.2900, 0.3979] (wording p2, conflict arm)",<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_audio_p2_analysis.json,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1318,0.24,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),result,"0.2392 [0.1940, 0.2865] (wording p3, conflict arm)",<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_audio_p3_analysis.json,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1358,0.60,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),design,sentiment threshold 0.60 (constant),,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1367,0.80,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),design,sentiment threshold 0.80 (constant),,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1373,646,count 646 not found as n or n_spk in index rows for pitt,count,646 pairs,<local data dir>/release/edaic_rerun/part16/POD1/p14_thr060_omni.csv,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1381,281,count 281 not found as n or n_spk in index rows for pitt,count,281 pairs,<local data dir>/release/edaic_rerun/part16/POD1/p14_thr080_omni.csv,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1396,0.26,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),result,0.2619,<local data dir>/release/edaic_rerun/part16/POD1/p14_thr060_omni.csv,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1405,0.19,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),result,0.1936,<local data dir>/release/edaic_rerun/part16/POD1/p14_thr080_omni.csv,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19."
UNMATCHED,180,L180_1443,15,count 15 not found as n or n_spk in index rows for (no dataset),design,PHQ-8 15 (constant),,"Replacing the severity gates of 15 and 4 with a PHQ-8 cut at 10 gives 924 pairs from 237 speakers, on which the conflict arm scores 0.18."
UNMATCHED,180,L180_1450,4,count 4 not found as n or n_spk in index rows for (no dataset),design,PHQ-8 4 (constant),,"Replacing the severity gates of 15 and 4 with a PHQ-8 cut at 10 gives 924 pairs from 237 speakers, on which the conflict arm scores 0.18."
UNMATCHED,180,L180_1472,10,count 10 not found as n or n_spk in index rows for (no dataset),design,PHQ-8 10 (constant),,"Replacing the severity gates of 15 and 4 with a PHQ-8 cut at 10 gives 924 pairs from 237 speakers, on which the conflict arm scores 0.18."
UNMATCHED,180,L180_1543,0.18,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),result,"0.1759 [0.1448, 0.2095]; 924 pairs, 237 speakers",<local data dir>/release/edaic_rerun/part16/POD1/p14_phq10_omni.csv,"Replacing the severity gates of 15 and 4 with a PHQ-8 cut at 10 gives 924 pairs from 237 speakers, on which the conflict arm scores 0.18."
UNMATCHED,180,L180_1605,2,count 2 not found as n or n_spk in index rows for (no dataset),artifact,the '2' of 'SST-2' (extractor split),,"A second sentiment scorer (DistilBERT fine-tuned on SST-2) selects 1,334 pairs, on which the conflict arm scores 0.46 [0.42, 0.51], at chance rather than below it, and stays 0.39 below the agreement arm."
UNMATCHED,180,L180_1616,1,count 1 not found as n or n_spk in index rows for (no dataset),artifact,"the '1' of '1,334' (extractor split); 1,334 pairs verified",<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,"A second sentiment scorer (DistilBERT fine-tuned on SST-2) selects 1,334 pairs, on which the conflict arm scores 0.46 [0.42, 0.51], at chance rather than below it, and stays 0.39 below the agreement arm."
UNMATCHED,180,L180_1618,334,count 334 not found as n or n_spk in index rows for (no dataset),artifact,"the '334' of '1,334' (extractor split); 1,334 pairs verified",<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,"A second sentiment scorer (DistilBERT fine-tuned on SST-2) selects 1,334 pairs, on which the conflict arm scores 0.46 [0.42, 0.51], at chance rather than below it, and stays 0.39 below the agreement arm."
UNMATCHED,180,L180_1780,420,count 420 not found as n or n_spk in index rows for (no dataset),count,420 segments,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio_diag_by_roberta_arm.csv,The inversion holds on the 420 segments both scorers call conflicting (0.20) and not on the 855 the first scorer calls neutral (0.62).
UNMATCHED,180,L180_1845,855,count 855 not found as n or n_spk in index rows for (no dataset),count,855 segments,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio_diag_by_roberta_arm.csv,The inversion holds on the 420 segments both scorers call conflicting (0.20) and not on the 855 the first scorer calls neutral (0.62).
UNMATCHED,180,L180_2058,97,"method/design constant, not a result; no file value indexed",result,"AF2 Yes share on the E-DAIC pairs: conflict 0.9710, agreement 0.9834 (on Pitt 30 s only 0.8356 / 0.8571)",<local data dir>/release/edaic_rerun/part14/p14_af2.csv; scores/part20/POD4c/af2_orig30_*.csv,"It also answers Yes on 97 percent or more of the clips, and Qwen2-Audio on 87 percent or more, so their AUC reflects ranking rather than decisions."
UNMATCHED,180,L180_2110,87,"method/design constant, not a result; no file value indexed",result,"Qwen2-Audio Yes share on the E-DAIC pairs: agreement 0.8675, conflict 0.9400 (on Pitt 0.7991)",<local data dir>/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv; paper1_local_runs/probe2/pitt_zeroshot_scores.csv,"It also answers Yes on 97 percent or more of the clips, and Qwen2-Audio on 87 percent or more, so their AUC reflects ranking rather than decisions."
UNMATCHED,226,L226_1020,0.55,no indexed value for context [model=Qwen2.5-Omni (default); data=pitt; stream=lm_probe; arm=conflict]; hint: equal after rounding: Qwen2.5-Omni|adresso|transcript|all=0.5542 (o25_adresso_text.json) / Qwen2.5-Omni|pitt|lora_ft|conflict=0.552 (lora_pitt_oof.csv) / Qwen2.5-Omni|pcgita|?|all=0.5539 (channel_norm_pcgita.csv),result,0.5520 (LoRA conflict arm),<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
UNMATCHED,226,L226_841,8,count 8 not found as n or n_spk in index rows for pitt,design,rank 8 (constant),,"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
UNMATCHED,226,L226_877,28,count 28 not found as n or n_spk in index rows for pitt,design,28 layers (architecture),,"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
